# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=chain, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 167, 0.850000, 0.670592, 1.000000, 0.700000, 0.823529, 0.666082, 0.666082
2, 2, 147, 0.783333, 0.612690, 0.814815, 0.733333, 0.771930, 0.586300, 0.591301
2, 3, 123, 0.783333, 0.612598, 0.814815, 0.733333, 0.771930, 0.586299, 0.586441
2, 4, 91, 0.783333, 0.612766, 0.814815, 0.733333, 0.771930, 0.586302, 0.587051
2, 5, 56, 0.783333, 0.612587, 0.814815, 0.733333, 0.771930, 0.586299, 0.588358
3, 1, 93, 0.633333, 0.692519, 0.857143, 0.375000, 0.521739, 0.692962, 0.695150
3, 2, 69, 0.750000, 0.630014, 0.707317, 0.906250, 0.794521, 0.649409, 0.650220
3, 3, 70, 0.816667, 0.653134, 0.756098, 0.968750, 0.849315, 0.649444, 0.655809
3, 4, 156, 0.716667, 0.617840, 0.714286, 0.781250, 0.746269, 0.649410, 0.649446
3, 5, 52, 0.750000, 0.637720, 0.707317, 0.906250, 0.794521, 0.649442, 0.656596
4, 1, 1, 0.550000, 0.779520, 0.550000, 1.000000, 0.709677, 0.701962, 0.720852
4, 2, 177, 0.733333, 0.639522, 0.840000, 0.636364, 0.724138, 0.624395, 0.624715
4, 3, 66, 0.816667, 0.653417, 1.000000, 0.666667, 0.800000, 0.618077, 0.621360
4, 4, 47, 0.833333, 0.640568, 1.000000, 0.696970, 0.821429, 0.602843, 0.604568
4, 5, 59, 0.833333, 0.617050, 1.000000, 0.696970, 0.821429, 0.603126, 0.606519
5, 1, 142, 0.650000, 0.677504, 1.000000, 0.125000, 0.222222, 0.681026, 0.681026
5, 2, 63, 0.783333, 0.672857, 0.789474, 0.625000, 0.697674, 0.643773, 0.645056
5, 3, 24, 0.783333, 0.664221, 0.923077, 0.500000, 0.648649, 0.638669, 0.639013
5, 4, 76, 0.816667, 0.633919, 0.740741, 0.833333, 0.784314, 0.630887, 0.630887
5, 5, 32, 0.833333, 0.656205, 0.888889, 0.666667, 0.761905, 0.630903, 0.631020
6, 1, 94, 0.650000, 0.697469, 0.882353, 0.441176, 0.588235, 0.695747, 0.696861
6, 2, 29, 0.666667, 0.686275, 0.818182, 0.529412, 0.642857, 0.670172, 0.670172
6, 3, 7, 0.600000, 0.689755, 0.656250, 0.617647, 0.636364, 0.663219, 0.673687
6, 4, 18, 0.616667, 0.682629, 0.720000, 0.529412, 0.610169, 0.656813, 0.658070
6, 5, 17, 0.650000, 0.683999, 0.782609, 0.529412, 0.631579, 0.656888, 0.666222
7, 1, 90, 0.616667, 0.683967, 0.684211, 0.433333, 0.530612, 0.682653, 0.689478
7, 2, 55, 0.666667, 0.673897, 0.666667, 0.666667, 0.666667, 0.668820, 0.674223
7, 3, 19, 0.700000, 0.680478, 0.750000, 0.600000, 0.666667, 0.661993, 0.691941
7, 4, 52, 0.666667, 0.662097, 0.666667, 0.666667, 0.666667, 0.656931, 0.664905
7, 5, 85, 0.666667, 0.658267, 0.666667, 0.666667, 0.666667, 0.656817, 0.657503
8, 1, 1, 0.616667, 0.703038, 0.616667, 1.000000, 0.762887, 0.698664, 0.700282
8, 2, 152, 0.716667, 0.683580, 0.812500, 0.702703, 0.753623, 0.682709, 0.689456
8, 3, 83, 0.783333, 0.671997, 0.900000, 0.729730, 0.805970, 0.653790, 0.656968
8, 4, 187, 0.833333, 0.644758, 0.846154, 0.891892, 0.868421, 0.647217, 0.654712
8, 5, 54, 0.833333, 0.664987, 0.864865, 0.864865, 0.864865, 0.647410, 0.647610
9, 1, 28, 0.616667, 0.690164, 0.562500, 0.360000, 0.439024, 0.697487, 0.700433
9, 2, 191, 0.650000, 0.681906, 0.666667, 0.320000, 0.432432, 0.669394, 0.669394
9, 3, 193, 0.700000, 0.657976, 0.818182, 0.360000, 0.500000, 0.649798, 0.650381
9, 4, 99, 0.800000, 0.660642, 0.760000, 0.760000, 0.760000, 0.643862, 0.647470
9, 5, 127, 0.816667, 0.652315, 0.888889, 0.640000, 0.744186, 0.644130, 0.644649
10, 1, 60, 0.616667, 0.696450, 0.750000, 0.387097, 0.510638, 0.693057, 0.695715
10, 2, 117, 0.816667, 0.663650, 0.857143, 0.774194, 0.813559, 0.669634, 0.670005
10, 3, 124, 0.800000, 0.659785, 0.756757, 0.903226, 0.823529, 0.662054, 0.662054
10, 4, 65, 0.800000, 0.665324, 0.880000, 0.709677, 0.785714, 0.654070, 0.654162
10, 5, 60, 0.766667, 0.658134, 0.840000, 0.677419, 0.750000, 0.654053, 0.654053
11, 1, 87, 0.616667, 0.702820, 0.866667, 0.382353, 0.530612, 0.696127, 0.696231
11, 2, 160, 0.666667, 0.675161, 0.675000, 0.794118, 0.729730, 0.675074, 0.675532
