# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=full, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 112, 0.700000, 0.692989, 1.000000, 0.400000, 0.571429, 0.671505, 0.675968
2, 2, 112, 0.766667, 0.613688, 0.833333, 0.666667, 0.740741, 0.586307, 0.586317
2, 3, 119, 0.783333, 0.612624, 0.814815, 0.733333, 0.771930, 0.586300, 0.597007
2, 4, 129, 0.783333, 0.612552, 0.814815, 0.733333, 0.771930, 0.586299, 0.593150
2, 5, 84, 0.766667, 0.612667, 0.785714, 0.733333, 0.758621, 0.586312, 0.589027
3, 1, 192, 0.583333, 0.694893, 0.888889, 0.250000, 0.390244, 0.693230, 0.705312
3, 2, 70, 0.783333, 0.669049, 0.851852, 0.718750, 0.779661, 0.649429, 0.652452
3, 3, 83, 0.800000, 0.655276, 0.763158, 0.906250, 0.828571, 0.649409, 0.651373
3, 4, 135, 0.750000, 0.633108, 0.707317, 0.906250, 0.794521, 0.649485, 0.652224
3, 5, 68, 0.716667, 0.620542, 0.714286, 0.781250, 0.746269, 0.649408, 0.649450
4, 1, 1, 0.550000, 0.763187, 0.550000, 1.000000, 0.709677, 0.702231, 0.709793
4, 2, 104, 0.716667, 0.658425, 1.000000, 0.484848, 0.653061, 0.633027, 0.638698
4, 3, 129, 0.833333, 0.619827, 0.848485, 0.848485, 0.848485, 0.618470, 0.625237
4, 4, 57, 0.833333, 0.639404, 1.000000, 0.696970, 0.821429, 0.602849, 0.602877
4, 5, 26, 0.833333, 0.641257, 1.000000, 0.696970, 0.821429, 0.602844, 0.604499
5, 1, 101, 0.650000, 0.683182, 1.000000, 0.125000, 0.222222, 0.681272, 0.681272
5, 2, 72, 0.800000, 0.660288, 0.875000, 0.583333, 0.700000, 0.641494, 0.643278
5, 3, 42, 0.800000, 0.661780, 0.875000, 0.583333, 0.700000, 0.638737, 0.638959
5, 4, 51, 0.833333, 0.659269, 0.937500, 0.625000, 0.750000, 0.631558, 0.633815
5, 5, 27, 0.850000, 0.656519, 0.894737, 0.708333, 0.790698, 0.630898, 0.631363
6, 1, 50, 0.616667, 0.695507, 0.866667, 0.382353, 0.530612, 0.691888, 0.703018
6, 2, 68, 0.616667, 0.685668, 0.761905, 0.470588, 0.581818, 0.664110, 0.666797
6, 3, 37, 0.633333, 0.690867, 0.800000, 0.470588, 0.592593, 0.663157, 0.667338
6, 4, 11, 0.616667, 0.691647, 0.789474, 0.441176, 0.566038, 0.657428, 0.659318
6, 5, 8, 0.616667, 0.679805, 0.703704, 0.558824, 0.622951, 0.657033, 0.657653
7, 1, 96, 0.616667, 0.687828, 0.705882, 0.400000, 0.510638, 0.683016, 0.683118
7, 2, 119, 0.650000, 0.665895, 0.636364, 0.700000, 0.666667, 0.663642, 0.663721
7, 3, 24, 0.600000, 0.668361, 0.578947, 0.733333, 0.647059, 0.661756, 0.675252
7, 4, 60, 0.666667, 0.658485, 0.666667, 0.666667, 0.666667, 0.656816, 0.657452
7, 5, 105, 0.683333, 0.658377, 0.689655, 0.666667, 0.677966, 0.656813, 0.657001
8, 1, 1, 0.616667, 0.693023, 0.616667, 1.000000, 0.762887, 0.698837, 0.719692
8, 2, 185, 0.683333, 0.671685, 0.695652, 0.864865, 0.771084, 0.676989, 0.678476
8, 3, 166, 0.800000, 0.656387, 0.857143, 0.810811, 0.833333, 0.650351, 0.650351
8, 4, 53, 0.816667, 0.662245, 0.825000, 0.891892, 0.857143, 0.648396, 0.654233
8, 5, 49, 0.833333, 0.671007, 0.864865, 0.864865, 0.864865, 0.647621, 0.649971
9, 1, 61, 0.583333, 0.689190, 0.500000, 0.240000, 0.324324, 0.696558, 0.701903
9, 2, 166, 0.716667, 0.677944, 0.625000, 0.800000, 0.701754, 0.663319, 0.663319
9, 3, 128, 0.783333, 0.659536, 0.772727, 0.680000, 0.723404, 0.650278, 0.661600
9, 4, 121, 0.783333, 0.654154, 0.772727, 0.680000, 0.723404, 0.644417, 0.646191
9, 5, 58, 0.800000, 0.661236, 0.760000, 0.760000, 0.760000, 0.643853, 0.650169
10, 1, 82, 0.616667, 0.697546, 0.750000, 0.387097, 0.510638, 0.692859, 0.692859
10, 2, 155, 0.666667, 0.678445, 0.866667, 0.419355, 0.565217, 0.666041, 0.680521
10, 3, 92, 0.733333, 0.672559, 0.741935, 0.741935, 0.741935, 0.658903, 0.660404
10, 4, 65, 0.800000, 0.657337, 0.806452, 0.806452, 0.806452, 0.654093, 0.659249
10, 5, 50, 0.783333, 0.664421, 0.800000, 0.774194, 0.786885, 0.654260, 0.657146
11, 1, 40, 0.616667, 0.705091, 0.866667, 0.382353, 0.530612, 0.692277, 0.692277
11, 2, 189, 0.666667, 0.680943, 0.769231, 0.588235, 0.666667, 0.668128, 0.668128
11, 3, 97, 0.750000, 0.674868, 0.880000, 0.647059, 0.745763, 0.663320, 0.666114
11, 4, 54, 0.733333, 0.671961, 0.875000, 0.617647, 0.724138, 0.663598, 0.693735
11, 5, 107, 0.733333, 0.667280, 0.821429, 0.676471, 0.741935, 0.663600, 0.665832
12, 1, 176, 0.583333, 0.691478, 1.000000, 0.038462, 0.074074, 0.691817, 0.692044
12, 2, 100, 0.733333, 0.670827, 0.708333, 0.653846, 0.680000, 0.665193, 0.667476
12, 3, 58, 0.733333, 0.680649, 0.727273, 0.615385, 0.666667, 0.664741, 0.673806
12, 4, 26, 0.733333, 0.673525, 0.812500, 0.500000, 0.619048, 0.663288, 0.663288
12, 5, 106, 0.683333, 0.664989, 0.818182, 0.346154, 0.486486, 0.663284, 0.663295
13, 1, 35, 0.616667, 0.689556, 0.703704, 0.558824, 0.622951, 0.687567, 0.687793
13, 2, 177, 0.683333, 0.684808, 0.800000, 0.588235, 0.677966, 0.682207, 0.682911
13, 3, 154, 0.716667, 0.684657, 0.869565, 0.588235, 0.701754, 0.680874, 0.680874
13, 4, 30, 0.716667, 0.680226, 0.793103, 0.676471, 0.730159, 0.680230, 0.684398
13, 5, 31, 0.650000, 0.686441, 0.809524, 0.500000, 0.618182, 0.681768, 0.681829
14, 1, 93, 0.600000, 0.687153, 0.628571, 0.666667, 0.647059, 0.693552, 0.694010
14, 2, 183, 0.700000, 0.680908, 0.682927, 0.848485, 0.756757, 0.686332, 0.686466
14, 3, 18, 0.600000, 0.688951, 0.714286, 0.454545, 0.555556, 0.684050, 0.688166
14, 4, 112, 0.733333, 0.681893, 0.947368, 0.545455, 0.692308, 0.679772, 0.682169
14, 5, 27, 0.633333, 0.682940, 0.634146, 0.787879, 0.702703, 0.679095, 0.680223
15, 1, 45, 0.566667, 0.713871, 0.526316, 0.714286, 0.606061, 0.684766, 0.685695
15, 2, 89, 0.566667, 0.709611, 0.525000, 0.750000, 0.617647, 0.684142, 0.684763
15, 3, 15, 0.566667, 0.714372, 0.526316, 0.714286, 0.606061, 0.684137, 0.684826
15, 4, 99, 0.566667, 0.690628, 0.522727, 0.821429, 0.638889, 0.683441, 0.685088
15, 5, 45, 0.566667, 0.714450, 0.526316, 0.714286, 0.606061, 0.684481, 0.684946
16, 1, 1, 0.450000, 0.838899, 0.450000, 1.000000, 0.620690, 0.690109, 0.690668
16, 2, 185, 0.700000, 0.682297, 0.764706, 0.481481, 0.590909, 0.677257, 0.688382
16, 3, 164, 0.816667, 0.667311, 0.944444, 0.629630, 0.755556, 0.664159, 0.664159
16, 4, 113, 0.816667, 0.663383, 0.900000, 0.666667, 0.765957, 0.653225, 0.657700
16, 5, 83, 0.816667, 0.664087, 0.722222, 0.962963, 0.825397, 0.649446, 0.649467
17, 1, 38, 0.666667, 0.687636, 0.717949, 0.756757, 0.736842, 0.697792, 0.701498
17, 2, 27, 0.700000, 0.687390, 0.827586, 0.648649, 0.727273, 0.682734, 0.689459
17, 3, 83, 0.800000, 0.680348, 0.903226, 0.756757, 0.823529, 0.673813, 0.683492
17, 4, 104, 0.833333, 0.670203, 0.813953, 0.945946, 0.875000, 0.659956, 0.662498
17, 5, 88, 0.883333, 0.667521, 0.875000, 0.945946, 0.909091, 0.659063, 0.659307
18, 1, 76, 0.533333, 0.703978, 0.636364, 0.225806, 0.333333, 0.697203, 0.702143
18, 2, 190, 0.583333, 0.691536, 0.687500, 0.354839, 0.468085, 0.687642, 0.694775
18, 3, 109, 0.700000, 0.680639, 0.724138, 0.677419, 0.700000, 0.663543, 0.663620
18, 4, 127, 0.750000, 0.675949, 0.785714, 0.709677, 0.745763, 0.662110, 0.662524
