# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=full, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 184, 0.666667, 0.676759, 1.000000, 0.333333, 0.500000, 0.676239, 0.688576
2, 2, 164, 0.683333, 0.682572, 1.000000, 0.366667, 0.536585, 0.669691, 0.674442
2, 3, 169, 0.900000, 0.627114, 0.961538, 0.833333, 0.892857, 0.626009, 0.630296
2, 4, 164, 0.900000, 0.631308, 0.900000, 0.900000, 0.900000, 0.624197, 0.626652
2, 5, 119, 0.883333, 0.626272, 1.000000, 0.766667, 0.867925, 0.625319, 0.630594
3, 1, 138, 0.633333, 0.691721, 0.812500, 0.406250, 0.541667, 0.693001, 0.693464
3, 2, 105, 0.700000, 0.668969, 0.769231, 0.625000, 0.689655, 0.676345, 0.685688
3, 3, 189, 0.766667, 0.658425, 0.875000, 0.656250, 0.750000, 0.673845, 0.683592
3, 4, 125, 0.783333, 0.646185, 0.851852, 0.718750, 0.779661, 0.661429, 0.663048
3, 5, 51, 0.733333, 0.660668, 0.750000, 0.750000, 0.750000, 0.657238, 0.667732
4, 1, 1, 0.550000, 0.763306, 0.550000, 1.000000, 0.709677, 0.702348, 0.702483
4, 2, 158, 0.600000, 0.732073, 0.909091, 0.303030, 0.454545, 0.701099, 0.707662
4, 3, 181, 0.733333, 0.641653, 0.717949, 0.848485, 0.777778, 0.641529, 0.646882
4, 4, 199, 0.733333, 0.642343, 0.869565, 0.606061, 0.714286, 0.638991, 0.642189
4, 5, 148, 0.750000, 0.639898, 0.736842, 0.848485, 0.788732, 0.640923, 0.641412
5, 1, 80, 0.400000, 0.741697, 0.400000, 1.000000, 0.571429, 0.683082, 0.683082
5, 2, 142, 0.700000, 0.665382, 0.800000, 0.333333, 0.470588, 0.679419, 0.689457
5, 3, 183, 0.816667, 0.653619, 0.809524, 0.708333, 0.755556, 0.651867, 0.651867
5, 4, 165, 0.750000, 0.646781, 0.655172, 0.791667, 0.716981, 0.646835, 0.658512
5, 5, 114, 0.783333, 0.643625, 0.703704, 0.791667, 0.745098, 0.642450, 0.647359
6, 1, 164, 0.616667, 0.699756, 0.866667, 0.382353, 0.530612, 0.697644, 0.700018
6, 2, 1, 0.583333, 0.685941, 0.600000, 0.794118, 0.683544, 0.685735, 0.698927
6, 3, 106, 0.616667, 0.677706, 0.622222, 0.823529, 0.708861, 0.655330, 0.655697
6, 4, 8, 0.600000, 0.689726, 0.656250, 0.617647, 0.636364, 0.655538, 0.660274
6, 5, 128, 0.616667, 0.676382, 0.600000, 0.970588, 0.741573, 0.655257, 0.655812
7, 1, 98, 0.583333, 0.684316, 0.580645, 0.600000, 0.590164, 0.682647, 0.682648
7, 2, 88, 0.500000, 0.704728, 0.500000, 1.000000, 0.666667, 0.679890, 0.679890
