# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=full, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 24, 0.783333, 0.643461, 0.814815, 0.733333, 0.771930, 0.586299, 0.586307
2, 2, 25, 0.966667, 0.662348, 1.000000, 0.933333, 0.965517, 0.646901, 0.646939
2, 3, 38, 0.783333, 0.612983, 0.814815, 0.733333, 0.771930, 0.586302, 0.586303
2, 4, 165, 0.933333, 0.655684, 0.906250, 0.966667, 0.935484, 0.648025, 0.648025
2, 5, 55, 0.783333, 0.612884, 0.814815, 0.733333, 0.771930, 0.586299, 0.586311
3, 1, 21, 0.716667, 0.676096, 0.692308, 0.843750, 0.760563, 0.649407, 0.650578
3, 2, 183, 0.633333, 0.686598, 0.857143, 0.375000, 0.521739, 0.693270, 0.713527
3, 3, 56, 0.716667, 0.618066, 0.714286, 0.781250, 0.746269, 0.649407, 0.650649
3, 4, 67, 0.600000, 0.677768, 0.611111, 0.687500, 0.647059, 0.694395, 0.747025
3, 5, 7, 0.716667, 0.656046, 0.714286, 0.781250, 0.746269, 0.649407, 0.649413
4, 1, 18, 0.733333, 0.644153, 1.000000, 0.515152, 0.680000, 0.630113, 0.631153
4, 2, 1, 0.550000, 0.762747, 0.550000, 1.000000, 0.709677, 0.697598, 0.697598
4, 3, 25, 0.733333, 0.648895, 1.000000, 0.515152, 0.680000, 0.630115, 0.631388
4, 4, 1, 0.550000, 0.759811, 0.550000, 1.000000, 0.709677, 0.691250, 0.759978
4, 5, 18, 0.716667, 0.644359, 0.785714, 0.666667, 0.721311, 0.630114, 0.630156
5, 1, 11, 0.733333, 0.640269, 0.653846, 0.708333, 0.680000, 0.640943, 0.641021
5, 2, 70, 0.616667, 0.683637, 0.533333, 0.333333, 0.410256, 0.676101, 0.676477
5, 3, 18, 0.733333, 0.640048, 0.653846, 0.708333, 0.680000, 0.640940, 0.641839
5, 4, 70, 0.650000, 0.668957, 1.000000, 0.125000, 0.222222, 0.676197, 0.676633
5, 5, 20, 0.733333, 0.648571, 0.653846, 0.708333, 0.680000, 0.640941, 0.641340
6, 1, 7, 0.550000, 0.706152, 0.733333, 0.323529, 0.448980, 0.664110, 0.664144
6, 2, 13, 0.583333, 0.682743, 0.595745, 0.823529, 0.691358, 0.691922, 0.704536
6, 3, 26, 0.566667, 0.681838, 0.566667, 1.000000, 0.723404, 0.664229, 0.665456
6, 4, 20, 0.566667, 0.685867, 0.566667, 1.000000, 0.723404, 0.691886, 0.704348
6, 5, 135, 0.566667, 0.684174, 0.566667, 1.000000, 0.723404, 0.664205, 0.665108
7, 1, 80, 0.650000, 0.665409, 0.636364, 0.700000, 0.666667, 0.663644, 0.665226
7, 2, 39, 0.583333, 0.691380, 0.586207, 0.566667, 0.576271, 0.682615, 0.685585
7, 3, 130, 0.650000, 0.665490, 0.636364, 0.700000, 0.666667, 0.663640, 0.666803
7, 4, 19, 0.583333, 0.682753, 0.586207, 0.566667, 0.576271, 0.683851, 0.684378
7, 5, 52, 0.650000, 0.666776, 0.636364, 0.700000, 0.666667, 0.663641, 0.665089
8, 1, 78, 0.700000, 0.673347, 0.702128, 0.891892, 0.785714, 0.665157, 0.665157
8, 2, 172, 0.966667, 0.684285, 1.000000, 0.945946, 0.972222, 0.684779, 0.684779
8, 3, 59, 0.666667, 0.671040, 0.666667, 0.918919, 0.772727, 0.661767, 0.663040
8, 4, 1, 0.616667, 0.691227, 0.616667, 1.000000, 0.762887, 0.696657, 0.714934
8, 5, 162, 0.666667, 0.658025, 0.840000, 0.567568, 0.677419, 0.661756, 0.662925
9, 1, 53, 0.750000, 0.673048, 0.777778, 0.560000, 0.651163, 0.654958, 0.655114
9, 2, 6, 0.616667, 0.679483, 1.000000, 0.080000, 0.148148, 0.687082, 0.691625
9, 3, 16, 0.750000, 0.674793, 0.777778, 0.560000, 0.651163, 0.654953, 0.655039
9, 4, 107, 0.616667, 0.690600, 0.562500, 0.360000, 0.439024, 0.692879, 0.722395
9, 5, 94, 0.750000, 0.658377, 0.750000, 0.600000, 0.666667, 0.654957, 0.655026
10, 1, 107, 0.666667, 0.680779, 0.866667, 0.419355, 0.565217, 0.661848, 0.663807
10, 2, 77, 0.583333, 0.703124, 0.687500, 0.354839, 0.468085, 0.686323, 0.686616
10, 3, 85, 0.666667, 0.679573, 0.866667, 0.419355, 0.565217, 0.661303, 0.666640
10, 4, 12, 0.600000, 0.695164, 0.684211, 0.419355, 0.520000, 0.686413, 0.697912
10, 5, 41, 0.666667, 0.678973, 0.866667, 0.419355, 0.565217, 0.661346, 0.664711
11, 1, 137, 0.666667, 0.681031, 0.750000, 0.617647, 0.677419, 0.666438, 0.670064
11, 2, 30, 0.566667, 0.688857, 0.566667, 1.000000, 0.723404, 0.693861, 0.697090
11, 3, 41, 0.650000, 0.686795, 0.782609, 0.529412, 0.631579, 0.670522, 0.677058
11, 4, 64, 0.600000, 0.702511, 0.857143, 0.352941, 0.500000, 0.691587, 0.692093
11, 5, 109, 0.666667, 0.680436, 0.750000, 0.617647, 0.677419, 0.666411, 0.666707
12, 1, 131, 0.700000, 0.665766, 0.785714, 0.423077, 0.550000, 0.666035, 0.666125
12, 2, 8, 0.600000, 0.691189, 0.600000, 0.230769, 0.333333, 0.690723, 0.694691
12, 3, 16, 0.700000, 0.689620, 0.833333, 0.384615, 0.526316, 0.664803, 0.669533
12, 4, 51, 0.616667, 0.688591, 0.800000, 0.153846, 0.258065, 0.691631, 0.694689
12, 5, 154, 0.700000, 0.665281, 0.700000, 0.538462, 0.608696, 0.664812, 0.664949
13, 1, 46, 0.566667, 0.696049, 1.000000, 0.235294, 0.380952, 0.687524, 0.687524
13, 2, 71, 0.616667, 0.690688, 0.720000, 0.529412, 0.610169, 0.687644, 0.688897
13, 3, 30, 0.566667, 0.694860, 0.681818, 0.441176, 0.535714, 0.687276, 0.687282
13, 4, 29, 0.616667, 0.689261, 0.703704, 0.558824, 0.622951, 0.687506, 0.687998
13, 5, 7, 0.566667, 0.688405, 0.566667, 1.000000, 0.723404, 0.687285, 0.687426
14, 1, 139, 0.600000, 0.691688, 0.636364, 0.636364, 0.636364, 0.687524, 0.692739
14, 2, 144, 0.550000, 0.694995, 0.550000, 1.000000, 0.709677, 0.692252, 0.700135
14, 3, 129, 0.600000, 0.692965, 0.636364, 0.636364, 0.636364, 0.686715, 0.688504
14, 4, 36, 0.600000, 0.692729, 0.909091, 0.303030, 0.454545, 0.692210, 0.695627
14, 5, 128, 0.600000, 0.693041, 0.636364, 0.636364, 0.636364, 0.686713, 0.692319
15, 1, 94, 0.516667, 0.700316, 0.484848, 0.571429, 0.524590, 0.690277, 0.691911
15, 2, 137, 0.566667, 0.705127, 0.526316, 0.714286, 0.606061, 0.684755, 0.684842
15, 3, 94, 0.600000, 0.691155, 0.545455, 0.857143, 0.666667, 0.690304, 0.693648
15, 4, 132, 0.566667, 0.715850, 0.525000, 0.750000, 0.617647, 0.684772, 0.695512
15, 5, 86, 0.583333, 0.688615, 0.536585, 0.785714, 0.637681, 0.690295, 0.699294
16, 1, 191, 0.716667, 0.687422, 0.678571, 0.703704, 0.690909, 0.684072, 0.701511
16, 2, 151, 0.550000, 0.694256, 0.000000, 0.000000, 0.000000, 0.688593, 0.691659
16, 3, 155, 0.716667, 0.674326, 0.678571, 0.703704, 0.690909, 0.658154, 0.658194
16, 4, 11, 0.550000, 0.693356, 0.000000, 0.000000, 0.000000, 0.688204, 0.692379
16, 5, 79, 0.716667, 0.684796, 0.656250, 0.777778, 0.711864, 0.655357, 0.664237
17, 1, 1, 0.616667, 0.686153, 0.616667, 1.000000, 0.762887, 0.681841, 0.681841
17, 2, 149, 0.666667, 0.688813, 0.717949, 0.756757, 0.736842, 0.696221, 0.698007
17, 3, 178, 0.666667, 0.669929, 0.707317, 0.783784, 0.743590, 0.665758, 0.667251
17, 4, 132, 0.666667, 0.688449, 0.717949, 0.756757, 0.736842, 0.695558, 0.702724
17, 5, 127, 0.666667, 0.678852, 0.707317, 0.783784, 0.743590, 0.666125, 0.666825
18, 1, 1, 0.516667, 0.741832, 0.516667, 1.000000, 0.681319, 0.693029, 0.711258
18, 2, 79, 0.533333, 0.704640, 0.636364, 0.225806, 0.333333, 0.697895, 0.699293
18, 3, 132, 0.733333, 0.688164, 0.777778, 0.677419, 0.724138, 0.675074, 0.675074
18, 4, 1, 0.516667, 0.746400, 0.516667, 1.000000, 0.681319, 0.693291, 0.695185
18, 5, 180, 0.716667, 0.673528, 0.750000, 0.677419, 0.711864, 0.669642, 0.670192
19, 1, 1, 0.550000, 0.724708, 0.550000, 1.000000, 0.709677, 0.692680, 0.694107
19, 2, 55, 0.583333, 0.693384, 0.600000, 0.727273, 0.657534, 0.695731, 0.699603
19, 3, 155, 0.650000, 0.681071, 0.875000, 0.424242, 0.571429, 0.674567, 0.674567
19, 4, 186, 0.583333, 0.694598, 0.600000, 0.727273, 0.657534, 0.695150, 0.701767
19, 5, 159, 0.666667, 0.674216, 0.782609, 0.545455, 0.642857, 0.673617, 0.676870
20, 1, 1, 0.533333, 0.732740, 0.533333, 1.000000, 0.695652, 0.690315, 0.690315
20, 2, 58, 0.550000, 0.701730, 0.543860, 0.968750, 0.696629, 0.690686, 0.692988
20, 3, 138, 0.700000, 0.668438, 0.850000, 0.531250, 0.653846, 0.667745, 0.668309
20, 4, 1, 0.533333, 0.726017, 0.533333, 1.000000, 0.695652, 0.690469, 0.691634
20, 5, 142, 0.700000, 0.668976, 0.791667, 0.593750, 0.678571, 0.667846, 0.668171
