# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=pairwise, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 134, 0.950000, 0.685621, 1.000000, 0.900000, 0.947368, 0.668548, 0.668548
2, 2, 155, 0.783333, 0.612563, 0.814815, 0.733333, 0.771930, 0.586300, 0.586642
2, 3, 135, 0.783333, 0.612548, 0.814815, 0.733333, 0.771930, 0.586304, 0.586403
2, 4, 108, 0.783333, 0.612661, 0.814815, 0.733333, 0.771930, 0.586301, 0.590933
2, 5, 80, 0.783333, 0.613619, 0.814815, 0.733333, 0.771930, 0.586424, 0.587169
3, 1, 137, 0.583333, 0.677709, 0.652174, 0.468750, 0.545455, 0.693152, 0.704547
3, 2, 149, 0.716667, 0.617776, 0.714286, 0.781250, 0.746269, 0.649407, 0.652427
3, 3, 66, 0.800000, 0.661366, 0.812500, 0.812500, 0.812500, 0.649452, 0.657380
3, 4, 49, 0.833333, 0.664317, 0.866667, 0.812500, 0.838710, 0.649409, 0.651174
3, 5, 18, 0.800000, 0.668198, 0.857143, 0.750000, 0.800000, 0.649406, 0.649486
4, 1, 1, 0.550000, 0.779509, 0.550000, 1.000000, 0.709677, 0.700717, 0.700717
4, 2, 192, 0.733333, 0.638733, 0.840000, 0.636364, 0.724138, 0.624357, 0.624357
4, 3, 124, 0.750000, 0.638962, 0.781250, 0.757576, 0.769231, 0.621943, 0.621943
4, 4, 132, 0.750000, 0.633186, 0.781250, 0.757576, 0.769231, 0.622759, 0.634624
4, 5, 125, 0.750000, 0.632420, 0.781250, 0.757576, 0.769231, 0.621930, 0.623928
5, 1, 200, 0.616667, 0.676879, 0.533333, 0.333333, 0.410256, 0.679039, 0.685007
5, 2, 103, 0.766667, 0.643872, 0.750000, 0.625000, 0.681818, 0.643599, 0.647611
5, 3, 22, 0.766667, 0.672353, 0.777778, 0.583333, 0.666667, 0.643581, 0.646775
5, 4, 13, 0.750000, 0.671469, 0.800000, 0.500000, 0.615385, 0.643640, 0.649538
5, 5, 67, 0.750000, 0.640377, 0.695652, 0.666667, 0.680851, 0.643721, 0.650400
6, 1, 121, 0.650000, 0.694552, 0.882353, 0.441176, 0.588235, 0.691977, 0.698101
6, 2, 91, 0.650000, 0.675300, 0.666667, 0.764706, 0.712329, 0.667665, 0.675866
6, 3, 30, 0.683333, 0.685207, 0.826087, 0.558824, 0.666667, 0.667248, 0.667260
6, 4, 51, 0.600000, 0.675917, 0.625000, 0.735294, 0.675676, 0.667082, 0.671748
6, 5, 35, 0.666667, 0.682824, 0.791667, 0.558824, 0.655172, 0.667401, 0.667550
7, 1, 164, 0.616667, 0.683225, 0.684211, 0.433333, 0.530612, 0.683025, 0.683025
7, 2, 43, 0.666667, 0.675139, 0.631579, 0.800000, 0.705882, 0.668829, 0.669015
7, 3, 40, 0.666667, 0.675503, 0.692308, 0.600000, 0.642857, 0.668805, 0.670044
7, 4, 81, 0.683333, 0.676960, 0.677419, 0.700000, 0.688525, 0.668808, 0.668826
