# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=pairwise, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 101, 0.783333, 0.612704, 0.814815, 0.733333, 0.771930, 0.586300, 0.587666
2, 2, 40, 0.966667, 0.655626, 1.000000, 0.933333, 0.965517, 0.646901, 0.647914
2, 3, 31, 0.783333, 0.613255, 0.814815, 0.733333, 0.771930, 0.586298, 0.586404
2, 4, 65, 0.966667, 0.673211, 1.000000, 0.933333, 0.965517, 0.646903, 0.651350
2, 5, 27, 0.783333, 0.615951, 0.814815, 0.733333, 0.771930, 0.586304, 0.586312
3, 1, 6, 0.716667, 0.681657, 0.714286, 0.781250, 0.746269, 0.649407, 0.649436
3, 2, 145, 0.633333, 0.682733, 0.812500, 0.406250, 0.541667, 0.693011, 0.693849
3, 3, 46, 0.716667, 0.622983, 0.714286, 0.781250, 0.746269, 0.649424, 0.649586
3, 4, 124, 0.633333, 0.685326, 0.857143, 0.375000, 0.521739, 0.692958, 0.699584
3, 5, 4, 0.716667, 0.675701, 0.674419, 0.906250, 0.773333, 0.649406, 0.650049
4, 1, 31, 0.750000, 0.672453, 0.764706, 0.787879, 0.776119, 0.621944, 0.629045
4, 2, 59, 0.983333, 0.673626, 0.970588, 1.000000, 0.985075, 0.674337, 0.679618
4, 3, 38, 0.750000, 0.637489, 0.781250, 0.757576, 0.769231, 0.621930, 0.622706
4, 4, 137, 0.983333, 0.681565, 0.970588, 1.000000, 0.985075, 0.677032, 0.690529
4, 5, 49, 0.750000, 0.632524, 0.781250, 0.757576, 0.769231, 0.621930, 0.622876
5, 1, 16, 0.750000, 0.685286, 0.695652, 0.666667, 0.680851, 0.643581, 0.643765
5, 2, 1, 0.650000, 0.667767, 1.000000, 0.125000, 0.222222, 0.676130, 0.676141
5, 3, 47, 0.750000, 0.646207, 0.695652, 0.666667, 0.680851, 0.643585, 0.645305
5, 4, 39, 0.650000, 0.666925, 1.000000, 0.125000, 0.222222, 0.676768, 0.687576
5, 5, 75, 0.750000, 0.643807, 0.695652, 0.666667, 0.680851, 0.643581, 0.653033
6, 1, 1, 0.566667, 0.690383, 0.566667, 1.000000, 0.723404, 0.667114, 0.667705
6, 2, 23, 0.566667, 0.694503, 0.566667, 1.000000, 0.723404, 0.695216, 0.696059
6, 3, 1, 0.566667, 0.689793, 0.566667, 1.000000, 0.723404, 0.667082, 0.679668
6, 4, 13, 0.650000, 0.693501, 0.882353, 0.441176, 0.588235, 0.692000, 0.714797
6, 5, 1, 0.566667, 0.690083, 0.566667, 1.000000, 0.723404, 0.667138, 0.670307
7, 1, 73, 0.650000, 0.666895, 0.695652, 0.533333, 0.603774, 0.668813, 0.669615
7, 2, 1, 0.616667, 0.683202, 0.705882, 0.400000, 0.510638, 0.682615, 0.699170
7, 3, 10, 0.633333, 0.671209, 0.653846, 0.566667, 0.607143, 0.668807, 0.668866
