# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=ring, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 8, 0.616667, 0.708402, 0.652174, 0.500000, 0.566038, 0.687516, 0.688134
2, 2, 41, 0.716667, 0.697579, 0.933333, 0.466667, 0.622222, 0.685144, 0.688932
2, 3, 82, 0.783333, 0.612570, 0.814815, 0.733333, 0.771930, 0.586315, 0.586352
2, 4, 82, 0.700000, 0.697495, 1.000000, 0.400000, 0.571429, 0.687149, 0.703597
2, 5, 18, 0.683333, 0.697087, 1.000000, 0.366667, 0.536585, 0.687264, 0.696423
3, 1, 47, 0.633333, 0.719038, 0.750000, 0.468750, 0.576923, 0.685166, 0.690905
3, 2, 177, 0.716667, 0.656350, 0.702703, 0.812500, 0.753623, 0.666845, 0.671286
3, 3, 84, 0.716667, 0.621200, 0.727273, 0.750000, 0.738462, 0.649414, 0.649424
3, 4, 52, 0.683333, 0.681785, 0.842105, 0.500000, 0.627451, 0.646149, 0.648940
3, 5, 13, 0.683333, 0.664376, 0.724138, 0.656250, 0.688525, 0.667479, 0.683755
4, 1, 135, 0.633333, 0.713660, 1.000000, 0.333333, 0.500000, 0.692437, 0.693212
4, 2, 35, 0.600000, 0.707733, 0.846154, 0.333333, 0.478261, 0.691467, 0.692136
4, 3, 8, 0.600000, 0.704747, 0.736842, 0.424242, 0.538462, 0.689487, 0.694647
4, 4, 8, 0.583333, 0.712878, 0.833333, 0.303030, 0.444444, 0.688576, 0.700373
4, 5, 107, 0.650000, 0.702656, 0.657895, 0.757576, 0.704225, 0.689221, 0.694344
5, 1, 121, 0.633333, 0.664747, 0.750000, 0.125000, 0.214286, 0.682337, 0.682363
5, 2, 87, 0.683333, 0.673465, 0.727273, 0.333333, 0.457143, 0.680898, 0.681634
5, 3, 166, 0.716667, 0.665382, 0.733333, 0.458333, 0.564103, 0.679341, 0.707432
5, 4, 19, 0.750000, 0.673536, 0.736842, 0.583333, 0.651163, 0.677368, 0.678205
5, 5, 58, 0.666667, 0.659339, 0.700000, 0.291667, 0.411765, 0.672235, 0.686956
6, 1, 200, 0.616667, 0.670335, 0.617021, 0.852941, 0.716049, 0.688846, 0.702470
6, 2, 185, 0.566667, 0.683051, 0.566667, 1.000000, 0.723404, 0.691482, 0.700553
6, 3, 34, 0.566667, 0.685343, 0.566667, 1.000000, 0.723404, 0.685461, 0.692711
6, 4, 4, 0.650000, 0.680247, 0.740741, 0.588235, 0.655738, 0.655946, 0.656272
6, 5, 153, 0.816667, 0.640964, 0.896552, 0.764706, 0.825397, 0.663891, 0.666865
7, 1, 195, 0.516667, 0.712188, 0.545455, 0.200000, 0.292683, 0.690641, 0.721469
7, 2, 61, 0.633333, 0.684122, 0.666667, 0.533333, 0.592593, 0.676783, 0.677285
7, 3, 27, 0.633333, 0.683666, 0.617647, 0.700000, 0.656250, 0.679183, 0.680097
7, 4, 186, 0.650000, 0.681551, 0.736842, 0.466667, 0.571429, 0.677847, 0.689243
7, 5, 5, 0.550000, 0.695921, 0.600000, 0.300000, 0.400000, 0.685046, 0.717654
8, 1, 158, 0.633333, 0.681229, 0.758621, 0.594595, 0.666667, 0.691607, 0.692734
8, 2, 33, 0.666667, 0.669768, 0.774194, 0.648649, 0.705882, 0.691914, 0.694989
8, 3, 74, 0.616667, 0.686190, 0.634615, 0.891892, 0.741573, 0.687969, 0.697573
8, 4, 9, 0.633333, 0.660865, 0.641509, 0.918919, 0.755556, 0.686855, 0.697019
8, 5, 2, 0.683333, 0.669491, 0.800000, 0.648649, 0.716418, 0.691853, 0.707104
9, 1, 42, 0.666667, 0.682148, 0.777778, 0.280000, 0.411765, 0.686486, 0.691232
9, 2, 182, 0.650000, 0.685813, 0.833333, 0.200000, 0.322581, 0.680662, 0.696032
9, 3, 125, 0.683333, 0.686478, 0.600000, 0.720000, 0.654545, 0.676756, 0.680402
9, 4, 138, 0.616667, 0.700227, 0.535714, 0.600000, 0.566038, 0.679388, 0.687934
9, 5, 152, 0.616667, 0.697978, 0.666667, 0.160000, 0.258065, 0.678350, 0.692841
10, 1, 90, 0.533333, 0.706223, 0.526316, 0.967742, 0.681818, 0.689826, 0.693087
10, 2, 56, 0.566667, 0.707369, 0.586207, 0.548387, 0.566667, 0.684399, 0.692436
10, 3, 22, 0.666667, 0.688075, 0.823529, 0.451613, 0.583333, 0.680417, 0.698291
10, 4, 64, 0.633333, 0.678811, 0.636364, 0.677419, 0.656250, 0.671709, 0.675030
10, 5, 20, 0.650000, 0.688765, 0.857143, 0.387097, 0.533333, 0.684949, 0.685269
11, 1, 15, 0.583333, 0.686784, 0.576271, 1.000000, 0.731183, 0.689553, 0.690415
11, 2, 3, 0.600000, 0.690866, 0.678571, 0.558824, 0.612903, 0.680428, 0.680428
11, 3, 121, 0.800000, 0.648447, 0.750000, 0.970588, 0.846154, 0.668081, 0.668081
11, 4, 137, 0.583333, 0.679378, 0.628571, 0.647059, 0.637681, 0.670002, 0.670002
11, 5, 23, 0.633333, 0.691257, 0.750000, 0.529412, 0.620690, 0.676559, 0.681312
12, 1, 188, 0.600000, 0.699646, 0.538462, 0.538462, 0.538462, 0.693732, 0.701841
12, 2, 1, 0.550000, 0.687416, 0.484848, 0.615385, 0.542373, 0.683770, 0.688214
12, 3, 60, 0.783333, 0.670538, 0.933333, 0.538462, 0.682927, 0.672764, 0.672764
12, 4, 192, 0.666667, 0.675024, 0.650000, 0.500000, 0.565217, 0.676188, 0.678934
12, 5, 42, 0.616667, 0.689612, 0.555556, 0.576923, 0.566038, 0.689360, 0.689724
13, 1, 64, 0.666667, 0.682848, 0.850000, 0.500000, 0.629630, 0.689036, 0.696769
13, 2, 89, 0.683333, 0.672141, 0.777778, 0.617647, 0.688525, 0.686638, 0.691622
13, 3, 48, 0.716667, 0.680856, 0.840000, 0.617647, 0.711864, 0.676435, 0.677676
13, 4, 192, 0.650000, 0.682443, 0.638298, 0.882353, 0.740741, 0.681818, 0.687421
13, 5, 149, 0.650000, 0.684714, 0.622642, 0.970588, 0.758621, 0.683485, 0.685159
14, 1, 1, 0.583333, 0.673397, 0.617647, 0.636364, 0.626866, 0.683923, 0.686134
14, 2, 50, 0.600000, 0.689724, 0.621622, 0.696970, 0.657143, 0.683663, 0.683710
14, 3, 48, 0.666667, 0.676620, 0.638298, 0.909091, 0.750000, 0.682905, 0.683499
14, 4, 56, 0.583333, 0.688778, 0.666667, 0.484848, 0.561404, 0.687312, 0.689845
14, 5, 6, 0.633333, 0.688956, 0.923077, 0.363636, 0.521739, 0.688621, 0.694663
15, 1, 26, 0.633333, 0.686457, 0.800000, 0.285714, 0.421053, 0.686821, 0.691903
15, 2, 27, 0.583333, 0.694177, 0.538462, 0.750000, 0.626866, 0.677207, 0.678698
15, 3, 200, 0.716667, 0.654308, 0.823529, 0.500000, 0.622222, 0.687951, 0.692348
15, 4, 4, 0.616667, 0.700527, 0.727273, 0.285714, 0.410256, 0.682989, 0.693251
