# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=chain, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 122, 0.883333, 0.642385, 0.870968, 0.900000, 0.885246, 0.630841, 0.645382
2, 2, 92, 0.900000, 0.660163, 0.852941, 0.966667, 0.906250, 0.570357, 0.570952
2, 3, 89, 0.866667, 0.610831, 0.923077, 0.800000, 0.857143, 0.570793, 0.573467
2, 4, 168, 0.833333, 0.596299, 0.812500, 0.866667, 0.838710, 0.570145, 0.574949
2, 5, 43, 0.850000, 0.610024, 0.769231, 1.000000, 0.869565, 0.570086, 0.609325
3, 1, 169, 0.650000, 0.680155, 0.677419, 0.656250, 0.666667, 0.668373, 0.669336
3, 2, 136, 0.716667, 0.631925, 0.758621, 0.687500, 0.721311, 0.631990, 0.644572
3, 3, 180, 0.733333, 0.637910, 0.690476, 0.906250, 0.783784, 0.639084, 0.653592
3, 4, 196, 0.750000, 0.630093, 0.757576, 0.781250, 0.769231, 0.633369, 0.682968
3, 5, 192, 0.783333, 0.625783, 0.771429, 0.843750, 0.805970, 0.630601, 0.635966
4, 1, 159, 0.750000, 0.680466, 0.821429, 0.696970, 0.754098, 0.676183, 0.676183
4, 2, 81, 0.833333, 0.679830, 0.960000, 0.727273, 0.827586, 0.625499, 0.625499
4, 3, 172, 0.900000, 0.622464, 0.909091, 0.909091, 0.909091, 0.633004, 0.640107
4, 4, 79, 0.883333, 0.605324, 0.933333, 0.848485, 0.888889, 0.601077, 0.612762
4, 5, 65, 0.766667, 0.660026, 0.806452, 0.757576, 0.781250, 0.626999, 0.628298
5, 1, 134, 0.583333, 0.705792, 0.470588, 0.333333, 0.390244, 0.704231, 0.704231
5, 2, 136, 0.766667, 0.645280, 0.692308, 0.750000, 0.720000, 0.644882, 0.645458
5, 3, 191, 0.700000, 0.639707, 0.714286, 0.416667, 0.526316, 0.670475, 0.703958
5, 4, 36, 0.800000, 0.646168, 0.750000, 0.750000, 0.750000, 0.636809, 0.641739
5, 5, 14, 0.783333, 0.653006, 0.866667, 0.541667, 0.666667, 0.630985, 0.640280
6, 1, 143, 0.616667, 0.690175, 0.739130, 0.500000, 0.596491, 0.676128, 0.676250
6, 2, 70, 0.666667, 0.673210, 0.718750, 0.676471, 0.696970, 0.654627, 0.657086
6, 3, 176, 0.666667, 0.665699, 0.718750, 0.676471, 0.696970, 0.648551, 0.649455
6, 4, 199, 0.700000, 0.664139, 0.900000, 0.529412, 0.666667, 0.646382, 0.659357
6, 5, 162, 0.633333, 0.678137, 0.875000, 0.411765, 0.560000, 0.651619, 0.653594
7, 1, 172, 0.666667, 0.672198, 0.708333, 0.566667, 0.629630, 0.669216, 0.669330
7, 2, 149, 0.750000, 0.658260, 0.800000, 0.666667, 0.727273, 0.652011, 0.652991
7, 3, 164, 0.766667, 0.654911, 0.833333, 0.666667, 0.740741, 0.641746, 0.655269
7, 4, 127, 0.733333, 0.657762, 0.750000, 0.700000, 0.724138, 0.647972, 0.648331
7, 5, 157, 0.783333, 0.654534, 0.869565, 0.666667, 0.754717, 0.644066, 0.659357
8, 1, 1, 0.616667, 0.692623, 0.616667, 1.000000, 0.762887, 0.704045, 0.709037
8, 2, 1, 0.616667, 0.691402, 0.616667, 1.000000, 0.762887, 0.697412, 0.698686
8, 3, 152, 0.716667, 0.672636, 0.700000, 0.945946, 0.804598, 0.660536, 0.668054
8, 4, 166, 0.750000, 0.644792, 0.789474, 0.810811, 0.800000, 0.646799, 0.654443
8, 5, 63, 0.766667, 0.655199, 0.828571, 0.783784, 0.805556, 0.645345, 0.765481
9, 1, 23, 0.583333, 0.689992, 0.500000, 0.360000, 0.418605, 0.706785, 0.706952
9, 2, 14, 0.583333, 0.682482, 0.500000, 0.080000, 0.137931, 0.669999, 0.669999
