# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=chain, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 116, 0.850000, 0.650320, 0.862069, 0.833333, 0.847458, 0.630970, 0.630970
2, 2, 59, 0.866667, 0.613476, 0.892857, 0.833333, 0.862069, 0.570525, 0.574571
2, 3, 54, 0.816667, 0.603461, 0.851852, 0.766667, 0.807018, 0.570308, 0.593983
2, 4, 111, 0.850000, 0.601120, 0.862069, 0.833333, 0.847458, 0.573619, 0.584492
2, 5, 166, 0.816667, 0.592340, 0.787879, 0.866667, 0.825397, 0.570096, 0.580818
3, 1, 156, 0.566667, 0.706169, 0.687500, 0.343750, 0.458333, 0.669060, 0.672467
3, 2, 165, 0.750000, 0.618605, 0.793103, 0.718750, 0.754098, 0.632063, 0.635305
3, 3, 193, 0.750000, 0.628614, 0.774194, 0.750000, 0.761905, 0.633650, 0.636265
3, 4, 152, 0.783333, 0.618140, 0.787879, 0.812500, 0.800000, 0.630015, 0.636306
3, 5, 168, 0.766667, 0.624416, 0.781250, 0.781250, 0.781250, 0.630600, 0.651808
4, 1, 197, 0.800000, 0.677346, 0.800000, 0.848485, 0.823529, 0.680649, 0.681615
4, 2, 114, 0.866667, 0.647387, 0.962963, 0.787879, 0.866667, 0.625146, 0.628399
4, 3, 62, 0.833333, 0.648387, 0.780488, 0.969697, 0.864865, 0.618291, 0.623368
4, 4, 96, 0.833333, 0.646477, 0.896552, 0.787879, 0.838710, 0.620173, 0.620173
4, 5, 75, 0.816667, 0.650015, 0.805556, 0.878788, 0.840580, 0.620052, 0.620052
5, 1, 40, 0.600000, 0.688707, 0.500000, 0.166667, 0.250000, 0.725225, 0.725225
5, 2, 125, 0.800000, 0.659543, 0.750000, 0.750000, 0.750000, 0.648622, 0.648622
5, 3, 151, 0.750000, 0.650028, 0.736842, 0.583333, 0.651163, 0.650626, 0.663155
5, 4, 156, 0.733333, 0.658902, 0.642857, 0.750000, 0.692308, 0.644409, 0.644409
5, 5, 187, 0.766667, 0.621504, 0.812500, 0.541667, 0.650000, 0.647288, 0.661449
6, 1, 133, 0.616667, 0.689830, 0.739130, 0.500000, 0.596491, 0.677971, 0.678318
6, 2, 45, 0.600000, 0.682039, 0.619048, 0.764706, 0.684211, 0.647570, 0.648165
6, 3, 173, 0.650000, 0.667791, 0.709677, 0.647059, 0.676923, 0.647609, 0.647609
6, 4, 2, 0.583333, 0.686471, 0.621622, 0.676471, 0.647887, 0.650096, 0.666984
