# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=full, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 186, 0.900000, 0.629943, 0.875000, 0.933333, 0.903226, 0.626993, 0.628375
2, 2, 183, 0.766667, 0.616239, 0.700000, 0.933333, 0.800000, 0.572304, 0.572304
2, 3, 14, 0.883333, 0.614473, 0.925926, 0.833333, 0.877193, 0.570292, 0.582739
2, 4, 76, 0.866667, 0.627472, 0.789474, 1.000000, 0.882353, 0.572033, 0.574715
2, 5, 38, 0.850000, 0.619424, 0.838710, 0.866667, 0.852459, 0.570546, 0.582558
3, 1, 192, 0.616667, 0.685567, 0.628571, 0.687500, 0.656716, 0.668226, 0.668226
3, 2, 149, 0.800000, 0.612475, 0.794118, 0.843750, 0.818182, 0.631392, 0.640264
3, 3, 106, 0.750000, 0.633707, 0.793103, 0.718750, 0.754098, 0.631348, 0.650980
3, 4, 132, 0.766667, 0.619584, 0.764706, 0.812500, 0.787879, 0.630581, 0.647193
3, 5, 138, 0.766667, 0.622461, 0.764706, 0.812500, 0.787879, 0.630404, 0.689994
4, 1, 195, 0.783333, 0.678582, 0.833333, 0.757576, 0.793651, 0.681220, 0.681735
4, 2, 1, 0.550000, 0.760584, 0.550000, 1.000000, 0.709677, 0.707573, 0.707573
4, 3, 125, 0.683333, 0.681121, 0.818182, 0.545455, 0.654545, 0.636848, 0.636848
4, 4, 13, 0.866667, 0.606808, 0.931034, 0.818182, 0.870968, 0.600608, 0.611039
4, 5, 10, 0.883333, 0.607404, 0.964286, 0.818182, 0.885246, 0.599731, 0.633302
5, 1, 13, 0.600000, 0.698240, 0.500000, 0.375000, 0.428571, 0.714859, 0.715437
5, 2, 199, 0.750000, 0.645274, 0.655172, 0.791667, 0.716981, 0.642423, 0.645107
5, 3, 146, 0.800000, 0.620889, 0.833333, 0.625000, 0.714286, 0.638440, 0.656399
5, 4, 61, 0.783333, 0.623065, 0.866667, 0.541667, 0.666667, 0.626472, 0.631258
5, 5, 130, 0.816667, 0.620843, 0.933333, 0.583333, 0.717949, 0.626510, 0.657598
6, 1, 110, 0.616667, 0.692799, 0.720000, 0.529412, 0.610169, 0.678486, 0.681156
