# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=full, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 187, 0.883333, 0.631478, 0.960000, 0.800000, 0.872727, 0.629370, 0.629370
2, 2, 46, 0.883333, 0.611172, 0.960000, 0.800000, 0.872727, 0.570161, 0.570722
2, 3, 68, 0.816667, 0.651887, 0.756757, 0.933333, 0.835821, 0.571416, 0.586451
2, 4, 24, 0.833333, 0.606731, 0.833333, 0.833333, 0.833333, 0.570778, 0.573472
2, 5, 71, 0.850000, 0.599056, 0.838710, 0.866667, 0.852459, 0.570446, 0.587105
3, 1, 186, 0.566667, 0.719270, 0.687500, 0.343750, 0.458333, 0.675082, 0.677048
3, 2, 190, 0.750000, 0.624655, 0.793103, 0.718750, 0.754098, 0.634974, 0.635169
3, 3, 122, 0.716667, 0.630511, 0.702703, 0.812500, 0.753623, 0.630180, 0.633148
3, 4, 92, 0.783333, 0.620805, 0.787879, 0.812500, 0.800000, 0.631756, 0.635164
3, 5, 143, 0.800000, 0.617083, 0.812500, 0.812500, 0.812500, 0.632463, 0.647624
4, 1, 200, 0.733333, 0.677795, 0.697674, 0.909091, 0.789474, 0.681092, 0.681092
4, 2, 161, 0.816667, 0.637059, 0.923077, 0.727273, 0.813559, 0.638508, 0.664949
4, 3, 99, 0.783333, 0.650250, 0.727273, 0.969697, 0.831169, 0.627064, 0.641794
4, 4, 196, 0.850000, 0.622514, 0.852941, 0.878788, 0.865672, 0.631535, 0.636024
4, 5, 180, 0.800000, 0.623330, 0.862069, 0.757576, 0.806452, 0.628802, 0.630978
5, 1, 129, 0.600000, 0.683925, 0.500000, 0.166667, 0.250000, 0.710413, 0.710413
5, 2, 173, 0.766667, 0.639574, 0.678571, 0.791667, 0.730769, 0.641925, 0.641925
5, 3, 86, 0.750000, 0.630905, 0.714286, 0.625000, 0.666667, 0.647118, 0.650859
5, 4, 142, 0.800000, 0.653204, 0.714286, 0.833333, 0.769231, 0.642359, 0.651634
5, 5, 155, 0.783333, 0.643841, 0.720000, 0.750000, 0.734694, 0.647940, 0.649006
6, 1, 115, 0.616667, 0.688333, 0.739130, 0.500000, 0.596491, 0.680369, 0.685140
6, 2, 145, 0.666667, 0.666574, 0.705882, 0.705882, 0.705882, 0.655591, 0.660126
6, 3, 42, 0.616667, 0.714265, 0.866667, 0.382353, 0.530612, 0.683391, 0.686847
6, 4, 196, 0.600000, 0.688376, 0.708333, 0.500000, 0.586207, 0.655197, 0.655197
6, 5, 191, 0.766667, 0.648130, 0.794118, 0.794118, 0.794118, 0.649891, 0.654368
7, 1, 178, 0.600000, 0.692202, 1.000000, 0.200000, 0.333333, 0.680167, 0.680167
