# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=pairwise, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 115, 0.883333, 0.636193, 0.870968, 0.900000, 0.885246, 0.630285, 0.666790
2, 2, 90, 0.866667, 0.612811, 0.892857, 0.833333, 0.862069, 0.572063, 0.572690
2, 3, 66, 0.833333, 0.607703, 0.857143, 0.800000, 0.827586, 0.570399, 0.571972
2, 4, 26, 0.866667, 0.600503, 0.866667, 0.866667, 0.866667, 0.570443, 0.577683
2, 5, 132, 0.850000, 0.595366, 0.838710, 0.866667, 0.852459, 0.571534, 0.576168
3, 1, 151, 0.533333, 0.708955, 0.583333, 0.437500, 0.500000, 0.670183, 0.672804
3, 2, 185, 0.766667, 0.623020, 0.781250, 0.781250, 0.781250, 0.631155, 0.632420
3, 3, 99, 0.783333, 0.621324, 0.787879, 0.812500, 0.800000, 0.629848, 0.637122
3, 4, 152, 0.783333, 0.621340, 0.806452, 0.781250, 0.793651, 0.633129, 0.636893
3, 5, 49, 0.750000, 0.639457, 0.774194, 0.750000, 0.761905, 0.630282, 0.635770
4, 1, 195, 0.850000, 0.666796, 0.928571, 0.787879, 0.852459, 0.672582, 0.680765
4, 2, 177, 0.816667, 0.643069, 0.823529, 0.848485, 0.835821, 0.639095, 0.639095
4, 3, 196, 0.816667, 0.631274, 0.958333, 0.696970, 0.807018, 0.625224, 0.634490
4, 4, 83, 0.833333, 0.633903, 0.960000, 0.727273, 0.827586, 0.618575, 0.635579
4, 5, 21, 0.850000, 0.648458, 0.800000, 0.969697, 0.876712, 0.618959, 0.631121
5, 1, 71, 0.600000, 0.698158, 0.500000, 0.375000, 0.428571, 0.735184, 0.735184
5, 2, 191, 0.716667, 0.681395, 0.666667, 0.583333, 0.622222, 0.678280, 0.682835
5, 3, 166, 0.700000, 0.667878, 0.615385, 0.666667, 0.640000, 0.659043, 0.690448
5, 4, 157, 0.700000, 0.635155, 0.687500, 0.458333, 0.550000, 0.644875, 0.648372
5, 5, 97, 0.783333, 0.638827, 0.789474, 0.625000, 0.697674, 0.644335, 0.645413
6, 1, 19, 0.600000, 0.688809, 0.647059, 0.647059, 0.647059, 0.678952, 0.693267
6, 2, 4, 0.600000, 0.686876, 0.608696, 0.823529, 0.700000, 0.653075, 0.653075
6, 3, 126, 0.633333, 0.670799, 0.700000, 0.617647, 0.656250, 0.649478, 0.657399
6, 4, 199, 0.633333, 0.672563, 0.730769, 0.558824, 0.633333, 0.655735, 0.671283
6, 5, 193, 0.650000, 0.674683, 0.760000, 0.558824, 0.644068, 0.651459, 0.669048
7, 1, 79, 0.583333, 0.718327, 0.692308, 0.300000, 0.418605, 0.682621, 0.683307
7, 2, 158, 0.750000, 0.660532, 0.800000, 0.666667, 0.727273, 0.652394, 0.652422
7, 3, 98, 0.683333, 0.666965, 0.823529, 0.466667, 0.595745, 0.651970, 0.651970
7, 4, 129, 0.700000, 0.668983, 0.687500, 0.733333, 0.709677, 0.648443, 0.648596
7, 5, 156, 0.733333, 0.662522, 0.818182, 0.600000, 0.692308, 0.649723, 0.663502
8, 1, 1, 0.616667, 0.704015, 0.616667, 1.000000, 0.762887, 0.701867, 0.701867
8, 2, 1, 0.616667, 0.703708, 0.616667, 1.000000, 0.762887, 0.695232, 0.695232
8, 3, 180, 0.683333, 0.681663, 0.800000, 0.648649, 0.716418, 0.684647, 0.685659
8, 4, 182, 0.783333, 0.667459, 0.900000, 0.729730, 0.805970, 0.667550, 0.680980
8, 5, 184, 0.850000, 0.650043, 0.850000, 0.918919, 0.883117, 0.660417, 0.660806
9, 1, 128, 0.600000, 0.687485, 0.538462, 0.280000, 0.368421, 0.706357, 0.706810
9, 2, 91, 0.616667, 0.684167, 0.571429, 0.320000, 0.410256, 0.704992, 0.713726
9, 3, 192, 0.616667, 0.682353, 0.600000, 0.240000, 0.342857, 0.675541, 0.675670
9, 4, 184, 0.666667, 0.684958, 0.608696, 0.560000, 0.583333, 0.661441, 0.683569
9, 5, 178, 0.666667, 0.683101, 0.608696, 0.560000, 0.583333, 0.655571, 0.659093
10, 1, 154, 0.616667, 0.701607, 0.666667, 0.516129, 0.581818, 0.709880, 0.712861
10, 2, 85, 0.633333, 0.701804, 0.680000, 0.548387, 0.607143, 0.707320, 0.707320
10, 3, 30, 0.633333, 0.699223, 0.680000, 0.548387, 0.607143, 0.694322, 0.694322
10, 4, 155, 0.766667, 0.663992, 0.774194, 0.774194, 0.774194, 0.675997, 0.675997
10, 5, 135, 0.766667, 0.668927, 0.793103, 0.741935, 0.766667, 0.672692, 0.708062
11, 1, 89, 0.600000, 0.703937, 0.857143, 0.352941, 0.500000, 0.699126, 0.745359
11, 2, 176, 0.666667, 0.663707, 0.750000, 0.617647, 0.677419, 0.688864, 0.690344
11, 3, 54, 0.633333, 0.677477, 0.676471, 0.676471, 0.676471, 0.671044, 0.673960
11, 4, 132, 0.766667, 0.662162, 0.954545, 0.617647, 0.750000, 0.664396, 0.682050
11, 5, 180, 0.666667, 0.672461, 0.718750, 0.676471, 0.696970, 0.671198, 0.691321
12, 1, 148, 0.583333, 0.686801, 0.526316, 0.384615, 0.444444, 0.700409, 0.716624
12, 2, 176, 0.716667, 0.662844, 0.846154, 0.423077, 0.564103, 0.687833, 0.687833
12, 3, 197, 0.750000, 0.652939, 0.761905, 0.615385, 0.680851, 0.667002, 0.667002
12, 4, 38, 0.700000, 0.679888, 0.833333, 0.384615, 0.526316, 0.685036, 0.690602
12, 5, 181, 0.733333, 0.664218, 0.812500, 0.500000, 0.619048, 0.675134, 0.680788
13, 1, 199, 0.683333, 0.664682, 0.777778, 0.617647, 0.688525, 0.672724, 0.672724
13, 2, 186, 0.700000, 0.663316, 0.807692, 0.617647, 0.700000, 0.667976, 0.667976
13, 3, 172, 0.700000, 0.663344, 0.807692, 0.617647, 0.700000, 0.671009, 0.673417
13, 4, 37, 0.666667, 0.675420, 0.888889, 0.470588, 0.615385, 0.670456, 0.679436
13, 5, 169, 0.716667, 0.656408, 0.840000, 0.617647, 0.711864, 0.665715, 0.679518
14, 1, 55, 0.666667, 0.680520, 0.882353, 0.454545, 0.600000, 0.677814, 0.677814
14, 2, 53, 0.683333, 0.668154, 0.750000, 0.636364, 0.688525, 0.671443, 0.675150
14, 3, 196, 0.750000, 0.663837, 0.846154, 0.666667, 0.745763, 0.666734, 0.667484
14, 4, 86, 0.716667, 0.671737, 0.900000, 0.545455, 0.679245, 0.671255, 0.675405
14, 5, 116, 0.733333, 0.667646, 0.869565, 0.606061, 0.714286, 0.668715, 0.669450
15, 1, 90, 0.600000, 0.708577, 0.550000, 0.785714, 0.647059, 0.672139, 0.672139
15, 2, 155, 0.600000, 0.710060, 0.547619, 0.821429, 0.657143, 0.673389, 0.673916
15, 3, 90, 0.600000, 0.709315, 0.550000, 0.785714, 0.647059, 0.665706, 0.669532
15, 4, 160, 0.683333, 0.667212, 0.628571, 0.785714, 0.698413, 0.662799, 0.665147
15, 5, 113, 0.650000, 0.669523, 0.733333, 0.392857, 0.511628, 0.665220, 0.667080
16, 1, 1, 0.450000, 0.834888, 0.450000, 1.000000, 0.620690, 0.686249, 0.686249
16, 2, 84, 0.550000, 0.694448, 0.000000, 0.000000, 0.000000, 0.686370, 0.688490
16, 3, 165, 0.683333, 0.683166, 0.681818, 0.555556, 0.612245, 0.674029, 0.674224
16, 4, 38, 0.550000, 0.697796, 0.500000, 0.074074, 0.129032, 0.689018, 0.689253
16, 5, 173, 0.700000, 0.686869, 0.714286, 0.555556, 0.625000, 0.677871, 0.681952
17, 1, 22, 0.666667, 0.683999, 0.717949, 0.756757, 0.736842, 0.699964, 0.701725
17, 2, 26, 0.650000, 0.680772, 0.710526, 0.729730, 0.720000, 0.681473, 0.688016
17, 3, 30, 0.666667, 0.679761, 0.717949, 0.756757, 0.736842, 0.676057, 0.676828
17, 4, 168, 0.700000, 0.678721, 0.771429, 0.729730, 0.750000, 0.673002, 0.677272
17, 5, 5, 0.650000, 0.683244, 0.750000, 0.648649, 0.695652, 0.674498, 0.683595
18, 1, 1, 0.516667, 0.746826, 0.516667, 1.000000, 0.681319, 0.696742, 0.698973
18, 2, 121, 0.583333, 0.693881, 0.565217, 0.838710, 0.675325, 0.687313, 0.692710
18, 3, 146, 0.583333, 0.687492, 0.578947, 0.709677, 0.637681, 0.683522, 0.683522
18, 4, 158, 0.600000, 0.685261, 0.581395, 0.806452, 0.675676, 0.684568, 0.687651
18, 5, 99, 0.650000, 0.682035, 0.631579, 0.774194, 0.695652, 0.681983, 0.683406
19, 1, 112, 0.600000, 0.692840, 0.628571, 0.666667, 0.647059, 0.695790, 0.696973
19, 2, 29, 0.616667, 0.689963, 0.625000, 0.757576, 0.684932, 0.677920, 0.677920
19, 3, 135, 0.633333, 0.684196, 0.677419, 0.636364, 0.656250, 0.675634, 0.676093
19, 4, 192, 0.600000, 0.692350, 0.636364, 0.636364, 0.636364, 0.678958, 0.683309
19, 5, 42, 0.600000, 0.691749, 0.645161, 0.606061, 0.625000, 0.676214, 0.695136
20, 1, 6, 0.550000, 0.704148, 0.543860, 0.968750, 0.696629, 0.688993, 0.693978
20, 2, 191, 0.583333, 0.705223, 0.818182, 0.281250, 0.418605, 0.683957, 0.686572
20, 3, 110, 0.583333, 0.708841, 0.888889, 0.250000, 0.390244, 0.685351, 0.694269
20, 4, 14, 0.550000, 0.703321, 0.545455, 0.937500, 0.689655, 0.681843, 0.685387
20, 5, 128, 0.583333, 0.698731, 0.733333, 0.343750, 0.468085, 0.683975, 0.715037
