# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=ring, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 19, 0.916667, 0.629533, 0.962963, 0.866667, 0.912281, 0.625911, 0.625911
2, 2, 121, 0.900000, 0.629214, 0.900000, 0.900000, 0.900000, 0.626071, 0.626448
2, 3, 7, 0.900000, 0.628216, 0.928571, 0.866667, 0.896552, 0.625862, 0.626313
2, 4, 175, 0.900000, 0.631453, 0.875000, 0.933333, 0.903226, 0.628672, 0.628802
2, 5, 53, 0.900000, 0.628833, 0.900000, 0.900000, 0.900000, 0.625971, 0.627209
3, 1, 126, 0.683333, 0.669800, 0.724138, 0.656250, 0.688525, 0.668164, 0.668303
3, 2, 178, 0.600000, 0.697829, 0.700000, 0.437500, 0.538462, 0.668363, 0.684270
3, 3, 140, 0.633333, 0.666120, 0.708333, 0.531250, 0.607143, 0.668233, 0.682287
3, 4, 148, 0.683333, 0.679004, 0.740741, 0.625000, 0.677966, 0.668821, 0.668893
3, 5, 37, 0.633333, 0.673558, 0.750000, 0.468750, 0.576923, 0.668234, 0.677774
4, 1, 39, 0.800000, 0.621018, 0.818182, 0.818182, 0.818182, 0.625877, 0.626110
4, 2, 106, 0.783333, 0.645792, 0.777778, 0.848485, 0.811594, 0.627593, 0.639150
4, 3, 93, 0.816667, 0.615780, 0.775000, 0.939394, 0.849315, 0.624329, 0.624329
4, 4, 93, 0.833333, 0.641870, 0.925926, 0.757576, 0.833333, 0.633272, 0.646690
4, 5, 28, 0.833333, 0.618750, 0.828571, 0.878788, 0.852941, 0.626475, 0.627163
5, 1, 54, 0.783333, 0.644993, 0.703704, 0.791667, 0.745098, 0.641127, 0.641127
5, 2, 162, 0.750000, 0.642270, 0.846154, 0.458333, 0.594595, 0.658910, 0.661362
5, 3, 164, 0.833333, 0.627723, 0.791667, 0.791667, 0.791667, 0.634439, 0.652747
5, 4, 192, 0.833333, 0.631966, 0.791667, 0.791667, 0.791667, 0.634787, 0.658589
5, 5, 21, 0.783333, 0.649953, 0.677419, 0.875000, 0.763636, 0.635656, 0.643668
6, 1, 161, 0.733333, 0.642067, 0.781250, 0.735294, 0.757576, 0.658545, 0.661228
6, 2, 38, 0.666667, 0.676667, 0.791667, 0.558824, 0.655172, 0.652187, 0.658162
6, 3, 84, 0.766667, 0.655691, 0.884615, 0.676471, 0.766667, 0.646230, 0.649138
6, 4, 2, 0.616667, 0.680636, 0.677419, 0.617647, 0.646154, 0.647001, 0.653768
6, 5, 149, 0.683333, 0.670073, 0.857143, 0.529412, 0.654545, 0.653044, 0.653044
7, 1, 179, 0.700000, 0.661414, 0.666667, 0.800000, 0.727273, 0.655567, 0.655567
7, 2, 160, 0.716667, 0.660271, 0.809524, 0.566667, 0.666667, 0.654439, 0.654613
7, 3, 31, 0.716667, 0.662578, 0.696970, 0.766667, 0.730159, 0.649275, 0.649275
7, 4, 121, 0.700000, 0.652780, 0.714286, 0.666667, 0.689655, 0.651114, 0.651114
7, 5, 199, 0.700000, 0.660026, 0.772727, 0.566667, 0.653846, 0.650475, 0.655550
8, 1, 96, 0.733333, 0.643743, 0.714286, 0.945946, 0.813953, 0.648013, 0.650841
8, 2, 125, 0.750000, 0.662561, 0.843750, 0.729730, 0.782609, 0.652679, 0.653826
8, 3, 183, 0.750000, 0.632427, 0.761905, 0.864865, 0.810127, 0.648139, 0.657137
8, 4, 167, 0.816667, 0.641729, 0.933333, 0.756757, 0.835821, 0.651358, 0.663068
8, 5, 15, 0.783333, 0.637012, 0.800000, 0.864865, 0.831169, 0.648760, 0.649319
9, 1, 21, 0.733333, 0.659546, 0.846154, 0.440000, 0.578947, 0.646632, 0.649876
9, 2, 144, 0.716667, 0.663205, 1.000000, 0.320000, 0.484848, 0.649696, 0.650168
9, 3, 197, 0.716667, 0.668039, 0.722222, 0.520000, 0.604651, 0.642929, 0.647313
9, 4, 34, 0.716667, 0.678728, 0.681818, 0.600000, 0.638298, 0.640714, 0.659253
9, 5, 84, 0.733333, 0.653427, 0.846154, 0.440000, 0.578947, 0.644076, 0.665296
10, 1, 172, 0.650000, 0.679481, 0.678571, 0.612903, 0.644068, 0.658957, 0.664991
10, 2, 173, 0.666667, 0.678828, 0.866667, 0.419355, 0.565217, 0.667361, 0.669853
10, 3, 104, 0.683333, 0.673536, 0.750000, 0.580645, 0.654545, 0.653030, 0.655141
10, 4, 136, 0.783333, 0.656388, 0.781250, 0.806452, 0.793651, 0.651572, 0.663749
10, 5, 79, 0.633333, 0.674000, 0.609756, 0.806452, 0.694444, 0.654378, 0.657787
11, 1, 58, 0.666667, 0.669518, 0.694444, 0.735294, 0.714286, 0.661355, 0.662187
11, 2, 67, 0.700000, 0.676391, 0.785714, 0.647059, 0.709677, 0.659110, 0.666940
11, 3, 189, 0.683333, 0.663845, 0.702703, 0.764706, 0.732394, 0.650632, 0.666900
11, 4, 195, 0.750000, 0.660332, 0.827586, 0.705882, 0.761905, 0.655118, 0.656214
11, 5, 151, 0.700000, 0.665160, 0.750000, 0.705882, 0.727273, 0.651238, 0.662041
12, 1, 31, 0.700000, 0.663169, 0.785714, 0.423077, 0.550000, 0.665697, 0.668525
12, 2, 105, 0.633333, 0.676682, 0.666667, 0.307692, 0.421053, 0.676737, 0.681110
12, 3, 191, 0.733333, 0.654940, 0.812500, 0.500000, 0.619048, 0.663180, 0.691380
12, 4, 49, 0.666667, 0.674507, 1.000000, 0.230769, 0.375000, 0.662128, 0.666893
12, 5, 181, 0.783333, 0.658875, 0.882353, 0.576923, 0.697674, 0.666006, 0.672568
13, 1, 155, 0.583333, 0.699468, 0.581818, 0.941176, 0.719101, 0.678112, 0.678112
13, 2, 143, 0.683333, 0.665529, 0.800000, 0.588235, 0.677966, 0.667928, 0.667928
