# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=full, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 185, 0.883333, 0.639079, 0.870968, 0.900000, 0.885246, 0.634745, 0.634745
2, 2, 172, 0.766667, 0.606118, 0.735294, 0.833333, 0.781250, 0.572754, 0.575252
2, 3, 16, 0.883333, 0.617284, 0.896552, 0.866667, 0.881356, 0.570859, 0.572480
2, 4, 64, 0.850000, 0.601411, 0.862069, 0.833333, 0.847458, 0.570320, 0.588628
2, 5, 13, 0.883333, 0.614190, 0.848485, 0.933333, 0.888889, 0.570281, 0.580938
3, 1, 160, 0.633333, 0.684413, 0.692308, 0.562500, 0.620690, 0.668163, 0.671233
3, 2, 92, 0.716667, 0.631645, 0.758621, 0.687500, 0.721311, 0.631857, 0.636150
3, 3, 174, 0.800000, 0.623372, 0.794118, 0.843750, 0.818182, 0.630051, 0.637319
3, 4, 179, 0.750000, 0.628672, 0.793103, 0.718750, 0.754098, 0.631529, 0.641151
3, 5, 59, 0.750000, 0.619007, 0.757576, 0.781250, 0.769231, 0.630785, 0.655326
4, 1, 193, 0.833333, 0.670234, 0.925926, 0.757576, 0.833333, 0.675262, 0.678216
4, 2, 1, 0.550000, 0.761409, 0.550000, 1.000000, 0.709677, 0.678020, 0.678020
4, 3, 18, 0.966667, 0.627805, 1.000000, 0.939394, 0.968750, 0.613139, 0.615141
4, 4, 32, 0.866667, 0.607633, 0.903226, 0.848485, 0.875000, 0.598217, 0.604765
4, 5, 181, 0.883333, 0.604551, 0.906250, 0.878788, 0.892308, 0.607900, 0.617464
5, 1, 117, 0.600000, 0.700613, 0.500000, 0.375000, 0.428571, 0.740337, 0.749601
5, 2, 147, 0.700000, 0.651856, 0.636364, 0.583333, 0.608696, 0.644937, 0.644937
5, 3, 163, 0.816667, 0.624505, 0.842105, 0.666667, 0.744186, 0.634306, 0.641808
5, 4, 112, 0.833333, 0.631734, 0.818182, 0.750000, 0.782609, 0.625914, 0.625914
5, 5, 46, 0.783333, 0.617390, 0.789474, 0.625000, 0.697674, 0.626017, 0.628092
6, 1, 31, 0.600000, 0.689537, 0.647059, 0.647059, 0.647059, 0.683109, 0.683109
6, 2, 5, 0.600000, 0.689197, 0.656250, 0.617647, 0.636364, 0.654150, 0.668409
6, 3, 1, 0.583333, 0.685901, 0.595745, 0.823529, 0.691358, 0.659274, 0.662582
6, 4, 156, 0.733333, 0.656089, 0.781250, 0.735294, 0.757576, 0.648463, 0.649669
6, 5, 9, 0.633333, 0.697475, 0.772727, 0.500000, 0.607143, 0.645007, 0.662874
7, 1, 188, 0.600000, 0.684501, 0.687500, 0.366667, 0.478261, 0.684096, 0.684096
7, 2, 188, 0.666667, 0.664930, 0.647059, 0.733333, 0.687500, 0.653059, 0.656430
7, 3, 171, 0.633333, 0.668177, 0.700000, 0.466667, 0.560000, 0.657840, 0.663680
7, 4, 171, 0.733333, 0.651095, 0.750000, 0.700000, 0.724138, 0.642005, 0.671843
7, 5, 172, 0.716667, 0.651553, 0.782609, 0.600000, 0.679245, 0.645286, 0.649532
8, 1, 1, 0.616667, 0.703943, 0.616667, 1.000000, 0.762887, 0.704522, 0.711279
8, 2, 1, 0.616667, 0.691592, 0.616667, 1.000000, 0.762887, 0.695837, 0.697751
8, 3, 1, 0.616667, 0.689959, 0.616667, 1.000000, 0.762887, 0.658969, 0.658969
