# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=full, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 71, 0.883333, 0.643255, 0.870968, 0.900000, 0.885246, 0.628133, 0.646046
2, 2, 61, 0.833333, 0.607951, 0.884615, 0.766667, 0.821429, 0.570201, 0.573661
2, 3, 61, 0.850000, 0.606709, 0.862069, 0.833333, 0.847458, 0.570406, 0.571492
2, 4, 62, 0.850000, 0.599165, 0.769231, 1.000000, 0.869565, 0.570215, 0.577148
2, 5, 174, 0.833333, 0.594738, 0.777778, 0.933333, 0.848485, 0.569853, 0.577263
3, 1, 179, 0.633333, 0.683730, 0.692308, 0.562500, 0.620690, 0.668325, 0.669843
3, 2, 103, 0.783333, 0.617592, 0.806452, 0.781250, 0.793651, 0.631316, 0.632625
3, 3, 146, 0.766667, 0.624256, 0.800000, 0.750000, 0.774194, 0.630512, 0.631762
3, 4, 193, 0.766667, 0.621361, 0.764706, 0.812500, 0.787879, 0.629755, 0.629755
3, 5, 84, 0.766667, 0.620579, 0.781250, 0.781250, 0.781250, 0.630584, 0.630584
4, 1, 183, 0.783333, 0.675793, 0.833333, 0.757576, 0.793651, 0.678666, 0.678666
4, 2, 92, 0.866667, 0.651310, 0.962963, 0.787879, 0.866667, 0.635116, 0.635116
4, 3, 125, 0.816667, 0.646997, 0.958333, 0.696970, 0.807018, 0.630792, 0.638064
4, 4, 76, 0.800000, 0.634192, 0.956522, 0.666667, 0.785714, 0.626711, 0.630191
4, 5, 35, 0.850000, 0.643413, 0.928571, 0.787879, 0.852459, 0.625005, 0.632215
5, 1, 167, 0.616667, 0.673682, 0.571429, 0.166667, 0.258065, 0.702801, 0.703796
5, 2, 165, 0.750000, 0.648502, 0.909091, 0.416667, 0.571429, 0.656681, 0.661144
5, 3, 75, 0.683333, 0.654231, 0.580645, 0.750000, 0.654545, 0.649229, 0.649229
5, 4, 189, 0.750000, 0.651455, 0.714286, 0.625000, 0.666667, 0.649265, 0.651120
