# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=pairwise, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 153, 0.883333, 0.649651, 0.870968, 0.900000, 0.885246, 0.634802, 0.635469
2, 2, 126, 0.883333, 0.624590, 0.828571, 0.966667, 0.892308, 0.576276, 0.584118
2, 3, 172, 0.800000, 0.597630, 0.800000, 0.800000, 0.800000, 0.571307, 0.576184
2, 4, 15, 0.833333, 0.625012, 0.777778, 0.933333, 0.848485, 0.570105, 0.570105
2, 5, 108, 0.850000, 0.598467, 0.769231, 1.000000, 0.869565, 0.570160, 0.570477
3, 1, 42, 0.550000, 0.814790, 0.777778, 0.218750, 0.341463, 0.668608, 0.672418
3, 2, 120, 0.800000, 0.615477, 0.794118, 0.843750, 0.818182, 0.631384, 0.636051
3, 3, 126, 0.766667, 0.629858, 0.821429, 0.718750, 0.766667, 0.631063, 0.654441
3, 4, 66, 0.783333, 0.616728, 0.787879, 0.812500, 0.800000, 0.629975, 0.637436
3, 5, 155, 0.783333, 0.617932, 0.787879, 0.812500, 0.800000, 0.631742, 0.644210
4, 1, 196, 0.700000, 0.683964, 0.857143, 0.545455, 0.666667, 0.685156, 0.688373
4, 2, 105, 0.833333, 0.660930, 0.960000, 0.727273, 0.827586, 0.627549, 0.627623
4, 3, 200, 0.716667, 0.634382, 0.750000, 0.727273, 0.738462, 0.624565, 0.624565
4, 4, 70, 0.816667, 0.630401, 1.000000, 0.666667, 0.800000, 0.618352, 0.640100
4, 5, 14, 0.833333, 0.637118, 0.925926, 0.757576, 0.833333, 0.616567, 0.619568
5, 1, 57, 0.600000, 0.698094, 0.500000, 0.375000, 0.428571, 0.735789, 0.735789
5, 2, 85, 0.816667, 0.653340, 0.809524, 0.708333, 0.755556, 0.647973, 0.648637
5, 3, 150, 0.750000, 0.641918, 0.714286, 0.625000, 0.666667, 0.645471, 0.651776
5, 4, 180, 0.716667, 0.636357, 0.818182, 0.375000, 0.514286, 0.650897, 0.663072
5, 5, 118, 0.766667, 0.635904, 0.750000, 0.625000, 0.681818, 0.643318, 0.687040
6, 1, 43, 0.616667, 0.707796, 0.789474, 0.441176, 0.566038, 0.679982, 0.679982
6, 2, 155, 0.633333, 0.682495, 0.772727, 0.500000, 0.607143, 0.651637, 0.651637
6, 3, 126, 0.633333, 0.681478, 0.833333, 0.441176, 0.576923, 0.650820, 0.650820
6, 4, 150, 0.666667, 0.671322, 0.718750, 0.676471, 0.696970, 0.649059, 0.655330
6, 5, 195, 0.733333, 0.648229, 0.875000, 0.617647, 0.724138, 0.646904, 0.660565
7, 1, 153, 0.600000, 0.699363, 1.000000, 0.200000, 0.333333, 0.681432, 0.682100
7, 2, 149, 0.750000, 0.654404, 0.800000, 0.666667, 0.727273, 0.651841, 0.653699
7, 3, 187, 0.766667, 0.656165, 0.833333, 0.666667, 0.740741, 0.647797, 0.651791
7, 4, 196, 0.683333, 0.657818, 0.761905, 0.533333, 0.627451, 0.652126, 0.652126
7, 5, 103, 0.766667, 0.653732, 0.807692, 0.700000, 0.750000, 0.646302, 0.666115
8, 1, 1, 0.616667, 0.692419, 0.616667, 1.000000, 0.762887, 0.704240, 0.704240
8, 2, 1, 0.616667, 0.691424, 0.616667, 1.000000, 0.762887, 0.699147, 0.699516
8, 3, 1, 0.616667, 0.690031, 0.616667, 1.000000, 0.762887, 0.700396, 0.706469
8, 4, 166, 0.866667, 0.645282, 0.853659, 0.945946, 0.897436, 0.660259, 0.692898
8, 5, 1, 0.616667, 0.687942, 0.616667, 1.000000, 0.762887, 0.693775, 0.702877
9, 1, 137, 0.600000, 0.687263, 0.538462, 0.280000, 0.368421, 0.706583, 0.729518
9, 2, 17, 0.583333, 0.686643, 0.500000, 0.240000, 0.324324, 0.675397, 0.677843
9, 3, 184, 0.616667, 0.684007, 0.555556, 0.400000, 0.465116, 0.655958, 0.656127
9, 4, 92, 0.616667, 0.683157, 0.562500, 0.360000, 0.439024, 0.653970, 0.682559
9, 5, 80, 0.600000, 0.703753, 0.516129, 0.640000, 0.571429, 0.655850, 0.658921
10, 1, 138, 0.583333, 0.701134, 0.615385, 0.516129, 0.561404, 0.709967, 0.714097
10, 2, 30, 0.616667, 0.698477, 0.700000, 0.451613, 0.549020, 0.704749, 0.706449
10, 3, 195, 0.700000, 0.666213, 0.842105, 0.516129, 0.640000, 0.673078, 0.673078
10, 4, 40, 0.616667, 0.699187, 0.681818, 0.483871, 0.566038, 0.705008, 0.725536
10, 5, 19, 0.750000, 0.658600, 0.944444, 0.548387, 0.693878, 0.669419, 0.682606
11, 1, 8, 0.600000, 0.702395, 0.777778, 0.411765, 0.538462, 0.702244, 0.702268
11, 2, 199, 0.700000, 0.671592, 0.833333, 0.588235, 0.689655, 0.682250, 0.682331
11, 3, 159, 0.783333, 0.660791, 0.956522, 0.647059, 0.771930, 0.664188, 0.665138
11, 4, 195, 0.766667, 0.658169, 0.916667, 0.647059, 0.758621, 0.667512, 0.667512
11, 5, 194, 0.600000, 0.686443, 0.656250, 0.617647, 0.636364, 0.670761, 0.670975
12, 1, 191, 0.666667, 0.676791, 1.000000, 0.230769, 0.375000, 0.695158, 0.720323
12, 2, 129, 0.633333, 0.679775, 0.833333, 0.192308, 0.312500, 0.693031, 0.693152
12, 3, 164, 0.766667, 0.656603, 0.772727, 0.653846, 0.708333, 0.663424, 0.665220
12, 4, 124, 0.683333, 0.666267, 0.769231, 0.384615, 0.512821, 0.675707, 0.715958
12, 5, 144, 0.750000, 0.646153, 1.000000, 0.423077, 0.594595, 0.662425, 0.666338
13, 1, 156, 0.683333, 0.668881, 0.800000, 0.588235, 0.677966, 0.672501, 0.674023
13, 2, 126, 0.700000, 0.660552, 0.807692, 0.617647, 0.700000, 0.667448, 0.671334
13, 3, 159, 0.766667, 0.652228, 0.750000, 0.882353, 0.810811, 0.662628, 0.663164
13, 4, 182, 0.716667, 0.660785, 0.840000, 0.617647, 0.711864, 0.664856, 0.666420
13, 5, 156, 0.766667, 0.654702, 0.777778, 0.823529, 0.800000, 0.662777, 0.663098
14, 1, 170, 0.700000, 0.668148, 0.800000, 0.606061, 0.689655, 0.681575, 0.681575
14, 2, 139, 0.750000, 0.659125, 0.781250, 0.757576, 0.769231, 0.664417, 0.676635
14, 3, 163, 0.733333, 0.664383, 0.742857, 0.787879, 0.764706, 0.664440, 0.666277
14, 4, 80, 0.750000, 0.659490, 0.781250, 0.757576, 0.769231, 0.662111, 0.663570
