# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=pairwise, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 1, 0.500000, 0.693460, 0.500000, 1.000000, 0.666667, 0.692279, 0.703821
2, 2, 63, 0.933333, 0.629588, 0.964286, 0.900000, 0.931034, 0.625994, 0.635856
2, 3, 84, 0.900000, 0.634594, 0.875000, 0.933333, 0.903226, 0.626475, 0.648059
2, 4, 169, 0.900000, 0.629222, 0.875000, 0.933333, 0.903226, 0.626079, 0.636429
2, 5, 171, 0.916667, 0.628237, 0.931034, 0.900000, 0.915254, 0.625890, 0.634831
3, 1, 1, 0.533333, 0.691793, 0.533333, 1.000000, 0.695652, 0.693149, 0.694302
3, 2, 177, 0.650000, 0.686192, 0.761905, 0.500000, 0.603774, 0.688393, 0.688393
3, 3, 106, 0.683333, 0.677431, 0.709677, 0.687500, 0.698413, 0.673073, 0.678116
3, 4, 139, 0.666667, 0.679652, 0.666667, 0.750000, 0.705882, 0.677717, 0.682652
3, 5, 118, 0.650000, 0.668251, 0.761905, 0.500000, 0.603774, 0.668573, 0.668573
4, 1, 1, 0.550000, 0.690960, 0.550000, 1.000000, 0.709677, 0.691445, 0.691734
4, 2, 67, 0.900000, 0.655418, 0.935484, 0.878788, 0.906250, 0.663168, 0.663933
4, 3, 58, 0.900000, 0.656962, 0.935484, 0.878788, 0.906250, 0.663297, 0.664229
4, 4, 101, 0.850000, 0.666586, 0.928571, 0.787879, 0.852459, 0.666112, 0.681660
4, 5, 200, 0.900000, 0.654864, 0.935484, 0.878788, 0.906250, 0.663609, 0.664282
5, 1, 1, 0.600000, 0.688460, 0.000000, 0.000000, 0.000000, 0.690923, 0.693783
5, 2, 1, 0.650000, 0.668171, 1.000000, 0.125000, 0.222222, 0.676360, 0.676624
5, 3, 93, 0.683333, 0.668803, 1.000000, 0.208333, 0.344828, 0.677953, 0.678287
5, 4, 37, 0.666667, 0.687696, 0.833333, 0.208333, 0.333333, 0.677800, 0.677800
5, 5, 67, 0.666667, 0.668230, 0.833333, 0.208333, 0.333333, 0.676099, 0.676714
6, 1, 1, 0.566667, 0.690126, 0.566667, 1.000000, 0.723404, 0.691897, 0.695132
6, 2, 199, 0.600000, 0.686954, 0.631579, 0.705882, 0.666667, 0.682698, 0.682698
6, 3, 37, 0.633333, 0.690143, 0.657895, 0.735294, 0.694444, 0.680306, 0.680348
6, 4, 157, 0.633333, 0.679994, 0.714286, 0.588235, 0.645161, 0.673912, 0.674243
6, 5, 100, 0.616667, 0.688246, 0.739130, 0.500000, 0.596491, 0.679202, 0.679361
7, 1, 1, 0.500000, 0.693460, 0.500000, 1.000000, 0.666667, 0.690332, 0.690475
7, 2, 3, 0.616667, 0.684547, 0.705882, 0.400000, 0.510638, 0.669722, 0.669722
7, 3, 150, 0.616667, 0.679382, 1.000000, 0.233333, 0.378378, 0.679102, 0.713855
7, 4, 190, 0.633333, 0.673104, 0.785714, 0.366667, 0.500000, 0.675572, 0.680720
7, 5, 38, 0.683333, 0.685141, 0.823529, 0.466667, 0.595745, 0.670804, 0.672028
8, 1, 35, 0.616667, 0.691198, 0.616667, 1.000000, 0.762887, 0.693122, 0.694455
8, 2, 200, 0.933333, 0.675510, 0.945946, 0.945946, 0.945946, 0.678155, 0.678155
8, 3, 51, 0.883333, 0.684662, 0.916667, 0.891892, 0.904110, 0.677844, 0.677869
8, 4, 145, 0.733333, 0.689715, 0.744186, 0.864865, 0.800000, 0.690193, 0.694029
8, 5, 160, 0.900000, 0.674262, 0.897436, 0.945946, 0.921053, 0.677792, 0.681406
9, 1, 1, 0.583333, 0.689293, 0.000000, 0.000000, 0.000000, 0.691445, 0.697145
9, 2, 4, 0.600000, 0.682183, 1.000000, 0.040000, 0.076923, 0.684710, 0.686522
9, 3, 28, 0.583333, 0.688971, 0.000000, 0.000000, 0.000000, 0.685513, 0.686347
9, 4, 151, 0.616667, 0.691298, 0.562500, 0.360000, 0.439024, 0.689520, 0.689520
9, 5, 1, 0.583333, 0.686327, 0.000000, 0.000000, 0.000000, 0.684737, 0.685773
10, 1, 1, 0.516667, 0.692626, 0.516667, 1.000000, 0.681319, 0.690924, 0.697029
10, 2, 14, 0.583333, 0.704440, 0.687500, 0.354839, 0.468085, 0.686634, 0.687935
10, 3, 189, 0.583333, 0.695548, 0.687500, 0.354839, 0.468085, 0.688454, 0.691598
10, 4, 161, 0.583333, 0.699437, 0.714286, 0.322581, 0.444444, 0.687028, 0.687057
10, 5, 34, 0.566667, 0.694820, 0.666667, 0.322581, 0.434783, 0.688979, 0.690805
11, 1, 1, 0.566667, 0.690126, 0.566667, 1.000000, 0.723404, 0.691897, 0.693086
11, 2, 71, 0.566667, 0.689861, 0.566667, 1.000000, 0.723404, 0.691480, 0.705510
11, 3, 176, 0.633333, 0.690475, 0.700000, 0.617647, 0.656250, 0.691823, 0.692030
11, 4, 105, 0.616667, 0.689140, 0.739130, 0.500000, 0.596491, 0.690946, 0.698254
11, 5, 140, 0.616667, 0.688764, 0.720000, 0.529412, 0.610169, 0.691659, 0.692855
12, 1, 178, 0.566667, 0.693140, 0.000000, 0.000000, 0.000000, 0.691446, 0.691466
12, 2, 1, 0.583333, 0.691208, 0.600000, 0.115385, 0.193548, 0.688441, 0.689391
12, 3, 12, 0.683333, 0.689983, 0.818182, 0.346154, 0.486486, 0.690266, 0.692927
12, 4, 198, 0.700000, 0.685353, 0.785714, 0.423077, 0.550000, 0.688782, 0.688782
12, 5, 114, 0.666667, 0.686630, 0.875000, 0.269231, 0.411765, 0.690810, 0.693263
13, 1, 65, 0.566667, 0.692958, 0.566667, 1.000000, 0.723404, 0.692592, 0.721296
13, 2, 188, 0.666667, 0.686224, 0.750000, 0.617647, 0.677419, 0.688106, 0.695272
13, 3, 174, 0.733333, 0.666169, 0.781250, 0.735294, 0.757576, 0.674072, 0.674072
13, 4, 200, 0.716667, 0.659774, 0.814815, 0.647059, 0.721311, 0.670972, 0.672353
