# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=ring, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 127, 0.883333, 0.637731, 0.870968, 0.900000, 0.885246, 0.629269, 0.630102
2, 2, 127, 0.883333, 0.632672, 0.870968, 0.900000, 0.885246, 0.628298, 0.628430
2, 3, 190, 0.900000, 0.631078, 0.900000, 0.900000, 0.900000, 0.629236, 0.639461
2, 4, 149, 0.900000, 0.629998, 0.875000, 0.933333, 0.903226, 0.626009, 0.626595
2, 5, 140, 0.883333, 0.633970, 0.870968, 0.900000, 0.885246, 0.628301, 0.636079
3, 1, 143, 0.566667, 0.700649, 0.607143, 0.531250, 0.566667, 0.669329, 0.673692
3, 2, 176, 0.550000, 0.725150, 0.692308, 0.281250, 0.400000, 0.674836, 0.678166
3, 3, 140, 0.616667, 0.697767, 0.736842, 0.437500, 0.549020, 0.669816, 0.676430
3, 4, 89, 0.716667, 0.668287, 0.741935, 0.718750, 0.730159, 0.668161, 0.703537
3, 5, 92, 0.616667, 0.675842, 0.714286, 0.468750, 0.566038, 0.668522, 0.707222
4, 1, 139, 0.816667, 0.671827, 0.805556, 0.878788, 0.840580, 0.672064, 0.680010
4, 2, 133, 0.800000, 0.649218, 0.756098, 0.939394, 0.837838, 0.637582, 0.645903
4, 3, 154, 0.800000, 0.627572, 0.783784, 0.878788, 0.828571, 0.632780, 0.637436
4, 4, 111, 0.816667, 0.633534, 0.892857, 0.757576, 0.819672, 0.632875, 0.635016
4, 5, 49, 0.816667, 0.656678, 1.000000, 0.666667, 0.800000, 0.629267, 0.637302
5, 1, 160, 0.566667, 0.692985, 0.450000, 0.375000, 0.409091, 0.723903, 0.723903
5, 2, 188, 0.750000, 0.645452, 0.695652, 0.666667, 0.680851, 0.667695, 0.676660
5, 3, 90, 0.750000, 0.620759, 0.846154, 0.458333, 0.594595, 0.645504, 0.645504
5, 4, 181, 0.766667, 0.642622, 0.857143, 0.500000, 0.631579, 0.653389, 0.653932
5, 5, 175, 0.750000, 0.669629, 0.636364, 0.875000, 0.736842, 0.644055, 0.648679
6, 1, 198, 0.633333, 0.680557, 0.714286, 0.588235, 0.645161, 0.674946, 0.675622
6, 2, 11, 0.583333, 0.714325, 0.736842, 0.411765, 0.528302, 0.652822, 0.653138
6, 3, 22, 0.616667, 0.682782, 0.657143, 0.676471, 0.666667, 0.650169, 0.650169
6, 4, 154, 0.616667, 0.676238, 0.600000, 0.970588, 0.741573, 0.651447, 0.658935
6, 5, 12, 0.600000, 0.678629, 0.647059, 0.647059, 0.647059, 0.651261, 0.654375
7, 1, 109, 0.583333, 0.715623, 0.727273, 0.266667, 0.390244, 0.690723, 0.690723
7, 2, 116, 0.666667, 0.669411, 0.727273, 0.533333, 0.615385, 0.656023, 0.656100
7, 3, 195, 0.666667, 0.665149, 0.692308, 0.600000, 0.642857, 0.664508, 0.665312
7, 4, 154, 0.683333, 0.653808, 0.739130, 0.566667, 0.641509, 0.654684, 0.659824
7, 5, 103, 0.750000, 0.652369, 0.826087, 0.633333, 0.716981, 0.658171, 0.658454
8, 1, 1, 0.616667, 0.692217, 0.616667, 1.000000, 0.762887, 0.704026, 0.704026
8, 2, 124, 0.666667, 0.674155, 0.757576, 0.675676, 0.714286, 0.685049, 0.685049
8, 3, 197, 0.733333, 0.648113, 0.783784, 0.783784, 0.783784, 0.670225, 0.679264
8, 4, 200, 0.683333, 0.661159, 0.704545, 0.837838, 0.765432, 0.685031, 0.686079
8, 5, 107, 0.683333, 0.677620, 0.800000, 0.648649, 0.716418, 0.676201, 0.676201
9, 1, 30, 0.600000, 0.687163, 0.538462, 0.280000, 0.368421, 0.706461, 0.712075
9, 2, 54, 0.583333, 0.700859, 0.000000, 0.000000, 0.000000, 0.692855, 0.698530
9, 3, 21, 0.583333, 0.682970, 0.500000, 0.360000, 0.418605, 0.676206, 0.680971
9, 4, 178, 0.700000, 0.662136, 0.769231, 0.400000, 0.526316, 0.656383, 0.656383
9, 5, 141, 0.650000, 0.673270, 0.666667, 0.320000, 0.432432, 0.648961, 0.673685
10, 1, 175, 0.616667, 0.705612, 0.750000, 0.387097, 0.510638, 0.706912, 0.706912
10, 2, 29, 0.600000, 0.703716, 0.640000, 0.516129, 0.571429, 0.698742, 0.698742
10, 3, 105, 0.666667, 0.686906, 0.720000, 0.580645, 0.642857, 0.674332, 0.700939
10, 4, 131, 0.700000, 0.680024, 0.933333, 0.451613, 0.608696, 0.676423, 0.686519
10, 5, 131, 0.666667, 0.671840, 0.689655, 0.645161, 0.666667, 0.659042, 0.659229
11, 1, 33, 0.600000, 0.702083, 0.777778, 0.411765, 0.538462, 0.701583, 0.703036
11, 2, 44, 0.633333, 0.691965, 0.750000, 0.529412, 0.620690, 0.690163, 0.691120
11, 3, 110, 0.616667, 0.679835, 0.603774, 0.941176, 0.735632, 0.682871, 0.688468
11, 4, 6, 0.650000, 0.692476, 0.842105, 0.470588, 0.603774, 0.669531, 0.675186
11, 5, 186, 0.666667, 0.687683, 0.850000, 0.500000, 0.629630, 0.669880, 0.669880
12, 1, 79, 0.616667, 0.683518, 0.588235, 0.384615, 0.465116, 0.694426, 0.694426
12, 2, 190, 0.750000, 0.658048, 0.689655, 0.769231, 0.727273, 0.671087, 0.671733
12, 3, 192, 0.766667, 0.653422, 0.833333, 0.576923, 0.681818, 0.672880, 0.677234
12, 4, 137, 0.716667, 0.661602, 0.714286, 0.576923, 0.638298, 0.659829, 0.663312
12, 5, 118, 0.733333, 0.661561, 0.666667, 0.769231, 0.714286, 0.659326, 0.667424
13, 1, 185, 0.683333, 0.667780, 0.800000, 0.588235, 0.677966, 0.673034, 0.678525
13, 2, 81, 0.666667, 0.697564, 1.000000, 0.411765, 0.583333, 0.671242, 0.675634
13, 3, 71, 0.733333, 0.675367, 0.909091, 0.588235, 0.714286, 0.672100, 0.672100
13, 4, 90, 0.716667, 0.670163, 0.814815, 0.647059, 0.721311, 0.670394, 0.672833
13, 5, 106, 0.683333, 0.688439, 0.894737, 0.500000, 0.641509, 0.678607, 0.681118
14, 1, 138, 0.700000, 0.672995, 0.894737, 0.515152, 0.653846, 0.678322, 0.678322
14, 2, 50, 0.683333, 0.681781, 0.818182, 0.545455, 0.654545, 0.667753, 0.672780
14, 3, 42, 0.683333, 0.673821, 0.791667, 0.575758, 0.666667, 0.668533, 0.668533
14, 4, 190, 0.666667, 0.666882, 0.658537, 0.818182, 0.729730, 0.666158, 0.666158
14, 5, 165, 0.700000, 0.660965, 0.800000, 0.606061, 0.689655, 0.664527, 0.670432
15, 1, 47, 0.600000, 0.711522, 0.550000, 0.785714, 0.647059, 0.670810, 0.670964
15, 2, 182, 0.600000, 0.691334, 0.558824, 0.678571, 0.612903, 0.668738, 0.671715
15, 3, 127, 0.633333, 0.694374, 0.615385, 0.571429, 0.592593, 0.661293, 0.662412
15, 4, 154, 0.633333, 0.680334, 0.875000, 0.250000, 0.388889, 0.659536, 0.668986
15, 5, 73, 0.616667, 0.702650, 0.560976, 0.821429, 0.666667, 0.667329, 0.669939
16, 1, 1, 0.450000, 0.836381, 0.450000, 1.000000, 0.620690, 0.687672, 0.690082
16, 2, 1, 0.450000, 0.834981, 0.450000, 1.000000, 0.620690, 0.685568, 0.685568
16, 3, 167, 0.500000, 0.701616, 0.363636, 0.148148, 0.210526, 0.686380, 0.686380
16, 4, 192, 0.716667, 0.671731, 0.777778, 0.518519, 0.622222, 0.666919, 0.703849
16, 5, 178, 0.583333, 0.690273, 0.545455, 0.444444, 0.489796, 0.675094, 0.679549
17, 1, 81, 0.666667, 0.687588, 0.757576, 0.675676, 0.714286, 0.699972, 0.705284
17, 2, 33, 0.700000, 0.679368, 0.756757, 0.756757, 0.756757, 0.687032, 0.687463
17, 3, 28, 0.733333, 0.679806, 0.783784, 0.783784, 0.783784, 0.689133, 0.689236
17, 4, 77, 0.700000, 0.669729, 0.756757, 0.756757, 0.756757, 0.675093, 0.676672
17, 5, 7, 0.633333, 0.681711, 0.727273, 0.648649, 0.685714, 0.673698, 0.679796
18, 1, 1, 0.516667, 0.768650, 0.516667, 1.000000, 0.681319, 0.696728, 0.697217
18, 2, 146, 0.566667, 0.697469, 0.727273, 0.258065, 0.380952, 0.694135, 0.698874
18, 3, 154, 0.533333, 0.714657, 0.666667, 0.193548, 0.300000, 0.694356, 0.696557
18, 4, 186, 0.616667, 0.685183, 0.722222, 0.419355, 0.530612, 0.678781, 0.682507
18, 5, 173, 0.616667, 0.691354, 0.833333, 0.322581, 0.465116, 0.685122, 0.688563
19, 1, 64, 0.600000, 0.693192, 0.628571, 0.666667, 0.647059, 0.696043, 0.698224
19, 2, 87, 0.583333, 0.694287, 0.611111, 0.666667, 0.637681, 0.697414, 0.698202
19, 3, 11, 0.583333, 0.689416, 0.586957, 0.818182, 0.683544, 0.669087, 0.673443
19, 4, 4, 0.566667, 0.689357, 0.563636, 0.939394, 0.704545, 0.666324, 0.668479
19, 5, 13, 0.566667, 0.689051, 0.563636, 0.939394, 0.704545, 0.662531, 0.662531
20, 1, 15, 0.550000, 0.704084, 0.543860, 0.968750, 0.696629, 0.689261, 0.689269
20, 2, 37, 0.533333, 0.708435, 0.534483, 0.968750, 0.688889, 0.688029, 0.696055
20, 3, 1, 0.533333, 0.731998, 0.533333, 1.000000, 0.695652, 0.686962, 0.686962
20, 4, 109, 0.566667, 0.710629, 0.553571, 0.968750, 0.704545, 0.679690, 0.698168
20, 5, 64, 0.700000, 0.677468, 0.694444, 0.781250, 0.735294, 0.679011, 0.679316
