# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=chain, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 56, 0.500000, 0.752981, 0.000000, 0.000000, 0.000000, 0.753414, 0.755789
2, 2, 109, 0.500000, 0.753011, 0.000000, 0.000000, 0.000000, 0.753414, 0.753430
2, 3, 169, 0.500000, 0.752989, 0.000000, 0.000000, 0.000000, 0.753414, 0.753513
2, 4, 39, 0.500000, 0.753088, 0.000000, 0.000000, 0.000000, 0.753415, 0.753496
2, 5, 135, 0.500000, 0.753023, 0.000000, 0.000000, 0.000000, 0.753414, 0.761796
3, 1, 174, 0.483333, 0.799657, 0.516129, 0.500000, 0.507937, 0.731885, 0.732579
3, 2, 25, 0.466667, 0.797269, 0.500000, 0.500000, 0.500000, 0.731885, 0.741652
3, 3, 33, 0.466667, 0.797346, 0.500000, 0.500000, 0.500000, 0.731885, 0.738158
3, 4, 57, 0.466667, 0.797525, 0.500000, 0.500000, 0.500000, 0.731885, 0.732075
3, 5, 50, 0.466667, 0.797355, 0.500000, 0.500000, 0.500000, 0.731885, 0.737902
4, 1, 1, 0.550000, 0.779694, 0.550000, 1.000000, 0.709677, 0.709890, 0.711250
4, 2, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709890, 0.721405
4, 3, 1, 0.550000, 0.779694, 0.550000, 1.000000, 0.709677, 0.709892, 0.717091
4, 4, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709900, 0.709919
4, 5, 1, 0.550000, 0.779694, 0.550000, 1.000000, 0.709677, 0.709893, 0.713718
5, 1, 200, 0.450000, 0.720490, 0.363636, 0.500000, 0.421053, 0.740055, 0.742369
5, 2, 147, 0.583333, 0.707036, 0.478261, 0.458333, 0.468085, 0.740054, 0.741616
5, 3, 132, 0.566667, 0.710962, 0.458333, 0.458333, 0.458333, 0.740055, 0.740085
5, 4, 149, 0.616667, 0.704150, 0.526316, 0.416667, 0.465116, 0.740054, 0.752848
5, 5, 78, 0.616667, 0.703583, 0.526316, 0.416667, 0.465116, 0.740056, 0.751336
6, 1, 1, 0.583333, 0.685995, 0.600000, 0.794118, 0.683544, 0.707095, 0.707550
6, 2, 198, 0.600000, 0.696665, 0.656250, 0.617647, 0.636364, 0.707095, 0.711480
6, 3, 36, 0.650000, 0.717827, 0.882353, 0.441176, 0.588235, 0.707095, 0.711941
6, 4, 41, 0.600000, 0.696922, 0.656250, 0.617647, 0.636364, 0.707095, 0.707241
6, 5, 51, 0.600000, 0.696529, 0.656250, 0.617647, 0.636364, 0.707095, 0.707715
7, 1, 33, 0.483333, 0.731370, 0.480000, 0.400000, 0.436364, 0.728459, 0.728789
7, 2, 1, 0.450000, 0.737472, 0.468085, 0.733333, 0.571429, 0.728458, 0.732463
7, 3, 52, 0.483333, 0.731309, 0.480000, 0.400000, 0.436364, 0.728458, 0.728461
7, 4, 66, 0.550000, 0.739467, 0.636364, 0.233333, 0.341463, 0.728460, 0.738492
7, 5, 12, 0.483333, 0.731129, 0.480000, 0.400000, 0.436364, 0.728459, 0.730509
8, 1, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.702416
8, 2, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.702037
8, 3, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.704422
8, 4, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702024, 0.702139
8, 5, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.708127
9, 1, 28, 0.616667, 0.690836, 0.562500, 0.360000, 0.439024, 0.703683, 0.705546
9, 2, 35, 0.616667, 0.691521, 0.562500, 0.360000, 0.439024, 0.703683, 0.704600
9, 3, 40, 0.616667, 0.691511, 0.562500, 0.360000, 0.439024, 0.703685, 0.704301
9, 4, 36, 0.616667, 0.691133, 0.562500, 0.360000, 0.439024, 0.703683, 0.704768
9, 5, 103, 0.616667, 0.690593, 0.562500, 0.360000, 0.439024, 0.703683, 0.712121
10, 1, 124, 0.616667, 0.704954, 0.750000, 0.387097, 0.510638, 0.709261, 0.711421
10, 2, 1, 0.500000, 0.722917, 0.508475, 0.967742, 0.666667, 0.709260, 0.712677
10, 3, 137, 0.600000, 0.701075, 0.666667, 0.451613, 0.538462, 0.709261, 0.711432
10, 4, 91, 0.550000, 0.698063, 0.558824, 0.612903, 0.584615, 0.709260, 0.714273
