# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=chain, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 1, 0.466667, 0.849994, 0.482759, 0.933333, 0.636364, 0.753414, 0.753630
2, 2, 137, 0.500000, 0.753491, 0.000000, 0.000000, 0.000000, 0.753415, 0.753588
2, 3, 1, 0.466667, 0.829996, 0.482759, 0.933333, 0.636364, 0.753414, 0.754138
2, 4, 2, 0.483333, 0.859397, 0.491525, 0.966667, 0.651685, 0.753414, 0.753784
2, 5, 1, 0.466667, 0.849994, 0.482759, 0.933333, 0.636364, 0.753414, 0.757322
3, 1, 25, 0.483333, 0.799643, 0.516129, 0.500000, 0.507937, 0.731885, 0.735760
3, 2, 40, 0.466667, 0.797574, 0.500000, 0.500000, 0.500000, 0.731885, 0.737395
3, 3, 57, 0.483333, 0.799641, 0.516129, 0.500000, 0.507937, 0.731885, 0.733071
3, 4, 151, 0.483333, 0.799683, 0.516129, 0.500000, 0.507937, 0.731889, 0.738229
3, 5, 45, 0.516667, 0.825939, 0.588235, 0.312500, 0.408163, 0.731886, 0.732236
4, 1, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709890, 0.709892
4, 2, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709893, 0.710260
4, 3, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709890, 0.715140
4, 4, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709892, 0.713329
4, 5, 1, 0.550000, 0.779694, 0.550000, 1.000000, 0.709677, 0.709890, 0.710238
5, 1, 68, 0.566667, 0.711065, 0.458333, 0.458333, 0.458333, 0.740054, 0.744310
5, 2, 52, 0.433333, 0.730574, 0.368421, 0.583333, 0.451613, 0.740055, 0.741899
5, 3, 179, 0.483333, 0.716345, 0.387097, 0.500000, 0.436364, 0.740055, 0.743304
5, 4, 100, 0.533333, 0.712617, 0.428571, 0.500000, 0.461538, 0.740055, 0.748460
5, 5, 95, 0.583333, 0.707134, 0.478261, 0.458333, 0.468085, 0.740056, 0.740890
6, 1, 12, 0.583333, 0.686733, 0.595745, 0.823529, 0.691358, 0.707095, 0.707098
6, 2, 69, 0.600000, 0.697371, 0.656250, 0.617647, 0.636364, 0.707098, 0.707365
6, 3, 166, 0.600000, 0.696963, 0.656250, 0.617647, 0.636364, 0.707095, 0.707861
6, 4, 153, 0.650000, 0.717798, 0.882353, 0.441176, 0.588235, 0.707095, 0.711863
6, 5, 1, 0.583333, 0.685995, 0.600000, 0.794118, 0.683544, 0.707095, 0.708011
7, 1, 53, 0.466667, 0.730911, 0.461538, 0.400000, 0.428571, 0.728459, 0.732068
7, 2, 131, 0.483333, 0.731313, 0.480000, 0.400000, 0.436364, 0.728460, 0.730834
7, 3, 141, 0.516667, 0.734010, 0.523810, 0.366667, 0.431373, 0.728458, 0.731332
7, 4, 23, 0.483333, 0.731227, 0.480000, 0.400000, 0.436364, 0.728458, 0.733670
7, 5, 23, 0.516667, 0.733895, 0.523810, 0.366667, 0.431373, 0.728459, 0.729134
8, 1, 1, 0.616667, 0.703174, 0.616667, 1.000000, 0.762887, 0.702022, 0.702145
8, 2, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.702837
8, 3, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702024, 0.710014
