# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=chain, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 82, 0.883333, 0.642440, 0.870968, 0.900000, 0.885246, 0.641849, 0.642878
2, 2, 19, 0.800000, 0.634573, 0.909091, 0.666667, 0.769231, 0.623704, 0.627856
2, 3, 45, 0.850000, 0.634569, 1.000000, 0.700000, 0.823529, 0.624770, 0.627867
2, 4, 113, 0.916667, 0.631721, 1.000000, 0.833333, 0.909091, 0.626778, 0.635536
2, 5, 103, 0.900000, 0.629181, 0.900000, 0.900000, 0.900000, 0.623644, 0.629079
3, 1, 125, 0.650000, 0.667204, 0.677419, 0.656250, 0.666667, 0.672532, 0.677921
3, 2, 114, 0.716667, 0.654167, 0.894737, 0.531250, 0.666667, 0.652163, 0.657548
3, 3, 148, 0.700000, 0.648512, 0.718750, 0.718750, 0.718750, 0.653724, 0.654995
3, 4, 117, 0.683333, 0.670608, 0.809524, 0.531250, 0.641509, 0.660187, 0.665559
3, 5, 119, 0.766667, 0.638944, 0.846154, 0.687500, 0.758621, 0.653218, 0.670788
4, 1, 137, 0.850000, 0.662276, 0.852941, 0.878788, 0.865672, 0.668202, 0.669056
4, 2, 17, 0.850000, 0.660095, 0.961538, 0.757576, 0.847458, 0.652486, 0.652486
4, 3, 176, 0.833333, 0.652253, 0.848485, 0.848485, 0.848485, 0.661912, 0.666837
4, 4, 73, 0.783333, 0.665942, 0.884615, 0.696970, 0.779661, 0.654885, 0.656693
4, 5, 115, 0.800000, 0.653450, 0.888889, 0.727273, 0.800000, 0.660091, 0.679052
5, 1, 165, 0.700000, 0.687907, 0.615385, 0.666667, 0.640000, 0.683346, 0.683346
5, 2, 176, 0.666667, 0.674410, 0.571429, 0.666667, 0.615385, 0.664167, 0.664167
5, 3, 67, 0.633333, 0.680068, 0.538462, 0.583333, 0.560000, 0.671601, 0.687265
5, 4, 51, 0.750000, 0.667346, 0.800000, 0.500000, 0.615385, 0.654704, 0.661717
5, 5, 46, 0.683333, 0.640708, 0.857143, 0.250000, 0.387097, 0.662482, 0.662482
6, 1, 60, 0.783333, 0.675242, 0.862069, 0.735294, 0.793651, 0.680853, 0.680894
6, 2, 175, 0.633333, 0.673634, 0.700000, 0.617647, 0.656250, 0.649317, 0.659181
6, 3, 35, 0.783333, 0.663612, 0.862069, 0.735294, 0.793651, 0.654154, 0.654313
6, 4, 103, 0.600000, 0.694712, 0.750000, 0.441176, 0.555556, 0.651351, 0.656169
