# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=full, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 45, 0.500000, 0.753124, 0.000000, 0.000000, 0.000000, 0.753416, 0.753593
2, 2, 1, 0.466667, 0.829996, 0.482759, 0.933333, 0.636364, 0.753415, 0.753895
2, 3, 68, 0.500000, 0.753187, 0.000000, 0.000000, 0.000000, 0.753415, 0.753960
2, 4, 106, 0.500000, 0.753049, 0.000000, 0.000000, 0.000000, 0.753414, 0.753555
2, 5, 68, 0.500000, 0.752991, 0.000000, 0.000000, 0.000000, 0.753414, 0.753952
3, 1, 34, 0.466667, 0.797376, 0.500000, 0.500000, 0.500000, 0.731885, 0.733132
3, 2, 165, 0.466667, 0.797209, 0.500000, 0.500000, 0.500000, 0.731885, 0.733769
3, 3, 56, 0.466667, 0.797762, 0.500000, 0.500000, 0.500000, 0.731888, 0.732868
3, 4, 36, 0.466667, 0.797214, 0.500000, 0.500000, 0.500000, 0.731885, 0.732543
3, 5, 73, 0.483333, 0.799664, 0.516129, 0.500000, 0.507937, 0.731885, 0.737635
4, 1, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709890, 0.711354
4, 2, 1, 0.550000, 0.779694, 0.550000, 1.000000, 0.709677, 0.709890, 0.712286
4, 3, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709890, 0.710760
4, 4, 1, 0.550000, 0.779694, 0.550000, 1.000000, 0.709677, 0.709890, 0.712030
4, 5, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709890, 0.719105
5, 1, 157, 0.450000, 0.731346, 0.384615, 0.625000, 0.476190, 0.740054, 0.740077
5, 2, 88, 0.566667, 0.710136, 0.458333, 0.458333, 0.458333, 0.740054, 0.740264
5, 3, 143, 0.616667, 0.703685, 0.526316, 0.416667, 0.465116, 0.740062, 0.740290
5, 4, 96, 0.533333, 0.712619, 0.428571, 0.500000, 0.461538, 0.740054, 0.740201
5, 5, 92, 0.500000, 0.714263, 0.400000, 0.500000, 0.444444, 0.740055, 0.740068
6, 1, 1, 0.583333, 0.685995, 0.600000, 0.794118, 0.683544, 0.707095, 0.707418
6, 2, 13, 0.600000, 0.696747, 0.656250, 0.617647, 0.636364, 0.707095, 0.709872
6, 3, 159, 0.650000, 0.717224, 0.842105, 0.470588, 0.603774, 0.707095, 0.707165
6, 4, 82, 0.600000, 0.697260, 0.656250, 0.617647, 0.636364, 0.707095, 0.707587
6, 5, 67, 0.600000, 0.696761, 0.656250, 0.617647, 0.636364, 0.707095, 0.708037
7, 1, 66, 0.483333, 0.731202, 0.480000, 0.400000, 0.436364, 0.728458, 0.728461
7, 2, 1, 0.450000, 0.737472, 0.468085, 0.733333, 0.571429, 0.728459, 0.729185
7, 3, 1, 0.450000, 0.737472, 0.468085, 0.733333, 0.571429, 0.728459, 0.730009
7, 4, 1, 0.450000, 0.737472, 0.468085, 0.733333, 0.571429, 0.728459, 0.729278
7, 5, 88, 0.500000, 0.732724, 0.500000, 0.366667, 0.423077, 0.728459, 0.729537
8, 1, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.702022
8, 2, 1, 0.616667, 0.703174, 0.616667, 1.000000, 0.762887, 0.702022, 0.705371
8, 3, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.703685
8, 4, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.703426
8, 5, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.703357
9, 1, 46, 0.616667, 0.690659, 0.562500, 0.360000, 0.439024, 0.703683, 0.704313
9, 2, 43, 0.616667, 0.691456, 0.562500, 0.360000, 0.439024, 0.703683, 0.704742
9, 3, 26, 0.616667, 0.691196, 0.562500, 0.360000, 0.439024, 0.703686, 0.734429
9, 4, 50, 0.616667, 0.691370, 0.562500, 0.360000, 0.439024, 0.703683, 0.703806
9, 5, 47, 0.616667, 0.691479, 0.562500, 0.360000, 0.439024, 0.703683, 0.704164
10, 1, 58, 0.550000, 0.698093, 0.558824, 0.612903, 0.584615, 0.709261, 0.711065
10, 2, 91, 0.600000, 0.700119, 0.640000, 0.516129, 0.571429, 0.709261, 0.711121
10, 3, 194, 0.550000, 0.698002, 0.558824, 0.612903, 0.584615, 0.709261, 0.712254
10, 4, 67, 0.616667, 0.704804, 0.750000, 0.387097, 0.510638, 0.709260, 0.710479
10, 5, 31, 0.600000, 0.700894, 0.666667, 0.451613, 0.538462, 0.709261, 0.711542
11, 1, 121, 0.616667, 0.711332, 0.823529, 0.411765, 0.549020, 0.703539, 0.705067
11, 2, 39, 0.550000, 0.692359, 0.563636, 0.911765, 0.696629, 0.703540, 0.703581
11, 3, 173, 0.583333, 0.709824, 0.736842, 0.411765, 0.528302, 0.703539, 0.704233
11, 4, 17, 0.550000, 0.693621, 0.561404, 0.941176, 0.703297, 0.703539, 0.703622
11, 5, 68, 0.583333, 0.710379, 0.736842, 0.411765, 0.528302, 0.703540, 0.706549
12, 1, 94, 0.600000, 0.690649, 0.571429, 0.307692, 0.400000, 0.702903, 0.702903
12, 2, 85, 0.616667, 0.689108, 0.800000, 0.153846, 0.258065, 0.702903, 0.705312
12, 3, 187, 0.616667, 0.689105, 0.800000, 0.153846, 0.258065, 0.702903, 0.716913
12, 4, 182, 0.600000, 0.690653, 0.571429, 0.307692, 0.400000, 0.702905, 0.711817
12, 5, 41, 0.516667, 0.693535, 0.428571, 0.346154, 0.382979, 0.702903, 0.702936
13, 1, 25, 0.616667, 0.689561, 0.703704, 0.558824, 0.622951, 0.687628, 0.687701
13, 2, 57, 0.616667, 0.688888, 0.703704, 0.558824, 0.622951, 0.687628, 0.689378
13, 3, 21, 0.616667, 0.691585, 0.720000, 0.529412, 0.610169, 0.687628, 0.692084
13, 4, 37, 0.616667, 0.688894, 0.703704, 0.558824, 0.622951, 0.687628, 0.688988
13, 5, 9, 0.616667, 0.691333, 0.720000, 0.529412, 0.610169, 0.687628, 0.689282
14, 1, 30, 0.600000, 0.681530, 0.645161, 0.606061, 0.625000, 0.705053, 0.706144
14, 2, 20, 0.600000, 0.678720, 0.628571, 0.666667, 0.647059, 0.705053, 0.707724
14, 3, 35, 0.600000, 0.678660, 0.628571, 0.666667, 0.647059, 0.705053, 0.708726
14, 4, 30, 0.600000, 0.678818, 0.628571, 0.666667, 0.647059, 0.705053, 0.709500
14, 5, 41, 0.600000, 0.690503, 0.800000, 0.363636, 0.500000, 0.705053, 0.706417
15, 1, 10, 0.566667, 0.714488, 0.526316, 0.714286, 0.606061, 0.684772, 0.687948
15, 2, 29, 0.566667, 0.714358, 0.526316, 0.714286, 0.606061, 0.684772, 0.694051
15, 3, 44, 0.566667, 0.714957, 0.526316, 0.714286, 0.606061, 0.684772, 0.686892
15, 4, 37, 0.566667, 0.715781, 0.525000, 0.750000, 0.617647, 0.684772, 0.684845
15, 5, 3, 0.566667, 0.714863, 0.526316, 0.714286, 0.606061, 0.684773, 0.686563
16, 1, 1, 0.450000, 0.839130, 0.450000, 1.000000, 0.620690, 0.690671, 0.691810
16, 2, 1, 0.450000, 0.839130, 0.450000, 1.000000, 0.620690, 0.690671, 0.690671
16, 3, 1, 0.450000, 0.839130, 0.450000, 1.000000, 0.620690, 0.690672, 0.690836
16, 4, 1, 0.450000, 0.866068, 0.450000, 1.000000, 0.620690, 0.690671, 0.691627
16, 5, 1, 0.450000, 0.839130, 0.450000, 1.000000, 0.620690, 0.690671, 0.690706
17, 1, 60, 0.666667, 0.685719, 0.717949, 0.756757, 0.736842, 0.699302, 0.702999
17, 2, 59, 0.666667, 0.686947, 0.717949, 0.756757, 0.736842, 0.699303, 0.699454
17, 3, 132, 0.666667, 0.685683, 0.717949, 0.756757, 0.736842, 0.699302, 0.702427
17, 4, 35, 0.666667, 0.685196, 0.717949, 0.756757, 0.736842, 0.699302, 0.700461
17, 5, 65, 0.666667, 0.685672, 0.717949, 0.756757, 0.736842, 0.699302, 0.702430
18, 1, 1, 0.516667, 0.765264, 0.516667, 1.000000, 0.681319, 0.698615, 0.699517
18, 2, 1, 0.516667, 0.749453, 0.516667, 1.000000, 0.681319, 0.698615, 0.704201
18, 3, 1, 0.516667, 0.749453, 0.516667, 1.000000, 0.681319, 0.698615, 0.698918
18, 4, 78, 0.533333, 0.707706, 0.636364, 0.225806, 0.333333, 0.698615, 0.699590
18, 5, 165, 0.533333, 0.706601, 0.615385, 0.258065, 0.363636, 0.698616, 0.701727
19, 1, 29, 0.583333, 0.694881, 0.600000, 0.727273, 0.657534, 0.700027, 0.700063
19, 2, 46, 0.583333, 0.694819, 0.600000, 0.727273, 0.657534, 0.700027, 0.701756
19, 3, 69, 0.583333, 0.694742, 0.600000, 0.727273, 0.657534, 0.700027, 0.700295
