# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=full, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 123, 0.883333, 0.642215, 0.870968, 0.900000, 0.885246, 0.641853, 0.642602
2, 2, 54, 0.916667, 0.628212, 1.000000, 0.833333, 0.909091, 0.623980, 0.625680
2, 3, 126, 0.850000, 0.635795, 0.956522, 0.733333, 0.830189, 0.624937, 0.627213
2, 4, 104, 0.800000, 0.637845, 0.846154, 0.733333, 0.785714, 0.624564, 0.641118
2, 5, 93, 0.900000, 0.629192, 1.000000, 0.800000, 0.888889, 0.624990, 0.635189
3, 1, 103, 0.650000, 0.668989, 0.677419, 0.656250, 0.666667, 0.673777, 0.678824
3, 2, 81, 0.633333, 0.661190, 0.656250, 0.656250, 0.656250, 0.655099, 0.661902
3, 3, 70, 0.850000, 0.653442, 0.828571, 0.906250, 0.865672, 0.655563, 0.657184
3, 4, 182, 0.783333, 0.629764, 0.851852, 0.718750, 0.779661, 0.652568, 0.659527
3, 5, 38, 0.833333, 0.664452, 0.823529, 0.875000, 0.848485, 0.653256, 0.661108
4, 1, 15, 0.716667, 0.640513, 0.944444, 0.515152, 0.666667, 0.630117, 0.630598
4, 2, 153, 0.700000, 0.666886, 0.894737, 0.515152, 0.653846, 0.657987, 0.658326
4, 3, 20, 0.750000, 0.641087, 0.764706, 0.787879, 0.776119, 0.630461, 0.632329
4, 4, 1, 0.550000, 0.761041, 0.550000, 1.000000, 0.709677, 0.696027, 0.736938
4, 5, 25, 0.733333, 0.629903, 0.757576, 0.757576, 0.757576, 0.629999, 0.632132
5, 1, 13, 0.733333, 0.637186, 0.666667, 0.666667, 0.666667, 0.640943, 0.641428
5, 2, 103, 0.750000, 0.639628, 0.695652, 0.666667, 0.680851, 0.641742, 0.641742
5, 3, 110, 0.766667, 0.643088, 0.708333, 0.708333, 0.708333, 0.638383, 0.641151
5, 4, 197, 0.783333, 0.640207, 0.720000, 0.750000, 0.734694, 0.640103, 0.643598
5, 5, 43, 0.783333, 0.642119, 0.720000, 0.750000, 0.734694, 0.639322, 0.641525
6, 1, 4, 0.566667, 0.710492, 0.833333, 0.294118, 0.434783, 0.664112, 0.666104
6, 2, 69, 0.616667, 0.667297, 0.603774, 0.941176, 0.735632, 0.656483, 0.664029
6, 3, 20, 0.566667, 0.687467, 0.595238, 0.735294, 0.657895, 0.655536, 0.656111
6, 4, 1, 0.583333, 0.685958, 0.600000, 0.794118, 0.683544, 0.653125, 0.654915
6, 5, 5, 0.583333, 0.690237, 0.714286, 0.441176, 0.545455, 0.654910, 0.659845
7, 1, 20, 0.650000, 0.665432, 0.636364, 0.700000, 0.666667, 0.663630, 0.663761
7, 2, 141, 0.683333, 0.664918, 0.739130, 0.566667, 0.641509, 0.658301, 0.659019
7, 3, 10, 0.650000, 0.667528, 0.636364, 0.700000, 0.666667, 0.655378, 0.655517
7, 4, 178, 0.683333, 0.673161, 0.689655, 0.666667, 0.677966, 0.660599, 0.664255
7, 5, 118, 0.666667, 0.668232, 0.692308, 0.600000, 0.642857, 0.657589, 0.660220
8, 1, 195, 0.816667, 0.681138, 0.882353, 0.810811, 0.845070, 0.682516, 0.682924
8, 2, 27, 0.750000, 0.639389, 0.750000, 0.891892, 0.814815, 0.670687, 0.670760
8, 3, 136, 0.733333, 0.662753, 0.744186, 0.864865, 0.800000, 0.672066, 0.681370
8, 4, 59, 0.716667, 0.642092, 0.700000, 0.945946, 0.804598, 0.672803, 0.693429
8, 5, 92, 0.766667, 0.660557, 0.896552, 0.702703, 0.787879, 0.677272, 0.695684
9, 1, 146, 0.650000, 0.679261, 0.562500, 0.720000, 0.631579, 0.684277, 0.686051
9, 2, 161, 0.633333, 0.686847, 0.714286, 0.200000, 0.312500, 0.669885, 0.671518
9, 3, 98, 0.666667, 0.675407, 0.857143, 0.240000, 0.375000, 0.669633, 0.682433
9, 4, 83, 0.650000, 0.683045, 0.625000, 0.400000, 0.487805, 0.674887, 0.682160
9, 5, 69, 0.700000, 0.671704, 0.888889, 0.320000, 0.470588, 0.665970, 0.668191
10, 1, 27, 0.700000, 0.677335, 0.675676, 0.806452, 0.735294, 0.674508, 0.677272
10, 2, 188, 0.666667, 0.675842, 1.000000, 0.354839, 0.523810, 0.665405, 0.676073
10, 3, 38, 0.700000, 0.674157, 0.760000, 0.612903, 0.678571, 0.670019, 0.671824
10, 4, 20, 0.666667, 0.685297, 0.761905, 0.516129, 0.615385, 0.670065, 0.700548
10, 5, 26, 0.700000, 0.677524, 0.842105, 0.516129, 0.640000, 0.669526, 0.669526
11, 1, 38, 0.600000, 0.687755, 0.625000, 0.735294, 0.675676, 0.671493, 0.671759
11, 2, 40, 0.566667, 0.700330, 0.566667, 1.000000, 0.723404, 0.660996, 0.661201
11, 3, 55, 0.633333, 0.700453, 0.750000, 0.529412, 0.620690, 0.663155, 0.667497
11, 4, 30, 0.600000, 0.703527, 0.857143, 0.352941, 0.500000, 0.667425, 0.667967
11, 5, 66, 0.616667, 0.702725, 0.657143, 0.676471, 0.666667, 0.668048, 0.668048
12, 1, 193, 0.700000, 0.666876, 0.900000, 0.346154, 0.500000, 0.674401, 0.674401
12, 2, 125, 0.733333, 0.662168, 0.857143, 0.461538, 0.600000, 0.668947, 0.670945
12, 3, 122, 0.683333, 0.674722, 0.818182, 0.346154, 0.486486, 0.673237, 0.678540
12, 4, 178, 0.650000, 0.665125, 0.857143, 0.230769, 0.363636, 0.672155, 0.683765
12, 5, 102, 0.666667, 0.671841, 0.800000, 0.307692, 0.444444, 0.667706, 0.676160
13, 1, 140, 0.700000, 0.676629, 0.785714, 0.647059, 0.709677, 0.679574, 0.679574
13, 2, 113, 0.566667, 0.699763, 0.580000, 0.852941, 0.690476, 0.690551, 0.697812
13, 3, 181, 0.600000, 0.701923, 0.857143, 0.352941, 0.500000, 0.674602, 0.674602
13, 4, 2, 0.650000, 0.676754, 0.724138, 0.617647, 0.666667, 0.673444, 0.692785
13, 5, 52, 0.633333, 0.683991, 0.800000, 0.470588, 0.592593, 0.676768, 0.684515
14, 1, 58, 0.700000, 0.688384, 0.826087, 0.575758, 0.678571, 0.683142, 0.696532
14, 2, 81, 0.633333, 0.687259, 0.761905, 0.484848, 0.592593, 0.674878, 0.676941
14, 3, 174, 0.700000, 0.677248, 0.777778, 0.636364, 0.700000, 0.677110, 0.677210
14, 4, 138, 0.650000, 0.684381, 0.750000, 0.545455, 0.631579, 0.676319, 0.680915
