# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=pairwise, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 28, 0.500000, 0.753200, 0.000000, 0.000000, 0.000000, 0.753414, 0.765403
2, 2, 1, 0.466667, 0.829996, 0.482759, 0.933333, 0.636364, 0.753415, 0.753723
2, 3, 1, 0.466667, 0.829996, 0.482759, 0.933333, 0.636364, 0.753418, 0.759215
2, 4, 111, 0.500000, 0.753473, 0.000000, 0.000000, 0.000000, 0.753414, 0.753432
2, 5, 1, 0.466667, 0.829996, 0.482759, 0.933333, 0.636364, 0.753419, 0.757581
3, 1, 38, 0.483333, 0.799651, 0.516129, 0.500000, 0.507937, 0.731885, 0.735391
3, 2, 33, 0.466667, 0.797152, 0.500000, 0.500000, 0.500000, 0.731885, 0.740196
3, 3, 122, 0.483333, 0.799647, 0.516129, 0.500000, 0.507937, 0.731886, 0.738261
3, 4, 26, 0.483333, 0.799674, 0.516129, 0.500000, 0.507937, 0.731888, 0.732045
3, 5, 70, 0.483333, 0.799691, 0.516129, 0.500000, 0.507937, 0.731885, 0.732235
4, 1, 1, 0.550000, 0.779694, 0.550000, 1.000000, 0.709677, 0.709891, 0.710209
4, 2, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709891, 0.710178
4, 3, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709890, 0.709983
4, 4, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709892, 0.709974
4, 5, 1, 0.550000, 0.779694, 0.550000, 1.000000, 0.709677, 0.709890, 0.709946
5, 1, 88, 0.483333, 0.717223, 0.387097, 0.500000, 0.436364, 0.740054, 0.742756
5, 2, 127, 0.566667, 0.710303, 0.458333, 0.458333, 0.458333, 0.740054, 0.742495
5, 3, 168, 0.533333, 0.713311, 0.428571, 0.500000, 0.461538, 0.740054, 0.742183
5, 4, 82, 0.616667, 0.703916, 0.526316, 0.416667, 0.465116, 0.740055, 0.745564
5, 5, 131, 0.616667, 0.703523, 0.526316, 0.416667, 0.465116, 0.740055, 0.752977
6, 1, 87, 0.600000, 0.697173, 0.656250, 0.617647, 0.636364, 0.707096, 0.707122
6, 2, 23, 0.600000, 0.697213, 0.656250, 0.617647, 0.636364, 0.707095, 0.707101
6, 3, 185, 0.600000, 0.697173, 0.656250, 0.617647, 0.636364, 0.707096, 0.715812
6, 4, 96, 0.600000, 0.696519, 0.656250, 0.617647, 0.636364, 0.707095, 0.707395
6, 5, 12, 0.600000, 0.697187, 0.656250, 0.617647, 0.636364, 0.707095, 0.714327
7, 1, 1, 0.450000, 0.737472, 0.468085, 0.733333, 0.571429, 0.728458, 0.728490
7, 2, 1, 0.450000, 0.737472, 0.468085, 0.733333, 0.571429, 0.728458, 0.740811
7, 3, 28, 0.500000, 0.732641, 0.500000, 0.366667, 0.423077, 0.728458, 0.732670
7, 4, 45, 0.450000, 0.737468, 0.468085, 0.733333, 0.571429, 0.728467, 0.728469
7, 5, 1, 0.450000, 0.737472, 0.468085, 0.733333, 0.571429, 0.728459, 0.729826
8, 1, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.702768
8, 2, 1, 0.616667, 0.703174, 0.616667, 1.000000, 0.762887, 0.702022, 0.702560
8, 3, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.703342
8, 4, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.702296
