# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=chain, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 147, 0.900000, 0.633494, 0.875000, 0.933333, 0.903226, 0.629269, 0.636226
2, 2, 63, 0.866667, 0.597989, 0.843750, 0.900000, 0.870968, 0.570837, 0.588982
2, 3, 83, 0.850000, 0.602429, 0.783784, 0.966667, 0.865672, 0.570464, 0.570464
2, 4, 60, 0.850000, 0.600403, 0.769231, 1.000000, 0.869565, 0.571048, 0.602513
2, 5, 53, 0.850000, 0.612359, 0.888889, 0.800000, 0.842105, 0.570646, 0.597618
3, 1, 174, 0.566667, 0.701326, 0.607143, 0.531250, 0.566667, 0.668324, 0.672825
3, 2, 165, 0.733333, 0.626542, 0.766667, 0.718750, 0.741935, 0.632902, 0.637710
3, 3, 99, 0.716667, 0.621873, 0.758621, 0.687500, 0.721311, 0.631700, 0.636245
3, 4, 134, 0.783333, 0.630034, 0.806452, 0.781250, 0.793651, 0.632500, 0.633334
3, 5, 66, 0.783333, 0.626185, 0.806452, 0.781250, 0.793651, 0.629757, 0.637060
4, 1, 1, 0.550000, 0.762399, 0.550000, 1.000000, 0.709677, 0.673276, 0.673276
4, 2, 133, 0.833333, 0.632677, 0.960000, 0.727273, 0.827586, 0.621033, 0.622417
4, 3, 162, 0.883333, 0.634510, 0.964286, 0.818182, 0.885246, 0.623031, 0.627911
4, 4, 79, 0.866667, 0.664151, 0.903226, 0.848485, 0.875000, 0.629311, 0.685400
4, 5, 144, 0.850000, 0.625857, 0.900000, 0.818182, 0.857143, 0.619806, 0.626529
5, 1, 183, 0.633333, 0.700343, 0.555556, 0.416667, 0.476190, 0.722192, 0.722192
5, 2, 187, 0.733333, 0.644502, 0.785714, 0.458333, 0.578947, 0.656298, 0.663320
5, 3, 196, 0.816667, 0.633354, 0.882353, 0.625000, 0.731707, 0.653086, 0.658224
5, 4, 172, 0.750000, 0.622748, 0.764706, 0.541667, 0.634146, 0.643153, 0.643153
5, 5, 130, 0.783333, 0.638245, 0.703704, 0.791667, 0.745098, 0.641411, 0.648082
6, 1, 39, 0.600000, 0.689461, 0.647059, 0.647059, 0.647059, 0.683692, 0.683692
6, 2, 95, 0.633333, 0.672194, 0.700000, 0.617647, 0.656250, 0.648393, 0.648954
6, 3, 58, 0.600000, 0.688202, 0.638889, 0.676471, 0.657143, 0.660302, 0.661149
6, 4, 162, 0.666667, 0.664190, 0.769231, 0.588235, 0.666667, 0.651492, 0.651492
6, 5, 193, 0.633333, 0.673877, 0.833333, 0.441176, 0.576923, 0.658255, 0.668504
7, 1, 195, 0.650000, 0.675929, 0.764706, 0.433333, 0.553191, 0.676898, 0.678609
7, 2, 147, 0.683333, 0.677411, 0.703704, 0.633333, 0.666667, 0.661998, 0.661998
7, 3, 166, 0.616667, 0.668042, 0.666667, 0.466667, 0.549020, 0.669630, 0.673660
7, 4, 153, 0.666667, 0.686969, 0.812500, 0.433333, 0.565217, 0.656826, 0.658688
7, 5, 176, 0.700000, 0.667931, 0.800000, 0.533333, 0.640000, 0.660400, 0.660400
8, 1, 1, 0.616667, 0.692281, 0.616667, 1.000000, 0.762887, 0.700412, 0.700412
8, 2, 1, 0.616667, 0.691833, 0.616667, 1.000000, 0.762887, 0.694697, 0.697345
8, 3, 1, 0.616667, 0.691593, 0.616667, 1.000000, 0.762887, 0.689045, 0.694196
8, 4, 141, 0.666667, 0.674581, 0.757576, 0.675676, 0.714286, 0.679503, 0.679503
8, 5, 147, 0.766667, 0.678932, 0.780488, 0.864865, 0.820513, 0.673632, 0.673666
9, 1, 85, 0.616667, 0.689846, 0.562500, 0.360000, 0.439024, 0.703383, 0.704120
9, 2, 49, 0.616667, 0.687232, 0.562500, 0.360000, 0.439024, 0.691970, 0.698559
9, 3, 142, 0.650000, 0.678712, 0.642857, 0.360000, 0.461538, 0.663244, 0.663244
9, 4, 145, 0.616667, 0.674092, 0.750000, 0.120000, 0.206897, 0.660369, 0.661206
