# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=chain, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 25, 0.866667, 0.608196, 0.823529, 0.933333, 0.875000, 0.574172, 0.576324
2, 2, 151, 0.833333, 0.614661, 0.916667, 0.733333, 0.814815, 0.575211, 0.575211
2, 3, 21, 0.950000, 0.618034, 0.965517, 0.933333, 0.949153, 0.572063, 0.589227
2, 4, 25, 0.850000, 0.609031, 0.862069, 0.833333, 0.847458, 0.571815, 0.578707
2, 5, 7, 0.933333, 0.616920, 0.933333, 0.933333, 0.933333, 0.571287, 0.580212
3, 1, 114, 0.783333, 0.653595, 0.756757, 0.875000, 0.811594, 0.654861, 0.661769
3, 2, 46, 0.783333, 0.633889, 0.806452, 0.781250, 0.793651, 0.640616, 0.651225
3, 3, 176, 0.783333, 0.626154, 0.743590, 0.906250, 0.816901, 0.632966, 0.645153
3, 4, 169, 0.783333, 0.625991, 0.787879, 0.812500, 0.800000, 0.630065, 0.635422
3, 5, 40, 0.850000, 0.646988, 0.810811, 0.937500, 0.869565, 0.634507, 0.643801
4, 1, 33, 0.866667, 0.655964, 0.903226, 0.848485, 0.875000, 0.618322, 0.622306
4, 2, 82, 0.800000, 0.640071, 0.800000, 0.848485, 0.823529, 0.627407, 0.627859
4, 3, 77, 0.850000, 0.622287, 0.800000, 0.969697, 0.876712, 0.617646, 0.623965
4, 4, 196, 0.800000, 0.626447, 0.920000, 0.696970, 0.793103, 0.615712, 0.628544
4, 5, 82, 0.850000, 0.618472, 0.815789, 0.939394, 0.873239, 0.614079, 0.616530
5, 1, 43, 0.833333, 0.675754, 0.818182, 0.750000, 0.782609, 0.643348, 0.643501
5, 2, 173, 0.750000, 0.674434, 0.645161, 0.833333, 0.727273, 0.656168, 0.659893
5, 3, 83, 0.800000, 0.643073, 0.833333, 0.625000, 0.714286, 0.640422, 0.649292
5, 4, 132, 0.766667, 0.636365, 0.727273, 0.666667, 0.695652, 0.639355, 0.656558
5, 5, 126, 0.800000, 0.619944, 0.833333, 0.625000, 0.714286, 0.630651, 0.636728
6, 1, 59, 0.816667, 0.664716, 0.925926, 0.735294, 0.819672, 0.654730, 0.663253
6, 2, 170, 0.683333, 0.668394, 0.857143, 0.529412, 0.654545, 0.649370, 0.655508
6, 3, 37, 0.800000, 0.649905, 0.958333, 0.676471, 0.793103, 0.649660, 0.652583
6, 4, 96, 0.683333, 0.657921, 0.941176, 0.470588, 0.627451, 0.645454, 0.645454
6, 5, 134, 0.750000, 0.651524, 1.000000, 0.558824, 0.716981, 0.647748, 0.659996
7, 1, 141, 0.766667, 0.660041, 0.785714, 0.733333, 0.758621, 0.652543, 0.653916
7, 2, 116, 0.633333, 0.676903, 0.700000, 0.466667, 0.560000, 0.670320, 0.678523
7, 3, 140, 0.700000, 0.656411, 0.730769, 0.633333, 0.678571, 0.654528, 0.708378
7, 4, 158, 0.733333, 0.660528, 0.733333, 0.733333, 0.733333, 0.650949, 0.652720
7, 5, 113, 0.716667, 0.659338, 0.782609, 0.600000, 0.679245, 0.652043, 0.654070
8, 1, 68, 0.916667, 0.668027, 0.970588, 0.891892, 0.929577, 0.663326, 0.669480
8, 2, 72, 0.683333, 0.662939, 0.821429, 0.621622, 0.707692, 0.655390, 0.655390
8, 3, 7, 0.900000, 0.667711, 0.860465, 1.000000, 0.925000, 0.650908, 0.663811
8, 4, 84, 0.766667, 0.622171, 0.755556, 0.918919, 0.829268, 0.664093, 0.668693
8, 5, 72, 0.733333, 0.659717, 0.818182, 0.729730, 0.771429, 0.658208, 0.665272
9, 1, 1, 0.583333, 0.688433, 0.000000, 0.000000, 0.000000, 0.655321, 0.655886
9, 2, 70, 0.616667, 0.680997, 0.562500, 0.360000, 0.439024, 0.658487, 0.660933
9, 3, 27, 0.683333, 0.661889, 0.750000, 0.360000, 0.486486, 0.645412, 0.648126
9, 4, 168, 0.666667, 0.677515, 0.586207, 0.680000, 0.629630, 0.650580, 0.664018
9, 5, 45, 0.650000, 0.681155, 0.700000, 0.280000, 0.400000, 0.645369, 0.656534
10, 1, 196, 0.733333, 0.668265, 0.741935, 0.741935, 0.741935, 0.674396, 0.674396
10, 2, 122, 0.683333, 0.674766, 0.687500, 0.709677, 0.698413, 0.667110, 0.667601
10, 3, 104, 0.750000, 0.659075, 0.807692, 0.677419, 0.736842, 0.660930, 0.667444
