# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=full, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 161, 0.900000, 0.632744, 0.875000, 0.933333, 0.903226, 0.628370, 0.630250
2, 2, 68, 0.816667, 0.626330, 0.787879, 0.866667, 0.825397, 0.571867, 0.584330
2, 3, 91, 0.816667, 0.602744, 0.880000, 0.733333, 0.800000, 0.570361, 0.576101
2, 4, 69, 0.866667, 0.613713, 0.823529, 0.933333, 0.875000, 0.571935, 0.571935
2, 5, 120, 0.800000, 0.606374, 0.846154, 0.733333, 0.785714, 0.571540, 0.578238
3, 1, 176, 0.633333, 0.682503, 0.656250, 0.656250, 0.656250, 0.668975, 0.676447
3, 2, 150, 0.683333, 0.656680, 0.842105, 0.500000, 0.627451, 0.637588, 0.641736
3, 3, 142, 0.766667, 0.620680, 0.764706, 0.812500, 0.787879, 0.632038, 0.638495
3, 4, 115, 0.783333, 0.625363, 0.771429, 0.843750, 0.805970, 0.630347, 0.630861
3, 5, 35, 0.733333, 0.637249, 0.785714, 0.687500, 0.733333, 0.637011, 0.644979
4, 1, 119, 0.800000, 0.673661, 0.800000, 0.848485, 0.823529, 0.672344, 0.672746
4, 2, 122, 0.900000, 0.672546, 1.000000, 0.818182, 0.900000, 0.646165, 0.734311
4, 3, 142, 0.866667, 0.638084, 0.878788, 0.878788, 0.878788, 0.633404, 0.633404
4, 4, 62, 0.833333, 0.646702, 0.925926, 0.757576, 0.833333, 0.633048, 0.642330
4, 5, 73, 0.816667, 0.649355, 1.000000, 0.666667, 0.800000, 0.627010, 0.627099
5, 1, 106, 0.583333, 0.692091, 0.466667, 0.291667, 0.358974, 0.721158, 0.721158
5, 2, 70, 0.700000, 0.649636, 0.607143, 0.708333, 0.653846, 0.670399, 0.676712
5, 3, 164, 0.750000, 0.643858, 0.655172, 0.791667, 0.716981, 0.656869, 0.656869
5, 4, 144, 0.750000, 0.652541, 0.680000, 0.708333, 0.693878, 0.653130, 0.658070
5, 5, 84, 0.800000, 0.646043, 0.730769, 0.791667, 0.760000, 0.641307, 0.650604
6, 1, 51, 0.600000, 0.706921, 0.750000, 0.441176, 0.555556, 0.685710, 0.693492
6, 2, 8, 0.616667, 0.711146, 0.823529, 0.411765, 0.549020, 0.664611, 0.667644
6, 3, 3, 0.583333, 0.685326, 0.636364, 0.617647, 0.626866, 0.654191, 0.654193
6, 4, 164, 0.633333, 0.678341, 0.750000, 0.529412, 0.620690, 0.657608, 0.657649
6, 5, 4, 0.583333, 0.683120, 0.595745, 0.823529, 0.691358, 0.655804, 0.662641
7, 1, 26, 0.566667, 0.726130, 0.642857, 0.300000, 0.409091, 0.680762, 0.680762
7, 2, 171, 0.683333, 0.672362, 0.739130, 0.566667, 0.641509, 0.671051, 0.684054
7, 3, 98, 0.683333, 0.681991, 0.789474, 0.500000, 0.612245, 0.668112, 0.668112
