# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=pairwise, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 161, 0.900000, 0.633554, 0.875000, 0.933333, 0.903226, 0.628271, 0.628271
2, 2, 23, 0.866667, 0.619491, 0.892857, 0.833333, 0.862069, 0.570335, 0.602045
2, 3, 154, 0.833333, 0.594898, 0.833333, 0.833333, 0.833333, 0.570754, 0.578874
2, 4, 167, 0.800000, 0.604755, 0.781250, 0.833333, 0.806452, 0.571724, 0.598209
2, 5, 44, 0.866667, 0.606221, 0.843750, 0.900000, 0.870968, 0.570181, 0.575870
3, 1, 114, 0.600000, 0.696591, 0.700000, 0.437500, 0.538462, 0.668503, 0.672048
3, 2, 196, 0.800000, 0.613066, 0.794118, 0.843750, 0.818182, 0.631206, 0.635304
3, 3, 150, 0.783333, 0.619543, 0.787879, 0.812500, 0.800000, 0.631640, 0.636169
3, 4, 200, 0.766667, 0.627829, 0.800000, 0.750000, 0.774194, 0.631021, 0.642007
3, 5, 184, 0.766667, 0.622643, 0.800000, 0.750000, 0.774194, 0.632646, 0.641733
4, 1, 199, 0.700000, 0.684734, 0.826087, 0.575758, 0.678571, 0.685626, 0.685626
4, 2, 137, 0.816667, 0.644512, 0.805556, 0.878788, 0.840580, 0.625807, 0.630103
4, 3, 76, 0.866667, 0.661043, 1.000000, 0.757576, 0.862069, 0.620915, 0.624881
4, 4, 86, 0.850000, 0.650017, 0.928571, 0.787879, 0.852459, 0.621795, 0.628413
4, 5, 57, 0.816667, 0.634413, 0.958333, 0.696970, 0.807018, 0.617449, 0.637236
5, 1, 200, 0.650000, 0.683723, 0.588235, 0.416667, 0.487805, 0.685978, 0.687226
5, 2, 162, 0.800000, 0.639705, 0.772727, 0.708333, 0.739130, 0.644831, 0.646901
5, 3, 114, 0.733333, 0.636621, 0.785714, 0.458333, 0.578947, 0.643769, 0.643769
5, 4, 97, 0.733333, 0.644230, 0.750000, 0.500000, 0.600000, 0.646333, 0.646516
5, 5, 160, 0.766667, 0.631033, 0.857143, 0.500000, 0.631579, 0.646216, 0.646873
6, 1, 55, 0.616667, 0.706914, 0.789474, 0.441176, 0.566038, 0.678241, 0.678241
6, 2, 63, 0.633333, 0.679523, 0.666667, 0.705882, 0.685714, 0.651305, 0.653845
6, 3, 56, 0.683333, 0.666900, 0.800000, 0.588235, 0.677966, 0.648760, 0.654008
6, 4, 16, 0.633333, 0.683069, 0.666667, 0.705882, 0.685714, 0.653123, 0.669938
6, 5, 129, 0.716667, 0.660102, 0.869565, 0.588235, 0.701754, 0.652397, 0.662592
7, 1, 142, 0.600000, 0.703036, 1.000000, 0.200000, 0.333333, 0.680356, 0.680356
7, 2, 161, 0.733333, 0.665393, 0.769231, 0.666667, 0.714286, 0.652276, 0.655027
7, 3, 200, 0.716667, 0.661688, 0.724138, 0.700000, 0.711864, 0.654990, 0.655413
7, 4, 84, 0.750000, 0.665015, 0.800000, 0.666667, 0.727273, 0.650138, 0.684762
7, 5, 151, 0.783333, 0.652182, 0.869565, 0.666667, 0.754717, 0.646217, 0.649037
8, 1, 1, 0.616667, 0.704115, 0.616667, 1.000000, 0.762887, 0.694982, 0.708315
8, 2, 187, 0.783333, 0.674200, 0.815789, 0.837838, 0.826667, 0.680749, 0.718796
8, 3, 141, 0.883333, 0.666280, 0.894737, 0.918919, 0.906667, 0.667774, 0.681957
8, 4, 144, 0.866667, 0.670020, 0.853659, 0.945946, 0.897436, 0.671231, 0.671231
8, 5, 173, 0.866667, 0.645310, 0.853659, 0.945946, 0.897436, 0.660454, 0.661401
9, 1, 167, 0.616667, 0.689503, 0.562500, 0.360000, 0.439024, 0.703053, 0.708924
9, 2, 126, 0.633333, 0.683320, 0.600000, 0.360000, 0.450000, 0.673280, 0.673280
9, 3, 59, 0.600000, 0.689069, 0.529412, 0.360000, 0.428571, 0.663008, 0.701847
9, 4, 7, 0.583333, 0.681225, 0.500000, 0.080000, 0.137931, 0.659115, 0.660856
9, 5, 150, 0.650000, 0.684273, 0.600000, 0.480000, 0.533333, 0.666954, 0.693917
10, 1, 21, 0.600000, 0.701785, 0.640000, 0.516129, 0.571429, 0.709387, 0.713597
10, 2, 161, 0.633333, 0.689205, 0.736842, 0.451613, 0.560000, 0.684473, 0.684473
10, 3, 124, 0.733333, 0.670007, 1.000000, 0.483871, 0.652174, 0.676716, 0.680050
10, 4, 141, 0.616667, 0.697551, 0.666667, 0.516129, 0.581818, 0.691984, 0.693317
10, 5, 128, 0.733333, 0.676002, 0.758621, 0.709677, 0.733333, 0.680888, 0.693134
11, 1, 2, 0.550000, 0.691706, 0.563636, 0.911765, 0.696629, 0.702524, 0.702889
11, 2, 141, 0.650000, 0.680545, 0.760000, 0.558824, 0.644068, 0.684339, 0.684339
11, 3, 179, 0.633333, 0.680060, 0.714286, 0.588235, 0.645161, 0.680663, 0.680786
11, 4, 140, 0.666667, 0.677879, 0.791667, 0.558824, 0.655172, 0.673218, 0.673218
11, 5, 83, 0.633333, 0.683599, 0.800000, 0.470588, 0.592593, 0.677815, 0.684445
12, 1, 56, 0.633333, 0.683561, 0.833333, 0.192308, 0.312500, 0.699983, 0.700942
12, 2, 167, 0.633333, 0.687359, 0.700000, 0.269231, 0.388889, 0.698559, 0.701115
12, 3, 118, 0.633333, 0.673435, 1.000000, 0.153846, 0.266667, 0.690968, 0.691359
12, 4, 191, 0.800000, 0.655399, 0.769231, 0.769231, 0.769231, 0.668004, 0.670434
12, 5, 141, 0.716667, 0.675136, 0.909091, 0.384615, 0.540541, 0.683604, 0.683604
13, 1, 130, 0.683333, 0.669119, 0.800000, 0.588235, 0.677966, 0.672275, 0.672275
13, 2, 189, 0.716667, 0.655780, 0.840000, 0.617647, 0.711864, 0.665771, 0.665827
