# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=pairwise, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 135, 0.883333, 0.641197, 0.870968, 0.900000, 0.885246, 0.630076, 0.630076
2, 2, 79, 0.866667, 0.605347, 0.892857, 0.833333, 0.862069, 0.572108, 0.575115
2, 3, 63, 0.816667, 0.612525, 0.756757, 0.933333, 0.835821, 0.570436, 0.579573
2, 4, 54, 0.816667, 0.617755, 0.756757, 0.933333, 0.835821, 0.571359, 0.572093
2, 5, 15, 0.833333, 0.605843, 0.833333, 0.833333, 0.833333, 0.571822, 0.593074
3, 1, 133, 0.600000, 0.701219, 0.722222, 0.406250, 0.520000, 0.670813, 0.670813
3, 2, 130, 0.700000, 0.647645, 0.818182, 0.562500, 0.666667, 0.634860, 0.653558
3, 3, 138, 0.766667, 0.641317, 0.781250, 0.781250, 0.781250, 0.631562, 0.636166
3, 4, 163, 0.766667, 0.630821, 0.781250, 0.781250, 0.781250, 0.634126, 0.636537
3, 5, 154, 0.750000, 0.628745, 0.774194, 0.750000, 0.761905, 0.632427, 0.682840
4, 1, 106, 0.850000, 0.667775, 0.928571, 0.787879, 0.852459, 0.669060, 0.677087
4, 2, 118, 0.850000, 0.670227, 0.875000, 0.848485, 0.861538, 0.630832, 0.640569
4, 3, 170, 0.816667, 0.629159, 0.923077, 0.727273, 0.813559, 0.623692, 0.642198
4, 4, 183, 0.833333, 0.631826, 0.960000, 0.727273, 0.827586, 0.626588, 0.634244
4, 5, 50, 0.800000, 0.655552, 0.956522, 0.666667, 0.785714, 0.617759, 0.624101
5, 1, 191, 0.666667, 0.693717, 0.750000, 0.250000, 0.375000, 0.694787, 0.695089
5, 2, 146, 0.700000, 0.667682, 0.687500, 0.458333, 0.550000, 0.668003, 0.668003
5, 3, 141, 0.716667, 0.668588, 0.733333, 0.458333, 0.564103, 0.674548, 0.686176
5, 4, 179, 0.733333, 0.648147, 0.750000, 0.500000, 0.600000, 0.650587, 0.657587
5, 5, 118, 0.766667, 0.631417, 0.857143, 0.500000, 0.631579, 0.646676, 0.665823
6, 1, 21, 0.600000, 0.689444, 0.638889, 0.676471, 0.657143, 0.690180, 0.690180
6, 2, 200, 0.616667, 0.666385, 0.607843, 0.911765, 0.729412, 0.656801, 0.661538
6, 3, 178, 0.583333, 0.686107, 0.666667, 0.529412, 0.590164, 0.650184, 0.659418
6, 4, 26, 0.600000, 0.685583, 0.619048, 0.764706, 0.684211, 0.659154, 0.661034
6, 5, 21, 0.683333, 0.678623, 0.800000, 0.588235, 0.677966, 0.652855, 0.655672
7, 1, 147, 0.666667, 0.675176, 0.777778, 0.466667, 0.583333, 0.670612, 0.676257
7, 2, 197, 0.650000, 0.671736, 0.655172, 0.633333, 0.644068, 0.654436, 0.655041
7, 3, 129, 0.700000, 0.664789, 0.700000, 0.700000, 0.700000, 0.659808, 0.661451
7, 4, 190, 0.750000, 0.655456, 0.758621, 0.733333, 0.745763, 0.651884, 0.660479
7, 5, 147, 0.733333, 0.658232, 0.818182, 0.600000, 0.692308, 0.654402, 0.677139
8, 1, 1, 0.616667, 0.703890, 0.616667, 1.000000, 0.762887, 0.694022, 0.694022
8, 2, 164, 0.866667, 0.684448, 1.000000, 0.783784, 0.878788, 0.677992, 0.684892
8, 3, 191, 0.850000, 0.677151, 0.833333, 0.945946, 0.886076, 0.680336, 0.688328
8, 4, 123, 0.850000, 0.659214, 0.868421, 0.891892, 0.880000, 0.667060, 0.673801
8, 5, 163, 0.866667, 0.651156, 0.853659, 0.945946, 0.897436, 0.661540, 0.679187
9, 1, 163, 0.616667, 0.690052, 0.562500, 0.360000, 0.439024, 0.703140, 0.708110
9, 2, 56, 0.600000, 0.683590, 0.533333, 0.320000, 0.400000, 0.690190, 0.690190
9, 3, 96, 0.600000, 0.688658, 0.529412, 0.360000, 0.428571, 0.678377, 0.695704
9, 4, 153, 0.633333, 0.678385, 0.636364, 0.280000, 0.388889, 0.665242, 0.668605
9, 5, 191, 0.616667, 0.685236, 0.550000, 0.440000, 0.488889, 0.661390, 0.668444
10, 1, 78, 0.600000, 0.702257, 0.652174, 0.483871, 0.555556, 0.709550, 0.709550
10, 2, 188, 0.700000, 0.659290, 0.809524, 0.548387, 0.653846, 0.672407, 0.676817
10, 3, 195, 0.683333, 0.671358, 0.730769, 0.612903, 0.666667, 0.678618, 0.696088
10, 4, 154, 0.750000, 0.671849, 0.900000, 0.580645, 0.705882, 0.679453, 0.679453
10, 5, 149, 0.750000, 0.674126, 0.766667, 0.741935, 0.754098, 0.676908, 0.685546
11, 1, 33, 0.600000, 0.709265, 0.857143, 0.352941, 0.500000, 0.700825, 0.711701
11, 2, 172, 0.683333, 0.664055, 0.777778, 0.617647, 0.688525, 0.684010, 0.685302
11, 3, 198, 0.683333, 0.673750, 0.777778, 0.617647, 0.688525, 0.682221, 0.682537
11, 4, 137, 0.650000, 0.681723, 0.782609, 0.529412, 0.631579, 0.682093, 0.689843
11, 5, 126, 0.700000, 0.666420, 0.863636, 0.558824, 0.678571, 0.675670, 0.683002
12, 1, 196, 0.633333, 0.683662, 0.833333, 0.192308, 0.312500, 0.700714, 0.715554
12, 2, 126, 0.733333, 0.665308, 0.916667, 0.423077, 0.578947, 0.678342, 0.682441
12, 3, 84, 0.683333, 0.681449, 0.769231, 0.384615, 0.512821, 0.684033, 0.684033
12, 4, 94, 0.716667, 0.662823, 0.909091, 0.384615, 0.540541, 0.680396, 0.681016
12, 5, 158, 0.800000, 0.665620, 0.888889, 0.615385, 0.727273, 0.676328, 0.680035
13, 1, 91, 0.666667, 0.674507, 0.733333, 0.647059, 0.687500, 0.673370, 0.673370
13, 2, 143, 0.666667, 0.663414, 0.791667, 0.558824, 0.655172, 0.671486, 0.671868
13, 3, 183, 0.750000, 0.660141, 0.880000, 0.647059, 0.745763, 0.665193, 0.669745
13, 4, 77, 0.683333, 0.672434, 0.941176, 0.470588, 0.627451, 0.673466, 0.684688
13, 5, 95, 0.700000, 0.675720, 0.807692, 0.617647, 0.700000, 0.666042, 0.673110
14, 1, 170, 0.750000, 0.669080, 0.909091, 0.606061, 0.727273, 0.676363, 0.676363
14, 2, 137, 0.700000, 0.673836, 0.894737, 0.515152, 0.653846, 0.678581, 0.678622
14, 3, 55, 0.683333, 0.668800, 0.750000, 0.636364, 0.688525, 0.669221, 0.677861
14, 4, 96, 0.733333, 0.673797, 0.869565, 0.606061, 0.714286, 0.674786, 0.747211
14, 5, 118, 0.750000, 0.660267, 0.781250, 0.757576, 0.769231, 0.667660, 0.668911
15, 1, 106, 0.616667, 0.710220, 0.560976, 0.821429, 0.666667, 0.673021, 0.677082
15, 2, 158, 0.633333, 0.693762, 0.571429, 0.857143, 0.685714, 0.667044, 0.667044
15, 3, 80, 0.633333, 0.684229, 0.615385, 0.571429, 0.592593, 0.668789, 0.675601
15, 4, 112, 0.633333, 0.697393, 0.575000, 0.821429, 0.676471, 0.671190, 0.675924
15, 5, 82, 0.650000, 0.668102, 0.733333, 0.392857, 0.511628, 0.663456, 0.664471
16, 1, 19, 0.550000, 0.699911, 0.000000, 0.000000, 0.000000, 0.690326, 0.690447
16, 2, 95, 0.533333, 0.699036, 0.000000, 0.000000, 0.000000, 0.689416, 0.689416
16, 3, 189, 0.650000, 0.687507, 0.583333, 0.777778, 0.666667, 0.679685, 0.682466
16, 4, 187, 0.766667, 0.679487, 0.782609, 0.666667, 0.720000, 0.670702, 0.676808
16, 5, 182, 0.616667, 0.688055, 0.750000, 0.222222, 0.342857, 0.680097, 0.684245
17, 1, 25, 0.683333, 0.686994, 0.764706, 0.702703, 0.732394, 0.699802, 0.709540
17, 2, 32, 0.683333, 0.684730, 0.725000, 0.783784, 0.753247, 0.686388, 0.694449
17, 3, 21, 0.633333, 0.679314, 0.682927, 0.756757, 0.717949, 0.681149, 0.681149
17, 4, 167, 0.683333, 0.680921, 0.714286, 0.810811, 0.759494, 0.688422, 0.691144
17, 5, 1, 0.616667, 0.666753, 0.616667, 1.000000, 0.762887, 0.675390, 0.675390
18, 1, 1, 0.516667, 0.768390, 0.516667, 1.000000, 0.681319, 0.696878, 0.700786
18, 2, 173, 0.600000, 0.684813, 0.585366, 0.774194, 0.666667, 0.684049, 0.703448
18, 3, 188, 0.600000, 0.687407, 0.589744, 0.741935, 0.657143, 0.683412, 0.688797
18, 4, 191, 0.633333, 0.684273, 0.666667, 0.580645, 0.620690, 0.681109, 0.681109
18, 5, 136, 0.650000, 0.679478, 0.625000, 0.806452, 0.704225, 0.681907, 0.689263
19, 1, 50, 0.583333, 0.691908, 0.605263, 0.696970, 0.647887, 0.697570, 0.699389
19, 2, 66, 0.583333, 0.692161, 0.600000, 0.727273, 0.657534, 0.679759, 0.686365
19, 3, 188, 0.616667, 0.687473, 0.656250, 0.636364, 0.646154, 0.679930, 0.692327
19, 4, 92, 0.583333, 0.693520, 0.583333, 0.848485, 0.691358, 0.677453, 0.677986
19, 5, 115, 0.600000, 0.690146, 0.666667, 0.545455, 0.600000, 0.676770, 0.694320
20, 1, 182, 0.550000, 0.703270, 0.545455, 0.937500, 0.689655, 0.689253, 0.689992
20, 2, 43, 0.566667, 0.708649, 0.800000, 0.250000, 0.380952, 0.685901, 0.690875
20, 3, 40, 0.566667, 0.702806, 0.553571, 0.968750, 0.704545, 0.685313, 0.688201
20, 4, 2, 0.550000, 0.703620, 0.545455, 0.937500, 0.689655, 0.680667, 0.690946
20, 5, 7, 0.566667, 0.708220, 0.800000, 0.250000, 0.380952, 0.681759, 0.683771
