# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=pairwise, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 77, 0.816667, 0.600583, 0.880000, 0.733333, 0.800000, 0.574484, 0.586120
2, 2, 57, 0.866667, 0.633258, 0.866667, 0.866667, 0.866667, 0.579005, 0.601851
2, 3, 9, 0.866667, 0.631107, 0.866667, 0.866667, 0.866667, 0.571129, 0.572762
2, 4, 72, 0.833333, 0.597734, 0.750000, 1.000000, 0.857143, 0.571238, 0.578018
2, 5, 156, 0.833333, 0.596164, 0.777778, 0.933333, 0.848485, 0.570656, 0.579898
3, 1, 99, 0.683333, 0.673204, 0.882353, 0.468750, 0.612245, 0.643934, 0.661424
3, 2, 139, 0.766667, 0.642587, 0.800000, 0.750000, 0.774194, 0.642064, 0.644005
3, 3, 72, 0.816667, 0.632534, 0.800000, 0.875000, 0.835821, 0.633548, 0.663834
3, 4, 39, 0.733333, 0.645904, 0.750000, 0.750000, 0.750000, 0.638108, 0.672053
3, 5, 194, 0.800000, 0.633543, 0.777778, 0.875000, 0.823529, 0.638924, 0.644936
4, 1, 51, 0.816667, 0.630393, 0.805556, 0.878788, 0.840580, 0.618470, 0.618670
4, 2, 176, 0.750000, 0.649337, 0.875000, 0.636364, 0.736842, 0.630226, 0.631965
4, 3, 70, 0.850000, 0.637785, 0.961538, 0.757576, 0.847458, 0.617421, 0.620100
4, 4, 43, 0.816667, 0.631923, 0.958333, 0.696970, 0.807018, 0.618461, 0.626036
4, 5, 8, 0.833333, 0.657062, 0.960000, 0.727273, 0.827586, 0.617975, 0.629289
5, 1, 63, 0.816667, 0.646819, 0.760000, 0.791667, 0.775510, 0.644878, 0.644878
5, 2, 123, 0.716667, 0.668998, 0.705882, 0.500000, 0.585366, 0.659726, 0.659726
5, 3, 101, 0.800000, 0.640980, 0.800000, 0.666667, 0.727273, 0.644052, 0.647659
5, 4, 152, 0.750000, 0.629420, 0.909091, 0.416667, 0.571429, 0.643928, 0.647919
5, 5, 33, 0.783333, 0.645993, 0.761905, 0.666667, 0.711111, 0.648114, 0.668260
6, 1, 31, 0.766667, 0.666686, 0.916667, 0.647059, 0.758621, 0.649429, 0.649664
6, 2, 161, 0.650000, 0.669301, 0.709677, 0.647059, 0.676923, 0.649373, 0.659977
6, 3, 135, 0.733333, 0.657450, 0.736842, 0.823529, 0.777778, 0.658538, 0.659703
6, 4, 20, 0.700000, 0.671552, 0.833333, 0.588235, 0.689655, 0.648495, 0.662145
6, 5, 77, 0.700000, 0.662751, 0.766667, 0.676471, 0.718750, 0.656013, 0.675798
7, 1, 117, 0.650000, 0.677795, 0.636364, 0.700000, 0.666667, 0.657898, 0.661945
7, 2, 184, 0.816667, 0.648106, 0.913043, 0.700000, 0.792453, 0.648414, 0.677572
7, 3, 106, 0.816667, 0.649155, 0.913043, 0.700000, 0.792453, 0.649270, 0.649857
7, 4, 194, 0.700000, 0.657262, 0.750000, 0.600000, 0.666667, 0.649389, 0.663746
7, 5, 95, 0.733333, 0.655760, 0.750000, 0.700000, 0.724138, 0.647172, 0.650993
8, 1, 132, 0.616667, 0.681561, 0.634615, 0.891892, 0.741573, 0.690136, 0.690313
8, 2, 182, 0.783333, 0.652034, 0.833333, 0.810811, 0.821918, 0.665868, 0.676073
8, 3, 24, 0.883333, 0.670666, 0.894737, 0.918919, 0.906667, 0.660459, 0.682130
8, 4, 83, 0.650000, 0.652309, 0.648148, 0.945946, 0.769231, 0.671309, 0.672719
8, 5, 95, 0.816667, 0.661233, 1.000000, 0.702703, 0.825397, 0.659008, 0.663916
