# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=ring, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 70, 0.666667, 0.656898, 0.656250, 0.700000, 0.677419, 0.629770, 0.631856
2, 2, 55, 0.850000, 0.601486, 0.862069, 0.833333, 0.847458, 0.570408, 0.575539
2, 3, 69, 0.850000, 0.604375, 0.862069, 0.833333, 0.847458, 0.571289, 0.584692
2, 4, 200, 0.833333, 0.596213, 0.777778, 0.933333, 0.848485, 0.572337, 0.579016
2, 5, 27, 0.833333, 0.602175, 0.857143, 0.800000, 0.827586, 0.572585, 0.594227
3, 1, 63, 0.633333, 0.723131, 0.708333, 0.531250, 0.607143, 0.662780, 0.662997
3, 2, 67, 0.716667, 0.649819, 0.777778, 0.656250, 0.711864, 0.650239, 0.650369
3, 3, 161, 0.716667, 0.640711, 0.826087, 0.593750, 0.690909, 0.633247, 0.637503
3, 4, 138, 0.766667, 0.632687, 0.800000, 0.750000, 0.774194, 0.631599, 0.634972
3, 5, 139, 0.816667, 0.629389, 0.800000, 0.875000, 0.835821, 0.640181, 0.641097
4, 1, 146, 0.583333, 0.714509, 0.722222, 0.393939, 0.509804, 0.695177, 0.698725
4, 2, 57, 0.766667, 0.645678, 0.851852, 0.696970, 0.766667, 0.625325, 0.625464
4, 3, 121, 0.816667, 0.628606, 0.789474, 0.909091, 0.845070, 0.620728, 0.627107
4, 4, 173, 0.850000, 0.622485, 0.833333, 0.909091, 0.869565, 0.611611, 0.615810
4, 5, 96, 0.833333, 0.631755, 0.960000, 0.727273, 0.827586, 0.617340, 0.634210
5, 1, 185, 0.683333, 0.655286, 0.608696, 0.583333, 0.595745, 0.667912, 0.670766
5, 2, 166, 0.716667, 0.646887, 0.733333, 0.458333, 0.564103, 0.657239, 0.672267
5, 3, 198, 0.800000, 0.632880, 0.687500, 0.916667, 0.785714, 0.637520, 0.637779
5, 4, 118, 0.800000, 0.639302, 0.750000, 0.750000, 0.750000, 0.633412, 0.642812
5, 5, 67, 0.783333, 0.624421, 0.923077, 0.500000, 0.648649, 0.632908, 0.646886
6, 1, 51, 0.516667, 0.762074, 0.619048, 0.382353, 0.472727, 0.667793, 0.682267
6, 2, 144, 0.716667, 0.657610, 0.688889, 0.911765, 0.784810, 0.649998, 0.652157
6, 3, 94, 0.650000, 0.671889, 0.666667, 0.764706, 0.712329, 0.646944, 0.647668
6, 4, 66, 0.616667, 0.682580, 0.689655, 0.588235, 0.634921, 0.650966, 0.651966
6, 5, 8, 0.650000, 0.675094, 0.809524, 0.500000, 0.618182, 0.644909, 0.651596
7, 1, 169, 0.616667, 0.681970, 0.705882, 0.400000, 0.510638, 0.673476, 0.679595
7, 2, 189, 0.700000, 0.663828, 0.700000, 0.700000, 0.700000, 0.659557, 0.661779
7, 3, 158, 0.683333, 0.657780, 0.761905, 0.533333, 0.627451, 0.650444, 0.651276
7, 4, 134, 0.750000, 0.647937, 0.758621, 0.733333, 0.745763, 0.645676, 0.655536
7, 5, 64, 0.733333, 0.656703, 0.733333, 0.733333, 0.733333, 0.649972, 0.651003
8, 1, 77, 0.683333, 0.662101, 0.736842, 0.756757, 0.746667, 0.691232, 0.703272
8, 2, 155, 0.716667, 0.639478, 0.692308, 0.972973, 0.808989, 0.668333, 0.670235
8, 3, 146, 0.833333, 0.645075, 0.909091, 0.810811, 0.857143, 0.654252, 0.654378
8, 4, 136, 0.833333, 0.633053, 0.800000, 0.972973, 0.878049, 0.654153, 0.656200
8, 5, 130, 0.716667, 0.649390, 0.777778, 0.756757, 0.767123, 0.660595, 0.670596
9, 1, 109, 0.566667, 0.710507, 0.428571, 0.120000, 0.187500, 0.675339, 0.676781
9, 2, 144, 0.683333, 0.668777, 0.666667, 0.480000, 0.558140, 0.643288, 0.645942
9, 3, 124, 0.600000, 0.675004, 1.000000, 0.040000, 0.076923, 0.642053, 0.651885
9, 4, 24, 0.650000, 0.679070, 0.666667, 0.320000, 0.432432, 0.646917, 0.649846
9, 5, 87, 0.700000, 0.657032, 0.888889, 0.320000, 0.470588, 0.643885, 0.665463
10, 1, 172, 0.616667, 0.695761, 0.600000, 0.774194, 0.676056, 0.689893, 0.691507
10, 2, 109, 0.666667, 0.673748, 0.739130, 0.548387, 0.629630, 0.656045, 0.656045
10, 3, 195, 0.700000, 0.669518, 0.809524, 0.548387, 0.653846, 0.669479, 0.678194
10, 4, 83, 0.733333, 0.669784, 0.941176, 0.516129, 0.666667, 0.660837, 0.666869
10, 5, 114, 0.716667, 0.662221, 0.769231, 0.645161, 0.701754, 0.655087, 0.667212
11, 1, 15, 0.583333, 0.680417, 0.595745, 0.823529, 0.691358, 0.683944, 0.685331
11, 2, 73, 0.650000, 0.673052, 0.658537, 0.794118, 0.720000, 0.666994, 0.669888
11, 3, 78, 0.600000, 0.698141, 0.857143, 0.352941, 0.500000, 0.660035, 0.680816
11, 4, 172, 0.716667, 0.673611, 0.793103, 0.676471, 0.730159, 0.665637, 0.676153
11, 5, 49, 0.683333, 0.685702, 0.857143, 0.529412, 0.654545, 0.663403, 0.673542
12, 1, 76, 0.650000, 0.682598, 0.580645, 0.692308, 0.631579, 0.685555, 0.693102
12, 2, 117, 0.733333, 0.669957, 0.666667, 0.769231, 0.714286, 0.668525, 0.678643
12, 3, 63, 0.633333, 0.679432, 1.000000, 0.153846, 0.266667, 0.664449, 0.664936
12, 4, 108, 0.733333, 0.666473, 0.666667, 0.769231, 0.714286, 0.661103, 0.672816
12, 5, 172, 0.666667, 0.677895, 0.607143, 0.653846, 0.629630, 0.670358, 0.694067
13, 1, 124, 0.633333, 0.680403, 0.928571, 0.382353, 0.541667, 0.676690, 0.676690
13, 2, 190, 0.666667, 0.667473, 0.733333, 0.647059, 0.687500, 0.670100, 0.674136
13, 3, 131, 0.700000, 0.672144, 0.833333, 0.588235, 0.689655, 0.665057, 0.675737
13, 4, 19, 0.683333, 0.678372, 0.714286, 0.735294, 0.724638, 0.663826, 0.674774
13, 5, 72, 0.666667, 0.660870, 0.675000, 0.794118, 0.729730, 0.663091, 0.668270
