# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=ring, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 20, 0.916667, 0.629894, 0.931034, 0.900000, 0.915254, 0.626178, 0.635359
2, 2, 88, 0.900000, 0.631908, 0.875000, 0.933333, 0.903226, 0.626150, 0.626839
2, 3, 188, 0.916667, 0.628533, 0.931034, 0.900000, 0.915254, 0.625900, 0.631074
2, 4, 198, 0.900000, 0.646544, 0.900000, 0.900000, 0.900000, 0.627562, 0.640522
2, 5, 14, 0.900000, 0.629116, 0.961538, 0.833333, 0.892857, 0.625911, 0.625974
3, 1, 57, 0.633333, 0.670554, 0.750000, 0.468750, 0.576923, 0.668682, 0.669981
3, 2, 128, 0.666667, 0.677450, 0.714286, 0.625000, 0.666667, 0.669016, 0.669770
3, 3, 59, 0.683333, 0.675659, 0.724138, 0.656250, 0.688525, 0.668439, 0.671196
3, 4, 162, 0.633333, 0.667876, 0.750000, 0.468750, 0.576923, 0.669364, 0.686109
3, 5, 91, 0.683333, 0.678506, 0.740741, 0.625000, 0.677966, 0.670700, 0.671393
4, 1, 148, 0.783333, 0.621898, 0.857143, 0.727273, 0.786885, 0.626299, 0.629084
4, 2, 49, 0.750000, 0.649918, 0.781250, 0.757576, 0.769231, 0.626647, 0.629269
4, 3, 44, 0.816667, 0.620977, 0.843750, 0.818182, 0.830769, 0.625257, 0.634804
4, 4, 197, 0.783333, 0.624419, 0.763158, 0.878788, 0.816901, 0.629658, 0.630609
4, 5, 146, 0.800000, 0.637962, 0.818182, 0.818182, 0.818182, 0.628565, 0.642016
5, 1, 66, 0.766667, 0.640379, 0.678571, 0.791667, 0.730769, 0.641174, 0.648435
5, 2, 194, 0.733333, 0.649427, 0.722222, 0.541667, 0.619048, 0.650416, 0.651580
5, 3, 162, 0.816667, 0.628834, 0.760000, 0.791667, 0.775510, 0.639507, 0.652157
5, 4, 131, 0.783333, 0.631572, 0.720000, 0.750000, 0.734694, 0.642412, 0.663796
5, 5, 154, 0.783333, 0.630267, 0.720000, 0.750000, 0.734694, 0.638681, 0.646957
6, 1, 39, 0.650000, 0.688478, 0.882353, 0.441176, 0.588235, 0.662822, 0.662822
6, 2, 178, 0.750000, 0.657675, 0.851852, 0.676471, 0.754098, 0.657796, 0.658907
6, 3, 21, 0.716667, 0.661468, 0.717949, 0.823529, 0.767123, 0.647885, 0.647885
6, 4, 105, 0.716667, 0.657896, 0.814815, 0.647059, 0.721311, 0.649714, 0.654324
6, 5, 163, 0.650000, 0.666983, 0.709677, 0.647059, 0.676923, 0.646729, 0.695633
7, 1, 107, 0.683333, 0.666562, 0.657143, 0.766667, 0.707692, 0.662437, 0.668426
7, 2, 114, 0.716667, 0.658589, 0.740741, 0.666667, 0.701754, 0.651191, 0.658429
7, 3, 198, 0.683333, 0.665712, 0.789474, 0.500000, 0.612245, 0.654357, 0.655691
7, 4, 82, 0.716667, 0.657589, 0.760000, 0.633333, 0.690909, 0.657509, 0.659154
7, 5, 69, 0.700000, 0.674757, 0.800000, 0.533333, 0.640000, 0.649751, 0.655990
8, 1, 59, 0.750000, 0.645714, 0.729167, 0.945946, 0.823529, 0.648765, 0.656617
8, 2, 121, 0.700000, 0.651492, 0.806452, 0.675676, 0.735294, 0.668116, 0.668116
8, 3, 146, 0.716667, 0.643582, 0.794118, 0.729730, 0.760563, 0.647215, 0.652616
8, 4, 116, 0.783333, 0.638367, 0.785714, 0.891892, 0.835443, 0.644778, 0.648870
8, 5, 26, 0.783333, 0.656288, 0.900000, 0.729730, 0.805970, 0.646443, 0.715651
9, 1, 163, 0.766667, 0.657941, 0.823529, 0.560000, 0.666667, 0.646290, 0.658902
9, 2, 166, 0.783333, 0.657395, 0.833333, 0.600000, 0.697674, 0.645919, 0.662130
9, 3, 51, 0.750000, 0.669052, 0.750000, 0.600000, 0.666667, 0.645997, 0.647631
9, 4, 107, 0.650000, 0.666270, 0.750000, 0.240000, 0.363636, 0.637681, 0.650732
9, 5, 165, 0.716667, 0.670081, 0.681818, 0.600000, 0.638298, 0.639247, 0.652556
10, 1, 14, 0.666667, 0.680314, 0.789474, 0.483871, 0.600000, 0.658438, 0.666028
10, 2, 50, 0.683333, 0.679640, 0.730769, 0.612903, 0.666667, 0.656221, 0.657652
10, 3, 173, 0.733333, 0.669591, 0.857143, 0.580645, 0.692308, 0.652877, 0.653572
10, 4, 112, 0.783333, 0.666318, 0.875000, 0.677419, 0.763636, 0.657753, 0.662087
10, 5, 114, 0.650000, 0.671548, 0.857143, 0.387097, 0.533333, 0.655717, 0.656777
11, 1, 32, 0.683333, 0.666220, 0.682927, 0.823529, 0.746667, 0.661277, 0.661277
11, 2, 163, 0.616667, 0.674779, 0.622222, 0.823529, 0.708861, 0.662702, 0.663157
11, 3, 28, 0.716667, 0.664576, 0.729730, 0.794118, 0.760563, 0.654432, 0.659203
11, 4, 119, 0.683333, 0.683339, 0.727273, 0.705882, 0.716418, 0.656835, 0.658493
11, 5, 46, 0.666667, 0.679249, 0.694444, 0.735294, 0.714286, 0.653425, 0.661328
12, 1, 17, 0.716667, 0.663230, 0.846154, 0.423077, 0.564103, 0.665478, 0.667105
12, 2, 180, 0.716667, 0.669078, 0.909091, 0.384615, 0.540541, 0.665347, 0.679494
12, 3, 135, 0.766667, 0.650840, 1.000000, 0.461538, 0.631579, 0.663896, 0.667272
