# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=chain, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 176, 0.900000, 0.672750, 1.000000, 0.800000, 0.888889, 0.667672, 0.667672
2, 2, 175, 0.633333, 0.681098, 0.590909, 0.866667, 0.702703, 0.666962, 0.666962
2, 3, 166, 0.900000, 0.630455, 0.900000, 0.900000, 0.900000, 0.627356, 0.632339
2, 4, 147, 0.833333, 0.627067, 1.000000, 0.666667, 0.800000, 0.631016, 0.631016
2, 5, 77, 0.850000, 0.634237, 0.920000, 0.766667, 0.836364, 0.624250, 0.626581
3, 1, 186, 0.600000, 0.690973, 0.833333, 0.312500, 0.454545, 0.693007, 0.702035
3, 2, 178, 0.716667, 0.659881, 0.800000, 0.625000, 0.701754, 0.668314, 0.675267
3, 3, 51, 0.666667, 0.672825, 0.676471, 0.718750, 0.696970, 0.675527, 0.695305
3, 4, 90, 0.650000, 0.666741, 0.703704, 0.593750, 0.644068, 0.659191, 0.666580
3, 5, 176, 0.750000, 0.648042, 0.947368, 0.562500, 0.705882, 0.658227, 0.677091
4, 1, 1, 0.550000, 0.763350, 0.550000, 1.000000, 0.709677, 0.703024, 0.722789
4, 2, 1, 0.550000, 0.763101, 0.550000, 1.000000, 0.709677, 0.707279, 0.707293
4, 3, 189, 0.616667, 0.692751, 0.750000, 0.454545, 0.566038, 0.693128, 0.693255
4, 4, 157, 0.700000, 0.665357, 1.000000, 0.454545, 0.625000, 0.649580, 0.658165
4, 5, 174, 0.733333, 0.650360, 1.000000, 0.515152, 0.680000, 0.640542, 0.640542
5, 1, 190, 0.616667, 0.675494, 0.533333, 0.333333, 0.410256, 0.678537, 0.681901
5, 2, 34, 0.683333, 0.681570, 1.000000, 0.208333, 0.344828, 0.687971, 0.692998
5, 3, 174, 0.666667, 0.663199, 0.700000, 0.291667, 0.411765, 0.665522, 0.665665
5, 4, 172, 0.766667, 0.641843, 0.692308, 0.750000, 0.720000, 0.642171, 0.643954
5, 5, 104, 0.783333, 0.654555, 0.739130, 0.708333, 0.723404, 0.642369, 0.647988
6, 1, 95, 0.616667, 0.695360, 0.866667, 0.382353, 0.530612, 0.691919, 0.692808
6, 2, 1, 0.583333, 0.685901, 0.600000, 0.794118, 0.683544, 0.676561, 0.684286
6, 3, 1, 0.583333, 0.686230, 0.600000, 0.794118, 0.683544, 0.680411, 0.687066
6, 4, 96, 0.666667, 0.680157, 0.791667, 0.558824, 0.655172, 0.662130, 0.662161
6, 5, 36, 0.700000, 0.672140, 0.833333, 0.588235, 0.689655, 0.662653, 0.674322
7, 1, 79, 0.616667, 0.688982, 0.705882, 0.400000, 0.510638, 0.682790, 0.685107
7, 2, 57, 0.516667, 0.710657, 0.513514, 0.633333, 0.567164, 0.683715, 0.683715
