# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=chain, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 57, 0.783333, 0.616184, 0.814815, 0.733333, 0.771930, 0.586299, 0.588796
2, 2, 26, 0.966667, 0.660856, 1.000000, 0.933333, 0.965517, 0.646902, 0.649103
2, 3, 88, 0.783333, 0.612545, 0.814815, 0.733333, 0.771930, 0.586299, 0.589015
2, 4, 120, 0.850000, 0.652798, 1.000000, 0.700000, 0.823529, 0.647285, 0.647323
2, 5, 95, 0.783333, 0.612607, 0.814815, 0.733333, 0.771930, 0.586299, 0.586659
3, 1, 81, 0.716667, 0.625397, 0.714286, 0.781250, 0.746269, 0.649410, 0.650420
3, 2, 83, 0.633333, 0.687558, 0.812500, 0.406250, 0.541667, 0.692941, 0.694356
3, 3, 11, 0.716667, 0.648479, 0.714286, 0.781250, 0.746269, 0.649415, 0.649433
3, 4, 93, 0.633333, 0.684392, 0.857143, 0.375000, 0.521739, 0.692938, 0.703334
3, 5, 19, 0.716667, 0.645070, 0.674419, 0.906250, 0.773333, 0.649409, 0.656451
4, 1, 77, 0.750000, 0.633900, 0.781250, 0.757576, 0.769231, 0.621930, 0.622556
4, 2, 99, 0.983333, 0.671074, 0.970588, 1.000000, 0.985075, 0.674359, 0.680550
4, 3, 69, 0.750000, 0.632117, 0.781250, 0.757576, 0.769231, 0.621938, 0.624360
4, 4, 1, 0.550000, 0.759738, 0.550000, 1.000000, 0.709677, 0.693290, 0.705545
4, 5, 38, 0.750000, 0.635978, 0.781250, 0.757576, 0.769231, 0.621938, 0.622990
5, 1, 93, 0.700000, 0.651447, 0.593750, 0.791667, 0.678571, 0.643594, 0.643597
5, 2, 1, 0.650000, 0.667762, 1.000000, 0.125000, 0.222222, 0.676101, 0.682293
5, 3, 32, 0.750000, 0.641101, 0.695652, 0.666667, 0.680851, 0.643582, 0.648633
5, 4, 19, 0.600000, 0.692736, 0.500000, 0.333333, 0.400000, 0.676138, 0.710113
5, 5, 14, 0.733333, 0.657739, 0.653846, 0.708333, 0.680000, 0.643580, 0.644525
6, 1, 1, 0.566667, 0.689936, 0.566667, 1.000000, 0.723404, 0.667543, 0.670347
6, 2, 81, 0.566667, 0.690997, 0.566667, 1.000000, 0.723404, 0.692054, 0.694414
6, 3, 1, 0.566667, 0.689764, 0.566667, 1.000000, 0.723404, 0.667077, 0.667090
6, 4, 16, 0.616667, 0.698997, 0.866667, 0.382353, 0.530612, 0.691976, 0.695854
6, 5, 21, 0.583333, 0.693085, 0.800000, 0.352941, 0.489796, 0.667077, 0.667077
7, 1, 30, 0.633333, 0.673057, 0.642857, 0.600000, 0.620690, 0.668805, 0.673398
7, 2, 1, 0.616667, 0.683212, 0.705882, 0.400000, 0.510638, 0.682610, 0.683254
7, 3, 34, 0.633333, 0.669036, 0.642857, 0.600000, 0.620690, 0.668806, 0.668823
7, 4, 20, 0.616667, 0.687832, 0.705882, 0.400000, 0.510638, 0.682619, 0.684792
7, 5, 15, 0.650000, 0.666644, 0.666667, 0.600000, 0.631579, 0.668816, 0.672413
8, 1, 136, 0.783333, 0.665194, 0.900000, 0.729730, 0.805970, 0.667704, 0.675224
8, 2, 122, 0.966667, 0.684046, 0.948718, 1.000000, 0.973684, 0.684881, 0.686108
8, 3, 149, 0.783333, 0.659941, 0.900000, 0.729730, 0.805970, 0.664709, 0.666026
8, 4, 1, 0.616667, 0.690015, 0.616667, 1.000000, 0.762887, 0.695147, 0.708732
8, 5, 171, 0.783333, 0.660071, 0.900000, 0.729730, 0.805970, 0.664615, 0.672323
9, 1, 50, 0.650000, 0.689269, 0.611111, 0.440000, 0.511628, 0.661370, 0.661597
9, 2, 8, 0.616667, 0.679642, 1.000000, 0.080000, 0.148148, 0.687094, 0.690958
9, 3, 23, 0.650000, 0.687289, 0.611111, 0.440000, 0.511628, 0.659753, 0.661039
9, 4, 31, 0.616667, 0.690776, 0.562500, 0.360000, 0.439024, 0.692671, 0.706155
9, 5, 34, 0.650000, 0.681865, 0.625000, 0.400000, 0.487805, 0.659831, 0.665841
10, 1, 109, 0.733333, 0.671585, 0.727273, 0.774194, 0.750000, 0.669195, 0.669195
10, 2, 63, 0.583333, 0.702206, 0.687500, 0.354839, 0.468085, 0.686342, 0.686932
10, 3, 42, 0.733333, 0.676292, 0.857143, 0.580645, 0.692308, 0.667124, 0.668905
10, 4, 108, 0.583333, 0.695245, 0.687500, 0.354839, 0.468085, 0.686375, 0.686404
10, 5, 65, 0.733333, 0.655250, 0.777778, 0.677419, 0.724138, 0.666979, 0.666979
11, 1, 126, 0.666667, 0.677846, 0.684211, 0.764706, 0.722222, 0.671894, 0.671988
11, 2, 95, 0.566667, 0.689391, 0.566667, 1.000000, 0.723404, 0.692069, 0.692676
11, 3, 124, 0.666667, 0.670965, 0.684211, 0.764706, 0.722222, 0.669433, 0.670865
11, 4, 178, 0.566667, 0.687936, 0.566667, 1.000000, 0.723404, 0.693012, 0.701321
11, 5, 92, 0.666667, 0.671347, 0.684211, 0.764706, 0.722222, 0.669432, 0.670071
12, 1, 109, 0.616667, 0.668259, 0.548387, 0.653846, 0.596491, 0.668659, 0.668659
12, 2, 2, 0.600000, 0.691671, 0.600000, 0.230769, 0.333333, 0.691606, 0.701550
12, 3, 34, 0.750000, 0.674584, 0.823529, 0.538462, 0.651163, 0.668388, 0.669729
12, 4, 26, 0.600000, 0.689953, 0.600000, 0.230769, 0.333333, 0.690760, 0.732915
12, 5, 9, 0.750000, 0.669843, 0.823529, 0.538462, 0.651163, 0.668404, 0.670231
13, 1, 1, 0.566667, 0.689812, 0.566667, 1.000000, 0.723404, 0.690328, 0.690739
13, 2, 82, 0.616667, 0.691222, 0.720000, 0.529412, 0.610169, 0.687785, 0.690527
13, 3, 84, 0.566667, 0.687263, 0.566667, 1.000000, 0.723404, 0.689257, 0.689313
13, 4, 31, 0.616667, 0.688561, 0.703704, 0.558824, 0.622951, 0.687661, 0.693648
13, 5, 149, 0.566667, 0.687458, 0.566667, 1.000000, 0.723404, 0.689249, 0.689683
14, 1, 60, 0.583333, 0.691715, 0.666667, 0.484848, 0.561404, 0.679305, 0.681556
14, 2, 3, 0.483333, 0.761921, 1.000000, 0.060606, 0.114286, 0.692343, 0.707197
14, 3, 90, 0.583333, 0.692892, 0.666667, 0.484848, 0.561404, 0.679288, 0.679624
14, 4, 28, 0.600000, 0.687644, 0.645161, 0.606061, 0.625000, 0.692393, 0.695868
14, 5, 1, 0.583333, 0.692236, 0.666667, 0.484848, 0.561404, 0.679289, 0.682963
15, 1, 68, 0.633333, 0.689819, 0.575000, 0.821429, 0.676471, 0.691069, 0.695478
15, 2, 96, 0.566667, 0.711048, 0.526316, 0.714286, 0.606061, 0.684744, 0.686813
15, 3, 11, 0.650000, 0.683228, 0.585366, 0.857143, 0.695652, 0.691048, 0.702514
15, 4, 7, 0.566667, 0.709913, 0.526316, 0.714286, 0.606061, 0.684741, 0.697797
15, 5, 148, 0.533333, 0.694120, 0.000000, 0.000000, 0.000000, 0.691044, 0.695163
16, 1, 21, 0.700000, 0.690632, 0.695652, 0.592593, 0.640000, 0.659103, 0.660811
16, 2, 119, 0.766667, 0.688980, 1.000000, 0.481481, 0.650000, 0.681353, 0.688673
16, 3, 27, 0.683333, 0.686023, 0.900000, 0.333333, 0.486486, 0.656760, 0.656777
16, 4, 82, 0.550000, 0.692958, 0.000000, 0.000000, 0.000000, 0.689436, 0.693582
16, 5, 85, 0.683333, 0.678457, 0.666667, 0.592593, 0.627451, 0.656719, 0.671062
17, 1, 52, 0.666667, 0.684890, 0.654545, 0.972973, 0.782609, 0.671237, 0.671237
17, 2, 98, 0.633333, 0.690297, 0.631579, 0.972973, 0.765957, 0.689891, 0.700325
17, 3, 38, 0.683333, 0.683287, 0.666667, 0.972973, 0.791209, 0.667123, 0.667224
17, 4, 58, 0.666667, 0.690902, 0.717949, 0.756757, 0.736842, 0.693775, 0.697009
17, 5, 117, 0.683333, 0.662458, 0.666667, 0.972973, 0.791209, 0.667064, 0.668629
18, 1, 81, 0.700000, 0.682545, 0.644444, 0.935484, 0.763158, 0.672838, 0.673088
18, 2, 62, 0.633333, 0.686696, 0.636364, 0.677419, 0.656250, 0.688741, 0.701584
18, 3, 55, 0.700000, 0.681520, 0.644444, 0.935484, 0.763158, 0.670783, 0.674061
18, 4, 108, 0.533333, 0.702270, 0.636364, 0.225806, 0.333333, 0.696006, 0.699363
18, 5, 102, 0.700000, 0.670655, 0.638298, 0.967742, 0.769231, 0.668669, 0.668676
19, 1, 131, 0.700000, 0.677382, 0.674419, 0.878788, 0.763158, 0.677241, 0.679039
19, 2, 43, 0.550000, 0.688990, 0.550000, 1.000000, 0.709677, 0.691626, 0.698244
19, 3, 54, 0.700000, 0.681263, 0.692308, 0.818182, 0.750000, 0.673265, 0.674107
19, 4, 134, 0.566667, 0.692926, 0.589744, 0.696970, 0.638889, 0.693611, 0.703211
19, 5, 133, 0.700000, 0.666834, 0.674419, 0.878788, 0.763158, 0.673263, 0.676091
20, 1, 10, 0.666667, 0.690972, 0.676471, 0.718750, 0.696970, 0.678609, 0.678609
20, 2, 12, 0.600000, 0.691363, 0.700000, 0.437500, 0.538462, 0.694706, 0.695532
20, 3, 23, 0.666667, 0.687671, 0.676471, 0.718750, 0.696970, 0.674163, 0.675620
20, 4, 82, 0.550000, 0.701078, 0.543860, 0.968750, 0.696629, 0.690490, 0.692970
20, 5, 66, 0.666667, 0.677874, 0.676471, 0.718750, 0.696970, 0.674226, 0.675156
