# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=pairwise, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 142, 0.916667, 0.690241, 1.000000, 0.833333, 0.909091, 0.672973, 0.687125
2, 2, 169, 0.533333, 0.728470, 0.538462, 0.466667, 0.500000, 0.680359, 0.680359
2, 3, 175, 0.850000, 0.632490, 0.956522, 0.733333, 0.830189, 0.624703, 0.642490
2, 4, 55, 0.883333, 0.643781, 1.000000, 0.766667, 0.867925, 0.624340, 0.624420
2, 5, 90, 0.900000, 0.633203, 0.900000, 0.900000, 0.900000, 0.623602, 0.624139
3, 1, 147, 0.633333, 0.687590, 0.857143, 0.375000, 0.521739, 0.692970, 0.703914
3, 2, 171, 0.733333, 0.659179, 0.944444, 0.531250, 0.680000, 0.667340, 0.670828
3, 3, 73, 0.750000, 0.672063, 0.757576, 0.781250, 0.769231, 0.670972, 0.671469
3, 4, 181, 0.800000, 0.639018, 0.812500, 0.812500, 0.812500, 0.666367, 0.670618
3, 5, 113, 0.750000, 0.663477, 0.774194, 0.750000, 0.761905, 0.667824, 0.667824
4, 1, 1, 0.550000, 0.779495, 0.550000, 1.000000, 0.709677, 0.698172, 0.698370
4, 2, 1, 0.550000, 0.763152, 0.550000, 1.000000, 0.709677, 0.704861, 0.705278
4, 3, 161, 0.850000, 0.664180, 0.928571, 0.787879, 0.852459, 0.668584, 0.672209
4, 4, 190, 0.783333, 0.670387, 1.000000, 0.606061, 0.754717, 0.673679, 0.673751
4, 5, 199, 0.850000, 0.657304, 0.833333, 0.909091, 0.869565, 0.666097, 0.666646
5, 1, 66, 0.616667, 0.693481, 0.529412, 0.375000, 0.439024, 0.683472, 0.683472
5, 2, 102, 0.666667, 0.684026, 1.000000, 0.166667, 0.285714, 0.690091, 0.690842
5, 3, 148, 0.650000, 0.671324, 0.588235, 0.416667, 0.487805, 0.669814, 0.679915
5, 4, 103, 0.633333, 0.680206, 0.545455, 0.500000, 0.521739, 0.667765, 0.688160
5, 5, 49, 0.683333, 0.688412, 0.857143, 0.250000, 0.387097, 0.669581, 0.680265
6, 1, 60, 0.633333, 0.697549, 0.875000, 0.411765, 0.560000, 0.691886, 0.693874
6, 2, 14, 0.600000, 0.695038, 0.656250, 0.617647, 0.636364, 0.677523, 0.679767
6, 3, 32, 0.633333, 0.679536, 0.714286, 0.588235, 0.645161, 0.677138, 0.677138
6, 4, 111, 0.683333, 0.675889, 0.857143, 0.529412, 0.654545, 0.673842, 0.678768
6, 5, 34, 0.716667, 0.669699, 0.729730, 0.794118, 0.760563, 0.670717, 0.692128
7, 1, 74, 0.616667, 0.691720, 0.705882, 0.400000, 0.510638, 0.684245, 0.692061
7, 2, 168, 0.550000, 0.686666, 0.540541, 0.666667, 0.597015, 0.684206, 0.684206
7, 3, 198, 0.733333, 0.665711, 0.791667, 0.633333, 0.703704, 0.658960, 0.658960
7, 4, 157, 0.633333, 0.696444, 0.722222, 0.433333, 0.541667, 0.676215, 0.690479
7, 5, 77, 0.666667, 0.673493, 0.812500, 0.433333, 0.565217, 0.656108, 0.666023
8, 1, 1, 0.616667, 0.692955, 0.616667, 1.000000, 0.762887, 0.699202, 0.703798
8, 2, 1, 0.616667, 0.692846, 0.616667, 1.000000, 0.762887, 0.693132, 0.694644
8, 3, 131, 0.633333, 0.670130, 0.641509, 0.918919, 0.755556, 0.689656, 0.690447
8, 4, 1, 0.616667, 0.692317, 0.616667, 1.000000, 0.762887, 0.686778, 0.686778
8, 5, 184, 0.633333, 0.659328, 0.641509, 0.918919, 0.755556, 0.686289, 0.707681
9, 1, 22, 0.616667, 0.690805, 0.562500, 0.360000, 0.439024, 0.699041, 0.699041
9, 2, 38, 0.633333, 0.688650, 0.600000, 0.360000, 0.450000, 0.686522, 0.700153
9, 3, 126, 0.600000, 0.697587, 0.520000, 0.520000, 0.520000, 0.674882, 0.674882
9, 4, 10, 0.600000, 0.693985, 0.520000, 0.520000, 0.520000, 0.672626, 0.672626
9, 5, 29, 0.583333, 0.693050, 0.000000, 0.000000, 0.000000, 0.671388, 0.678155
10, 1, 37, 0.566667, 0.697323, 0.580645, 0.580645, 0.580645, 0.697431, 0.697767
10, 2, 102, 0.566667, 0.692191, 0.600000, 0.483871, 0.535714, 0.693225, 0.699201
10, 3, 192, 0.633333, 0.689347, 0.645161, 0.645161, 0.645161, 0.689969, 0.691010
10, 4, 187, 0.600000, 0.690529, 0.612903, 0.612903, 0.612903, 0.690512, 0.692389
10, 5, 81, 0.600000, 0.689378, 0.620690, 0.580645, 0.600000, 0.684563, 0.684563
11, 1, 71, 0.616667, 0.701699, 0.866667, 0.382353, 0.530612, 0.695141, 0.697468
11, 2, 124, 0.633333, 0.684961, 0.833333, 0.441176, 0.576923, 0.679678, 0.679811
11, 3, 200, 0.616667, 0.676917, 0.617021, 0.852941, 0.716049, 0.679043, 0.679043
11, 4, 146, 0.600000, 0.677519, 0.638889, 0.676471, 0.657143, 0.674812, 0.675387
11, 5, 88, 0.600000, 0.679563, 0.586207, 1.000000, 0.739130, 0.675059, 0.680046
12, 1, 73, 0.616667, 0.687890, 0.800000, 0.153846, 0.258065, 0.691974, 0.692371
12, 2, 181, 0.666667, 0.672980, 0.687500, 0.423077, 0.523810, 0.684274, 0.705154
12, 3, 116, 0.666667, 0.683655, 0.714286, 0.384615, 0.500000, 0.684971, 0.686099
12, 4, 154, 0.700000, 0.670494, 0.700000, 0.538462, 0.608696, 0.676655, 0.680491
12, 5, 176, 0.683333, 0.677296, 0.684211, 0.500000, 0.577778, 0.681134, 0.685117
13, 1, 15, 0.616667, 0.691676, 0.720000, 0.529412, 0.610169, 0.687575, 0.690329
13, 2, 5, 0.616667, 0.690759, 0.720000, 0.529412, 0.610169, 0.687052, 0.691269
13, 3, 11, 0.616667, 0.686415, 0.703704, 0.558824, 0.622951, 0.683097, 0.683097
13, 4, 98, 0.633333, 0.687434, 0.730769, 0.558824, 0.633333, 0.685052, 0.685610
13, 5, 140, 0.633333, 0.687916, 0.730769, 0.558824, 0.633333, 0.685879, 0.702019
14, 1, 14, 0.583333, 0.679503, 0.617647, 0.636364, 0.626866, 0.692410, 0.697652
14, 2, 124, 0.633333, 0.682637, 0.641026, 0.757576, 0.694444, 0.690211, 0.691626
14, 3, 82, 0.666667, 0.686441, 0.933333, 0.424242, 0.583333, 0.683405, 0.693952
14, 4, 157, 0.683333, 0.684940, 0.818182, 0.545455, 0.654545, 0.682541, 0.683739
14, 5, 49, 0.683333, 0.682601, 0.818182, 0.545455, 0.654545, 0.690454, 0.693592
15, 1, 21, 0.566667, 0.714003, 0.526316, 0.714286, 0.606061, 0.684744, 0.686904
15, 2, 11, 0.566667, 0.714629, 0.526316, 0.714286, 0.606061, 0.680561, 0.681665
15, 3, 126, 0.633333, 0.682109, 0.800000, 0.285714, 0.421053, 0.676954, 0.713236
15, 4, 6, 0.566667, 0.713752, 0.526316, 0.714286, 0.606061, 0.671989, 0.675347
15, 5, 131, 0.600000, 0.687632, 0.625000, 0.357143, 0.454545, 0.675262, 0.685823
16, 1, 62, 0.550000, 0.696321, 0.000000, 0.000000, 0.000000, 0.690272, 0.703575
16, 2, 35, 0.483333, 0.696633, 0.447368, 0.629630, 0.523077, 0.689656, 0.690296
16, 3, 1, 0.450000, 0.864755, 0.450000, 1.000000, 0.620690, 0.687785, 0.692576
16, 4, 139, 0.566667, 0.691215, 0.555556, 0.185185, 0.277778, 0.689049, 0.689446
16, 5, 55, 0.550000, 0.692974, 0.000000, 0.000000, 0.000000, 0.687783, 0.690998
17, 1, 94, 0.666667, 0.686492, 0.717949, 0.756757, 0.736842, 0.697837, 0.701850
17, 2, 23, 0.650000, 0.688389, 0.735294, 0.675676, 0.704225, 0.695022, 0.697208
17, 3, 1, 0.616667, 0.671559, 0.616667, 1.000000, 0.762887, 0.681230, 0.694651
17, 4, 35, 0.650000, 0.689680, 0.735294, 0.675676, 0.704225, 0.682410, 0.682410
17, 5, 1, 0.616667, 0.671685, 0.616667, 1.000000, 0.762887, 0.680822, 0.689743
18, 1, 125, 0.533333, 0.705460, 0.636364, 0.225806, 0.333333, 0.697846, 0.698133
