# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=ring, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 200, 0.883333, 0.665837, 1.000000, 0.766667, 0.867925, 0.664286, 0.664286
2, 2, 89, 0.966667, 0.677688, 1.000000, 0.933333, 0.965517, 0.646961, 0.648988
2, 3, 106, 0.966667, 0.654890, 1.000000, 0.933333, 0.965517, 0.648032, 0.648718
2, 4, 191, 0.966667, 0.649596, 1.000000, 0.933333, 0.965517, 0.646910, 0.647331
2, 5, 62, 0.950000, 0.668885, 1.000000, 0.900000, 0.947368, 0.646930, 0.649203
3, 1, 143, 0.616667, 0.692848, 0.714286, 0.468750, 0.566038, 0.693119, 0.699346
3, 2, 134, 0.616667, 0.692656, 0.800000, 0.375000, 0.510638, 0.693073, 0.693822
3, 3, 51, 0.616667, 0.690542, 0.714286, 0.468750, 0.566038, 0.692927, 0.715063
3, 4, 25, 0.633333, 0.684975, 0.857143, 0.375000, 0.521739, 0.693327, 0.698321
3, 5, 23, 0.633333, 0.682295, 0.812500, 0.406250, 0.541667, 0.692932, 0.731170
4, 1, 1, 0.550000, 0.779494, 0.550000, 1.000000, 0.709677, 0.699658, 0.724137
4, 2, 60, 0.616667, 0.718690, 1.000000, 0.303030, 0.465116, 0.700413, 0.708549
4, 3, 158, 0.683333, 0.697093, 0.818182, 0.545455, 0.654545, 0.670799, 0.670799
4, 4, 197, 0.716667, 0.637915, 0.863636, 0.575758, 0.690909, 0.638784, 0.639175
4, 5, 181, 0.666667, 0.657173, 0.696970, 0.696970, 0.696970, 0.657609, 0.662310
5, 1, 73, 0.600000, 0.690281, 0.000000, 0.000000, 0.000000, 0.680142, 0.684744
5, 2, 117, 0.700000, 0.661184, 0.600000, 0.750000, 0.666667, 0.671942, 0.674780
5, 3, 175, 0.733333, 0.652937, 0.617647, 0.875000, 0.724138, 0.646535, 0.650265
5, 4, 97, 0.750000, 0.629887, 0.714286, 0.625000, 0.666667, 0.643278, 0.643278
5, 5, 46, 0.766667, 0.631706, 0.857143, 0.500000, 0.631579, 0.639379, 0.660519
6, 1, 106, 0.600000, 0.690680, 0.656250, 0.617647, 0.636364, 0.691885, 0.694558
6, 2, 133, 0.616667, 0.691830, 0.622222, 0.823529, 0.708861, 0.686068, 0.688350
6, 3, 150, 0.616667, 0.672378, 0.600000, 0.970588, 0.741573, 0.656696, 0.658347
6, 4, 22, 0.583333, 0.691981, 0.576271, 1.000000, 0.731183, 0.654661, 0.657093
6, 5, 189, 0.616667, 0.678184, 0.603774, 0.941176, 0.735632, 0.654376, 0.654725
7, 1, 70, 0.616667, 0.688171, 0.705882, 0.400000, 0.510638, 0.682620, 0.683371
7, 2, 132, 0.583333, 0.699487, 0.619048, 0.433333, 0.509804, 0.689285, 0.689285
7, 3, 170, 0.650000, 0.687448, 0.909091, 0.333333, 0.487805, 0.672266, 0.675642
7, 4, 170, 0.700000, 0.668381, 0.833333, 0.500000, 0.625000, 0.657605, 0.657605
7, 5, 132, 0.600000, 0.677356, 0.636364, 0.466667, 0.538462, 0.663203, 0.664765
