# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=ring, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 24, 0.966667, 0.660254, 1.000000, 0.933333, 0.965517, 0.646901, 0.647124
2, 2, 141, 0.966667, 0.663611, 1.000000, 0.933333, 0.965517, 0.651309, 0.651309
2, 3, 107, 0.966667, 0.649582, 1.000000, 0.933333, 0.965517, 0.646905, 0.648561
2, 4, 161, 0.966667, 0.649551, 1.000000, 0.933333, 0.965517, 0.646905, 0.646999
2, 5, 68, 0.966667, 0.650249, 1.000000, 0.933333, 0.965517, 0.646902, 0.648373
3, 1, 2, 0.616667, 0.681392, 0.714286, 0.468750, 0.566038, 0.693980, 0.693998
3, 2, 125, 0.633333, 0.684798, 0.857143, 0.375000, 0.521739, 0.693037, 0.726516
3, 3, 2, 0.633333, 0.697477, 0.812500, 0.406250, 0.541667, 0.692937, 0.696788
3, 4, 136, 0.616667, 0.681616, 0.764706, 0.406250, 0.530612, 0.693578, 0.731377
3, 5, 43, 0.633333, 0.687624, 0.812500, 0.406250, 0.541667, 0.693089, 0.704067
4, 1, 10, 0.733333, 0.643977, 1.000000, 0.515152, 0.680000, 0.630113, 0.631845
4, 2, 1, 0.550000, 0.762768, 0.550000, 1.000000, 0.709677, 0.698925, 0.700320
4, 3, 15, 0.716667, 0.642182, 0.944444, 0.515152, 0.666667, 0.630124, 0.630643
4, 4, 1, 0.550000, 0.759526, 0.550000, 1.000000, 0.709677, 0.693609, 0.693963
4, 5, 10, 0.733333, 0.644719, 1.000000, 0.515152, 0.680000, 0.630111, 0.631995
5, 1, 15, 0.733333, 0.639903, 0.653846, 0.708333, 0.680000, 0.640940, 0.641758
5, 2, 110, 0.650000, 0.669664, 0.636364, 0.291667, 0.400000, 0.676135, 0.678686
5, 3, 18, 0.733333, 0.638832, 0.653846, 0.708333, 0.680000, 0.640966, 0.654361
5, 4, 49, 0.650000, 0.666720, 1.000000, 0.125000, 0.222222, 0.676110, 0.680224
5, 5, 14, 0.733333, 0.648232, 0.653846, 0.708333, 0.680000, 0.640947, 0.645239
6, 1, 23, 0.566667, 0.710889, 0.833333, 0.294118, 0.434783, 0.664116, 0.665950
6, 2, 50, 0.650000, 0.695941, 0.842105, 0.470588, 0.603774, 0.692228, 0.702488
