# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=chain, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 35, 0.850000, 0.642253, 0.838710, 0.866667, 0.852459, 0.574160, 0.589015
2, 2, 148, 0.800000, 0.598723, 0.800000, 0.800000, 0.800000, 0.571199, 0.594815
2, 3, 9, 0.933333, 0.634018, 0.933333, 0.933333, 0.933333, 0.571367, 0.572314
2, 4, 149, 0.816667, 0.603630, 0.880000, 0.733333, 0.800000, 0.570747, 0.578734
2, 5, 93, 0.833333, 0.601155, 0.833333, 0.833333, 0.833333, 0.570059, 0.585465
3, 1, 111, 0.850000, 0.629573, 0.848485, 0.875000, 0.861538, 0.635991, 0.635991
3, 2, 60, 0.783333, 0.642210, 0.771429, 0.843750, 0.805970, 0.633788, 0.640268
3, 3, 104, 0.816667, 0.623843, 0.783784, 0.906250, 0.840580, 0.632786, 0.632786
3, 4, 180, 0.800000, 0.617756, 0.794118, 0.843750, 0.818182, 0.631241, 0.651824
3, 5, 79, 0.733333, 0.632778, 0.766667, 0.718750, 0.741935, 0.634728, 0.643085
4, 1, 20, 0.850000, 0.662863, 0.875000, 0.848485, 0.861538, 0.618287, 0.620667
4, 2, 78, 0.800000, 0.654502, 0.838710, 0.787879, 0.812500, 0.628523, 0.652800
4, 3, 3, 0.833333, 0.676691, 0.828571, 0.878788, 0.852941, 0.616520, 0.628816
4, 4, 173, 0.800000, 0.624927, 0.733333, 1.000000, 0.846154, 0.619747, 0.619747
4, 5, 17, 0.850000, 0.640794, 0.785714, 1.000000, 0.880000, 0.617753, 0.633726
5, 1, 82, 0.800000, 0.647651, 0.833333, 0.625000, 0.714286, 0.643787, 0.663253
5, 2, 86, 0.766667, 0.661525, 0.692308, 0.750000, 0.720000, 0.648420, 0.653280
5, 3, 59, 0.766667, 0.654686, 0.916667, 0.458333, 0.611111, 0.641399, 0.641399
5, 4, 77, 0.766667, 0.659943, 0.692308, 0.750000, 0.720000, 0.640370, 0.645505
5, 5, 167, 0.800000, 0.635357, 0.833333, 0.625000, 0.714286, 0.642630, 0.661436
6, 1, 73, 0.800000, 0.661076, 0.892857, 0.735294, 0.806452, 0.664062, 0.665634
6, 2, 123, 0.750000, 0.665567, 0.913043, 0.617647, 0.736842, 0.650126, 0.652286
6, 3, 49, 0.766667, 0.677806, 0.812500, 0.764706, 0.787879, 0.650453, 0.656414
6, 4, 192, 0.683333, 0.658733, 0.800000, 0.588235, 0.677966, 0.646632, 0.657662
6, 5, 149, 0.733333, 0.658739, 0.800000, 0.705882, 0.750000, 0.652248, 0.657970
7, 1, 158, 0.750000, 0.665121, 0.777778, 0.700000, 0.736842, 0.655855, 0.655889
7, 2, 147, 0.650000, 0.661154, 0.645161, 0.666667, 0.655738, 0.661669, 0.662738
7, 3, 139, 0.733333, 0.663048, 0.718750, 0.766667, 0.741935, 0.651208, 0.651208
7, 4, 108, 0.650000, 0.672749, 0.846154, 0.366667, 0.511628, 0.647630, 0.647630
7, 5, 193, 0.700000, 0.657455, 0.750000, 0.600000, 0.666667, 0.648619, 0.656053
8, 1, 51, 0.866667, 0.673270, 0.914286, 0.864865, 0.888889, 0.661645, 0.661645
8, 2, 156, 0.783333, 0.662588, 0.852941, 0.783784, 0.816901, 0.657786, 0.657786
8, 3, 47, 0.883333, 0.655962, 0.875000, 0.945946, 0.909091, 0.654308, 0.674510
8, 4, 199, 0.700000, 0.643751, 0.720930, 0.837838, 0.775000, 0.662784, 0.675477
8, 5, 38, 0.900000, 0.668617, 0.969697, 0.864865, 0.914286, 0.658733, 0.671759
9, 1, 55, 0.716667, 0.685997, 0.681818, 0.600000, 0.638298, 0.653288, 0.653288
9, 2, 180, 0.666667, 0.672878, 0.666667, 0.400000, 0.500000, 0.660475, 0.665861
9, 3, 57, 0.700000, 0.652367, 1.000000, 0.280000, 0.437500, 0.648607, 0.648607
9, 4, 97, 0.616667, 0.673849, 0.600000, 0.240000, 0.342857, 0.653653, 0.660961
9, 5, 125, 0.716667, 0.658069, 0.833333, 0.400000, 0.540541, 0.645667, 0.646793
10, 1, 107, 0.750000, 0.671268, 0.833333, 0.645161, 0.727273, 0.675358, 0.675358
10, 2, 168, 0.666667, 0.678284, 0.823529, 0.451613, 0.583333, 0.666377, 0.672054
10, 3, 168, 0.733333, 0.667388, 0.800000, 0.645161, 0.714286, 0.664533, 0.666322
10, 4, 186, 0.733333, 0.663806, 0.741935, 0.741935, 0.741935, 0.659255, 0.659255
10, 5, 63, 0.783333, 0.665290, 0.781250, 0.806452, 0.793651, 0.657567, 0.670222
11, 1, 22, 0.716667, 0.691506, 0.904762, 0.558824, 0.690909, 0.670480, 0.670498
11, 2, 195, 0.600000, 0.678129, 0.596154, 0.911765, 0.720930, 0.667614, 0.669757
11, 3, 35, 0.616667, 0.687705, 0.634146, 0.764706, 0.693333, 0.664592, 0.672136
11, 4, 142, 0.700000, 0.681310, 0.735294, 0.735294, 0.735294, 0.664166, 0.669184
11, 5, 97, 0.666667, 0.667997, 0.684211, 0.764706, 0.722222, 0.660420, 0.660420
12, 1, 39, 0.733333, 0.685544, 0.750000, 0.576923, 0.652174, 0.672374, 0.675118
12, 2, 163, 0.700000, 0.675952, 0.642857, 0.692308, 0.666667, 0.675534, 0.680136
12, 3, 134, 0.783333, 0.653613, 0.809524, 0.653846, 0.723404, 0.662053, 0.672830
12, 4, 132, 0.683333, 0.669808, 0.705882, 0.461538, 0.558140, 0.670347, 0.677916
12, 5, 49, 0.750000, 0.674930, 0.923077, 0.461538, 0.615385, 0.660349, 0.667472
13, 1, 15, 0.666667, 0.692230, 0.675000, 0.794118, 0.729730, 0.678790, 0.680027
13, 2, 177, 0.616667, 0.673834, 0.677419, 0.617647, 0.646154, 0.668698, 0.670563
13, 3, 125, 0.683333, 0.668702, 0.727273, 0.705882, 0.716418, 0.666024, 0.668392
13, 4, 149, 0.733333, 0.650579, 0.846154, 0.647059, 0.733333, 0.661254, 0.665569
13, 5, 199, 0.700000, 0.663044, 0.900000, 0.529412, 0.666667, 0.660471, 0.664026
14, 1, 190, 0.700000, 0.677704, 0.894737, 0.515152, 0.653846, 0.675153, 0.677458
14, 2, 111, 0.633333, 0.682225, 0.823529, 0.424242, 0.560000, 0.680673, 0.682077
14, 3, 113, 0.716667, 0.665968, 0.944444, 0.515152, 0.666667, 0.665115, 0.675993
14, 4, 150, 0.700000, 0.667054, 0.777778, 0.636364, 0.700000, 0.661361, 0.661813
14, 5, 167, 0.733333, 0.659698, 0.697674, 0.909091, 0.789474, 0.660900, 0.661931
15, 1, 125, 0.683333, 0.681503, 0.846154, 0.392857, 0.536585, 0.680792, 0.680923
15, 2, 135, 0.750000, 0.672229, 0.760000, 0.678571, 0.716981, 0.669367, 0.669367
15, 3, 77, 0.583333, 0.687587, 0.714286, 0.178571, 0.285714, 0.672506, 0.685667
15, 4, 134, 0.683333, 0.676182, 0.628571, 0.785714, 0.698413, 0.658450, 0.663224
15, 5, 133, 0.683333, 0.674035, 0.800000, 0.428571, 0.558140, 0.660330, 0.662463
16, 1, 189, 0.700000, 0.672323, 0.736842, 0.518519, 0.608696, 0.657414, 0.667727
16, 2, 146, 0.766667, 0.683573, 0.760000, 0.703704, 0.730769, 0.675407, 0.676245
16, 3, 51, 0.766667, 0.677339, 0.724138, 0.777778, 0.750000, 0.658620, 0.661760
16, 4, 135, 0.616667, 0.687297, 0.562500, 0.666667, 0.610169, 0.671947, 0.729474
16, 5, 173, 0.666667, 0.675846, 0.606061, 0.740741, 0.666667, 0.657963, 0.670684
17, 1, 24, 0.650000, 0.687518, 0.637931, 1.000000, 0.778947, 0.666854, 0.667362
17, 2, 192, 0.633333, 0.667431, 0.647059, 0.891892, 0.750000, 0.672108, 0.773049
17, 3, 114, 0.650000, 0.669202, 0.637931, 1.000000, 0.778947, 0.666697, 0.666697
17, 4, 57, 0.633333, 0.685510, 0.702703, 0.702703, 0.702703, 0.673869, 0.678925
17, 5, 12, 0.666667, 0.686882, 0.707317, 0.783784, 0.743590, 0.662614, 0.665639
18, 1, 183, 0.733333, 0.673648, 0.702703, 0.838710, 0.764706, 0.672060, 0.672385
18, 2, 60, 0.666667, 0.675134, 0.703704, 0.612903, 0.655172, 0.672167, 0.689213
18, 3, 28, 0.733333, 0.683808, 0.714286, 0.806452, 0.757576, 0.664701, 0.672190
18, 4, 172, 0.550000, 0.695522, 0.537037, 0.935484, 0.682353, 0.671721, 0.674075
18, 5, 7, 0.683333, 0.681615, 0.650000, 0.838710, 0.732394, 0.661764, 0.679364
19, 1, 143, 0.816667, 0.675407, 0.823529, 0.848485, 0.835821, 0.681249, 0.687538
19, 2, 143, 0.650000, 0.682382, 0.666667, 0.727273, 0.695652, 0.673608, 0.684709
19, 3, 31, 0.683333, 0.687604, 0.888889, 0.484848, 0.627451, 0.669872, 0.672239
19, 4, 189, 0.666667, 0.675029, 0.882353, 0.454545, 0.600000, 0.672267, 0.674345
19, 5, 67, 0.650000, 0.683124, 0.657895, 0.757576, 0.704225, 0.662694, 0.672252
20, 1, 44, 0.616667, 0.691353, 0.680000, 0.531250, 0.596491, 0.679523, 0.685988
20, 2, 120, 0.633333, 0.676939, 0.631579, 0.750000, 0.685714, 0.669328, 0.672569
20, 3, 153, 0.683333, 0.677742, 0.782609, 0.562500, 0.654545, 0.670035, 0.673764
20, 4, 183, 0.683333, 0.678542, 0.842105, 0.500000, 0.627451, 0.666944, 0.671812
20, 5, 166, 0.816667, 0.663056, 0.920000, 0.718750, 0.807018, 0.665609, 0.715042
