# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=full, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 111, 0.816667, 0.601611, 0.880000, 0.733333, 0.800000, 0.574100, 0.574843
2, 2, 137, 0.816667, 0.595309, 0.787879, 0.866667, 0.825397, 0.570583, 0.571902
2, 3, 41, 0.850000, 0.601714, 0.862069, 0.833333, 0.847458, 0.572653, 0.579048
2, 4, 23, 0.850000, 0.618188, 0.862069, 0.833333, 0.847458, 0.570151, 0.576506
2, 5, 13, 0.866667, 0.618998, 1.000000, 0.733333, 0.846154, 0.571094, 0.587298
3, 1, 98, 0.766667, 0.660455, 0.764706, 0.812500, 0.787879, 0.654714, 0.654714
3, 2, 44, 0.783333, 0.644726, 0.952381, 0.625000, 0.754717, 0.636248, 0.639906
3, 3, 129, 0.716667, 0.647524, 0.777778, 0.656250, 0.711864, 0.633448, 0.645544
3, 4, 81, 0.766667, 0.630613, 0.821429, 0.718750, 0.766667, 0.634753, 0.636176
3, 5, 11, 0.733333, 0.673070, 0.807692, 0.656250, 0.724138, 0.634191, 0.658284
4, 1, 10, 0.733333, 0.632992, 0.904762, 0.575758, 0.703704, 0.626259, 0.627305
4, 2, 163, 0.783333, 0.641889, 0.954545, 0.636364, 0.763636, 0.636280, 0.638284
4, 3, 7, 0.800000, 0.619847, 0.862069, 0.757576, 0.806452, 0.623881, 0.625381
4, 4, 180, 0.800000, 0.629886, 0.888889, 0.727273, 0.800000, 0.626290, 0.628287
4, 5, 22, 0.816667, 0.619819, 0.823529, 0.848485, 0.835821, 0.623742, 0.635120
5, 1, 71, 0.750000, 0.643132, 0.666667, 0.750000, 0.705882, 0.639937, 0.641616
5, 2, 171, 0.750000, 0.634099, 0.655172, 0.791667, 0.716981, 0.642912, 0.679683
5, 3, 103, 0.766667, 0.635612, 0.692308, 0.750000, 0.720000, 0.636645, 0.636645
5, 4, 143, 0.816667, 0.643158, 0.760000, 0.791667, 0.775510, 0.644832, 0.666282
5, 5, 81, 0.800000, 0.643282, 0.730769, 0.791667, 0.760000, 0.632749, 0.651347
6, 1, 178, 0.800000, 0.647916, 0.823529, 0.823529, 0.823529, 0.657109, 0.659137
6, 2, 196, 0.650000, 0.662504, 0.638298, 0.882353, 0.740741, 0.652961, 0.653366
6, 3, 101, 0.750000, 0.654502, 0.787879, 0.764706, 0.776119, 0.644407, 0.654934
6, 4, 8, 0.633333, 0.682353, 0.676471, 0.676471, 0.676471, 0.646900, 0.648049
6, 5, 46, 0.750000, 0.658016, 0.743590, 0.852941, 0.794521, 0.644477, 0.660541
7, 1, 54, 0.683333, 0.677739, 0.703704, 0.633333, 0.666667, 0.656308, 0.658855
7, 2, 172, 0.683333, 0.666417, 0.689655, 0.666667, 0.677966, 0.653608, 0.653608
7, 3, 78, 0.683333, 0.670458, 0.689655, 0.666667, 0.677966, 0.656995, 0.672145
7, 4, 117, 0.683333, 0.654940, 0.789474, 0.500000, 0.612245, 0.653949, 0.653949
7, 5, 138, 0.733333, 0.651123, 0.791667, 0.633333, 0.703704, 0.648822, 0.651992
8, 1, 184, 0.766667, 0.655598, 0.744681, 0.945946, 0.833333, 0.660758, 0.661665
8, 2, 45, 0.783333, 0.668325, 0.833333, 0.810811, 0.821918, 0.660264, 0.660686
8, 3, 124, 0.833333, 0.628360, 0.813953, 0.945946, 0.875000, 0.656281, 0.662200
8, 4, 198, 0.783333, 0.634347, 0.785714, 0.891892, 0.835443, 0.649551, 0.649551
8, 5, 5, 0.833333, 0.680251, 0.846154, 0.891892, 0.868421, 0.652252, 0.652774
9, 1, 144, 0.716667, 0.669862, 0.653846, 0.680000, 0.666667, 0.650224, 0.651771
9, 2, 170, 0.683333, 0.673998, 0.687500, 0.440000, 0.536585, 0.651052, 0.652175
9, 3, 130, 0.700000, 0.665672, 0.733333, 0.440000, 0.550000, 0.645046, 0.667188
9, 4, 184, 0.633333, 0.685564, 0.600000, 0.360000, 0.450000, 0.658156, 0.693122
9, 5, 121, 0.700000, 0.674076, 0.629630, 0.680000, 0.653846, 0.651486, 0.686212
10, 1, 70, 0.650000, 0.679233, 0.678571, 0.612903, 0.644068, 0.667780, 0.668274
10, 2, 139, 0.650000, 0.681967, 0.631579, 0.774194, 0.695652, 0.662970, 0.675661
10, 3, 63, 0.650000, 0.675990, 0.777778, 0.451613, 0.571429, 0.663556, 0.681020
10, 4, 188, 0.666667, 0.670667, 0.648649, 0.774194, 0.705882, 0.658348, 0.678113
10, 5, 140, 0.766667, 0.659327, 0.814815, 0.709677, 0.758621, 0.655037, 0.666929
11, 1, 179, 0.566667, 0.696608, 0.566667, 1.000000, 0.723404, 0.667920, 0.667920
11, 2, 71, 0.616667, 0.684267, 0.641026, 0.735294, 0.684932, 0.662275, 0.672884
11, 3, 85, 0.633333, 0.678528, 0.772727, 0.500000, 0.607143, 0.657347, 0.664641
11, 4, 43, 0.650000, 0.673111, 0.709677, 0.647059, 0.676923, 0.660254, 0.663639
11, 5, 157, 0.616667, 0.685162, 0.634146, 0.764706, 0.693333, 0.658291, 0.663329
12, 1, 157, 0.683333, 0.678988, 0.733333, 0.423077, 0.536585, 0.673350, 0.673350
12, 2, 61, 0.650000, 0.682215, 0.727273, 0.307692, 0.432432, 0.665663, 0.665663
12, 3, 12, 0.700000, 0.677881, 0.722222, 0.500000, 0.590909, 0.662577, 0.663266
12, 4, 187, 0.666667, 0.660077, 0.750000, 0.346154, 0.473684, 0.660378, 0.666666
12, 5, 104, 0.700000, 0.660333, 0.833333, 0.384615, 0.526316, 0.664923, 0.678306
13, 1, 127, 0.600000, 0.684202, 0.727273, 0.470588, 0.571429, 0.677250, 0.677358
13, 2, 176, 0.600000, 0.678409, 0.666667, 0.588235, 0.625000, 0.668734, 0.680896
13, 3, 86, 0.716667, 0.670441, 0.814815, 0.647059, 0.721311, 0.667605, 0.667650
13, 4, 118, 0.633333, 0.669002, 0.875000, 0.411765, 0.560000, 0.659496, 0.671994
13, 5, 147, 0.716667, 0.674801, 0.840000, 0.617647, 0.711864, 0.661252, 0.690788
14, 1, 52, 0.600000, 0.688635, 0.666667, 0.545455, 0.600000, 0.682408, 0.691524
14, 2, 195, 0.683333, 0.670125, 0.733333, 0.666667, 0.698413, 0.671113, 0.677961
14, 3, 148, 0.633333, 0.692884, 0.739130, 0.515152, 0.607143, 0.672683, 0.678167
14, 4, 85, 0.633333, 0.684137, 0.739130, 0.515152, 0.607143, 0.662225, 0.662532
14, 5, 129, 0.633333, 0.683066, 0.648649, 0.727273, 0.685714, 0.665790, 0.694607
15, 1, 194, 0.683333, 0.669828, 0.800000, 0.428571, 0.558140, 0.673614, 0.687782
15, 2, 111, 0.616667, 0.686675, 0.727273, 0.285714, 0.410256, 0.668402, 0.708333
15, 3, 111, 0.700000, 0.676552, 0.727273, 0.571429, 0.640000, 0.660417, 0.672142
15, 4, 149, 0.633333, 0.668202, 0.750000, 0.321429, 0.450000, 0.670025, 0.676378
15, 5, 9, 0.616667, 0.679772, 0.647059, 0.392857, 0.488889, 0.659995, 0.668848
16, 1, 133, 0.516667, 0.704366, 0.480000, 0.888889, 0.623377, 0.679254, 0.682993
16, 2, 200, 0.683333, 0.670291, 0.900000, 0.333333, 0.486486, 0.674427, 0.679593
16, 3, 31, 0.633333, 0.675382, 0.608696, 0.518519, 0.560000, 0.669537, 0.669537
16, 4, 166, 0.700000, 0.672519, 0.736842, 0.518519, 0.608696, 0.656507, 0.662881
16, 5, 62, 0.716667, 0.678726, 0.708333, 0.629630, 0.666667, 0.665421, 0.677241
17, 1, 92, 0.650000, 0.680424, 0.653846, 0.918919, 0.764045, 0.688795, 0.689286
17, 2, 9, 0.650000, 0.676876, 0.710526, 0.729730, 0.720000, 0.680361, 0.680393
17, 3, 69, 0.633333, 0.684299, 0.636364, 0.945946, 0.760870, 0.677692, 0.680377
17, 4, 23, 0.650000, 0.675332, 0.660000, 0.891892, 0.758621, 0.673227, 0.682321
17, 5, 77, 0.700000, 0.673173, 0.693878, 0.918919, 0.790698, 0.666710, 0.689997
18, 1, 95, 0.583333, 0.697441, 0.687500, 0.354839, 0.468085, 0.681949, 0.681949
18, 2, 58, 0.533333, 0.694880, 0.538462, 0.677419, 0.600000, 0.671904, 0.674255
18, 3, 135, 0.600000, 0.692859, 0.594595, 0.709677, 0.647059, 0.672651, 0.672651
18, 4, 143, 0.616667, 0.688911, 0.617647, 0.677419, 0.646154, 0.663591, 0.667884
18, 5, 184, 0.583333, 0.690524, 0.666667, 0.387097, 0.489796, 0.673412, 0.673412
19, 1, 161, 0.583333, 0.701283, 0.617647, 0.636364, 0.626866, 0.676235, 0.690405
19, 2, 22, 0.600000, 0.690012, 0.695652, 0.484848, 0.571429, 0.673177, 0.680189
19, 3, 199, 0.600000, 0.679230, 0.680000, 0.515152, 0.586207, 0.668064, 0.675472
19, 4, 7, 0.616667, 0.684524, 0.708333, 0.515152, 0.596491, 0.663239, 0.695594
19, 5, 33, 0.616667, 0.687317, 0.666667, 0.606061, 0.634921, 0.669803, 0.678673
20, 1, 1, 0.533333, 0.730822, 0.533333, 1.000000, 0.695652, 0.684310, 0.685993
20, 2, 196, 0.750000, 0.673582, 0.814815, 0.687500, 0.745763, 0.662788, 0.667286
20, 3, 157, 0.650000, 0.691423, 1.000000, 0.343750, 0.511628, 0.676106, 0.676106
20, 4, 71, 0.633333, 0.680500, 0.666667, 0.625000, 0.645161, 0.668106, 0.686302
20, 5, 139, 0.666667, 0.680002, 0.714286, 0.625000, 0.666667, 0.676518, 0.680242
