# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=pairwise, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 93, 0.883333, 0.640060, 0.870968, 0.900000, 0.885246, 0.628669, 0.631675
2, 2, 19, 0.883333, 0.627839, 0.896552, 0.866667, 0.881356, 0.571489, 0.571489
2, 3, 17, 0.900000, 0.623827, 0.875000, 0.933333, 0.903226, 0.570204, 0.597963
2, 4, 14, 0.833333, 0.599718, 0.812500, 0.866667, 0.838710, 0.570658, 0.619733
2, 5, 37, 0.883333, 0.651339, 0.960000, 0.800000, 0.872727, 0.572726, 0.599143
3, 1, 38, 0.516667, 0.818825, 0.588235, 0.312500, 0.408163, 0.689955, 0.690214
3, 2, 104, 0.750000, 0.635576, 0.869565, 0.625000, 0.727273, 0.632434, 0.632434
3, 3, 194, 0.783333, 0.623171, 0.743590, 0.906250, 0.816901, 0.629557, 0.638060
3, 4, 99, 0.766667, 0.630894, 0.781250, 0.781250, 0.781250, 0.630070, 0.636013
3, 5, 98, 0.783333, 0.623821, 0.787879, 0.812500, 0.800000, 0.631084, 0.633540
4, 1, 1, 0.550000, 0.762408, 0.550000, 1.000000, 0.709677, 0.690441, 0.690441
4, 2, 171, 0.583333, 0.718700, 1.000000, 0.242424, 0.390244, 0.687544, 0.687544
4, 3, 15, 0.866667, 0.640464, 0.962963, 0.787879, 0.866667, 0.617102, 0.635635
4, 4, 20, 0.833333, 0.638259, 0.960000, 0.727273, 0.827586, 0.620097, 0.636229
4, 5, 106, 0.800000, 0.633495, 0.769231, 0.909091, 0.833333, 0.617829, 0.619361
5, 1, 183, 0.616667, 0.673335, 0.571429, 0.166667, 0.258065, 0.716277, 0.716277
5, 2, 34, 0.750000, 0.660636, 0.764706, 0.541667, 0.634146, 0.643782, 0.649548
5, 3, 137, 0.766667, 0.639991, 0.750000, 0.625000, 0.681818, 0.645184, 0.651124
5, 4, 149, 0.783333, 0.636229, 0.761905, 0.666667, 0.711111, 0.643056, 0.645327
5, 5, 106, 0.766667, 0.636212, 0.777778, 0.583333, 0.666667, 0.645655, 0.685929
6, 1, 33, 0.600000, 0.688936, 0.647059, 0.647059, 0.647059, 0.685424, 0.685424
6, 2, 19, 0.616667, 0.685698, 0.657143, 0.676471, 0.666667, 0.651738, 0.651738
6, 3, 130, 0.650000, 0.671548, 0.696970, 0.676471, 0.686567, 0.649712, 0.649712
6, 4, 160, 0.683333, 0.664993, 0.894737, 0.500000, 0.641509, 0.651413, 0.658308
6, 5, 162, 0.700000, 0.661862, 0.807692, 0.617647, 0.700000, 0.650176, 0.650176
7, 1, 158, 0.633333, 0.679031, 0.750000, 0.400000, 0.521739, 0.670336, 0.671375
7, 2, 168, 0.750000, 0.661986, 0.800000, 0.666667, 0.727273, 0.650921, 0.662494
7, 3, 126, 0.766667, 0.660327, 0.807692, 0.700000, 0.750000, 0.646458, 0.653306
7, 4, 199, 0.766667, 0.655102, 0.833333, 0.666667, 0.740741, 0.648158, 0.648405
7, 5, 160, 0.716667, 0.653080, 0.709677, 0.733333, 0.721311, 0.646073, 0.647464
8, 1, 1, 0.616667, 0.692246, 0.616667, 1.000000, 0.762887, 0.702180, 0.703245
8, 2, 1, 0.616667, 0.704862, 0.616667, 1.000000, 0.762887, 0.702299, 0.721353
8, 3, 1, 0.616667, 0.690441, 0.616667, 1.000000, 0.762887, 0.702993, 0.713323
