# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=pairwise, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 33, 0.833333, 0.606645, 0.833333, 0.833333, 0.833333, 0.574396, 0.584864
2, 2, 142, 0.816667, 0.601420, 0.880000, 0.733333, 0.800000, 0.570216, 0.577450
2, 3, 8, 0.833333, 0.632372, 0.777778, 0.933333, 0.848485, 0.571964, 0.590342
2, 4, 36, 0.866667, 0.633996, 0.823529, 0.933333, 0.875000, 0.570715, 0.608081
2, 5, 6, 1.000000, 0.668301, 1.000000, 1.000000, 1.000000, 0.571601, 0.598997
3, 1, 74, 0.750000, 0.661721, 0.729730, 0.843750, 0.782609, 0.649063, 0.651559
3, 2, 171, 0.783333, 0.646715, 0.731707, 0.937500, 0.821918, 0.644066, 0.645805
3, 3, 109, 0.800000, 0.620660, 0.794118, 0.843750, 0.818182, 0.632611, 0.668991
3, 4, 107, 0.766667, 0.624679, 0.800000, 0.750000, 0.774194, 0.631054, 0.640804
3, 5, 52, 0.900000, 0.648288, 0.933333, 0.875000, 0.903226, 0.637192, 0.642230
4, 1, 39, 0.833333, 0.651027, 0.960000, 0.727273, 0.827586, 0.618165, 0.618765
4, 2, 89, 0.800000, 0.656046, 0.769231, 0.909091, 0.833333, 0.618840, 0.656024
4, 3, 15, 0.800000, 0.651922, 1.000000, 0.636364, 0.777778, 0.617411, 0.632126
4, 4, 76, 0.816667, 0.635936, 0.866667, 0.787879, 0.825397, 0.617419, 0.620982
4, 5, 8, 0.900000, 0.647313, 1.000000, 0.818182, 0.900000, 0.616548, 0.633445
5, 1, 69, 0.783333, 0.644801, 0.761905, 0.666667, 0.711111, 0.643466, 0.651994
5, 2, 75, 0.716667, 0.671429, 0.705882, 0.500000, 0.585366, 0.654988, 0.654988
5, 3, 46, 0.800000, 0.662012, 0.800000, 0.666667, 0.727273, 0.644882, 0.654492
5, 4, 128, 0.766667, 0.635837, 0.812500, 0.541667, 0.650000, 0.646550, 0.657930
5, 5, 62, 0.766667, 0.635803, 0.777778, 0.583333, 0.666667, 0.645387, 0.660417
6, 1, 121, 0.783333, 0.658939, 0.888889, 0.705882, 0.786885, 0.670929, 0.673120
6, 2, 108, 0.733333, 0.655110, 0.846154, 0.647059, 0.733333, 0.649271, 0.649271
6, 3, 75, 0.766667, 0.660669, 1.000000, 0.588235, 0.740741, 0.648913, 0.663013
6, 4, 84, 0.750000, 0.655508, 0.851852, 0.676471, 0.754098, 0.648154, 0.651611
6, 5, 39, 0.716667, 0.669323, 0.947368, 0.529412, 0.679245, 0.655200, 0.667994
7, 1, 156, 0.650000, 0.678221, 0.628571, 0.733333, 0.676923, 0.659457, 0.668353
7, 2, 159, 0.666667, 0.668257, 0.647059, 0.733333, 0.687500, 0.660243, 0.673045
7, 3, 191, 0.633333, 0.677545, 0.595238, 0.833333, 0.694444, 0.660085, 0.660085
7, 4, 81, 0.700000, 0.664957, 0.928571, 0.433333, 0.590909, 0.656355, 0.656355
7, 5, 173, 0.766667, 0.664210, 0.785714, 0.733333, 0.758621, 0.653530, 0.653594
8, 1, 66, 0.883333, 0.674404, 0.941176, 0.864865, 0.901408, 0.661926, 0.662155
8, 2, 114, 0.750000, 0.673990, 0.805556, 0.783784, 0.794521, 0.674286, 0.675295
8, 3, 128, 0.866667, 0.655002, 0.914286, 0.864865, 0.888889, 0.660696, 0.660696
8, 4, 169, 0.716667, 0.653989, 0.738095, 0.837838, 0.784810, 0.666904, 0.700910
8, 5, 48, 0.883333, 0.671682, 0.875000, 0.945946, 0.909091, 0.661092, 0.691975
9, 1, 26, 0.716667, 0.686683, 0.681818, 0.600000, 0.638298, 0.655159, 0.659647
9, 2, 18, 0.616667, 0.681985, 0.750000, 0.120000, 0.206897, 0.666662, 0.666662
9, 3, 1, 0.583333, 0.682629, 0.000000, 0.000000, 0.000000, 0.660487, 0.663322
9, 4, 8, 0.583333, 0.693881, 0.500000, 0.520000, 0.509804, 0.662297, 0.696691
9, 5, 92, 0.666667, 0.674969, 0.857143, 0.240000, 0.375000, 0.654243, 0.671377
10, 1, 136, 0.750000, 0.663390, 0.900000, 0.580645, 0.705882, 0.669175, 0.672806
10, 2, 185, 0.650000, 0.679297, 0.708333, 0.548387, 0.618182, 0.678371, 0.690123
10, 3, 162, 0.733333, 0.663213, 0.826087, 0.612903, 0.703704, 0.677320, 0.688873
10, 4, 146, 0.716667, 0.665898, 0.718750, 0.741935, 0.730159, 0.674325, 0.691324
10, 5, 115, 0.783333, 0.679343, 0.875000, 0.677419, 0.763636, 0.675146, 0.686952
11, 1, 34, 0.583333, 0.686014, 0.645161, 0.588235, 0.615385, 0.673179, 0.673947
11, 2, 78, 0.650000, 0.674600, 0.675676, 0.735294, 0.704225, 0.671693, 0.671693
11, 3, 146, 0.683333, 0.673766, 0.714286, 0.735294, 0.724638, 0.672468, 0.688614
11, 4, 167, 0.666667, 0.676409, 0.705882, 0.705882, 0.705882, 0.665750, 0.670483
11, 5, 164, 0.716667, 0.668128, 0.742857, 0.764706, 0.753623, 0.670300, 0.672918
12, 1, 138, 0.733333, 0.670360, 0.750000, 0.576923, 0.652174, 0.674135, 0.674185
12, 2, 97, 0.683333, 0.667375, 0.818182, 0.346154, 0.486486, 0.673372, 0.676829
12, 3, 185, 0.733333, 0.665139, 0.708333, 0.653846, 0.680000, 0.671696, 0.671700
12, 4, 198, 0.716667, 0.655477, 0.736842, 0.538462, 0.622222, 0.664258, 0.672119
12, 5, 179, 0.800000, 0.659830, 0.818182, 0.692308, 0.750000, 0.671757, 0.683347
13, 1, 133, 0.683333, 0.677567, 0.692308, 0.794118, 0.739726, 0.680455, 0.687642
13, 2, 53, 0.583333, 0.691624, 0.714286, 0.441176, 0.545455, 0.682919, 0.696831
13, 3, 64, 0.716667, 0.679005, 0.869565, 0.588235, 0.701754, 0.669043, 0.669043
13, 4, 169, 0.783333, 0.654478, 0.956522, 0.647059, 0.771930, 0.661846, 0.671407
13, 5, 143, 0.850000, 0.648491, 0.903226, 0.823529, 0.861538, 0.659664, 0.664341
14, 1, 45, 0.650000, 0.690906, 0.676471, 0.696970, 0.686567, 0.672664, 0.673056
14, 2, 197, 0.683333, 0.675190, 0.705882, 0.727273, 0.716418, 0.677215, 0.679915
14, 3, 176, 0.633333, 0.675064, 0.666667, 0.666667, 0.666667, 0.666950, 0.679272
14, 4, 141, 0.766667, 0.659453, 0.880000, 0.666667, 0.758621, 0.663450, 0.664805
14, 5, 171, 0.750000, 0.661117, 0.875000, 0.636364, 0.736842, 0.662356, 0.669958
15, 1, 85, 0.550000, 0.691798, 0.512821, 0.714286, 0.597015, 0.680290, 0.688617
15, 2, 10, 0.600000, 0.687452, 0.562500, 0.642857, 0.600000, 0.672762, 0.672816
15, 3, 174, 0.633333, 0.670845, 0.875000, 0.250000, 0.388889, 0.666151, 0.666151
15, 4, 81, 0.716667, 0.651230, 0.720000, 0.642857, 0.679245, 0.663732, 0.665822
15, 5, 50, 0.666667, 0.662307, 0.833333, 0.357143, 0.500000, 0.665594, 0.686957
16, 1, 37, 0.766667, 0.687100, 0.740741, 0.740741, 0.740741, 0.659445, 0.665921
16, 2, 47, 0.700000, 0.681680, 0.909091, 0.370370, 0.526316, 0.669121, 0.685095
16, 3, 32, 0.783333, 0.682098, 0.791667, 0.703704, 0.745098, 0.657323, 0.661638
16, 4, 187, 0.583333, 0.682174, 1.000000, 0.074074, 0.137931, 0.677839, 0.712576
