# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=ring, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 62, 0.650000, 0.659602, 0.609756, 0.833333, 0.704225, 0.629829, 0.633620
2, 2, 43, 0.850000, 0.594990, 0.862069, 0.833333, 0.847458, 0.570454, 0.575676
2, 3, 56, 0.850000, 0.600909, 0.888889, 0.800000, 0.842105, 0.569968, 0.574487
2, 4, 27, 0.816667, 0.611439, 0.771429, 0.900000, 0.830769, 0.572415, 0.588801
2, 5, 10, 0.833333, 0.611830, 0.750000, 1.000000, 0.857143, 0.570947, 0.596815
3, 1, 182, 0.716667, 0.660026, 0.714286, 0.781250, 0.746269, 0.662308, 0.662308
3, 2, 174, 0.733333, 0.655349, 0.766667, 0.718750, 0.741935, 0.645333, 0.654023
3, 3, 156, 0.766667, 0.629701, 0.781250, 0.781250, 0.781250, 0.631830, 0.635029
3, 4, 101, 0.733333, 0.624896, 0.766667, 0.718750, 0.741935, 0.629604, 0.636758
3, 5, 54, 0.750000, 0.635292, 0.814815, 0.687500, 0.745763, 0.641441, 0.643492
4, 1, 144, 0.583333, 0.708403, 0.633333, 0.575758, 0.603175, 0.664204, 0.667795
4, 2, 89, 0.766667, 0.634005, 0.756757, 0.848485, 0.800000, 0.628590, 0.628590
4, 3, 178, 0.816667, 0.625777, 0.789474, 0.909091, 0.845070, 0.620083, 0.628527
4, 4, 75, 0.900000, 0.627417, 0.909091, 0.909091, 0.909091, 0.618245, 0.622394
4, 5, 195, 0.816667, 0.630450, 0.923077, 0.727273, 0.813559, 0.618889, 0.627388
5, 1, 158, 0.650000, 0.669575, 0.578947, 0.458333, 0.511628, 0.672766, 0.672766
5, 2, 110, 0.750000, 0.648129, 0.846154, 0.458333, 0.594595, 0.663920, 0.667415
5, 3, 133, 0.750000, 0.651953, 0.680000, 0.708333, 0.693878, 0.631871, 0.641789
5, 4, 84, 0.816667, 0.629275, 0.760000, 0.791667, 0.775510, 0.631889, 0.631889
5, 5, 181, 0.816667, 0.639950, 0.760000, 0.791667, 0.775510, 0.634371, 0.644320
6, 1, 1, 0.483333, 0.753586, 0.571429, 0.352941, 0.436364, 0.668298, 0.669238
6, 2, 197, 0.616667, 0.670459, 0.666667, 0.647059, 0.656716, 0.653800, 0.654645
6, 3, 140, 0.650000, 0.687128, 0.675676, 0.735294, 0.704225, 0.649804, 0.652707
6, 4, 189, 0.666667, 0.669300, 0.769231, 0.588235, 0.666667, 0.656328, 0.669791
6, 5, 15, 0.683333, 0.669537, 0.826087, 0.558824, 0.666667, 0.656736, 0.728282
7, 1, 185, 0.616667, 0.687785, 0.684211, 0.433333, 0.530612, 0.673217, 0.678708
7, 2, 85, 0.633333, 0.676065, 0.785714, 0.366667, 0.500000, 0.663516, 0.664098
7, 3, 137, 0.750000, 0.653885, 0.894737, 0.566667, 0.693878, 0.656990, 0.664779
7, 4, 119, 0.716667, 0.662156, 0.740741, 0.666667, 0.701754, 0.649707, 0.649707
7, 5, 170, 0.700000, 0.666480, 0.750000, 0.600000, 0.666667, 0.651364, 0.652479
8, 1, 126, 0.683333, 0.643458, 0.680000, 0.918919, 0.781609, 0.682577, 0.713009
8, 2, 61, 0.716667, 0.646343, 0.777778, 0.756757, 0.767123, 0.647980, 0.648063
8, 3, 167, 0.816667, 0.622680, 0.825000, 0.891892, 0.857143, 0.650198, 0.650564
8, 4, 152, 0.800000, 0.634346, 0.878788, 0.783784, 0.828571, 0.648477, 0.650360
8, 5, 91, 0.800000, 0.624452, 0.804878, 0.891892, 0.846154, 0.654469, 0.659655
9, 1, 64, 0.566667, 0.699218, 0.444444, 0.160000, 0.235294, 0.674526, 0.675118
9, 2, 160, 0.650000, 0.676076, 0.700000, 0.280000, 0.400000, 0.646510, 0.649208
9, 3, 152, 0.650000, 0.680190, 0.600000, 0.480000, 0.533333, 0.645866, 0.654735
9, 4, 176, 0.666667, 0.675469, 0.619048, 0.520000, 0.565217, 0.649460, 0.650735
9, 5, 124, 0.733333, 0.654797, 0.846154, 0.440000, 0.578947, 0.640330, 0.644120
10, 1, 144, 0.633333, 0.695220, 0.680000, 0.548387, 0.607143, 0.671175, 0.671175
10, 2, 97, 0.650000, 0.678906, 0.750000, 0.483871, 0.588235, 0.659460, 0.659460
10, 3, 86, 0.633333, 0.686404, 0.621622, 0.741935, 0.676471, 0.664919, 0.667428
10, 4, 82, 0.733333, 0.662946, 0.826087, 0.612903, 0.703704, 0.661565, 0.663905
10, 5, 179, 0.750000, 0.656478, 0.750000, 0.774194, 0.761905, 0.654235, 0.669623
11, 1, 81, 0.600000, 0.695283, 0.638889, 0.676471, 0.657143, 0.676880, 0.679090
11, 2, 116, 0.633333, 0.685326, 0.800000, 0.470588, 0.592593, 0.671442, 0.680601
11, 3, 176, 0.700000, 0.665094, 0.722222, 0.764706, 0.742857, 0.661749, 0.665251
11, 4, 192, 0.716667, 0.664246, 0.774194, 0.705882, 0.738462, 0.657021, 0.657021
11, 5, 135, 0.666667, 0.670344, 0.733333, 0.647059, 0.687500, 0.659166, 0.663905
12, 1, 179, 0.700000, 0.675695, 0.642857, 0.692308, 0.666667, 0.672282, 0.673775
12, 2, 148, 0.700000, 0.670006, 0.833333, 0.384615, 0.526316, 0.667186, 0.672788
12, 3, 77, 0.600000, 0.686010, 0.562500, 0.346154, 0.428571, 0.670082, 0.670421
12, 4, 148, 0.716667, 0.670131, 0.645161, 0.769231, 0.701754, 0.662154, 0.664646
12, 5, 113, 0.716667, 0.667709, 0.764706, 0.500000, 0.604651, 0.661397, 0.683064
13, 1, 27, 0.666667, 0.675095, 0.888889, 0.470588, 0.615385, 0.681491, 0.688476
13, 2, 176, 0.616667, 0.678671, 0.923077, 0.352941, 0.510638, 0.668655, 0.668655
13, 3, 161, 0.700000, 0.671549, 0.735294, 0.735294, 0.735294, 0.665038, 0.676372
