# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=ring, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 114, 0.866667, 0.648239, 0.866667, 0.866667, 0.866667, 0.633157, 0.657340
2, 2, 132, 0.883333, 0.639666, 0.870968, 0.900000, 0.885246, 0.628665, 0.655758
2, 3, 92, 0.900000, 0.631110, 0.875000, 0.933333, 0.903226, 0.625957, 0.683961
2, 4, 194, 0.900000, 0.629885, 0.875000, 0.933333, 0.903226, 0.627023, 0.631331
2, 5, 149, 0.916667, 0.628330, 0.931034, 0.900000, 0.915254, 0.625873, 0.634066
3, 1, 187, 0.566667, 0.692231, 0.625000, 0.468750, 0.535714, 0.668425, 0.668425
3, 2, 173, 0.616667, 0.684148, 0.628571, 0.687500, 0.656716, 0.668330, 0.677828
3, 3, 133, 0.600000, 0.698373, 0.700000, 0.437500, 0.538462, 0.668325, 0.672670
3, 4, 55, 0.683333, 0.673489, 0.709677, 0.687500, 0.698413, 0.668276, 0.674269
3, 5, 94, 0.683333, 0.677103, 0.740741, 0.625000, 0.677966, 0.668224, 0.673094
4, 1, 189, 0.800000, 0.676740, 0.800000, 0.848485, 0.823529, 0.678550, 0.678550
4, 2, 84, 0.800000, 0.652064, 0.862069, 0.757576, 0.806452, 0.630631, 0.633201
4, 3, 150, 0.800000, 0.622397, 0.769231, 0.909091, 0.833333, 0.627352, 0.630371
4, 4, 123, 0.800000, 0.631540, 0.862069, 0.757576, 0.806452, 0.628192, 0.643213
4, 5, 51, 0.833333, 0.646331, 1.000000, 0.696970, 0.821429, 0.628042, 0.661980
5, 1, 155, 0.583333, 0.690943, 0.481481, 0.541667, 0.509804, 0.712129, 0.712129
5, 2, 41, 0.716667, 0.627766, 0.684211, 0.541667, 0.604651, 0.669925, 0.681560
5, 3, 98, 0.733333, 0.637164, 0.750000, 0.500000, 0.600000, 0.656627, 0.659001
5, 4, 96, 0.733333, 0.646741, 0.666667, 0.666667, 0.666667, 0.651632, 0.651632
5, 5, 82, 0.750000, 0.675337, 0.680000, 0.708333, 0.693878, 0.643488, 0.670820
6, 1, 36, 0.616667, 0.707142, 0.789474, 0.441176, 0.566038, 0.676046, 0.677041
6, 2, 176, 0.616667, 0.679166, 0.677419, 0.617647, 0.646154, 0.651793, 0.654938
6, 3, 174, 0.666667, 0.680319, 0.640000, 0.941176, 0.761905, 0.660615, 0.662519
6, 4, 195, 0.700000, 0.660841, 0.900000, 0.529412, 0.666667, 0.653475, 0.657366
6, 5, 198, 0.650000, 0.665405, 0.666667, 0.764706, 0.712329, 0.651179, 0.662966
7, 1, 129, 0.550000, 0.696100, 0.600000, 0.300000, 0.400000, 0.676144, 0.676144
7, 2, 141, 0.683333, 0.679979, 0.761905, 0.533333, 0.627451, 0.681169, 0.701188
7, 3, 180, 0.666667, 0.655883, 0.631579, 0.800000, 0.705882, 0.656301, 0.677088
7, 4, 84, 0.633333, 0.684168, 0.833333, 0.333333, 0.476190, 0.662469, 0.665244
7, 5, 78, 0.700000, 0.673063, 0.833333, 0.500000, 0.625000, 0.659213, 0.696027
8, 1, 1, 0.616667, 0.692516, 0.616667, 1.000000, 0.762887, 0.705261, 0.705261
8, 2, 1, 0.616667, 0.692766, 0.616667, 1.000000, 0.762887, 0.696201, 0.701350
8, 3, 1, 0.616667, 0.692280, 0.616667, 1.000000, 0.762887, 0.694385, 0.694385
8, 4, 88, 0.766667, 0.650629, 0.744681, 0.945946, 0.833333, 0.649235, 0.649766
8, 5, 147, 0.750000, 0.650037, 0.729167, 0.945946, 0.823529, 0.654916, 0.663817
9, 1, 79, 0.616667, 0.690007, 0.562500, 0.360000, 0.439024, 0.699247, 0.699262
9, 2, 149, 0.683333, 0.678146, 0.636364, 0.560000, 0.595745, 0.668903, 0.668903
9, 3, 199, 0.716667, 0.663913, 0.833333, 0.400000, 0.540541, 0.651532, 0.651554
9, 4, 155, 0.683333, 0.673573, 0.666667, 0.480000, 0.558140, 0.653105, 0.653144
9, 5, 177, 0.650000, 0.671082, 0.750000, 0.240000, 0.363636, 0.651289, 0.653544
10, 1, 129, 0.616667, 0.702848, 0.681818, 0.483871, 0.566038, 0.709848, 0.711619
10, 2, 82, 0.550000, 0.717237, 0.750000, 0.193548, 0.307692, 0.690877, 0.692332
10, 3, 197, 0.600000, 0.680500, 0.600000, 0.677419, 0.636364, 0.662350, 0.662428
10, 4, 146, 0.616667, 0.684584, 0.700000, 0.451613, 0.549020, 0.658202, 0.660452
10, 5, 169, 0.700000, 0.665658, 0.809524, 0.548387, 0.653846, 0.664682, 0.664682
11, 1, 103, 0.600000, 0.698951, 0.777778, 0.411765, 0.538462, 0.700804, 0.702982
11, 2, 89, 0.616667, 0.707207, 0.866667, 0.382353, 0.530612, 0.685952, 0.685952
11, 3, 148, 0.666667, 0.687989, 0.818182, 0.529412, 0.642857, 0.678669, 0.678669
11, 4, 162, 0.683333, 0.683647, 0.800000, 0.588235, 0.677966, 0.676184, 0.684993
11, 5, 200, 0.683333, 0.672706, 0.800000, 0.588235, 0.677966, 0.663812, 0.663812
12, 1, 181, 0.666667, 0.684272, 0.714286, 0.384615, 0.500000, 0.700586, 0.700586
12, 2, 197, 0.750000, 0.650605, 0.739130, 0.653846, 0.693878, 0.666384, 0.671892
12, 3, 133, 0.750000, 0.659251, 0.689655, 0.769231, 0.727273, 0.662290, 0.670910
12, 4, 189, 0.766667, 0.654337, 0.750000, 0.692308, 0.720000, 0.667043, 0.670487
12, 5, 78, 0.700000, 0.669441, 0.700000, 0.538462, 0.608696, 0.663973, 0.663973
13, 1, 148, 0.683333, 0.668452, 0.800000, 0.588235, 0.677966, 0.672443, 0.686854
13, 2, 149, 0.700000, 0.680766, 0.900000, 0.529412, 0.666667, 0.668901, 0.669657
13, 3, 162, 0.700000, 0.662948, 0.785714, 0.647059, 0.709677, 0.669229, 0.686379
13, 4, 66, 0.683333, 0.694965, 1.000000, 0.441176, 0.612245, 0.668995, 0.668995
13, 5, 189, 0.700000, 0.672332, 0.766667, 0.676471, 0.718750, 0.667087, 0.667087
14, 1, 157, 0.700000, 0.673209, 0.894737, 0.515152, 0.653846, 0.682523, 0.692473
14, 2, 136, 0.683333, 0.671490, 0.769231, 0.606061, 0.677966, 0.674673, 0.676766
14, 3, 4, 0.650000, 0.684135, 0.833333, 0.454545, 0.588235, 0.673210, 0.675916
14, 4, 39, 0.700000, 0.678085, 0.826087, 0.575758, 0.678571, 0.669336, 0.673432
14, 5, 183, 0.700000, 0.666736, 0.894737, 0.515152, 0.653846, 0.662955, 0.662955
15, 1, 100, 0.583333, 0.713221, 0.536585, 0.785714, 0.637681, 0.672873, 0.672873
15, 2, 176, 0.616667, 0.693240, 0.567568, 0.750000, 0.646154, 0.666489, 0.666489
15, 3, 163, 0.616667, 0.703714, 0.558140, 0.857143, 0.676056, 0.670755, 0.676859
15, 4, 116, 0.666667, 0.670063, 1.000000, 0.285714, 0.444444, 0.666635, 0.674084
15, 5, 160, 0.616667, 0.680871, 0.600000, 0.535714, 0.566038, 0.662546, 0.662546
16, 1, 1, 0.450000, 0.835191, 0.450000, 1.000000, 0.620690, 0.690446, 0.690860
16, 2, 197, 0.783333, 0.676079, 0.818182, 0.666667, 0.734694, 0.673793, 0.683587
16, 3, 14, 0.550000, 0.702423, 0.000000, 0.000000, 0.000000, 0.685009, 0.685009
16, 4, 169, 0.666667, 0.688711, 0.684211, 0.481481, 0.565217, 0.680389, 0.685919
16, 5, 128, 0.600000, 0.686932, 0.714286, 0.185185, 0.294118, 0.673827, 0.683961
17, 1, 22, 0.666667, 0.683039, 0.707317, 0.783784, 0.743590, 0.699941, 0.699984
17, 2, 167, 0.666667, 0.678803, 0.697674, 0.810811, 0.750000, 0.684005, 0.701170
17, 3, 11, 0.666667, 0.685287, 0.717949, 0.756757, 0.736842, 0.685460, 0.685460
17, 4, 7, 0.650000, 0.676405, 0.681818, 0.810811, 0.740741, 0.670453, 0.674792
17, 5, 1, 0.616667, 0.665324, 0.616667, 1.000000, 0.762887, 0.676629, 0.681377
18, 1, 1, 0.516667, 0.767949, 0.516667, 1.000000, 0.681319, 0.697113, 0.697702
18, 2, 24, 0.533333, 0.713825, 0.800000, 0.129032, 0.222222, 0.696277, 0.698661
18, 3, 99, 0.583333, 0.692560, 0.571429, 0.774194, 0.657534, 0.688373, 0.700177
18, 4, 181, 0.533333, 0.706491, 0.528302, 0.903226, 0.666667, 0.684389, 0.690235
18, 5, 104, 0.550000, 0.704023, 0.642857, 0.290323, 0.400000, 0.679054, 0.684913
19, 1, 69, 0.600000, 0.693264, 0.628571, 0.666667, 0.647059, 0.697119, 0.699329
19, 2, 84, 0.583333, 0.687113, 0.574074, 0.939394, 0.712644, 0.672246, 0.687139
19, 3, 49, 0.616667, 0.693312, 0.647059, 0.666667, 0.656716, 0.674229, 0.682678
19, 4, 4, 0.566667, 0.689047, 0.563636, 0.939394, 0.704545, 0.660802, 0.661022
19, 5, 16, 0.583333, 0.690425, 0.595238, 0.757576, 0.666667, 0.664851, 0.671848
20, 1, 30, 0.550000, 0.702843, 0.547170, 0.906250, 0.682353, 0.689643, 0.690144
20, 2, 184, 0.566667, 0.686229, 0.575000, 0.718750, 0.638889, 0.683297, 0.696865
20, 3, 46, 0.533333, 0.703641, 0.538462, 0.875000, 0.666667, 0.684453, 0.688181
20, 4, 142, 0.566667, 0.709599, 0.750000, 0.281250, 0.409091, 0.682313, 0.686939
20, 5, 184, 0.600000, 0.694602, 0.750000, 0.375000, 0.500000, 0.680699, 0.681809
