# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=chain, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 176, 0.900000, 0.634469, 0.875000, 0.933333, 0.903226, 0.632070, 0.634510
2, 2, 147, 0.766667, 0.612628, 0.833333, 0.666667, 0.740741, 0.572905, 0.596697
2, 3, 13, 0.866667, 0.611658, 0.923077, 0.800000, 0.857143, 0.570063, 0.575627
2, 4, 11, 0.850000, 0.608100, 0.838710, 0.866667, 0.852459, 0.570114, 0.572214
2, 5, 138, 0.783333, 0.599877, 0.793103, 0.766667, 0.779661, 0.571813, 0.578559
3, 1, 157, 0.600000, 0.696654, 0.681818, 0.468750, 0.555556, 0.668208, 0.670785
3, 2, 171, 0.783333, 0.612753, 0.787879, 0.812500, 0.800000, 0.632892, 0.632892
3, 3, 164, 0.766667, 0.619453, 0.800000, 0.750000, 0.774194, 0.630573, 0.639724
3, 4, 105, 0.783333, 0.616716, 0.787879, 0.812500, 0.800000, 0.630115, 0.635991
3, 5, 62, 0.766667, 0.644223, 0.846154, 0.687500, 0.758621, 0.640729, 0.643245
4, 1, 183, 0.800000, 0.674765, 0.920000, 0.696970, 0.793103, 0.676381, 0.676381
4, 2, 22, 0.833333, 0.643794, 0.870968, 0.818182, 0.843750, 0.619135, 0.620881
4, 3, 39, 0.950000, 0.625148, 0.968750, 0.939394, 0.953846, 0.611547, 0.648793
4, 4, 73, 0.850000, 0.601506, 0.928571, 0.787879, 0.852459, 0.598860, 0.625931
4, 5, 173, 0.833333, 0.599528, 0.925926, 0.757576, 0.833333, 0.597858, 0.613372
5, 1, 125, 0.483333, 0.717241, 0.387097, 0.500000, 0.436364, 0.736186, 0.736186
5, 2, 194, 0.650000, 0.666770, 0.542857, 0.791667, 0.644068, 0.662572, 0.662572
5, 3, 52, 0.833333, 0.646968, 1.000000, 0.583333, 0.736842, 0.638486, 0.644218
5, 4, 80, 0.800000, 0.621654, 0.800000, 0.666667, 0.727273, 0.628270, 0.628843
5, 5, 188, 0.833333, 0.642292, 0.791667, 0.791667, 0.791667, 0.627128, 0.632644
6, 1, 8, 0.583333, 0.685487, 0.600000, 0.794118, 0.683544, 0.680426, 0.681551
6, 2, 19, 0.616667, 0.683232, 0.657143, 0.676471, 0.666667, 0.649876, 0.668410
6, 3, 143, 0.683333, 0.660144, 0.826087, 0.558824, 0.666667, 0.651587, 0.653117
6, 4, 11, 0.616667, 0.709312, 0.866667, 0.382353, 0.530612, 0.643352, 0.652084
6, 5, 3, 0.600000, 0.704653, 0.857143, 0.352941, 0.500000, 0.644091, 0.674565
7, 1, 79, 0.583333, 0.717743, 0.727273, 0.266667, 0.390244, 0.672242, 0.672242
7, 2, 61, 0.600000, 0.695417, 0.800000, 0.266667, 0.400000, 0.651706, 0.651979
7, 3, 197, 0.733333, 0.656807, 0.733333, 0.733333, 0.733333, 0.641271, 0.641271
7, 4, 100, 0.750000, 0.650025, 0.777778, 0.700000, 0.736842, 0.642503, 0.644609
7, 5, 177, 0.750000, 0.658977, 0.800000, 0.666667, 0.727273, 0.647921, 0.682060
8, 1, 200, 0.716667, 0.687863, 0.750000, 0.810811, 0.779221, 0.688897, 0.689230
8, 2, 98, 0.866667, 0.660985, 0.939394, 0.837838, 0.885714, 0.663863, 0.665056
8, 3, 167, 0.650000, 0.682238, 0.863636, 0.513514, 0.644068, 0.662098, 0.662098
8, 4, 192, 0.750000, 0.646927, 0.805556, 0.783784, 0.794521, 0.648732, 0.649115
8, 5, 166, 0.850000, 0.632275, 0.804348, 1.000000, 0.891566, 0.641107, 0.641971
9, 1, 165, 0.600000, 0.688942, 0.529412, 0.360000, 0.428571, 0.706590, 0.706600
9, 2, 22, 0.583333, 0.682829, 0.000000, 0.000000, 0.000000, 0.677601, 0.677601
9, 3, 132, 0.650000, 0.673749, 0.583333, 0.560000, 0.571429, 0.648033, 0.657774
9, 4, 94, 0.750000, 0.660326, 0.916667, 0.440000, 0.594595, 0.643670, 0.646358
9, 5, 128, 0.750000, 0.655961, 0.857143, 0.480000, 0.615385, 0.644832, 0.651110
10, 1, 186, 0.616667, 0.703581, 0.681818, 0.483871, 0.566038, 0.710004, 0.710605
10, 2, 80, 0.616667, 0.697024, 0.700000, 0.451613, 0.549020, 0.704416, 0.704921
10, 3, 123, 0.633333, 0.685516, 0.846154, 0.354839, 0.500000, 0.669102, 0.669478
10, 4, 180, 0.716667, 0.658724, 0.850000, 0.548387, 0.666667, 0.653432, 0.655887
10, 5, 186, 0.716667, 0.655734, 0.750000, 0.677419, 0.711864, 0.649974, 0.652616
11, 1, 15, 0.600000, 0.703724, 0.812500, 0.382353, 0.520000, 0.700389, 0.701971
11, 2, 191, 0.666667, 0.677803, 0.791667, 0.558824, 0.655172, 0.685132, 0.687738
11, 3, 187, 0.650000, 0.669550, 0.651163, 0.823529, 0.727273, 0.672680, 0.672707
11, 4, 18, 0.633333, 0.698103, 0.875000, 0.411765, 0.560000, 0.663650, 0.663851
11, 5, 15, 0.633333, 0.689095, 0.800000, 0.470588, 0.592593, 0.668784, 0.692932
12, 1, 176, 0.666667, 0.683178, 0.714286, 0.384615, 0.500000, 0.699063, 0.701553
12, 2, 159, 0.700000, 0.660822, 0.785714, 0.423077, 0.550000, 0.678990, 0.697874
12, 3, 129, 0.700000, 0.659696, 0.722222, 0.500000, 0.590909, 0.660169, 0.668973
12, 4, 24, 0.700000, 0.676943, 0.833333, 0.384615, 0.526316, 0.674320, 0.678888
12, 5, 180, 0.666667, 0.674403, 0.666667, 0.461538, 0.545455, 0.682004, 0.682335
13, 1, 170, 0.700000, 0.664503, 0.785714, 0.647059, 0.709677, 0.671177, 0.672980
13, 2, 154, 0.716667, 0.663005, 0.840000, 0.617647, 0.711864, 0.668463, 0.668589
13, 3, 197, 0.766667, 0.653179, 0.954545, 0.617647, 0.750000, 0.661594, 0.662979
13, 4, 194, 0.733333, 0.662329, 0.909091, 0.588235, 0.714286, 0.658166, 0.658172
13, 5, 191, 0.666667, 0.655894, 0.818182, 0.529412, 0.642857, 0.651721, 0.655227
14, 1, 164, 0.750000, 0.668990, 0.875000, 0.636364, 0.736842, 0.676296, 0.676368
14, 2, 179, 0.750000, 0.659579, 0.764706, 0.787879, 0.776119, 0.663552, 0.663833
14, 3, 171, 0.733333, 0.665055, 0.947368, 0.545455, 0.692308, 0.665511, 0.673936
14, 4, 178, 0.716667, 0.668724, 0.944444, 0.515152, 0.666667, 0.662618, 0.670450
14, 5, 98, 0.716667, 0.665934, 0.807692, 0.636364, 0.711864, 0.659340, 0.674303
15, 1, 99, 0.616667, 0.708800, 0.560976, 0.821429, 0.666667, 0.670557, 0.682379
15, 2, 171, 0.700000, 0.663285, 0.777778, 0.500000, 0.608696, 0.663786, 0.666029
15, 3, 184, 0.683333, 0.663832, 0.714286, 0.535714, 0.612245, 0.662550, 0.666612
15, 4, 154, 0.716667, 0.674340, 0.689655, 0.714286, 0.701754, 0.661828, 0.666766
15, 5, 195, 0.616667, 0.671809, 0.608696, 0.500000, 0.549020, 0.661877, 0.664326
16, 1, 156, 0.550000, 0.698435, 0.000000, 0.000000, 0.000000, 0.690204, 0.694387
16, 2, 190, 0.566667, 0.697022, 0.666667, 0.074074, 0.133333, 0.691852, 0.698574
16, 3, 192, 0.783333, 0.679294, 0.694444, 0.925926, 0.793651, 0.671919, 0.672283
16, 4, 196, 0.633333, 0.673947, 0.592593, 0.592593, 0.592593, 0.678832, 0.679376
16, 5, 16, 0.800000, 0.660579, 0.727273, 0.888889, 0.800000, 0.650117, 0.663065
17, 1, 126, 0.683333, 0.686288, 0.750000, 0.729730, 0.739726, 0.699963, 0.707339
