# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=chain, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 149, 0.900000, 0.632182, 0.875000, 0.933333, 0.903226, 0.627689, 0.628128
2, 2, 115, 0.850000, 0.594817, 0.862069, 0.833333, 0.847458, 0.571646, 0.576475
2, 3, 88, 0.883333, 0.626053, 0.925926, 0.833333, 0.877193, 0.570494, 0.570767
2, 4, 32, 0.850000, 0.600903, 0.920000, 0.766667, 0.836364, 0.570365, 0.593469
2, 5, 139, 0.800000, 0.597069, 0.764706, 0.866667, 0.812500, 0.570744, 0.578288
3, 1, 159, 0.550000, 0.695138, 0.586207, 0.531250, 0.557377, 0.668510, 0.672143
3, 2, 90, 0.733333, 0.623230, 0.766667, 0.718750, 0.741935, 0.631467, 0.643316
3, 3, 200, 0.750000, 0.629481, 0.774194, 0.750000, 0.761905, 0.630311, 0.633500
3, 4, 74, 0.783333, 0.620426, 0.806452, 0.781250, 0.793651, 0.633005, 0.635312
3, 5, 145, 0.750000, 0.622443, 0.774194, 0.750000, 0.761905, 0.631211, 0.647788
4, 1, 199, 0.783333, 0.676701, 0.833333, 0.757576, 0.793651, 0.679880, 0.679880
4, 2, 104, 0.816667, 0.648730, 0.843750, 0.818182, 0.830769, 0.623631, 0.642111
4, 3, 164, 0.850000, 0.647714, 0.852941, 0.878788, 0.865672, 0.637357, 0.640044
4, 4, 189, 0.683333, 0.663680, 0.750000, 0.636364, 0.688525, 0.661444, 0.665214
4, 5, 100, 0.833333, 0.637710, 1.000000, 0.696970, 0.821429, 0.620572, 0.631885
5, 1, 185, 0.616667, 0.667145, 1.000000, 0.041667, 0.080000, 0.713014, 0.715919
5, 2, 157, 0.750000, 0.641055, 0.800000, 0.500000, 0.615385, 0.650501, 0.652508
5, 3, 193, 0.800000, 0.627532, 0.833333, 0.625000, 0.714286, 0.642867, 0.646440
5, 4, 149, 0.783333, 0.631920, 0.923077, 0.500000, 0.648649, 0.644235, 0.672497
5, 5, 117, 0.783333, 0.660604, 0.689655, 0.833333, 0.754717, 0.648215, 0.651063
6, 1, 4, 0.583333, 0.686438, 0.595745, 0.823529, 0.691358, 0.677765, 0.679307
6, 2, 157, 0.616667, 0.681080, 0.720000, 0.529412, 0.610169, 0.651761, 0.651761
6, 3, 200, 0.650000, 0.676483, 0.724138, 0.617647, 0.666667, 0.651378, 0.651378
6, 4, 122, 0.633333, 0.670865, 0.750000, 0.529412, 0.620690, 0.649762, 0.671814
6, 5, 182, 0.683333, 0.671149, 0.758621, 0.647059, 0.698413, 0.646714, 0.676562
7, 1, 134, 0.583333, 0.717111, 0.727273, 0.266667, 0.390244, 0.697834, 0.699983
7, 2, 165, 0.700000, 0.663088, 0.875000, 0.466667, 0.608696, 0.654829, 0.654882
7, 3, 189, 0.716667, 0.655898, 0.842105, 0.533333, 0.653061, 0.652066, 0.652402
7, 4, 129, 0.716667, 0.656101, 0.933333, 0.466667, 0.622222, 0.653498, 0.653502
7, 5, 185, 0.800000, 0.653594, 0.781250, 0.833333, 0.806452, 0.652464, 0.659111
