# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=chain, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 1, 0.500000, 0.693460, 0.500000, 1.000000, 0.666667, 0.692279, 0.692284
2, 2, 120, 0.933333, 0.628956, 0.964286, 0.900000, 0.931034, 0.625923, 0.626268
2, 3, 71, 0.900000, 0.630821, 0.900000, 0.900000, 0.900000, 0.626205, 0.629612
2, 4, 151, 0.900000, 0.629294, 0.875000, 0.933333, 0.903226, 0.626176, 0.637709
2, 5, 91, 0.900000, 0.629841, 0.900000, 0.900000, 0.900000, 0.626232, 0.630045
3, 1, 44, 0.533333, 0.692946, 0.533333, 1.000000, 0.695652, 0.693148, 0.693184
3, 2, 123, 0.633333, 0.678525, 0.692308, 0.562500, 0.620690, 0.683066, 0.685410
3, 3, 178, 0.583333, 0.699584, 0.666667, 0.437500, 0.528302, 0.673187, 0.674447
3, 4, 166, 0.600000, 0.699776, 0.750000, 0.375000, 0.500000, 0.669426, 0.681004
3, 5, 125, 0.666667, 0.679286, 0.687500, 0.687500, 0.687500, 0.672544, 0.692038
4, 1, 6, 0.550000, 0.692892, 0.550000, 1.000000, 0.709677, 0.691445, 0.696756
4, 2, 30, 0.900000, 0.655370, 0.965517, 0.848485, 0.903226, 0.663167, 0.665312
4, 3, 145, 0.900000, 0.655550, 0.935484, 0.878788, 0.906250, 0.663881, 0.668359
4, 4, 136, 0.833333, 0.662883, 0.896552, 0.787879, 0.838710, 0.667907, 0.673684
4, 5, 157, 0.900000, 0.655758, 0.909091, 0.909091, 0.909091, 0.663929, 0.673043
5, 1, 96, 0.600000, 0.691842, 0.000000, 0.000000, 0.000000, 0.690924, 0.701229
5, 2, 61, 0.700000, 0.675332, 0.636364, 0.583333, 0.608696, 0.657552, 0.658917
5, 3, 151, 0.700000, 0.662773, 0.687500, 0.458333, 0.550000, 0.662528, 0.672601
5, 4, 99, 0.683333, 0.670250, 0.592593, 0.666667, 0.627451, 0.660283, 0.676517
5, 5, 83, 0.733333, 0.673920, 0.681818, 0.625000, 0.652174, 0.658239, 0.658239
6, 1, 43, 0.566667, 0.693133, 0.566667, 1.000000, 0.723404, 0.691897, 0.692859
6, 2, 173, 0.750000, 0.653568, 0.771429, 0.794118, 0.782609, 0.668913, 0.670105
6, 3, 139, 0.600000, 0.679365, 0.600000, 0.882353, 0.714286, 0.681554, 0.684844
6, 4, 149, 0.700000, 0.658993, 0.863636, 0.558824, 0.678571, 0.667004, 0.668797
