# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=full, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 1, 0.500000, 0.693460, 0.500000, 1.000000, 0.666667, 0.692280, 0.694030
2, 2, 133, 0.916667, 0.628493, 0.962963, 0.866667, 0.912281, 0.625969, 0.626232
2, 3, 132, 0.900000, 0.629257, 0.875000, 0.933333, 0.903226, 0.625998, 0.627445
2, 4, 117, 0.883333, 0.631895, 0.870968, 0.900000, 0.885246, 0.626374, 0.626638
2, 5, 55, 0.900000, 0.632258, 0.875000, 0.933333, 0.903226, 0.626106, 0.626166
3, 1, 20, 0.533333, 0.692810, 0.533333, 1.000000, 0.695652, 0.693147, 0.696103
3, 2, 110, 0.633333, 0.687816, 0.750000, 0.468750, 0.576923, 0.689503, 0.694320
3, 3, 76, 0.683333, 0.683724, 0.740741, 0.625000, 0.677966, 0.672370, 0.678721
3, 4, 36, 0.600000, 0.687762, 0.722222, 0.406250, 0.520000, 0.674079, 0.680038
3, 5, 105, 0.683333, 0.673022, 0.685714, 0.750000, 0.716418, 0.669015, 0.671892
4, 1, 60, 0.783333, 0.621829, 0.833333, 0.757576, 0.793651, 0.625781, 0.625937
4, 2, 192, 0.766667, 0.642902, 0.851852, 0.696970, 0.766667, 0.641832, 0.643502
4, 3, 111, 0.766667, 0.616065, 0.787879, 0.787879, 0.787879, 0.622513, 0.622660
4, 4, 88, 0.766667, 0.640761, 1.000000, 0.575758, 0.730769, 0.626118, 0.633615
4, 5, 53, 0.766667, 0.625650, 0.913043, 0.636364, 0.750000, 0.624904, 0.640004
5, 1, 153, 0.750000, 0.643976, 0.666667, 0.750000, 0.705882, 0.640947, 0.640947
5, 2, 103, 0.700000, 0.638581, 0.666667, 0.500000, 0.571429, 0.670112, 0.674657
5, 3, 128, 0.766667, 0.645119, 0.678571, 0.791667, 0.730769, 0.635035, 0.635737
5, 4, 135, 0.800000, 0.642297, 0.772727, 0.708333, 0.739130, 0.643142, 0.643142
5, 5, 3, 0.733333, 0.648440, 0.700000, 0.583333, 0.636364, 0.634392, 0.662165
6, 1, 171, 0.783333, 0.646042, 0.838710, 0.764706, 0.800000, 0.654584, 0.655767
6, 2, 195, 0.666667, 0.667011, 0.850000, 0.500000, 0.629630, 0.652454, 0.653277
6, 3, 26, 0.650000, 0.690790, 0.724138, 0.617647, 0.666667, 0.647712, 0.660630
6, 4, 164, 0.800000, 0.642864, 0.843750, 0.794118, 0.818182, 0.647187, 0.656064
6, 5, 107, 0.733333, 0.647176, 0.704545, 0.911765, 0.794872, 0.646609, 0.646609
7, 1, 124, 0.683333, 0.661320, 0.648649, 0.800000, 0.716418, 0.656374, 0.656374
7, 2, 114, 0.666667, 0.659162, 0.656250, 0.700000, 0.677419, 0.668020, 0.669350
7, 3, 143, 0.733333, 0.654894, 0.684211, 0.866667, 0.764706, 0.651797, 0.661594
7, 4, 183, 0.733333, 0.657936, 0.769231, 0.666667, 0.714286, 0.652050, 0.653174
7, 5, 143, 0.733333, 0.663059, 0.818182, 0.600000, 0.692308, 0.647980, 0.648044
8, 1, 12, 0.616667, 0.692594, 0.616667, 1.000000, 0.762887, 0.693112, 0.696946
8, 2, 162, 0.916667, 0.673977, 0.880952, 1.000000, 0.936709, 0.678061, 0.687701
8, 3, 177, 0.850000, 0.663014, 0.818182, 0.972973, 0.888889, 0.676824, 0.685274
8, 4, 120, 0.750000, 0.638256, 0.805556, 0.783784, 0.794521, 0.682861, 0.689903
8, 5, 56, 0.833333, 0.665092, 0.909091, 0.810811, 0.857143, 0.675335, 0.677319
9, 1, 1, 0.583333, 0.689293, 0.000000, 0.000000, 0.000000, 0.691445, 0.691669
9, 2, 6, 0.600000, 0.681936, 1.000000, 0.040000, 0.076923, 0.680071, 0.687685
9, 3, 107, 0.600000, 0.691230, 0.571429, 0.160000, 0.250000, 0.678352, 0.683963
9, 4, 20, 0.600000, 0.678905, 1.000000, 0.040000, 0.076923, 0.681665, 0.683460
9, 5, 39, 0.666667, 0.679533, 0.692308, 0.360000, 0.473684, 0.680400, 0.697641
10, 1, 1, 0.516667, 0.692626, 0.516667, 1.000000, 0.681319, 0.690923, 0.694438
10, 2, 8, 0.583333, 0.705861, 0.687500, 0.354839, 0.468085, 0.684301, 0.693361
10, 3, 198, 0.633333, 0.694650, 1.000000, 0.290323, 0.450000, 0.686027, 0.705138
10, 4, 148, 0.666667, 0.668998, 0.657143, 0.741935, 0.696970, 0.683765, 0.684587
10, 5, 77, 0.666667, 0.680645, 0.923077, 0.387097, 0.545455, 0.676741, 0.677078
11, 1, 16, 0.566667, 0.693015, 0.566667, 1.000000, 0.723404, 0.691897, 0.692615
11, 2, 94, 0.600000, 0.679483, 0.608696, 0.823529, 0.700000, 0.677826, 0.679529
11, 3, 192, 0.616667, 0.677211, 0.603774, 0.941176, 0.735632, 0.679573, 0.691446
11, 4, 102, 0.600000, 0.678689, 0.589286, 0.970588, 0.733333, 0.676147, 0.676485
11, 5, 85, 0.616667, 0.683246, 0.703704, 0.558824, 0.622951, 0.678299, 0.681079
12, 1, 1, 0.566667, 0.690126, 0.000000, 0.000000, 0.000000, 0.691445, 0.691484
12, 2, 1, 0.600000, 0.692452, 0.600000, 0.230769, 0.333333, 0.687895, 0.688996
12, 3, 17, 0.600000, 0.688372, 1.000000, 0.076923, 0.142857, 0.687385, 0.690549
12, 4, 15, 0.616667, 0.680889, 1.000000, 0.115385, 0.206897, 0.686496, 0.694556
12, 5, 190, 0.633333, 0.687885, 0.566667, 0.653846, 0.607143, 0.684745, 0.686718
13, 1, 4, 0.566667, 0.693078, 0.566667, 1.000000, 0.723404, 0.692592, 0.692920
13, 2, 135, 0.583333, 0.689896, 0.581818, 0.941176, 0.719101, 0.695365, 0.724308
13, 3, 85, 0.766667, 0.676234, 0.833333, 0.735294, 0.781250, 0.674103, 0.680061
13, 4, 162, 0.716667, 0.671983, 0.904762, 0.558824, 0.690909, 0.671673, 0.672655
13, 5, 113, 0.716667, 0.665097, 0.757576, 0.735294, 0.746269, 0.670570, 0.670570
14, 1, 1, 0.550000, 0.690960, 0.550000, 1.000000, 0.709677, 0.693008, 0.696032
14, 2, 163, 0.550000, 0.694693, 0.583333, 0.636364, 0.608696, 0.678213, 0.678213
14, 3, 190, 0.683333, 0.673008, 0.705882, 0.727273, 0.716418, 0.676210, 0.677017
14, 4, 10, 0.633333, 0.675911, 0.641026, 0.757576, 0.694444, 0.676923, 0.681947
14, 5, 95, 0.650000, 0.686348, 0.714286, 0.606061, 0.655738, 0.674718, 0.687873
15, 1, 1, 0.466667, 0.695126, 0.466667, 1.000000, 0.636364, 0.691445, 0.692690
15, 2, 33, 0.583333, 0.691752, 0.588235, 0.357143, 0.444444, 0.677331, 0.678995
15, 3, 191, 0.600000, 0.687883, 0.642857, 0.321429, 0.428571, 0.670518, 0.684800
15, 4, 102, 0.633333, 0.686055, 0.875000, 0.250000, 0.388889, 0.668677, 0.671046
15, 5, 158, 0.666667, 0.679721, 1.000000, 0.285714, 0.444444, 0.665312, 0.667550
16, 1, 190, 0.550000, 0.699250, 0.500000, 0.740741, 0.597015, 0.677275, 0.677275
16, 2, 86, 0.583333, 0.694400, 0.531250, 0.629630, 0.576271, 0.671113, 0.671133
16, 3, 162, 0.733333, 0.666519, 0.761905, 0.592593, 0.666667, 0.660361, 0.660361
16, 4, 141, 0.800000, 0.663088, 0.777778, 0.777778, 0.777778, 0.656860, 0.658333
16, 5, 150, 0.816667, 0.651918, 0.785714, 0.814815, 0.800000, 0.651674, 0.697847
17, 1, 137, 0.633333, 0.686387, 0.659574, 0.837838, 0.738095, 0.673592, 0.673592
17, 2, 15, 0.650000, 0.687534, 0.766667, 0.621622, 0.686567, 0.664543, 0.682633
17, 3, 139, 0.666667, 0.666079, 0.688889, 0.837838, 0.756098, 0.678712, 0.722039
17, 4, 118, 0.650000, 0.669137, 0.690476, 0.783784, 0.734177, 0.664947, 0.689103
17, 5, 136, 0.666667, 0.677484, 0.649123, 1.000000, 0.787234, 0.667786, 0.669938
18, 1, 60, 0.600000, 0.696730, 0.666667, 0.451613, 0.538462, 0.680315, 0.680315
18, 2, 8, 0.533333, 0.699588, 0.538462, 0.677419, 0.600000, 0.664542, 0.664542
18, 3, 183, 0.533333, 0.705205, 0.529412, 0.870968, 0.658537, 0.675675, 0.676449
18, 4, 172, 0.633333, 0.683929, 0.714286, 0.483871, 0.576923, 0.664446, 0.664825
18, 5, 25, 0.600000, 0.697750, 0.566038, 0.967742, 0.714286, 0.666708, 0.673892
19, 1, 1, 0.550000, 0.735236, 0.550000, 1.000000, 0.709677, 0.674901, 0.684381
19, 2, 20, 0.566667, 0.688096, 0.566038, 0.909091, 0.697674, 0.672406, 0.672861
19, 3, 191, 0.633333, 0.672504, 0.666667, 0.666667, 0.666667, 0.663146, 0.665130
19, 4, 90, 0.700000, 0.676804, 0.941176, 0.484848, 0.640000, 0.664255, 0.677823
19, 5, 198, 0.633333, 0.682351, 0.823529, 0.424242, 0.560000, 0.662844, 0.673328
20, 1, 69, 0.550000, 0.721745, 0.542373, 1.000000, 0.703297, 0.686159, 0.686228
20, 2, 199, 0.700000, 0.674030, 1.000000, 0.437500, 0.608696, 0.658502, 0.662772
20, 3, 119, 0.683333, 0.678729, 0.740741, 0.625000, 0.677966, 0.672633, 0.675791
20, 4, 178, 0.600000, 0.695905, 0.653846, 0.531250, 0.586207, 0.678089, 0.678634
20, 5, 107, 0.683333, 0.667365, 0.709677, 0.687500, 0.698413, 0.674954, 0.678101
