# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=pairwise, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 190, 0.900000, 0.630929, 0.875000, 0.933333, 0.903226, 0.628415, 0.636917
2, 2, 131, 0.833333, 0.613532, 0.833333, 0.833333, 0.833333, 0.571815, 0.572555
2, 3, 109, 0.800000, 0.620340, 0.736842, 0.933333, 0.823529, 0.570565, 0.589458
2, 4, 32, 0.833333, 0.619798, 0.857143, 0.800000, 0.827586, 0.570457, 0.574507
2, 5, 84, 0.816667, 0.599078, 0.880000, 0.733333, 0.800000, 0.570131, 0.596251
3, 1, 171, 0.550000, 0.714298, 0.666667, 0.312500, 0.425532, 0.673701, 0.675266
3, 2, 90, 0.733333, 0.630706, 0.766667, 0.718750, 0.741935, 0.633646, 0.647432
3, 3, 107, 0.783333, 0.623856, 0.787879, 0.812500, 0.800000, 0.629259, 0.647395
3, 4, 60, 0.766667, 0.618621, 0.764706, 0.812500, 0.787879, 0.629735, 0.638130
3, 5, 130, 0.783333, 0.623440, 0.787879, 0.812500, 0.800000, 0.629930, 0.645291
4, 1, 177, 0.800000, 0.672088, 0.783784, 0.878788, 0.828571, 0.675031, 0.676199
4, 2, 131, 0.850000, 0.654902, 0.961538, 0.757576, 0.847458, 0.625113, 0.631889
4, 3, 96, 0.783333, 0.672838, 0.763158, 0.878788, 0.816901, 0.624427, 0.625355
4, 4, 58, 0.833333, 0.630454, 0.960000, 0.727273, 0.827586, 0.616450, 0.616450
4, 5, 64, 0.816667, 0.632647, 0.958333, 0.696970, 0.807018, 0.616386, 0.636395
5, 1, 24, 0.550000, 0.706073, 0.440000, 0.458333, 0.448980, 0.726474, 0.730587
5, 2, 152, 0.800000, 0.643779, 0.800000, 0.666667, 0.727273, 0.648377, 0.648377
5, 3, 200, 0.750000, 0.634718, 0.846154, 0.458333, 0.594595, 0.644917, 0.664551
5, 4, 174, 0.766667, 0.629890, 0.857143, 0.500000, 0.631579, 0.646069, 0.656877
5, 5, 100, 0.766667, 0.631093, 0.916667, 0.458333, 0.611111, 0.646530, 0.647831
6, 1, 26, 0.600000, 0.688812, 0.647059, 0.647059, 0.647059, 0.675375, 0.675375
6, 2, 194, 0.616667, 0.678125, 0.689655, 0.588235, 0.634921, 0.648912, 0.649785
6, 3, 122, 0.616667, 0.680172, 0.666667, 0.647059, 0.656716, 0.647759, 0.653768
6, 4, 186, 0.683333, 0.667812, 0.826087, 0.558824, 0.666667, 0.647046, 0.647965
6, 5, 2, 0.583333, 0.686976, 0.621622, 0.676471, 0.647887, 0.653449, 0.654206
7, 1, 184, 0.550000, 0.698163, 0.600000, 0.300000, 0.400000, 0.697270, 0.697270
7, 2, 152, 0.650000, 0.661749, 0.595745, 0.933333, 0.727273, 0.653012, 0.653012
7, 3, 165, 0.633333, 0.672256, 0.653846, 0.566667, 0.607143, 0.662566, 0.680890
7, 4, 189, 0.633333, 0.663284, 0.605263, 0.766667, 0.676471, 0.650247, 0.666488
7, 5, 183, 0.766667, 0.656473, 0.807692, 0.700000, 0.750000, 0.649776, 0.668947
8, 1, 1, 0.616667, 0.692057, 0.616667, 1.000000, 0.762887, 0.702663, 0.702677
8, 2, 1, 0.616667, 0.692156, 0.616667, 1.000000, 0.762887, 0.706476, 0.707658
8, 3, 191, 0.700000, 0.678039, 0.771429, 0.729730, 0.750000, 0.681118, 0.681118
