# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=ring, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 60, 0.666667, 0.657242, 0.656250, 0.700000, 0.677419, 0.629697, 0.634496
2, 2, 48, 0.850000, 0.597627, 0.920000, 0.766667, 0.836364, 0.570145, 0.575656
2, 3, 17, 0.816667, 0.631635, 0.771429, 0.900000, 0.830769, 0.570149, 0.574321
2, 4, 146, 0.833333, 0.594035, 0.777778, 0.933333, 0.848485, 0.571005, 0.582146
2, 5, 69, 0.850000, 0.597018, 0.769231, 1.000000, 0.869565, 0.569928, 0.594419
3, 1, 182, 0.666667, 0.661711, 0.666667, 0.750000, 0.705882, 0.662233, 0.663989
3, 2, 61, 0.700000, 0.655703, 0.733333, 0.687500, 0.709677, 0.649244, 0.678654
3, 3, 148, 0.783333, 0.626525, 0.771429, 0.843750, 0.805970, 0.629646, 0.633730
3, 4, 198, 0.750000, 0.626722, 0.793103, 0.718750, 0.754098, 0.630259, 0.633221
3, 5, 71, 0.716667, 0.661789, 0.800000, 0.625000, 0.701754, 0.640720, 0.669569
4, 1, 41, 0.583333, 0.712907, 0.700000, 0.424242, 0.528302, 0.688792, 0.688792
4, 2, 47, 0.666667, 0.683669, 0.842105, 0.484848, 0.615385, 0.658189, 0.663317
4, 3, 161, 0.800000, 0.630416, 0.756098, 0.939394, 0.837838, 0.623568, 0.631493
4, 4, 68, 0.783333, 0.626006, 0.794118, 0.818182, 0.805970, 0.625220, 0.630127
4, 5, 74, 0.833333, 0.624840, 0.780488, 0.969697, 0.864865, 0.616990, 0.624670
5, 1, 160, 0.750000, 0.654529, 0.655172, 0.791667, 0.716981, 0.655295, 0.657000
5, 2, 189, 0.716667, 0.646184, 0.705882, 0.500000, 0.585366, 0.655321, 0.673268
5, 3, 90, 0.833333, 0.629845, 0.769231, 0.833333, 0.800000, 0.635676, 0.635883
5, 4, 101, 0.750000, 0.619195, 0.764706, 0.541667, 0.634146, 0.634654, 0.634654
5, 5, 121, 0.766667, 0.647588, 0.812500, 0.541667, 0.650000, 0.639492, 0.644701
6, 1, 14, 0.516667, 0.763813, 0.619048, 0.382353, 0.472727, 0.666329, 0.666801
6, 2, 37, 0.633333, 0.682612, 0.714286, 0.588235, 0.645161, 0.654816, 0.662599
6, 3, 73, 0.616667, 0.680374, 0.677419, 0.617647, 0.646154, 0.650232, 0.656814
6, 4, 28, 0.633333, 0.681287, 0.772727, 0.500000, 0.607143, 0.651815, 0.663697
6, 5, 182, 0.716667, 0.650844, 0.793103, 0.676471, 0.730159, 0.640027, 0.640027
7, 1, 170, 0.533333, 0.705648, 0.545455, 0.400000, 0.461538, 0.675543, 0.675543
7, 2, 148, 0.616667, 0.685944, 0.652174, 0.500000, 0.566038, 0.668278, 0.668278
7, 3, 186, 0.700000, 0.667142, 0.687500, 0.733333, 0.709677, 0.650465, 0.657419
7, 4, 100, 0.716667, 0.660505, 0.724138, 0.700000, 0.711864, 0.648064, 0.662034
7, 5, 198, 0.716667, 0.650237, 0.809524, 0.566667, 0.666667, 0.649238, 0.652940
8, 1, 129, 0.650000, 0.668212, 0.722222, 0.702703, 0.712329, 0.678878, 0.678878
8, 2, 186, 0.733333, 0.636926, 0.783784, 0.783784, 0.783784, 0.649341, 0.651398
8, 3, 196, 0.800000, 0.653138, 0.837838, 0.837838, 0.837838, 0.658378, 0.659093
8, 4, 26, 0.833333, 0.613801, 0.846154, 0.891892, 0.868421, 0.651705, 0.679089
8, 5, 111, 0.833333, 0.638648, 0.813953, 0.945946, 0.875000, 0.652506, 0.652893
9, 1, 13, 0.600000, 0.690390, 0.526316, 0.400000, 0.454545, 0.674975, 0.676825
9, 2, 148, 0.600000, 0.681483, 0.600000, 0.120000, 0.200000, 0.651222, 0.651222
9, 3, 27, 0.600000, 0.694620, 0.666667, 0.080000, 0.142857, 0.646539, 0.647640
9, 4, 48, 0.683333, 0.659053, 0.800000, 0.320000, 0.457143, 0.640147, 0.649630
9, 5, 188, 0.716667, 0.654827, 0.833333, 0.400000, 0.540541, 0.645642, 0.653870
10, 1, 133, 0.633333, 0.694539, 0.695652, 0.516129, 0.592593, 0.669862, 0.669862
10, 2, 122, 0.666667, 0.677013, 0.761905, 0.516129, 0.615385, 0.667378, 0.681920
10, 3, 143, 0.766667, 0.654605, 0.814815, 0.709677, 0.758621, 0.661175, 0.661175
10, 4, 54, 0.716667, 0.660495, 0.675000, 0.870968, 0.760563, 0.654554, 0.654554
10, 5, 90, 0.750000, 0.658151, 0.735294, 0.806452, 0.769231, 0.649665, 0.657091
11, 1, 58, 0.600000, 0.690293, 0.638889, 0.676471, 0.657143, 0.680974, 0.682792
11, 2, 177, 0.700000, 0.660768, 0.700000, 0.823529, 0.756757, 0.668722, 0.668722
11, 3, 151, 0.600000, 0.691363, 0.708333, 0.500000, 0.586207, 0.657927, 0.660281
11, 4, 159, 0.616667, 0.680513, 0.607843, 0.911765, 0.729412, 0.660533, 0.684401
11, 5, 166, 0.683333, 0.672587, 0.682927, 0.823529, 0.746667, 0.651255, 0.655635
12, 1, 127, 0.666667, 0.680058, 0.625000, 0.576923, 0.600000, 0.679217, 0.680383
12, 2, 176, 0.683333, 0.668275, 0.733333, 0.423077, 0.536585, 0.665882, 0.668370
12, 3, 95, 0.766667, 0.656531, 0.714286, 0.769231, 0.740741, 0.667466, 0.669679
12, 4, 37, 0.716667, 0.659383, 0.909091, 0.384615, 0.540541, 0.662901, 0.679508
12, 5, 199, 0.733333, 0.657333, 0.750000, 0.576923, 0.652174, 0.657492, 0.669121
13, 1, 1, 0.650000, 0.680520, 0.782609, 0.529412, 0.631579, 0.673768, 0.673768
13, 2, 96, 0.533333, 0.717554, 0.650000, 0.382353, 0.481481, 0.670839, 0.670839
13, 3, 137, 0.616667, 0.684023, 0.789474, 0.441176, 0.566038, 0.659174, 0.661439
13, 4, 179, 0.766667, 0.653468, 0.812500, 0.764706, 0.787879, 0.665031, 0.666336
13, 5, 179, 0.616667, 0.673995, 0.823529, 0.411765, 0.549020, 0.664556, 0.669989
14, 1, 9, 0.683333, 0.679922, 0.937500, 0.454545, 0.612245, 0.691962, 0.694421
14, 2, 139, 0.666667, 0.664410, 0.651163, 0.848485, 0.736842, 0.668516, 0.677983
14, 3, 169, 0.650000, 0.680554, 0.700000, 0.636364, 0.666667, 0.667398, 0.671877
14, 4, 48, 0.600000, 0.705410, 0.695652, 0.484848, 0.571429, 0.671525, 0.671525
14, 5, 192, 0.583333, 0.692213, 0.833333, 0.303030, 0.444444, 0.662149, 0.664807
15, 1, 70, 0.616667, 0.675707, 0.586207, 0.607143, 0.596491, 0.690994, 0.690994
15, 2, 32, 0.600000, 0.694344, 0.600000, 0.428571, 0.500000, 0.665105, 0.666073
15, 3, 139, 0.683333, 0.684568, 0.764706, 0.464286, 0.577778, 0.663193, 0.667002
