# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=ring, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 141, 0.933333, 0.628686, 0.964286, 0.900000, 0.931034, 0.625948, 0.637021
2, 2, 99, 0.883333, 0.639008, 0.870968, 0.900000, 0.885246, 0.627585, 0.632648
2, 3, 119, 0.916667, 0.628546, 0.931034, 0.900000, 0.915254, 0.625849, 0.628775
2, 4, 192, 0.900000, 0.628394, 0.900000, 0.900000, 0.900000, 0.626151, 0.629935
2, 5, 193, 0.933333, 0.629157, 0.964286, 0.900000, 0.931034, 0.625837, 0.627174
3, 1, 1, 0.633333, 0.698041, 0.812500, 0.406250, 0.541667, 0.668195, 0.668244
3, 2, 112, 0.683333, 0.676964, 0.740741, 0.625000, 0.677966, 0.668261, 0.691225
3, 3, 165, 0.666667, 0.674273, 0.714286, 0.625000, 0.666667, 0.668175, 0.668497
3, 4, 78, 0.666667, 0.671447, 0.687500, 0.687500, 0.687500, 0.668308, 0.680859
3, 5, 103, 0.683333, 0.671376, 0.724138, 0.656250, 0.688525, 0.668168, 0.669238
4, 1, 200, 0.800000, 0.619623, 0.800000, 0.848485, 0.823529, 0.625877, 0.629801
4, 2, 144, 0.783333, 0.649917, 0.857143, 0.727273, 0.786885, 0.635034, 0.635422
4, 3, 39, 0.816667, 0.622010, 0.823529, 0.848485, 0.835821, 0.622749, 0.623220
4, 4, 63, 0.800000, 0.647458, 0.956522, 0.666667, 0.785714, 0.624279, 0.624279
4, 5, 33, 0.816667, 0.623154, 0.805556, 0.878788, 0.840580, 0.624612, 0.649136
5, 1, 179, 0.783333, 0.639340, 0.703704, 0.791667, 0.745098, 0.640373, 0.641703
5, 2, 63, 0.716667, 0.648546, 0.818182, 0.375000, 0.514286, 0.644470, 0.644470
5, 3, 61, 0.783333, 0.642309, 0.720000, 0.750000, 0.734694, 0.639557, 0.639557
5, 4, 134, 0.816667, 0.629241, 0.782609, 0.750000, 0.765957, 0.638428, 0.650831
5, 5, 119, 0.766667, 0.637812, 0.692308, 0.750000, 0.720000, 0.633904, 0.633904
6, 1, 120, 0.633333, 0.684108, 0.772727, 0.500000, 0.607143, 0.659614, 0.659614
6, 2, 197, 0.700000, 0.649480, 0.722222, 0.764706, 0.742857, 0.652064, 0.652064
6, 3, 29, 0.683333, 0.660928, 0.682927, 0.823529, 0.746667, 0.643925, 0.655493
6, 4, 175, 0.766667, 0.647224, 0.857143, 0.705882, 0.774194, 0.649018, 0.658049
6, 5, 17, 0.683333, 0.676361, 0.777778, 0.617647, 0.688525, 0.643618, 0.645874
7, 1, 131, 0.666667, 0.658541, 0.656250, 0.700000, 0.677419, 0.658201, 0.674062
7, 2, 177, 0.666667, 0.667709, 0.656250, 0.700000, 0.677419, 0.656217, 0.660316
7, 3, 200, 0.666667, 0.657270, 0.656250, 0.700000, 0.677419, 0.648148, 0.648233
7, 4, 121, 0.700000, 0.662242, 0.714286, 0.666667, 0.689655, 0.649380, 0.651274
7, 5, 161, 0.700000, 0.656554, 0.650000, 0.866667, 0.742857, 0.648354, 0.649515
8, 1, 29, 0.733333, 0.655509, 0.888889, 0.648649, 0.750000, 0.648110, 0.661415
8, 2, 129, 0.750000, 0.649804, 0.775000, 0.837838, 0.805195, 0.651514, 0.652877
8, 3, 192, 0.783333, 0.645162, 0.852941, 0.783784, 0.816901, 0.645301, 0.649014
8, 4, 176, 0.716667, 0.640246, 0.692308, 0.972973, 0.808989, 0.648257, 0.671779
8, 5, 81, 0.750000, 0.636329, 0.739130, 0.918919, 0.819277, 0.647220, 0.663143
9, 1, 147, 0.733333, 0.660327, 0.714286, 0.600000, 0.652174, 0.646265, 0.648578
9, 2, 76, 0.616667, 0.671621, 1.000000, 0.080000, 0.148148, 0.655696, 0.659474
9, 3, 103, 0.716667, 0.665708, 0.722222, 0.520000, 0.604651, 0.644165, 0.651356
9, 4, 97, 0.666667, 0.660960, 0.777778, 0.280000, 0.411765, 0.642533, 0.642952
9, 5, 176, 0.733333, 0.662172, 0.695652, 0.640000, 0.666667, 0.644620, 0.671422
10, 1, 27, 0.650000, 0.674941, 0.647059, 0.709677, 0.676923, 0.658379, 0.659608
10, 2, 189, 0.683333, 0.671472, 0.800000, 0.516129, 0.627451, 0.678345, 0.679170
10, 3, 140, 0.700000, 0.674437, 0.933333, 0.451613, 0.608696, 0.658439, 0.664114
10, 4, 8, 0.600000, 0.695082, 0.666667, 0.451613, 0.538462, 0.671373, 0.671494
10, 5, 182, 0.650000, 0.677334, 0.666667, 0.645161, 0.655738, 0.658539, 0.659779
11, 1, 103, 0.683333, 0.671257, 0.714286, 0.735294, 0.724638, 0.661808, 0.662313
11, 2, 163, 0.616667, 0.695419, 0.866667, 0.382353, 0.530612, 0.671213, 0.679846
11, 3, 128, 0.733333, 0.655673, 0.781250, 0.735294, 0.757576, 0.656009, 0.663012
11, 4, 170, 0.700000, 0.670565, 0.863636, 0.558824, 0.678571, 0.662323, 0.662543
11, 5, 61, 0.750000, 0.651006, 0.880000, 0.647059, 0.745763, 0.661217, 0.678566
12, 1, 57, 0.716667, 0.663534, 0.764706, 0.500000, 0.604651, 0.663137, 0.663147
12, 2, 107, 0.633333, 0.676295, 0.833333, 0.192308, 0.312500, 0.677472, 0.677472
12, 3, 194, 0.716667, 0.653431, 0.909091, 0.384615, 0.540541, 0.662986, 0.666828
12, 4, 77, 0.666667, 0.678243, 0.607143, 0.653846, 0.629630, 0.671182, 0.674716
12, 5, 117, 0.750000, 0.659229, 0.789474, 0.576923, 0.666667, 0.662727, 0.667335
13, 1, 200, 0.600000, 0.688474, 0.678571, 0.558824, 0.612903, 0.680892, 0.680892
13, 2, 111, 0.700000, 0.678159, 0.807692, 0.617647, 0.700000, 0.667812, 0.674703
13, 3, 166, 0.683333, 0.682051, 0.777778, 0.617647, 0.688525, 0.668193, 0.673471
13, 4, 89, 0.716667, 0.681449, 0.947368, 0.529412, 0.679245, 0.665426, 0.669301
13, 5, 98, 0.666667, 0.665913, 0.718750, 0.676471, 0.696970, 0.668820, 0.679731
14, 1, 188, 0.566667, 0.690684, 0.594595, 0.666667, 0.628571, 0.673230, 0.680833
14, 2, 55, 0.616667, 0.674454, 0.600000, 0.909091, 0.722892, 0.684037, 0.688445
14, 3, 30, 0.600000, 0.685622, 0.680000, 0.515152, 0.586207, 0.670968, 0.675848
14, 4, 182, 0.683333, 0.666264, 0.718750, 0.696970, 0.707692, 0.672161, 0.672608
14, 5, 84, 0.650000, 0.688989, 0.772727, 0.515152, 0.618182, 0.674882, 0.683048
15, 1, 1, 0.583333, 0.665282, 0.636364, 0.250000, 0.358974, 0.688455, 0.691589
15, 2, 118, 0.633333, 0.684470, 0.800000, 0.285714, 0.421053, 0.666770, 0.689525
15, 3, 1, 0.600000, 0.675501, 0.552632, 0.750000, 0.636364, 0.664393, 0.666072
15, 4, 156, 0.633333, 0.683673, 0.875000, 0.250000, 0.388889, 0.664946, 0.693687
15, 5, 1, 0.550000, 0.681830, 0.512195, 0.750000, 0.608696, 0.670060, 0.671315
16, 1, 182, 0.700000, 0.671873, 0.609756, 0.925926, 0.735294, 0.657799, 0.658421
16, 2, 140, 0.600000, 0.695409, 0.636364, 0.259259, 0.368421, 0.687697, 0.687697
16, 3, 63, 0.783333, 0.659325, 0.733333, 0.814815, 0.771930, 0.656079, 0.667262
16, 4, 97, 0.750000, 0.676567, 0.750000, 0.666667, 0.705882, 0.663554, 0.688712
16, 5, 32, 0.783333, 0.666003, 0.791667, 0.703704, 0.745098, 0.657754, 0.665141
17, 1, 176, 0.650000, 0.682963, 0.735294, 0.675676, 0.704225, 0.663489, 0.663925
17, 2, 1, 0.616667, 0.670318, 0.616667, 1.000000, 0.762887, 0.680225, 0.682488
17, 3, 6, 0.666667, 0.673577, 0.654545, 0.972973, 0.782609, 0.663109, 0.664979
17, 4, 131, 0.683333, 0.663770, 0.714286, 0.810811, 0.759494, 0.678880, 0.710476
17, 5, 178, 0.666667, 0.682787, 0.717949, 0.756757, 0.736842, 0.663677, 0.678699
18, 1, 18, 0.750000, 0.670506, 0.735294, 0.806452, 0.769231, 0.669925, 0.673664
18, 2, 127, 0.533333, 0.714105, 0.548387, 0.548387, 0.548387, 0.679147, 0.679738
18, 3, 47, 0.750000, 0.665762, 0.722222, 0.838710, 0.776119, 0.665928, 0.671887
18, 4, 185, 0.633333, 0.689507, 0.909091, 0.322581, 0.476190, 0.679266, 0.680401
18, 5, 4, 0.650000, 0.671571, 0.613636, 0.870968, 0.720000, 0.671311, 0.672511
19, 1, 33, 0.633333, 0.686129, 0.657143, 0.696970, 0.676471, 0.666173, 0.668366
19, 2, 8, 0.600000, 0.687947, 0.645161, 0.606061, 0.625000, 0.679795, 0.708141
19, 3, 17, 0.683333, 0.674752, 0.750000, 0.636364, 0.688525, 0.662033, 0.666028
19, 4, 173, 0.616667, 0.691149, 0.812500, 0.393939, 0.530612, 0.668728, 0.668728
19, 5, 196, 0.650000, 0.675143, 0.772727, 0.515152, 0.618182, 0.662567, 0.671427
20, 1, 69, 0.783333, 0.657734, 0.880000, 0.687500, 0.771930, 0.668864, 0.672103
20, 2, 198, 0.583333, 0.689005, 0.640000, 0.500000, 0.561404, 0.675307, 0.678023
20, 3, 7, 0.733333, 0.657107, 0.750000, 0.750000, 0.750000, 0.670592, 0.683455
20, 4, 101, 0.633333, 0.682303, 0.777778, 0.437500, 0.560000, 0.673817, 0.704964
20, 5, 134, 0.766667, 0.655133, 0.764706, 0.812500, 0.787879, 0.669401, 0.675042
