# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=full, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 2, 0.483333, 0.860730, 0.491525, 0.966667, 0.651685, 0.753416, 0.754206
2, 2, 1, 0.466667, 0.849994, 0.482759, 0.933333, 0.636364, 0.753415, 0.753844
2, 3, 41, 0.500000, 0.752963, 0.000000, 0.000000, 0.000000, 0.753415, 0.773272
2, 4, 52, 0.500000, 0.753057, 0.000000, 0.000000, 0.000000, 0.753414, 0.758087
2, 5, 1, 0.466667, 0.829996, 0.482759, 0.933333, 0.636364, 0.753414, 0.753440
3, 1, 83, 0.466667, 0.797345, 0.500000, 0.500000, 0.500000, 0.731885, 0.738259
3, 2, 157, 0.516667, 0.825844, 0.588235, 0.312500, 0.408163, 0.731885, 0.732318
3, 3, 46, 0.483333, 0.799688, 0.516129, 0.500000, 0.507937, 0.731885, 0.737546
3, 4, 69, 0.466667, 0.797339, 0.500000, 0.500000, 0.500000, 0.731885, 0.731937
3, 5, 19, 0.466667, 0.797790, 0.500000, 0.500000, 0.500000, 0.731886, 0.736347
4, 1, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709890, 0.721088
4, 2, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709891, 0.711561
4, 3, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709891, 0.710472
4, 4, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709891, 0.711835
4, 5, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709890, 0.709902
5, 1, 132, 0.566667, 0.710970, 0.458333, 0.458333, 0.458333, 0.740055, 0.740248
5, 2, 159, 0.550000, 0.711211, 0.440000, 0.458333, 0.448980, 0.740055, 0.744532
5, 3, 32, 0.483333, 0.717309, 0.387097, 0.500000, 0.436364, 0.740054, 0.740199
5, 4, 21, 0.616667, 0.704062, 0.526316, 0.416667, 0.465116, 0.740055, 0.744092
5, 5, 86, 0.566667, 0.710002, 0.458333, 0.458333, 0.458333, 0.740056, 0.746895
6, 1, 1, 0.583333, 0.685995, 0.600000, 0.794118, 0.683544, 0.707095, 0.709827
6, 2, 27, 0.600000, 0.696627, 0.656250, 0.617647, 0.636364, 0.707095, 0.716016
6, 3, 18, 0.583333, 0.686693, 0.595745, 0.823529, 0.691358, 0.707095, 0.707117
6, 4, 29, 0.650000, 0.717835, 0.882353, 0.441176, 0.588235, 0.707095, 0.708482
6, 5, 1, 0.583333, 0.685995, 0.600000, 0.794118, 0.683544, 0.707095, 0.707235
7, 1, 153, 0.500000, 0.732624, 0.500000, 0.366667, 0.423077, 0.728459, 0.728791
7, 2, 160, 0.516667, 0.733964, 0.523810, 0.366667, 0.431373, 0.728459, 0.735904
7, 3, 89, 0.483333, 0.731135, 0.480000, 0.400000, 0.436364, 0.728460, 0.730147
7, 4, 92, 0.500000, 0.733047, 0.500000, 0.366667, 0.423077, 0.728458, 0.728500
7, 5, 108, 0.500000, 0.732803, 0.500000, 0.366667, 0.423077, 0.728458, 0.728458
8, 1, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702024, 0.702358
