# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=pairwise, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 1, 0.466667, 0.829996, 0.482759, 0.933333, 0.636364, 0.753414, 0.760479
2, 2, 74, 0.500000, 0.753093, 0.000000, 0.000000, 0.000000, 0.753415, 0.755146
2, 3, 72, 0.500000, 0.753057, 0.000000, 0.000000, 0.000000, 0.753415, 0.753522
2, 4, 53, 0.500000, 0.753110, 0.000000, 0.000000, 0.000000, 0.753415, 0.755165
2, 5, 93, 0.500000, 0.753091, 0.000000, 0.000000, 0.000000, 0.753414, 0.755258
3, 1, 24, 0.466667, 0.797808, 0.500000, 0.500000, 0.500000, 0.731886, 0.733024
3, 2, 43, 0.516667, 0.826077, 0.588235, 0.312500, 0.408163, 0.731885, 0.736830
3, 3, 14, 0.466667, 0.797323, 0.500000, 0.500000, 0.500000, 0.731885, 0.732069
3, 4, 89, 0.483333, 0.799674, 0.516129, 0.500000, 0.507937, 0.731885, 0.734741
3, 5, 29, 0.483333, 0.799642, 0.516129, 0.500000, 0.507937, 0.731885, 0.732099
4, 1, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709890, 0.737953
4, 2, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709890, 0.714547
4, 3, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709890, 0.710553
4, 4, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709890, 0.710158
4, 5, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709890, 0.712866
5, 1, 80, 0.433333, 0.730787, 0.368421, 0.583333, 0.451613, 0.740055, 0.740696
5, 2, 178, 0.583333, 0.707017, 0.478261, 0.458333, 0.468085, 0.740055, 0.740099
5, 3, 117, 0.583333, 0.707102, 0.478261, 0.458333, 0.468085, 0.740055, 0.741591
5, 4, 105, 0.616667, 0.703087, 0.529412, 0.375000, 0.439024, 0.740054, 0.742840
5, 5, 62, 0.466667, 0.718822, 0.375000, 0.500000, 0.428571, 0.740055, 0.740247
6, 1, 68, 0.600000, 0.696493, 0.656250, 0.617647, 0.636364, 0.707095, 0.707397
6, 2, 1, 0.583333, 0.685995, 0.600000, 0.794118, 0.683544, 0.707096, 0.707404
6, 3, 85, 0.600000, 0.696706, 0.656250, 0.617647, 0.636364, 0.707095, 0.707166
6, 4, 1, 0.583333, 0.685995, 0.600000, 0.794118, 0.683544, 0.707095, 0.707110
6, 5, 45, 0.600000, 0.696872, 0.656250, 0.617647, 0.636364, 0.707095, 0.707463
7, 1, 186, 0.533333, 0.737464, 0.583333, 0.233333, 0.333333, 0.728458, 0.737465
7, 2, 1, 0.450000, 0.737472, 0.468085, 0.733333, 0.571429, 0.728459, 0.739198
7, 3, 117, 0.533333, 0.737560, 0.583333, 0.233333, 0.333333, 0.728468, 0.729057
7, 4, 18, 0.500000, 0.732677, 0.500000, 0.366667, 0.423077, 0.728459, 0.731981
7, 5, 1, 0.450000, 0.737472, 0.468085, 0.733333, 0.571429, 0.728458, 0.729254
8, 1, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.711805
8, 2, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702028, 0.709786
8, 3, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.707920
8, 4, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.702178
8, 5, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.703323
9, 1, 105, 0.616667, 0.691304, 0.562500, 0.360000, 0.439024, 0.703683, 0.703760
9, 2, 34, 0.616667, 0.690784, 0.562500, 0.360000, 0.439024, 0.703683, 0.704289
9, 3, 73, 0.616667, 0.691401, 0.562500, 0.360000, 0.439024, 0.703683, 0.704310
9, 4, 64, 0.616667, 0.690794, 0.562500, 0.360000, 0.439024, 0.703686, 0.703870
9, 5, 31, 0.616667, 0.691461, 0.562500, 0.360000, 0.439024, 0.703683, 0.712249
10, 1, 64, 0.600000, 0.700166, 0.640000, 0.516129, 0.571429, 0.709260, 0.710263
10, 2, 130, 0.550000, 0.698052, 0.558824, 0.612903, 0.584615, 0.709260, 0.709602
10, 3, 61, 0.600000, 0.701868, 0.684211, 0.419355, 0.520000, 0.709261, 0.709785
10, 4, 182, 0.600000, 0.700906, 0.666667, 0.451613, 0.538462, 0.709260, 0.716300
10, 5, 52, 0.550000, 0.698024, 0.558824, 0.612903, 0.584615, 0.709260, 0.712284
11, 1, 32, 0.616667, 0.713684, 0.866667, 0.382353, 0.530612, 0.703539, 0.705038
11, 2, 159, 0.616667, 0.711191, 0.823529, 0.411765, 0.549020, 0.703541, 0.704190
11, 3, 74, 0.550000, 0.704427, 0.640000, 0.470588, 0.542373, 0.703540, 0.703565
11, 4, 158, 0.616667, 0.714278, 0.866667, 0.382353, 0.530612, 0.703543, 0.706273
11, 5, 55, 0.616667, 0.711115, 0.823529, 0.411765, 0.549020, 0.703540, 0.704003
12, 1, 178, 0.600000, 0.690776, 0.571429, 0.307692, 0.400000, 0.702903, 0.706448
12, 2, 80, 0.533333, 0.692300, 0.450000, 0.346154, 0.391304, 0.702903, 0.710637
12, 3, 10, 0.500000, 0.705032, 0.450000, 0.692308, 0.545455, 0.702903, 0.702979
12, 4, 97, 0.533333, 0.692346, 0.450000, 0.346154, 0.391304, 0.702903, 0.705837
12, 5, 186, 0.533333, 0.692359, 0.450000, 0.346154, 0.391304, 0.702903, 0.703638
13, 1, 11, 0.616667, 0.689278, 0.703704, 0.558824, 0.622951, 0.687628, 0.703890
13, 2, 13, 0.616667, 0.688891, 0.703704, 0.558824, 0.622951, 0.687628, 0.694345
13, 3, 34, 0.616667, 0.689275, 0.703704, 0.558824, 0.622951, 0.687628, 0.687884
13, 4, 138, 0.616667, 0.692243, 0.720000, 0.529412, 0.610169, 0.687628, 0.690296
13, 5, 65, 0.616667, 0.689247, 0.703704, 0.558824, 0.622951, 0.687628, 0.687639
14, 1, 61, 0.600000, 0.681536, 0.645161, 0.606061, 0.625000, 0.705053, 0.714564
14, 2, 53, 0.600000, 0.689767, 0.800000, 0.363636, 0.500000, 0.705053, 0.712035
14, 3, 151, 0.600000, 0.684469, 0.695652, 0.484848, 0.571429, 0.705054, 0.706901
14, 4, 44, 0.600000, 0.684426, 0.695652, 0.484848, 0.571429, 0.705053, 0.706943
14, 5, 57, 0.600000, 0.678775, 0.628571, 0.666667, 0.647059, 0.705053, 0.707202
15, 1, 88, 0.566667, 0.713808, 0.527778, 0.678571, 0.593750, 0.684772, 0.687716
15, 2, 18, 0.566667, 0.714458, 0.526316, 0.714286, 0.606061, 0.684772, 0.700389
15, 3, 6, 0.566667, 0.715815, 0.525000, 0.750000, 0.617647, 0.684773, 0.686651
