# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=pairwise, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 128, 0.883333, 0.642299, 0.870968, 0.900000, 0.885246, 0.641849, 0.642529
2, 2, 24, 0.916667, 0.626916, 1.000000, 0.833333, 0.909091, 0.623972, 0.630051
2, 3, 4, 0.866667, 0.682564, 0.866667, 0.866667, 0.866667, 0.624329, 0.626198
2, 4, 81, 0.833333, 0.635253, 1.000000, 0.666667, 0.800000, 0.625450, 0.653900
2, 5, 33, 0.816667, 0.643586, 1.000000, 0.633333, 0.775510, 0.626078, 0.650780
3, 1, 75, 0.633333, 0.682517, 0.727273, 0.500000, 0.592593, 0.674554, 0.679719
3, 2, 175, 0.750000, 0.638129, 0.840000, 0.656250, 0.736842, 0.652747, 0.653661
3, 3, 77, 0.750000, 0.647893, 0.814815, 0.687500, 0.745763, 0.652116, 0.659617
3, 4, 122, 0.733333, 0.637596, 0.807692, 0.656250, 0.724138, 0.652809, 0.659790
3, 5, 45, 0.766667, 0.652169, 0.950000, 0.593750, 0.730769, 0.656867, 0.656867
4, 1, 151, 0.850000, 0.662345, 0.928571, 0.787879, 0.852459, 0.668206, 0.668267
4, 2, 93, 0.916667, 0.654877, 0.888889, 0.969697, 0.927536, 0.663691, 0.676700
4, 3, 49, 0.766667, 0.659358, 0.787879, 0.787879, 0.787879, 0.666215, 0.666300
4, 4, 101, 0.800000, 0.663986, 0.862069, 0.757576, 0.806452, 0.667422, 0.673443
4, 5, 96, 0.883333, 0.657122, 0.933333, 0.848485, 0.888889, 0.665051, 0.666585
5, 1, 145, 0.716667, 0.682979, 1.000000, 0.291667, 0.451613, 0.683646, 0.692049
5, 2, 7, 0.650000, 0.664962, 1.000000, 0.125000, 0.222222, 0.668141, 0.668586
5, 3, 121, 0.700000, 0.667695, 0.714286, 0.416667, 0.526316, 0.668589, 0.685838
5, 4, 137, 0.716667, 0.674832, 0.640000, 0.666667, 0.653061, 0.673349, 0.673771
5, 5, 157, 0.650000, 0.667139, 0.600000, 0.375000, 0.461538, 0.669312, 0.675466
6, 1, 81, 0.783333, 0.665644, 0.862069, 0.735294, 0.793651, 0.680188, 0.684261
6, 2, 153, 0.633333, 0.667370, 0.625000, 0.882353, 0.731707, 0.663366, 0.663716
6, 3, 72, 0.733333, 0.660505, 0.781250, 0.735294, 0.757576, 0.665463, 0.666897
6, 4, 45, 0.750000, 0.655457, 0.880000, 0.647059, 0.745763, 0.667866, 0.672924
6, 5, 42, 0.783333, 0.654811, 0.888889, 0.705882, 0.786885, 0.671381, 0.678430
7, 1, 161, 0.600000, 0.679906, 0.607143, 0.566667, 0.586207, 0.665026, 0.666049
7, 2, 1, 0.616667, 0.683401, 0.705882, 0.400000, 0.510638, 0.669658, 0.669658
7, 3, 119, 0.683333, 0.680577, 0.789474, 0.500000, 0.612245, 0.658065, 0.661964
7, 4, 192, 0.583333, 0.679652, 0.666667, 0.333333, 0.444444, 0.673891, 0.708345
7, 5, 196, 0.733333, 0.665481, 0.769231, 0.666667, 0.714286, 0.656783, 0.660484
8, 1, 196, 0.866667, 0.679259, 0.939394, 0.837838, 0.885714, 0.680518, 0.680614
8, 2, 20, 0.900000, 0.675754, 0.969697, 0.864865, 0.914286, 0.676051, 0.683173
8, 3, 61, 0.800000, 0.678625, 0.878788, 0.783784, 0.828571, 0.675589, 0.676204
8, 4, 196, 0.716667, 0.676299, 0.857143, 0.648649, 0.738462, 0.677689, 0.694962
8, 5, 92, 0.700000, 0.675011, 0.827586, 0.648649, 0.727273, 0.675898, 0.676820
9, 1, 191, 0.750000, 0.687327, 0.750000, 0.600000, 0.666667, 0.683350, 0.690670
9, 2, 14, 0.600000, 0.676228, 1.000000, 0.040000, 0.076923, 0.671109, 0.687496
9, 3, 157, 0.600000, 0.679587, 0.600000, 0.120000, 0.200000, 0.671495, 0.673499
9, 4, 71, 0.600000, 0.686098, 0.571429, 0.160000, 0.250000, 0.674121, 0.687824
9, 5, 43, 0.600000, 0.682231, 0.600000, 0.120000, 0.200000, 0.671146, 0.673513
10, 1, 61, 0.633333, 0.687670, 0.621622, 0.741935, 0.676471, 0.684281, 0.684490
10, 2, 3, 0.550000, 0.725493, 1.000000, 0.129032, 0.228571, 0.678371, 0.678632
10, 3, 103, 0.650000, 0.684835, 0.631579, 0.774194, 0.695652, 0.681983, 0.681983
10, 4, 172, 0.600000, 0.689673, 0.600000, 0.677419, 0.636364, 0.683198, 0.698444
10, 5, 29, 0.600000, 0.688410, 0.640000, 0.516129, 0.571429, 0.681215, 0.681215
11, 1, 80, 0.600000, 0.679426, 0.656250, 0.617647, 0.636364, 0.673709, 0.673709
11, 2, 172, 0.600000, 0.678405, 0.586207, 1.000000, 0.739130, 0.673386, 0.680431
11, 3, 155, 0.633333, 0.675439, 0.657895, 0.735294, 0.694444, 0.673510, 0.681123
11, 4, 111, 0.583333, 0.682057, 0.591837, 0.852941, 0.698795, 0.673808, 0.674749
11, 5, 20, 0.616667, 0.690062, 0.866667, 0.382353, 0.530612, 0.673945, 0.691659
12, 1, 92, 0.716667, 0.674289, 0.714286, 0.576923, 0.638298, 0.675236, 0.675411
12, 2, 140, 0.666667, 0.677105, 0.750000, 0.346154, 0.473684, 0.680723, 0.686328
12, 3, 48, 0.700000, 0.675897, 0.785714, 0.423077, 0.550000, 0.674221, 0.687306
12, 4, 140, 0.700000, 0.670254, 0.722222, 0.500000, 0.590909, 0.677703, 0.683517
12, 5, 22, 0.700000, 0.688992, 0.700000, 0.538462, 0.608696, 0.676452, 0.688131
13, 1, 171, 0.716667, 0.676975, 0.793103, 0.676471, 0.730159, 0.681211, 0.687238
13, 2, 199, 0.666667, 0.671814, 0.750000, 0.617647, 0.677419, 0.680423, 0.681345
13, 3, 188, 0.700000, 0.672748, 0.750000, 0.705882, 0.727273, 0.678688, 0.690306
13, 4, 147, 0.633333, 0.678965, 0.657895, 0.735294, 0.694444, 0.679268, 0.685190
13, 5, 148, 0.700000, 0.666821, 0.722222, 0.764706, 0.742857, 0.676856, 0.678683
14, 1, 102, 0.600000, 0.690382, 0.621622, 0.696970, 0.657143, 0.682895, 0.693308
14, 2, 192, 0.533333, 0.713577, 0.543860, 0.939394, 0.688889, 0.686395, 0.719049
14, 3, 108, 0.716667, 0.683664, 0.833333, 0.606061, 0.701754, 0.681676, 0.681723
14, 4, 113, 0.733333, 0.674861, 0.814815, 0.666667, 0.733333, 0.676731, 0.677157
14, 5, 119, 0.683333, 0.679920, 0.888889, 0.484848, 0.627451, 0.681790, 0.683113
15, 1, 130, 0.666667, 0.681572, 1.000000, 0.285714, 0.444444, 0.678261, 0.688530
15, 2, 92, 0.700000, 0.676196, 0.631579, 0.857143, 0.727273, 0.671480, 0.679277
15, 3, 135, 0.733333, 0.675487, 0.687500, 0.785714, 0.733333, 0.668531, 0.669627
15, 4, 167, 0.600000, 0.689670, 0.552632, 0.750000, 0.636364, 0.670820, 0.671691
15, 5, 93, 0.666667, 0.668441, 0.900000, 0.321429, 0.473684, 0.672604, 0.672604
16, 1, 85, 0.566667, 0.690655, 0.510638, 0.888889, 0.648649, 0.678277, 0.678471
16, 2, 131, 0.833333, 0.684804, 0.814815, 0.814815, 0.814815, 0.676241, 0.677537
16, 3, 49, 0.783333, 0.687435, 0.818182, 0.666667, 0.734694, 0.677522, 0.677864
16, 4, 94, 0.633333, 0.684695, 0.608696, 0.518519, 0.560000, 0.679573, 0.697139
16, 5, 194, 0.616667, 0.685415, 0.611111, 0.407407, 0.488889, 0.677229, 0.690130
17, 1, 99, 0.650000, 0.688618, 0.660000, 0.891892, 0.758621, 0.690820, 0.693945
17, 2, 18, 0.616667, 0.674882, 0.616667, 1.000000, 0.762887, 0.683233, 0.683873
17, 3, 40, 0.783333, 0.689584, 0.740000, 1.000000, 0.850575, 0.680214, 0.680214
17, 4, 1, 0.616667, 0.668896, 0.616667, 1.000000, 0.762887, 0.684264, 0.686680
17, 5, 1, 0.616667, 0.684132, 0.616667, 1.000000, 0.762887, 0.679125, 0.690814
18, 1, 161, 0.566667, 0.696524, 0.777778, 0.225806, 0.350000, 0.688144, 0.691117
18, 2, 72, 0.616667, 0.682009, 0.625000, 0.645161, 0.634921, 0.687658, 0.690672
18, 3, 77, 0.600000, 0.689230, 0.606061, 0.645161, 0.625000, 0.688856, 0.688859
18, 4, 163, 0.583333, 0.682402, 0.593750, 0.612903, 0.603175, 0.688909, 0.744509
18, 5, 129, 0.650000, 0.682863, 0.656250, 0.677419, 0.666667, 0.686785, 0.690704
19, 1, 84, 0.616667, 0.689278, 0.727273, 0.484848, 0.581818, 0.685130, 0.685167
19, 2, 166, 0.583333, 0.681512, 0.580000, 0.878788, 0.698795, 0.682506, 0.684677
19, 3, 51, 0.633333, 0.690572, 0.720000, 0.545455, 0.620690, 0.683075, 0.718332
19, 4, 164, 0.633333, 0.690044, 0.720000, 0.545455, 0.620690, 0.684721, 0.685515
19, 5, 65, 0.633333, 0.694375, 0.677419, 0.636364, 0.656250, 0.682865, 0.684116
20, 1, 50, 0.616667, 0.693531, 0.666667, 0.562500, 0.610169, 0.679736, 0.683540
20, 2, 191, 0.633333, 0.688779, 0.916667, 0.343750, 0.500000, 0.681201, 0.683870
20, 3, 87, 0.583333, 0.696097, 0.684211, 0.406250, 0.509804, 0.679623, 0.680466
20, 4, 114, 0.583333, 0.699408, 0.620690, 0.562500, 0.590164, 0.681056, 0.682256
20, 5, 129, 0.566667, 0.693835, 0.607143, 0.531250, 0.566667, 0.682577, 0.688652
