# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=ring, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 40, 0.533333, 0.706718, 0.533333, 0.533333, 0.533333, 0.766272, 0.766977
2, 2, 14, 0.616667, 0.709985, 0.640000, 0.533333, 0.581818, 0.766273, 0.773955
2, 3, 1, 0.466667, 0.829996, 0.482759, 0.933333, 0.636364, 0.753414, 0.754137
2, 4, 173, 0.616667, 0.710782, 0.652174, 0.500000, 0.566038, 0.766273, 0.771264
2, 5, 189, 0.583333, 0.709240, 0.592593, 0.533333, 0.561404, 0.766273, 0.770270
3, 1, 30, 0.633333, 0.755815, 0.750000, 0.468750, 0.576923, 0.758588, 0.758588
3, 2, 21, 0.483333, 0.801322, 0.555556, 0.156250, 0.243902, 0.745829, 0.749037
3, 3, 55, 0.483333, 0.799657, 0.516129, 0.500000, 0.507937, 0.731885, 0.733088
3, 4, 105, 0.633333, 0.755097, 0.750000, 0.468750, 0.576923, 0.758588, 0.758609
3, 5, 1, 0.433333, 0.787124, 0.428571, 0.187500, 0.260870, 0.745819, 0.746129
4, 1, 154, 0.500000, 0.706598, 0.533333, 0.727273, 0.615385, 0.706408, 0.711510
4, 2, 95, 0.566667, 0.733698, 0.640000, 0.484848, 0.551724, 0.715354, 0.716346
4, 3, 88, 0.583333, 0.724236, 0.722222, 0.393939, 0.509804, 0.706407, 0.706420
4, 4, 43, 0.566667, 0.703321, 0.620690, 0.545455, 0.580645, 0.715105, 0.718620
4, 5, 133, 0.566667, 0.703168, 0.620690, 0.545455, 0.580645, 0.715105, 0.715117
5, 1, 135, 0.450000, 0.747287, 0.333333, 0.375000, 0.352941, 0.712493, 0.712503
5, 2, 99, 0.566667, 0.689230, 0.461538, 0.500000, 0.480000, 0.704977, 0.704986
5, 3, 5, 0.483333, 0.749581, 0.294118, 0.208333, 0.243902, 0.733196, 0.739542
5, 4, 139, 0.700000, 0.687680, 0.650000, 0.541667, 0.590909, 0.693028, 0.693082
5, 5, 19, 0.616667, 0.692173, 0.523810, 0.458333, 0.488889, 0.712509, 0.715236
6, 1, 1, 0.466667, 0.742158, 0.535714, 0.441176, 0.483871, 0.697069, 0.698543
6, 2, 136, 0.550000, 0.702857, 0.561404, 0.941176, 0.703297, 0.704811, 0.704944
6, 3, 19, 0.533333, 0.729756, 0.650000, 0.382353, 0.481481, 0.699539, 0.707315
6, 4, 65, 0.616667, 0.688850, 0.666667, 0.647059, 0.656716, 0.736032, 0.736582
6, 5, 5, 0.650000, 0.677473, 0.842105, 0.470588, 0.603774, 0.724956, 0.724994
7, 1, 4, 0.483333, 0.729799, 0.481481, 0.433333, 0.456140, 0.711159, 0.711208
7, 2, 4, 0.516667, 0.700821, 0.512195, 0.700000, 0.591549, 0.708495, 0.710914
7, 3, 12, 0.500000, 0.713916, 0.500000, 0.566667, 0.531250, 0.709342, 0.709357
7, 4, 137, 0.566667, 0.707345, 0.600000, 0.400000, 0.480000, 0.683136, 0.687171
7, 5, 10, 0.533333, 0.710874, 0.529412, 0.600000, 0.562500, 0.698211, 0.698261
8, 1, 4, 0.483333, 0.708289, 0.568182, 0.675676, 0.617284, 0.708377, 0.708377
8, 2, 69, 0.483333, 0.742163, 0.562500, 0.729730, 0.635294, 0.717544, 0.718988
8, 3, 111, 0.616667, 0.657349, 0.634615, 0.891892, 0.741573, 0.692535, 0.692817
8, 4, 30, 0.566667, 0.683939, 0.720000, 0.486486, 0.580645, 0.692535, 0.692570
8, 5, 21, 0.683333, 0.663246, 0.800000, 0.648649, 0.716418, 0.706358, 0.707275
9, 1, 57, 0.666667, 0.682163, 0.857143, 0.240000, 0.375000, 0.689529, 0.690132
9, 2, 3, 0.566667, 0.712503, 0.444444, 0.160000, 0.235294, 0.697544, 0.698927
9, 3, 27, 0.533333, 0.696228, 0.363636, 0.160000, 0.222222, 0.677443, 0.687346
9, 4, 16, 0.600000, 0.702480, 0.518519, 0.560000, 0.538462, 0.679555, 0.680221
9, 5, 35, 0.600000, 0.727320, 0.666667, 0.080000, 0.142857, 0.681490, 0.681623
10, 1, 2, 0.483333, 0.723027, 0.500000, 0.548387, 0.523077, 0.705006, 0.707570
10, 2, 17, 0.550000, 0.713790, 0.571429, 0.516129, 0.542373, 0.700566, 0.706615
10, 3, 51, 0.566667, 0.705330, 0.580645, 0.580645, 0.580645, 0.692104, 0.692763
10, 4, 6, 0.583333, 0.699388, 0.650000, 0.419355, 0.509804, 0.697741, 0.698265
10, 5, 105, 0.550000, 0.712024, 0.625000, 0.322581, 0.425532, 0.711528, 0.711530
11, 1, 27, 0.583333, 0.687040, 0.576271, 1.000000, 0.731183, 0.694012, 0.694769
11, 2, 51, 0.583333, 0.693087, 0.680000, 0.500000, 0.576271, 0.692051, 0.692966
11, 3, 18, 0.550000, 0.713494, 0.566038, 0.882353, 0.689655, 0.694886, 0.697869
11, 4, 169, 0.500000, 0.707858, 0.552632, 0.617647, 0.583333, 0.692045, 0.696604
11, 5, 43, 0.566667, 0.702699, 0.625000, 0.588235, 0.606061, 0.723666, 0.739867
12, 1, 38, 0.600000, 0.699297, 0.562500, 0.346154, 0.428571, 0.707587, 0.710911
12, 2, 48, 0.566667, 0.680029, 0.500000, 0.423077, 0.458333, 0.703572, 0.713431
12, 3, 183, 0.550000, 0.712220, 0.480000, 0.461538, 0.470588, 0.699980, 0.700054
12, 4, 20, 0.633333, 0.698434, 0.700000, 0.269231, 0.388889, 0.698942, 0.699180
12, 5, 27, 0.550000, 0.708638, 0.487805, 0.769231, 0.597015, 0.698841, 0.699397
13, 1, 14, 0.666667, 0.687348, 0.888889, 0.470588, 0.615385, 0.689170, 0.692826
13, 2, 11, 0.516667, 0.731557, 0.666667, 0.294118, 0.408163, 0.706679, 0.709185
13, 3, 8, 0.550000, 0.700421, 0.594595, 0.647059, 0.619718, 0.698123, 0.698874
13, 4, 5, 0.533333, 0.707374, 0.600000, 0.529412, 0.562500, 0.700273, 0.700276
13, 5, 67, 0.500000, 0.739820, 0.750000, 0.176471, 0.285714, 0.701846, 0.701901
14, 1, 183, 0.666667, 0.685390, 0.933333, 0.424242, 0.583333, 0.709734, 0.711919
14, 2, 74, 0.516667, 0.728299, 0.583333, 0.424242, 0.491228, 0.722205, 0.722230
14, 3, 16, 0.516667, 0.749916, 0.700000, 0.212121, 0.325581, 0.701690, 0.704064
14, 4, 107, 0.600000, 0.701322, 0.666667, 0.545455, 0.600000, 0.704639, 0.706439
14, 5, 81, 0.583333, 0.691597, 0.617647, 0.636364, 0.626866, 0.699587, 0.699723
15, 1, 8, 0.516667, 0.685278, 0.480000, 0.428571, 0.452830, 0.702199, 0.702835
15, 2, 28, 0.516667, 0.705193, 0.485714, 0.607143, 0.539683, 0.718798, 0.718921
15, 3, 101, 0.450000, 0.773997, 0.457627, 0.964286, 0.620690, 0.705965, 0.706731
15, 4, 6, 0.533333, 0.702845, 0.500000, 0.285714, 0.363636, 0.715117, 0.715227
15, 5, 115, 0.516667, 0.706596, 0.486486, 0.642857, 0.553846, 0.709826, 0.714279
16, 1, 2, 0.533333, 0.706260, 0.483871, 0.555556, 0.517241, 0.682878, 0.682894
16, 2, 140, 0.550000, 0.714062, 0.500000, 0.444444, 0.470588, 0.683230, 0.684876
16, 3, 18, 0.466667, 0.760531, 0.457627, 1.000000, 0.627907, 0.693015, 0.693522
16, 4, 144, 0.633333, 0.674498, 0.619048, 0.481481, 0.541667, 0.688516, 0.693236
16, 5, 40, 0.550000, 0.709369, 0.500000, 0.703704, 0.584615, 0.682878, 0.687102
17, 1, 165, 0.500000, 0.686604, 0.566038, 0.810811, 0.666667, 0.699743, 0.699767
17, 2, 15, 0.583333, 0.691784, 0.615385, 0.864865, 0.719101, 0.714367, 0.716003
17, 3, 92, 0.600000, 0.674344, 0.618182, 0.918919, 0.739130, 0.704436, 0.704449
17, 4, 2, 0.566667, 0.692597, 0.627907, 0.729730, 0.675000, 0.693540, 0.694321
17, 5, 1, 0.566667, 0.697211, 0.689655, 0.540541, 0.606061, 0.699969, 0.701443
18, 1, 1, 0.600000, 0.699002, 0.666667, 0.451613, 0.538462, 0.691648, 0.693462
18, 2, 30, 0.600000, 0.697667, 0.640000, 0.516129, 0.571429, 0.701705, 0.704996
18, 3, 29, 0.566667, 0.704386, 0.549020, 0.903226, 0.682927, 0.690506, 0.693808
18, 4, 15, 0.566667, 0.694373, 0.600000, 0.483871, 0.535714, 0.694238, 0.694505
18, 5, 143, 0.583333, 0.719314, 0.666667, 0.387097, 0.489796, 0.684807, 0.686728
19, 1, 14, 0.583333, 0.694943, 0.666667, 0.484848, 0.561404, 0.687158, 0.694101
19, 2, 118, 0.550000, 0.694455, 0.555556, 0.909091, 0.689655, 0.695199, 0.700494
19, 3, 1, 0.516667, 0.715589, 0.625000, 0.303030, 0.408163, 0.679691, 0.679909
19, 4, 65, 0.583333, 0.702920, 0.653846, 0.515152, 0.576271, 0.707239, 0.716657
19, 5, 138, 0.583333, 0.693658, 0.633333, 0.575758, 0.603175, 0.688321, 0.688437
20, 1, 21, 0.533333, 0.704502, 0.562500, 0.562500, 0.562500, 0.691202, 0.693175
20, 2, 89, 0.533333, 0.706519, 0.533333, 1.000000, 0.695652, 0.695763, 0.695858
20, 3, 22, 0.533333, 0.686511, 0.558824, 0.593750, 0.575758, 0.694937, 0.694951
20, 4, 154, 0.550000, 0.701369, 0.543860, 0.968750, 0.696629, 0.704280, 0.706646
20, 5, 73, 0.566667, 0.699639, 0.600000, 0.562500, 0.580645, 0.694584, 0.697690
