# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=ring, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 1, 0.466667, 0.829996, 0.482759, 0.933333, 0.636364, 0.753414, 0.754885
2, 2, 1, 0.466667, 0.829996, 0.482759, 0.933333, 0.636364, 0.753414, 0.753739
2, 3, 1, 0.466667, 0.829996, 0.482759, 0.933333, 0.636364, 0.753414, 0.766515
2, 4, 1, 0.466667, 0.829996, 0.482759, 0.933333, 0.636364, 0.753414, 0.755125
2, 5, 139, 0.500000, 0.753022, 0.000000, 0.000000, 0.000000, 0.753414, 0.755381
3, 1, 24, 0.466667, 0.797159, 0.500000, 0.500000, 0.500000, 0.731886, 0.732107
3, 2, 27, 0.466667, 0.797662, 0.500000, 0.500000, 0.500000, 0.731885, 0.731885
3, 3, 36, 0.466667, 0.797365, 0.500000, 0.500000, 0.500000, 0.731885, 0.733297
3, 4, 117, 0.516667, 0.825904, 0.588235, 0.312500, 0.408163, 0.731885, 0.733683
3, 5, 10, 0.466667, 0.797485, 0.500000, 0.500000, 0.500000, 0.731885, 0.732021
4, 1, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709890, 0.709908
4, 2, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709890, 0.709893
4, 3, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709890, 0.710913
4, 4, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709891, 0.713010
4, 5, 1, 0.550000, 0.763573, 0.550000, 1.000000, 0.709677, 0.709890, 0.730795
5, 1, 104, 0.433333, 0.721393, 0.352941, 0.500000, 0.413793, 0.740055, 0.744126
5, 2, 59, 0.516667, 0.714000, 0.413793, 0.500000, 0.452830, 0.740054, 0.741072
5, 3, 67, 0.533333, 0.713183, 0.428571, 0.500000, 0.461538, 0.740054, 0.742960
5, 4, 101, 0.533333, 0.713283, 0.428571, 0.500000, 0.461538, 0.740055, 0.745592
5, 5, 18, 0.450000, 0.720374, 0.363636, 0.500000, 0.421053, 0.740055, 0.741394
6, 1, 47, 0.600000, 0.696929, 0.656250, 0.617647, 0.636364, 0.707095, 0.709460
6, 2, 147, 0.600000, 0.696721, 0.656250, 0.617647, 0.636364, 0.707095, 0.713660
6, 3, 64, 0.600000, 0.696930, 0.656250, 0.617647, 0.636364, 0.707095, 0.707711
6, 4, 86, 0.600000, 0.696756, 0.656250, 0.617647, 0.636364, 0.707095, 0.708621
6, 5, 38, 0.600000, 0.696719, 0.656250, 0.617647, 0.636364, 0.707095, 0.707808
7, 1, 1, 0.450000, 0.737472, 0.468085, 0.733333, 0.571429, 0.728463, 0.732468
7, 2, 96, 0.500000, 0.732879, 0.500000, 0.366667, 0.423077, 0.728458, 0.728771
7, 3, 12, 0.450000, 0.738018, 0.468085, 0.733333, 0.571429, 0.728458, 0.730474
7, 4, 116, 0.500000, 0.733126, 0.500000, 0.366667, 0.423077, 0.728459, 0.737909
7, 5, 103, 0.483333, 0.731250, 0.480000, 0.400000, 0.436364, 0.728459, 0.735559
8, 1, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.719742
8, 2, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.707454
8, 3, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.709709
8, 4, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702022, 0.703367
8, 5, 1, 0.616667, 0.693144, 0.616667, 1.000000, 0.762887, 0.702023, 0.705713
9, 1, 146, 0.616667, 0.691488, 0.562500, 0.360000, 0.439024, 0.703683, 0.703708
9, 2, 91, 0.616667, 0.690561, 0.562500, 0.360000, 0.439024, 0.703683, 0.703770
9, 3, 34, 0.616667, 0.690848, 0.562500, 0.360000, 0.439024, 0.703684, 0.706326
9, 4, 186, 0.616667, 0.691268, 0.562500, 0.360000, 0.439024, 0.703776, 0.703806
9, 5, 92, 0.616667, 0.691412, 0.562500, 0.360000, 0.439024, 0.703683, 0.706642
10, 1, 66, 0.600000, 0.700165, 0.640000, 0.516129, 0.571429, 0.709260, 0.709442
10, 2, 62, 0.600000, 0.700368, 0.652174, 0.483871, 0.555556, 0.709260, 0.723270
10, 3, 118, 0.600000, 0.701524, 0.684211, 0.419355, 0.520000, 0.709260, 0.709268
10, 4, 34, 0.600000, 0.700995, 0.666667, 0.451613, 0.538462, 0.709260, 0.711662
10, 5, 29, 0.566667, 0.698443, 0.580645, 0.580645, 0.580645, 0.709261, 0.710741
11, 1, 140, 0.583333, 0.709832, 0.736842, 0.411765, 0.528302, 0.703539, 0.712498
11, 2, 4, 0.550000, 0.692093, 0.563636, 0.911765, 0.696629, 0.703539, 0.704723
11, 3, 100, 0.616667, 0.712423, 0.866667, 0.382353, 0.530612, 0.703540, 0.712814
11, 4, 114, 0.616667, 0.712956, 0.866667, 0.382353, 0.530612, 0.703542, 0.712640
11, 5, 39, 0.550000, 0.704494, 0.640000, 0.470588, 0.542373, 0.703539, 0.716367
12, 1, 52, 0.533333, 0.692354, 0.450000, 0.346154, 0.391304, 0.702903, 0.703223
12, 2, 153, 0.600000, 0.690679, 0.571429, 0.307692, 0.400000, 0.702903, 0.708399
12, 3, 36, 0.600000, 0.690511, 0.571429, 0.307692, 0.400000, 0.702903, 0.702997
12, 4, 26, 0.616667, 0.689106, 0.800000, 0.153846, 0.258065, 0.702903, 0.709893
12, 5, 114, 0.516667, 0.694201, 0.434783, 0.384615, 0.408163, 0.702903, 0.705636
13, 1, 7, 0.616667, 0.691654, 0.720000, 0.529412, 0.610169, 0.687628, 0.692731
13, 2, 27, 0.616667, 0.692054, 0.720000, 0.529412, 0.610169, 0.687628, 0.688192
13, 3, 30, 0.616667, 0.689210, 0.703704, 0.558824, 0.622951, 0.687629, 0.687764
13, 4, 172, 0.616667, 0.692309, 0.720000, 0.529412, 0.610169, 0.687628, 0.687633
13, 5, 76, 0.616667, 0.688918, 0.703704, 0.558824, 0.622951, 0.687628, 0.687720
14, 1, 26, 0.600000, 0.690120, 0.800000, 0.363636, 0.500000, 0.705053, 0.705855
14, 2, 10, 0.600000, 0.678689, 0.628571, 0.666667, 0.647059, 0.705053, 0.718937
14, 3, 15, 0.600000, 0.681473, 0.645161, 0.606061, 0.625000, 0.705053, 0.706999
14, 4, 30, 0.600000, 0.678666, 0.628571, 0.666667, 0.647059, 0.705053, 0.705415
14, 5, 177, 0.600000, 0.678661, 0.628571, 0.666667, 0.647059, 0.705053, 0.705972
15, 1, 4, 0.566667, 0.714472, 0.526316, 0.714286, 0.606061, 0.684773, 0.693410
15, 2, 9, 0.566667, 0.715991, 0.525000, 0.750000, 0.617647, 0.684772, 0.684876
15, 3, 44, 0.566667, 0.714201, 0.526316, 0.714286, 0.606061, 0.684772, 0.685043
15, 4, 23, 0.566667, 0.715880, 0.525000, 0.750000, 0.617647, 0.684772, 0.688395
15, 5, 4, 0.566667, 0.716090, 0.525000, 0.750000, 0.617647, 0.684772, 0.685621
16, 1, 117, 0.550000, 0.697125, 0.000000, 0.000000, 0.000000, 0.690672, 0.691049
16, 2, 125, 0.550000, 0.697242, 0.000000, 0.000000, 0.000000, 0.690674, 0.690974
16, 3, 147, 0.550000, 0.697159, 0.000000, 0.000000, 0.000000, 0.690671, 0.705594
16, 4, 44, 0.550000, 0.697142, 0.000000, 0.000000, 0.000000, 0.690672, 0.690747
16, 5, 78, 0.550000, 0.696692, 0.000000, 0.000000, 0.000000, 0.690671, 0.692086
17, 1, 73, 0.666667, 0.685675, 0.717949, 0.756757, 0.736842, 0.699302, 0.699313
17, 2, 85, 0.666667, 0.684942, 0.717949, 0.756757, 0.736842, 0.699302, 0.705352
17, 3, 45, 0.666667, 0.685586, 0.717949, 0.756757, 0.736842, 0.699302, 0.699405
17, 4, 50, 0.666667, 0.686992, 0.717949, 0.756757, 0.736842, 0.699305, 0.700637
17, 5, 31, 0.666667, 0.685902, 0.717949, 0.756757, 0.736842, 0.699303, 0.705491
18, 1, 71, 0.533333, 0.707999, 0.636364, 0.225806, 0.333333, 0.698615, 0.699372
