# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=ring, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 87, 0.966667, 0.649606, 1.000000, 0.933333, 0.965517, 0.646901, 0.650678
2, 2, 47, 0.500000, 0.752987, 0.000000, 0.000000, 0.000000, 0.753416, 0.754863
2, 3, 38, 0.966667, 0.649585, 1.000000, 0.933333, 0.965517, 0.646904, 0.648381
2, 4, 1, 0.466667, 0.829996, 0.482759, 0.933333, 0.636364, 0.753414, 0.753432
2, 5, 54, 0.966667, 0.649539, 1.000000, 0.933333, 0.965517, 0.646901, 0.648189
3, 1, 11, 0.616667, 0.681125, 0.714286, 0.468750, 0.566038, 0.720887, 0.721841
3, 2, 69, 0.483333, 0.799670, 0.516129, 0.500000, 0.507937, 0.731885, 0.732318
3, 3, 2, 0.633333, 0.700953, 0.812500, 0.406250, 0.541667, 0.720887, 0.721116
3, 4, 123, 0.466667, 0.797415, 0.500000, 0.500000, 0.500000, 0.731885, 0.733588
3, 5, 1, 0.616667, 0.695318, 0.764706, 0.406250, 0.530612, 0.720994, 0.721673
4, 1, 11, 0.716667, 0.640009, 0.944444, 0.515152, 0.666667, 0.630119, 0.631078
4, 2, 140, 0.750000, 0.657443, 0.875000, 0.636364, 0.736842, 0.641225, 0.641424
4, 3, 160, 0.733333, 0.627666, 0.697674, 0.909091, 0.789474, 0.629967, 0.631999
4, 4, 200, 0.716667, 0.631138, 0.700000, 0.848485, 0.767123, 0.635338, 0.635338
4, 5, 68, 0.716667, 0.639281, 0.863636, 0.575758, 0.690909, 0.630064, 0.640980
5, 1, 22, 0.750000, 0.642130, 0.655172, 0.791667, 0.716981, 0.640948, 0.641861
5, 2, 188, 0.766667, 0.638732, 0.692308, 0.750000, 0.720000, 0.653768, 0.653768
5, 3, 177, 0.750000, 0.645306, 0.680000, 0.708333, 0.693878, 0.638926, 0.642458
5, 4, 114, 0.750000, 0.650517, 0.666667, 0.750000, 0.705882, 0.638318, 0.647763
5, 5, 95, 0.750000, 0.646558, 0.655172, 0.791667, 0.716981, 0.637818, 0.645555
6, 1, 9, 0.566667, 0.710156, 0.833333, 0.294118, 0.434783, 0.664118, 0.664224
6, 2, 112, 0.633333, 0.677656, 0.714286, 0.588235, 0.645161, 0.653775, 0.653891
6, 3, 16, 0.583333, 0.709878, 0.846154, 0.323529, 0.468085, 0.654249, 0.677651
6, 4, 170, 0.633333, 0.673707, 0.611111, 0.970588, 0.750000, 0.653568, 0.663470
6, 5, 25, 0.583333, 0.687677, 0.609756, 0.735294, 0.666667, 0.656445, 0.663046
7, 1, 6, 0.650000, 0.666132, 0.636364, 0.700000, 0.666667, 0.663638, 0.665110
7, 2, 111, 0.666667, 0.665690, 0.750000, 0.500000, 0.600000, 0.655686, 0.655725
7, 3, 12, 0.650000, 0.664715, 0.636364, 0.700000, 0.666667, 0.656401, 0.671205
7, 4, 160, 0.650000, 0.675213, 0.680000, 0.566667, 0.618182, 0.666425, 0.677410
7, 5, 78, 0.650000, 0.664060, 0.636364, 0.700000, 0.666667, 0.656925, 0.657223
8, 1, 46, 0.733333, 0.657369, 0.769231, 0.810811, 0.789474, 0.651867, 0.653067
8, 2, 74, 0.700000, 0.677830, 0.851852, 0.621622, 0.718750, 0.693213, 0.704049
8, 3, 185, 0.783333, 0.623370, 0.785714, 0.891892, 0.835443, 0.647876, 0.651611
8, 4, 195, 0.633333, 0.679774, 0.727273, 0.648649, 0.685714, 0.695892, 0.698160
8, 5, 24, 0.733333, 0.661466, 0.756098, 0.837838, 0.794872, 0.647520, 0.659220
9, 1, 46, 0.766667, 0.659606, 0.789474, 0.600000, 0.681818, 0.649787, 0.650546
9, 2, 81, 0.583333, 0.708604, 0.000000, 0.000000, 0.000000, 0.688566, 0.689833
9, 3, 31, 0.733333, 0.658450, 0.846154, 0.440000, 0.578947, 0.644461, 0.654731
9, 4, 157, 0.700000, 0.685147, 0.888889, 0.320000, 0.470588, 0.691932, 0.702542
9, 5, 71, 0.733333, 0.674000, 0.764706, 0.520000, 0.619048, 0.640895, 0.642394
10, 1, 176, 0.633333, 0.675662, 0.645161, 0.645161, 0.645161, 0.661629, 0.662442
10, 2, 22, 0.616667, 0.696987, 0.722222, 0.419355, 0.530612, 0.697730, 0.709009
10, 3, 15, 0.616667, 0.681226, 0.785714, 0.354839, 0.488889, 0.660035, 0.660035
10, 4, 105, 0.600000, 0.694979, 0.629630, 0.548387, 0.586207, 0.687744, 0.691767
10, 5, 42, 0.633333, 0.675703, 0.666667, 0.580645, 0.620690, 0.660142, 0.660395
11, 1, 97, 0.683333, 0.666757, 0.702703, 0.764706, 0.732394, 0.662331, 0.665147
11, 2, 124, 0.566667, 0.692063, 0.571429, 0.941176, 0.711111, 0.688125, 0.692139
11, 3, 24, 0.683333, 0.671732, 0.727273, 0.705882, 0.716418, 0.656402, 0.664927
11, 4, 76, 0.566667, 0.680772, 0.583333, 0.823529, 0.682927, 0.688974, 0.697561
11, 5, 77, 0.666667, 0.672833, 0.694444, 0.735294, 0.714286, 0.655895, 0.657842
12, 1, 6, 0.666667, 0.662244, 1.000000, 0.230769, 0.375000, 0.666406, 0.666495
12, 2, 79, 0.683333, 0.676045, 0.652174, 0.576923, 0.612245, 0.681226, 0.683576
12, 3, 193, 0.716667, 0.660855, 0.680000, 0.653846, 0.666667, 0.666000, 0.667935
12, 4, 99, 0.616667, 0.678781, 0.615385, 0.307692, 0.410256, 0.678717, 0.679086
12, 5, 30, 0.750000, 0.673200, 0.866667, 0.500000, 0.634146, 0.666431, 0.669250
13, 1, 9, 0.533333, 0.729668, 1.000000, 0.176471, 0.300000, 0.691243, 0.691256
13, 2, 190, 0.633333, 0.693786, 1.000000, 0.352941, 0.521739, 0.680227, 0.680227
13, 3, 142, 0.633333, 0.684194, 0.730769, 0.558824, 0.633333, 0.686369, 0.692234
13, 4, 200, 0.633333, 0.687447, 0.800000, 0.470588, 0.592593, 0.680085, 0.680128
13, 5, 190, 0.566667, 0.698368, 0.571429, 0.941176, 0.711111, 0.689598, 0.692472
14, 1, 77, 0.583333, 0.693033, 0.600000, 0.727273, 0.657534, 0.683821, 0.684293
14, 2, 70, 0.616667, 0.686308, 0.666667, 0.606061, 0.634921, 0.678459, 0.679050
14, 3, 157, 0.600000, 0.687194, 0.636364, 0.636364, 0.636364, 0.681016, 0.681016
14, 4, 14, 0.583333, 0.690880, 0.722222, 0.393939, 0.509804, 0.680430, 0.684326
14, 5, 66, 0.583333, 0.690366, 0.600000, 0.727273, 0.657534, 0.683374, 0.689013
15, 1, 23, 0.650000, 0.665761, 0.652174, 0.535714, 0.588235, 0.678720, 0.684202
15, 2, 47, 0.600000, 0.688642, 0.558824, 0.678571, 0.612903, 0.677520, 0.679012
15, 3, 129, 0.666667, 0.678849, 0.681818, 0.535714, 0.600000, 0.675885, 0.677604
15, 4, 138, 0.566667, 0.696318, 0.550000, 0.392857, 0.458333, 0.679877, 0.682089
15, 5, 67, 0.716667, 0.663613, 0.866667, 0.464286, 0.604651, 0.674388, 0.677113
16, 1, 78, 0.766667, 0.665290, 0.696970, 0.851852, 0.766667, 0.659406, 0.661455
16, 2, 1, 0.450000, 0.838506, 0.450000, 1.000000, 0.620690, 0.690445, 0.690999
16, 3, 44, 0.766667, 0.666250, 0.685714, 0.888889, 0.774194, 0.658901, 0.659770
16, 4, 17, 0.666667, 0.671472, 0.733333, 0.407407, 0.523810, 0.684513, 0.685600
16, 5, 46, 0.800000, 0.660465, 0.800000, 0.740741, 0.769231, 0.661359, 0.687158
