# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=chain, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 194, 0.900000, 0.630290, 0.900000, 0.900000, 0.900000, 0.628362, 0.633893
2, 2, 111, 0.883333, 0.612838, 0.848485, 0.933333, 0.888889, 0.573823, 0.578620
2, 3, 60, 0.850000, 0.616048, 0.862069, 0.833333, 0.847458, 0.571430, 0.575453
2, 4, 87, 0.866667, 0.607582, 0.843750, 0.900000, 0.870968, 0.571458, 0.571743
2, 5, 77, 0.833333, 0.595174, 0.833333, 0.833333, 0.833333, 0.570235, 0.632602
3, 1, 182, 0.616667, 0.684741, 0.680000, 0.531250, 0.596491, 0.668741, 0.670120
3, 2, 122, 0.716667, 0.627483, 0.777778, 0.656250, 0.711864, 0.634809, 0.635163
3, 3, 162, 0.800000, 0.623614, 0.794118, 0.843750, 0.818182, 0.631203, 0.631368
3, 4, 124, 0.750000, 0.619823, 0.774194, 0.750000, 0.761905, 0.632880, 0.655174
3, 5, 76, 0.766667, 0.654070, 0.800000, 0.750000, 0.774194, 0.642604, 0.644041
4, 1, 1, 0.550000, 0.762267, 0.550000, 1.000000, 0.709677, 0.688201, 0.688201
4, 2, 122, 0.883333, 0.653923, 0.964286, 0.818182, 0.885246, 0.625454, 0.625454
4, 3, 120, 0.900000, 0.620161, 0.909091, 0.909091, 0.909091, 0.614632, 0.615615
4, 4, 92, 0.866667, 0.619888, 0.857143, 0.909091, 0.882353, 0.605332, 0.633687
4, 5, 10, 0.866667, 0.608768, 0.903226, 0.848485, 0.875000, 0.602095, 0.612330
5, 1, 197, 0.683333, 0.685043, 1.000000, 0.208333, 0.344828, 0.690072, 0.690072
5, 2, 103, 0.766667, 0.635981, 0.812500, 0.541667, 0.650000, 0.648323, 0.658378
5, 3, 71, 0.766667, 0.635398, 0.916667, 0.458333, 0.611111, 0.638517, 0.643447
5, 4, 80, 0.766667, 0.618309, 0.857143, 0.500000, 0.631579, 0.630881, 0.632809
5, 5, 142, 0.783333, 0.638666, 0.666667, 0.916667, 0.771930, 0.632110, 0.634102
6, 1, 16, 0.600000, 0.689255, 0.647059, 0.647059, 0.647059, 0.678144, 0.678386
6, 2, 108, 0.616667, 0.683959, 0.689655, 0.588235, 0.634921, 0.652568, 0.660887
6, 3, 126, 0.683333, 0.665560, 0.659574, 0.911765, 0.765432, 0.654972, 0.673265
6, 4, 10, 0.583333, 0.691070, 0.636364, 0.617647, 0.626866, 0.654828, 0.654828
6, 5, 156, 0.700000, 0.655309, 0.807692, 0.617647, 0.700000, 0.649738, 0.665970
7, 1, 171, 0.600000, 0.698111, 1.000000, 0.200000, 0.333333, 0.684376, 0.684376
7, 2, 167, 0.716667, 0.655973, 0.696970, 0.766667, 0.730159, 0.652174, 0.653217
7, 3, 171, 0.766667, 0.666576, 0.863636, 0.633333, 0.730769, 0.655552, 0.672110
7, 4, 122, 0.733333, 0.658137, 0.818182, 0.600000, 0.692308, 0.662701, 0.669497
7, 5, 146, 0.733333, 0.658020, 0.791667, 0.633333, 0.703704, 0.649871, 0.653753
8, 1, 1, 0.616667, 0.703914, 0.616667, 1.000000, 0.762887, 0.698732, 0.699032
8, 2, 148, 0.816667, 0.685727, 0.842105, 0.864865, 0.853333, 0.676934, 0.676934
8, 3, 147, 0.800000, 0.656018, 0.837838, 0.837838, 0.837838, 0.652756, 0.655649
8, 4, 149, 0.733333, 0.656663, 0.838710, 0.702703, 0.764706, 0.653014, 0.712864
8, 5, 156, 0.816667, 0.631988, 0.825000, 0.891892, 0.857143, 0.644060, 0.661606
9, 1, 151, 0.616667, 0.689550, 0.562500, 0.360000, 0.439024, 0.704674, 0.704674
9, 2, 141, 0.666667, 0.683230, 0.647059, 0.440000, 0.523810, 0.673725, 0.673725
9, 3, 120, 0.633333, 0.682342, 0.551724, 0.640000, 0.592593, 0.652753, 0.654331
9, 4, 100, 0.650000, 0.663223, 0.833333, 0.200000, 0.322581, 0.645632, 0.660296
9, 5, 80, 0.633333, 0.670809, 0.588235, 0.400000, 0.476190, 0.648018, 0.659225
10, 1, 20, 0.616667, 0.703253, 0.681818, 0.483871, 0.566038, 0.709437, 0.709465
10, 2, 32, 0.600000, 0.697850, 0.666667, 0.451613, 0.538462, 0.705664, 0.706629
10, 3, 8, 0.600000, 0.696111, 0.666667, 0.451613, 0.538462, 0.699612, 0.706946
10, 4, 172, 0.716667, 0.661882, 0.818182, 0.580645, 0.679245, 0.666519, 0.716456
10, 5, 156, 0.683333, 0.660619, 0.730769, 0.612903, 0.666667, 0.654384, 0.674907
11, 1, 31, 0.600000, 0.704107, 0.812500, 0.382353, 0.520000, 0.701264, 0.709683
11, 2, 180, 0.650000, 0.672229, 0.709677, 0.647059, 0.676923, 0.677892, 0.685980
11, 3, 32, 0.633333, 0.689379, 0.800000, 0.470588, 0.592593, 0.669896, 0.669896
11, 4, 12, 0.633333, 0.699746, 0.875000, 0.411765, 0.560000, 0.664757, 0.665597
11, 5, 102, 0.750000, 0.667451, 0.827586, 0.705882, 0.761905, 0.662340, 0.679818
12, 1, 82, 0.616667, 0.686266, 0.615385, 0.307692, 0.410256, 0.701432, 0.701888
12, 2, 74, 0.616667, 0.683800, 0.615385, 0.307692, 0.410256, 0.692978, 0.692978
12, 3, 18, 0.616667, 0.679051, 1.000000, 0.115385, 0.206897, 0.676474, 0.676474
12, 4, 174, 0.733333, 0.652873, 0.727273, 0.615385, 0.666667, 0.668887, 0.670012
12, 5, 51, 0.683333, 0.666822, 1.000000, 0.269231, 0.424242, 0.674766, 0.683078
13, 1, 151, 0.700000, 0.663427, 0.807692, 0.617647, 0.700000, 0.669824, 0.669949
13, 2, 197, 0.783333, 0.653805, 0.888889, 0.705882, 0.786885, 0.665727, 0.665727
13, 3, 46, 0.700000, 0.668334, 0.833333, 0.588235, 0.689655, 0.664777, 0.685728
13, 4, 56, 0.683333, 0.675628, 0.826087, 0.558824, 0.666667, 0.667566, 0.681857
13, 5, 199, 0.716667, 0.665216, 0.904762, 0.558824, 0.690909, 0.664786, 0.664786
14, 1, 200, 0.716667, 0.669327, 0.863636, 0.575758, 0.690909, 0.677536, 0.677536
14, 2, 153, 0.766667, 0.660891, 0.787879, 0.787879, 0.787879, 0.664198, 0.665471
14, 3, 182, 0.700000, 0.668903, 0.777778, 0.636364, 0.700000, 0.665101, 0.667929
14, 4, 143, 0.666667, 0.684322, 0.760000, 0.575758, 0.655172, 0.668576, 0.674017
14, 5, 4, 0.683333, 0.683579, 0.937500, 0.454545, 0.612245, 0.670492, 0.676122
15, 1, 100, 0.600000, 0.707964, 0.547619, 0.821429, 0.657143, 0.670780, 0.672599
15, 2, 139, 0.616667, 0.697600, 0.560976, 0.821429, 0.666667, 0.668619, 0.668619
15, 3, 184, 0.683333, 0.658746, 0.909091, 0.357143, 0.512821, 0.665092, 0.665092
15, 4, 169, 0.683333, 0.660852, 0.846154, 0.392857, 0.536585, 0.662505, 0.666567
15, 5, 182, 0.716667, 0.672370, 0.689655, 0.714286, 0.701754, 0.661454, 0.664885
16, 1, 18, 0.550000, 0.699745, 0.000000, 0.000000, 0.000000, 0.690486, 0.690486
16, 2, 119, 0.550000, 0.697141, 0.000000, 0.000000, 0.000000, 0.690179, 0.695420
16, 3, 150, 0.766667, 0.683291, 0.782609, 0.666667, 0.720000, 0.677253, 0.693010
16, 4, 144, 0.666667, 0.688908, 0.684211, 0.481481, 0.565217, 0.682881, 0.684356
16, 5, 166, 0.733333, 0.676541, 0.666667, 0.814815, 0.733333, 0.673342, 0.689009
17, 1, 15, 0.666667, 0.687236, 0.757576, 0.675676, 0.714286, 0.699774, 0.710619
17, 2, 16, 0.700000, 0.685198, 0.771429, 0.729730, 0.750000, 0.685911, 0.690465
17, 3, 7, 0.683333, 0.683986, 0.764706, 0.702703, 0.732394, 0.677624, 0.698552
17, 4, 29, 0.783333, 0.673074, 0.961538, 0.675676, 0.793651, 0.668868, 0.684859
17, 5, 147, 0.683333, 0.685684, 0.736842, 0.756757, 0.746667, 0.681265, 0.684827
18, 1, 1, 0.516667, 0.747368, 0.516667, 1.000000, 0.681319, 0.696712, 0.697270
18, 2, 85, 0.533333, 0.703703, 0.714286, 0.161290, 0.263158, 0.690509, 0.692143
18, 3, 39, 0.533333, 0.705700, 0.714286, 0.161290, 0.263158, 0.692688, 0.694335
18, 4, 108, 0.550000, 0.696373, 0.543478, 0.806452, 0.649351, 0.686818, 0.716008
18, 5, 179, 0.666667, 0.680439, 0.789474, 0.483871, 0.600000, 0.669271, 0.669271
19, 1, 90, 0.600000, 0.693197, 0.628571, 0.666667, 0.647059, 0.696820, 0.699543
19, 2, 109, 0.600000, 0.688351, 0.615385, 0.727273, 0.666667, 0.683203, 0.690738
19, 3, 88, 0.650000, 0.684611, 0.666667, 0.727273, 0.695652, 0.679691, 0.694376
19, 4, 152, 0.666667, 0.678697, 0.658537, 0.818182, 0.729730, 0.684525, 0.700894
19, 5, 182, 0.733333, 0.674294, 0.717949, 0.848485, 0.777778, 0.672938, 0.677391
20, 1, 9, 0.533333, 0.704735, 0.534483, 0.968750, 0.688889, 0.689069, 0.693260
20, 2, 25, 0.550000, 0.703962, 0.543860, 0.968750, 0.696629, 0.688624, 0.695327
20, 3, 96, 0.566667, 0.701122, 0.687500, 0.343750, 0.458333, 0.675987, 0.686818
20, 4, 182, 0.600000, 0.694036, 0.900000, 0.281250, 0.428571, 0.676264, 0.689414
20, 5, 14, 0.600000, 0.697050, 0.700000, 0.437500, 0.538462, 0.671348, 0.682180
