# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=full, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 179, 0.883333, 0.632170, 0.870968, 0.900000, 0.885246, 0.629806, 0.651176
2, 2, 19, 0.883333, 0.621059, 0.848485, 0.933333, 0.888889, 0.571186, 0.574156
2, 3, 15, 0.833333, 0.620449, 0.777778, 0.933333, 0.848485, 0.574119, 0.578771
2, 4, 48, 0.866667, 0.628887, 0.866667, 0.866667, 0.866667, 0.572001, 0.583365
2, 5, 57, 0.850000, 0.601045, 0.862069, 0.833333, 0.847458, 0.570219, 0.572282
3, 1, 160, 0.666667, 0.677522, 0.714286, 0.625000, 0.666667, 0.668991, 0.669077
3, 2, 173, 0.766667, 0.614772, 0.750000, 0.843750, 0.794118, 0.632824, 0.637097
3, 3, 109, 0.766667, 0.618190, 0.764706, 0.812500, 0.787879, 0.634517, 0.638668
3, 4, 160, 0.783333, 0.628806, 0.787879, 0.812500, 0.800000, 0.632397, 0.635556
3, 5, 155, 0.750000, 0.632788, 0.774194, 0.750000, 0.761905, 0.634047, 0.648115
4, 1, 1, 0.550000, 0.780944, 0.550000, 1.000000, 0.709677, 0.693505, 0.693505
4, 2, 115, 0.866667, 0.656794, 0.837838, 0.939394, 0.885714, 0.635057, 0.639621
4, 3, 180, 0.933333, 0.615625, 0.967742, 0.909091, 0.937500, 0.614472, 0.636543
4, 4, 11, 0.900000, 0.613223, 0.909091, 0.909091, 0.909091, 0.603821, 0.615753
4, 5, 149, 0.900000, 0.607682, 0.909091, 0.909091, 0.909091, 0.608445, 0.636573
5, 1, 180, 0.633333, 0.696529, 0.666667, 0.166667, 0.266667, 0.698482, 0.698482
5, 2, 180, 0.700000, 0.660462, 0.593750, 0.791667, 0.678571, 0.666830, 0.671060
5, 3, 157, 0.766667, 0.640120, 0.666667, 0.833333, 0.740741, 0.642464, 0.643270
5, 4, 151, 0.783333, 0.628928, 0.703704, 0.791667, 0.745098, 0.626731, 0.627994
5, 5, 179, 0.800000, 0.632618, 0.833333, 0.625000, 0.714286, 0.636744, 0.651661
6, 1, 157, 0.616667, 0.686941, 0.739130, 0.500000, 0.596491, 0.681892, 0.709426
6, 2, 108, 0.600000, 0.682224, 0.638889, 0.676471, 0.657143, 0.677785, 0.677785
6, 3, 29, 0.600000, 0.697555, 0.750000, 0.441176, 0.555556, 0.653481, 0.663267
6, 4, 135, 0.716667, 0.660606, 0.697674, 0.882353, 0.779221, 0.649573, 0.649573
6, 5, 15, 0.666667, 0.684265, 0.818182, 0.529412, 0.642857, 0.649202, 0.649202
7, 1, 76, 0.550000, 0.720577, 0.588235, 0.333333, 0.425532, 0.686227, 0.686971
7, 2, 169, 0.616667, 0.677800, 0.620690, 0.600000, 0.610169, 0.673704, 0.685890
7, 3, 138, 0.633333, 0.682521, 0.700000, 0.466667, 0.560000, 0.663359, 0.665729
7, 4, 177, 0.700000, 0.665618, 0.714286, 0.666667, 0.689655, 0.660750, 0.682252
7, 5, 170, 0.700000, 0.661358, 0.772727, 0.566667, 0.653846, 0.652121, 0.654622
8, 1, 1, 0.616667, 0.704108, 0.616667, 1.000000, 0.762887, 0.702279, 0.703628
8, 2, 186, 0.783333, 0.681514, 0.800000, 0.864865, 0.831169, 0.683716, 0.700197
8, 3, 77, 0.783333, 0.657065, 0.760870, 0.945946, 0.843373, 0.651106, 0.696620
8, 4, 162, 0.766667, 0.664000, 0.767442, 0.891892, 0.825000, 0.670284, 0.692765
8, 5, 155, 0.833333, 0.658981, 0.885714, 0.837838, 0.861111, 0.654964, 0.660788
9, 1, 73, 0.600000, 0.688952, 0.529412, 0.360000, 0.428571, 0.703521, 0.716272
9, 2, 200, 0.633333, 0.676362, 1.000000, 0.120000, 0.214286, 0.679878, 0.681515
9, 3, 195, 0.683333, 0.662938, 0.800000, 0.320000, 0.457143, 0.644397, 0.644677
9, 4, 60, 0.650000, 0.683268, 0.750000, 0.240000, 0.363636, 0.660991, 0.664257
9, 5, 164, 0.733333, 0.660220, 0.909091, 0.400000, 0.555556, 0.647874, 0.660948
10, 1, 122, 0.600000, 0.700660, 0.640000, 0.516129, 0.571429, 0.709178, 0.714887
10, 2, 79, 0.616667, 0.696744, 0.681818, 0.483871, 0.566038, 0.686904, 0.697728
10, 3, 177, 0.700000, 0.674456, 0.709677, 0.709677, 0.709677, 0.673016, 0.673016
10, 4, 120, 0.733333, 0.657692, 1.000000, 0.483871, 0.652174, 0.652240, 0.653473
10, 5, 190, 0.683333, 0.671411, 0.800000, 0.516129, 0.627451, 0.670486, 0.671689
11, 1, 124, 0.600000, 0.701111, 0.777778, 0.411765, 0.538462, 0.702004, 0.716110
11, 2, 43, 0.633333, 0.699028, 0.875000, 0.411765, 0.560000, 0.676046, 0.683905
11, 3, 194, 0.650000, 0.678341, 0.760000, 0.558824, 0.644068, 0.669441, 0.670144
11, 4, 142, 0.700000, 0.678483, 0.807692, 0.617647, 0.700000, 0.664544, 0.664766
11, 5, 174, 0.666667, 0.679018, 0.850000, 0.500000, 0.629630, 0.661334, 0.679007
12, 1, 16, 0.616667, 0.686526, 0.615385, 0.307692, 0.410256, 0.698746, 0.698746
12, 2, 18, 0.633333, 0.684133, 0.700000, 0.269231, 0.388889, 0.681554, 0.699030
12, 3, 140, 0.600000, 0.686501, 0.541667, 0.500000, 0.520000, 0.686811, 0.692590
12, 4, 142, 0.683333, 0.672913, 0.733333, 0.423077, 0.536585, 0.681046, 0.732521
12, 5, 100, 0.666667, 0.679719, 0.687500, 0.423077, 0.523810, 0.669449, 0.708980
13, 1, 189, 0.716667, 0.662445, 0.814815, 0.647059, 0.721311, 0.670620, 0.671428
13, 2, 96, 0.700000, 0.680469, 0.944444, 0.500000, 0.653846, 0.670349, 0.670349
13, 3, 49, 0.666667, 0.685343, 1.000000, 0.411765, 0.583333, 0.665488, 0.694888
13, 4, 52, 0.666667, 0.683394, 0.937500, 0.441176, 0.600000, 0.667310, 0.667469
13, 5, 102, 0.700000, 0.669165, 0.900000, 0.529412, 0.666667, 0.664824, 0.665414
14, 1, 169, 0.716667, 0.670204, 0.900000, 0.545455, 0.679245, 0.676776, 0.677617
14, 2, 96, 0.733333, 0.665003, 0.814815, 0.666667, 0.733333, 0.675582, 0.675582
14, 3, 78, 0.716667, 0.669363, 0.833333, 0.606061, 0.701754, 0.672342, 0.676942
14, 4, 159, 0.683333, 0.674751, 0.694444, 0.757576, 0.724638, 0.671437, 0.671437
14, 5, 62, 0.666667, 0.679295, 0.842105, 0.484848, 0.615385, 0.668134, 0.674056
15, 1, 192, 0.616667, 0.693437, 0.575758, 0.678571, 0.622951, 0.669978, 0.674323
15, 2, 182, 0.650000, 0.687591, 0.620690, 0.642857, 0.631579, 0.664247, 0.664704
15, 3, 152, 0.600000, 0.698944, 0.543478, 0.892857, 0.675676, 0.664487, 0.672867
15, 4, 110, 0.633333, 0.690437, 0.583333, 0.750000, 0.656250, 0.663595, 0.663595
15, 5, 109, 0.616667, 0.697546, 0.560976, 0.821429, 0.666667, 0.664379, 0.664556
16, 1, 18, 0.550000, 0.699392, 0.000000, 0.000000, 0.000000, 0.690656, 0.700723
16, 2, 184, 0.600000, 0.693644, 0.548387, 0.629630, 0.586207, 0.687987, 0.688817
16, 3, 34, 0.633333, 0.688431, 0.727273, 0.296296, 0.421053, 0.683694, 0.692914
16, 4, 179, 0.633333, 0.688887, 0.555556, 0.925926, 0.694444, 0.681692, 0.707582
16, 5, 167, 0.700000, 0.672982, 0.909091, 0.370370, 0.526316, 0.677293, 0.684807
17, 1, 53, 0.683333, 0.686015, 0.750000, 0.729730, 0.739726, 0.699851, 0.705263
17, 2, 156, 0.700000, 0.683148, 0.743590, 0.783784, 0.763158, 0.679935, 0.680035
17, 3, 94, 0.700000, 0.681212, 0.731707, 0.810811, 0.769231, 0.687699, 0.710467
17, 4, 123, 0.683333, 0.664727, 0.695652, 0.864865, 0.771084, 0.670650, 0.703118
17, 5, 9, 0.700000, 0.682741, 0.827586, 0.648649, 0.727273, 0.666198, 0.682472
18, 1, 1, 0.516667, 0.746263, 0.516667, 1.000000, 0.681319, 0.697053, 0.700291
18, 2, 72, 0.533333, 0.713782, 0.800000, 0.129032, 0.222222, 0.693203, 0.705568
18, 3, 180, 0.583333, 0.695622, 0.588235, 0.645161, 0.615385, 0.682814, 0.688456
18, 4, 193, 0.566667, 0.692842, 0.692308, 0.290323, 0.409091, 0.683686, 0.693779
18, 5, 24, 0.600000, 0.694499, 0.640000, 0.516129, 0.571429, 0.676134, 0.676816
19, 1, 121, 0.600000, 0.693437, 0.628571, 0.666667, 0.647059, 0.697240, 0.697392
19, 2, 6, 0.583333, 0.691134, 0.611111, 0.666667, 0.637681, 0.690997, 0.700096
19, 3, 105, 0.583333, 0.689648, 0.590909, 0.787879, 0.675325, 0.680663, 0.698474
19, 4, 8, 0.600000, 0.691359, 0.645161, 0.606061, 0.625000, 0.664444, 0.676513
19, 5, 30, 0.616667, 0.685865, 0.600000, 0.909091, 0.722892, 0.661002, 0.675524
20, 1, 10, 0.533333, 0.706667, 0.576923, 0.468750, 0.517241, 0.689296, 0.701011
20, 2, 5, 0.583333, 0.701861, 0.563636, 0.968750, 0.712644, 0.680359, 0.694151
20, 3, 196, 0.583333, 0.702816, 0.769231, 0.312500, 0.444444, 0.685249, 0.693119
20, 4, 76, 0.566667, 0.704726, 0.800000, 0.250000, 0.380952, 0.683702, 0.701719
20, 5, 177, 0.566667, 0.702488, 0.553571, 0.968750, 0.704545, 0.678965, 0.679141
