# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=full, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 20, 0.916667, 0.623290, 0.903226, 0.933333, 0.918033, 0.574010, 0.587883
2, 2, 105, 0.816667, 0.614649, 0.743590, 0.966667, 0.840580, 0.571906, 0.583689
2, 3, 36, 0.816667, 0.601937, 0.880000, 0.733333, 0.800000, 0.570747, 0.584174
2, 4, 24, 0.850000, 0.628006, 0.838710, 0.866667, 0.852459, 0.571182, 0.575703
2, 5, 13, 0.866667, 0.613117, 0.892857, 0.833333, 0.862069, 0.570883, 0.577561
3, 1, 45, 0.700000, 0.662430, 0.652174, 0.937500, 0.769231, 0.644468, 0.645544
3, 2, 123, 0.833333, 0.629134, 0.823529, 0.875000, 0.848485, 0.647260, 0.652148
3, 3, 132, 0.783333, 0.634186, 0.787879, 0.812500, 0.800000, 0.633134, 0.635113
3, 4, 45, 0.783333, 0.639404, 0.787879, 0.812500, 0.800000, 0.632077, 0.680873
3, 5, 144, 0.866667, 0.618426, 0.852941, 0.906250, 0.878788, 0.633395, 0.641870
4, 1, 23, 0.766667, 0.624707, 0.851852, 0.696970, 0.766667, 0.625930, 0.627440
4, 2, 127, 0.783333, 0.634723, 0.750000, 0.909091, 0.821918, 0.632102, 0.648967
4, 3, 42, 0.816667, 0.619535, 0.823529, 0.848485, 0.835821, 0.624339, 0.645448
4, 4, 118, 0.766667, 0.626957, 0.711111, 0.969697, 0.820513, 0.625498, 0.639266
4, 5, 187, 0.800000, 0.628175, 0.862069, 0.757576, 0.806452, 0.625332, 0.629136
5, 1, 6, 0.716667, 0.637835, 0.705882, 0.500000, 0.585366, 0.641464, 0.641825
5, 2, 130, 0.783333, 0.641135, 0.677419, 0.875000, 0.763636, 0.641795, 0.641795
5, 3, 55, 0.783333, 0.637782, 0.689655, 0.833333, 0.754717, 0.634098, 0.638625
5, 4, 165, 0.783333, 0.629312, 0.823529, 0.583333, 0.682927, 0.643475, 0.660006
5, 5, 140, 0.750000, 0.635811, 0.714286, 0.625000, 0.666667, 0.638349, 0.647836
6, 1, 156, 0.783333, 0.657952, 0.800000, 0.823529, 0.811594, 0.657726, 0.657809
6, 2, 27, 0.583333, 0.686586, 0.584906, 0.911765, 0.712644, 0.649132, 0.652304
6, 3, 153, 0.716667, 0.657390, 0.757576, 0.735294, 0.746269, 0.648682, 0.658710
6, 4, 32, 0.650000, 0.673055, 0.809524, 0.500000, 0.618182, 0.652942, 0.660634
6, 5, 24, 0.733333, 0.668668, 0.875000, 0.617647, 0.724138, 0.646819, 0.654669
7, 1, 87, 0.700000, 0.661288, 0.676471, 0.766667, 0.718750, 0.656737, 0.692866
7, 2, 176, 0.750000, 0.653237, 0.800000, 0.666667, 0.727273, 0.650878, 0.657487
7, 3, 184, 0.716667, 0.662079, 0.685714, 0.800000, 0.738462, 0.650552, 0.691025
7, 4, 99, 0.683333, 0.661316, 0.739130, 0.566667, 0.641509, 0.650888, 0.650888
7, 5, 141, 0.683333, 0.654085, 0.689655, 0.666667, 0.677966, 0.649214, 0.657086
8, 1, 134, 0.816667, 0.672331, 0.782609, 0.972973, 0.867470, 0.667640, 0.668889
8, 2, 193, 0.716667, 0.647566, 0.750000, 0.810811, 0.779221, 0.652249, 0.661108
8, 3, 104, 0.816667, 0.623472, 0.782609, 0.972973, 0.867470, 0.657003, 0.668067
8, 4, 49, 0.816667, 0.635613, 0.933333, 0.756757, 0.835821, 0.652287, 0.684416
8, 5, 66, 0.816667, 0.643681, 0.825000, 0.891892, 0.857143, 0.652204, 0.658616
9, 1, 21, 0.700000, 0.687153, 0.769231, 0.400000, 0.526316, 0.651837, 0.654719
9, 2, 112, 0.616667, 0.674516, 1.000000, 0.080000, 0.148148, 0.653587, 0.657676
9, 3, 4, 0.650000, 0.684067, 0.750000, 0.240000, 0.363636, 0.647334, 0.687173
9, 4, 150, 0.666667, 0.658623, 0.857143, 0.240000, 0.375000, 0.649741, 0.695813
9, 5, 19, 0.666667, 0.675366, 0.777778, 0.280000, 0.411765, 0.650290, 0.705727
10, 1, 55, 0.700000, 0.673403, 0.709677, 0.709677, 0.709677, 0.663912, 0.665007
10, 2, 94, 0.700000, 0.665344, 1.000000, 0.419355, 0.590909, 0.659859, 0.661990
10, 3, 195, 0.666667, 0.674056, 0.648649, 0.774194, 0.705882, 0.655942, 0.658140
10, 4, 113, 0.666667, 0.663252, 0.720000, 0.580645, 0.642857, 0.661837, 0.670428
10, 5, 65, 0.666667, 0.675997, 1.000000, 0.354839, 0.523810, 0.663519, 0.698307
11, 1, 189, 0.666667, 0.681747, 0.750000, 0.617647, 0.677419, 0.665018, 0.668138
11, 2, 99, 0.700000, 0.671602, 0.766667, 0.676471, 0.718750, 0.667970, 0.676557
11, 3, 159, 0.600000, 0.685310, 0.619048, 0.764706, 0.684211, 0.665369, 0.668075
11, 4, 180, 0.666667, 0.672979, 0.769231, 0.588235, 0.666667, 0.664859, 0.690754
11, 5, 76, 0.700000, 0.667332, 0.766667, 0.676471, 0.718750, 0.670586, 0.728373
12, 1, 91, 0.666667, 0.671807, 0.625000, 0.576923, 0.600000, 0.670703, 0.670703
12, 2, 179, 0.716667, 0.667174, 0.628571, 0.846154, 0.721311, 0.662056, 0.664704
12, 3, 51, 0.750000, 0.667440, 0.720000, 0.692308, 0.705882, 0.663649, 0.686538
12, 4, 54, 0.683333, 0.678665, 0.684211, 0.500000, 0.577778, 0.665558, 0.668093
12, 5, 41, 0.716667, 0.668272, 0.736842, 0.538462, 0.622222, 0.660201, 0.662721
13, 1, 26, 0.583333, 0.683136, 0.609756, 0.735294, 0.666667, 0.678406, 0.678477
13, 2, 192, 0.666667, 0.677445, 0.791667, 0.558824, 0.655172, 0.665596, 0.676517
13, 3, 36, 0.666667, 0.674247, 0.666667, 0.823529, 0.736842, 0.666389, 0.668078
13, 4, 41, 0.716667, 0.671849, 0.774194, 0.705882, 0.738462, 0.669102, 0.669739
13, 5, 72, 0.666667, 0.680323, 0.718750, 0.676471, 0.696970, 0.667175, 0.695370
14, 1, 168, 0.616667, 0.687229, 0.589286, 1.000000, 0.741573, 0.681459, 0.683929
14, 2, 189, 0.600000, 0.688497, 0.846154, 0.333333, 0.478261, 0.671684, 0.676237
14, 3, 43, 0.616667, 0.685830, 0.777778, 0.424242, 0.549020, 0.671680, 0.697331
14, 4, 78, 0.700000, 0.661395, 0.727273, 0.727273, 0.727273, 0.673589, 0.692584
14, 5, 132, 0.633333, 0.682997, 0.739130, 0.515152, 0.607143, 0.671300, 0.675294
15, 1, 14, 0.650000, 0.669417, 1.000000, 0.250000, 0.400000, 0.681267, 0.692246
15, 2, 2, 0.600000, 0.698863, 0.540000, 0.964286, 0.692308, 0.672815, 0.683941
15, 3, 92, 0.683333, 0.670152, 0.695652, 0.571429, 0.627451, 0.672027, 0.675620
15, 4, 16, 0.583333, 0.699772, 0.714286, 0.178571, 0.285714, 0.663523, 0.755278
15, 5, 53, 0.733333, 0.669243, 0.800000, 0.571429, 0.666667, 0.671215, 0.683222
16, 1, 184, 0.566667, 0.699442, 0.520000, 0.481481, 0.500000, 0.681743, 0.700507
16, 2, 109, 0.683333, 0.672628, 0.605263, 0.851852, 0.707692, 0.667732, 0.667732
16, 3, 131, 0.733333, 0.671824, 0.720000, 0.666667, 0.692308, 0.663506, 0.667667
16, 4, 60, 0.666667, 0.680041, 0.666667, 0.518519, 0.583333, 0.667596, 0.679278
16, 5, 57, 0.733333, 0.667203, 0.789474, 0.555556, 0.652174, 0.666603, 0.687389
17, 1, 1, 0.616667, 0.685201, 0.616667, 1.000000, 0.762887, 0.686970, 0.695374
17, 2, 139, 0.666667, 0.682655, 0.757576, 0.675676, 0.714286, 0.674510, 0.674510
17, 3, 1, 0.616667, 0.681314, 0.616667, 1.000000, 0.762887, 0.662499, 0.662499
17, 4, 58, 0.700000, 0.669449, 0.743590, 0.783784, 0.763158, 0.667540, 0.677068
17, 5, 114, 0.633333, 0.672924, 0.631579, 0.972973, 0.765957, 0.666274, 0.674366
18, 1, 114, 0.566667, 0.702431, 0.545455, 0.967742, 0.697674, 0.679350, 0.683055
18, 2, 41, 0.583333, 0.698861, 0.800000, 0.258065, 0.390244, 0.667840, 0.673056
18, 3, 155, 0.616667, 0.684596, 0.642857, 0.580645, 0.610169, 0.670764, 0.670764
18, 4, 142, 0.650000, 0.681176, 0.619048, 0.838710, 0.712329, 0.664082, 0.677352
18, 5, 149, 0.583333, 0.690006, 0.714286, 0.322581, 0.444444, 0.669732, 0.670330
19, 1, 163, 0.583333, 0.698246, 0.750000, 0.363636, 0.489796, 0.675050, 0.699675
19, 2, 87, 0.583333, 0.699993, 0.750000, 0.363636, 0.489796, 0.661649, 0.665233
19, 3, 188, 0.650000, 0.679754, 0.714286, 0.606061, 0.655738, 0.667862, 0.691672
19, 4, 165, 0.616667, 0.684670, 0.857143, 0.363636, 0.510638, 0.671333, 0.699923
19, 5, 68, 0.633333, 0.681749, 0.666667, 0.666667, 0.666667, 0.666005, 0.666195
20, 1, 162, 0.683333, 0.676660, 0.782609, 0.562500, 0.654545, 0.677362, 0.677362
20, 2, 166, 0.716667, 0.670920, 0.894737, 0.531250, 0.666667, 0.669195, 0.671938
20, 3, 71, 0.616667, 0.689822, 0.695652, 0.500000, 0.581818, 0.680770, 0.681631
20, 4, 132, 0.733333, 0.677234, 0.833333, 0.625000, 0.714286, 0.678033, 0.697051
20, 5, 92, 0.666667, 0.670066, 0.636364, 0.875000, 0.736842, 0.676644, 0.713187
