# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=ring, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 69, 0.883333, 0.639426, 0.870968, 0.900000, 0.885246, 0.628228, 0.629826
2, 2, 126, 0.900000, 0.631780, 0.900000, 0.900000, 0.900000, 0.627936, 0.635503
2, 3, 148, 0.900000, 0.630091, 0.900000, 0.900000, 0.900000, 0.627582, 0.628750
2, 4, 84, 0.883333, 0.642569, 0.870968, 0.900000, 0.885246, 0.629228, 0.630535
2, 5, 163, 0.916667, 0.628873, 0.931034, 0.900000, 0.915254, 0.626119, 0.651905
3, 1, 70, 0.550000, 0.816953, 0.777778, 0.218750, 0.341463, 0.675802, 0.676019
3, 2, 109, 0.600000, 0.702449, 0.722222, 0.406250, 0.520000, 0.668315, 0.672487
3, 3, 186, 0.666667, 0.678078, 0.714286, 0.625000, 0.666667, 0.668195, 0.676911
3, 4, 191, 0.633333, 0.681319, 0.692308, 0.562500, 0.620690, 0.668177, 0.668385
3, 5, 137, 0.683333, 0.670220, 0.696970, 0.718750, 0.707692, 0.669767, 0.680647
4, 1, 1, 0.550000, 0.762435, 0.550000, 1.000000, 0.709677, 0.693836, 0.694588
4, 2, 181, 0.883333, 0.660796, 0.964286, 0.818182, 0.885246, 0.650378, 0.650378
4, 3, 120, 0.816667, 0.634409, 0.892857, 0.757576, 0.819672, 0.635389, 0.635923
4, 4, 85, 0.816667, 0.647667, 0.958333, 0.696970, 0.807018, 0.631626, 0.631756
4, 5, 147, 0.783333, 0.639771, 0.738095, 0.939394, 0.826667, 0.641188, 0.648510
5, 1, 198, 0.583333, 0.687944, 0.444444, 0.166667, 0.242424, 0.690816, 0.702980
5, 2, 169, 0.733333, 0.653983, 0.666667, 0.666667, 0.666667, 0.670117, 0.670399
5, 3, 139, 0.800000, 0.633143, 0.750000, 0.750000, 0.750000, 0.638864, 0.638864
5, 4, 108, 0.783333, 0.639998, 0.789474, 0.625000, 0.697674, 0.637564, 0.639680
5, 5, 48, 0.716667, 0.627047, 0.769231, 0.416667, 0.540541, 0.659803, 0.709339
6, 1, 183, 0.600000, 0.692991, 0.708333, 0.500000, 0.586207, 0.684492, 0.684492
6, 2, 200, 0.600000, 0.687445, 0.647059, 0.647059, 0.647059, 0.654525, 0.655079
6, 3, 165, 0.716667, 0.668119, 1.000000, 0.500000, 0.666667, 0.660819, 0.660848
6, 4, 185, 0.633333, 0.667858, 0.687500, 0.647059, 0.666667, 0.668230, 0.668230
6, 5, 11, 0.616667, 0.698031, 0.761905, 0.470588, 0.581818, 0.650502, 0.662457
7, 1, 200, 0.600000, 0.683702, 1.000000, 0.200000, 0.333333, 0.687526, 0.687824
7, 2, 137, 0.700000, 0.667395, 0.875000, 0.466667, 0.608696, 0.656746, 0.697996
7, 3, 156, 0.683333, 0.675604, 0.761905, 0.533333, 0.627451, 0.658634, 0.680705
7, 4, 157, 0.683333, 0.664544, 0.761905, 0.533333, 0.627451, 0.648901, 0.651977
7, 5, 127, 0.633333, 0.674920, 0.785714, 0.366667, 0.500000, 0.659799, 0.659799
8, 1, 1, 0.616667, 0.692219, 0.616667, 1.000000, 0.762887, 0.697010, 0.697010
8, 2, 157, 0.833333, 0.679740, 0.935484, 0.783784, 0.852941, 0.668521, 0.668521
8, 3, 175, 0.716667, 0.668985, 0.763158, 0.783784, 0.773333, 0.661014, 0.661014
8, 4, 191, 0.816667, 0.653344, 0.861111, 0.837838, 0.849315, 0.667244, 0.676596
8, 5, 59, 0.683333, 0.658521, 0.846154, 0.594595, 0.698413, 0.679500, 0.748042
9, 1, 183, 0.616667, 0.690510, 0.562500, 0.360000, 0.439024, 0.703825, 0.705790
9, 2, 61, 0.666667, 0.677222, 0.777778, 0.280000, 0.411765, 0.682808, 0.692361
9, 3, 50, 0.666667, 0.671768, 0.647059, 0.440000, 0.523810, 0.656455, 0.667913
9, 4, 177, 0.733333, 0.654432, 0.909091, 0.400000, 0.555556, 0.652540, 0.652540
9, 5, 133, 0.683333, 0.661519, 0.875000, 0.280000, 0.424242, 0.652126, 0.652126
10, 1, 137, 0.600000, 0.702147, 0.652174, 0.483871, 0.555556, 0.710025, 0.714944
10, 2, 62, 0.616667, 0.702589, 0.666667, 0.516129, 0.581818, 0.702090, 0.713250
10, 3, 87, 0.650000, 0.676462, 0.678571, 0.612903, 0.644068, 0.670870, 0.681098
10, 4, 78, 0.600000, 0.682591, 0.652174, 0.483871, 0.555556, 0.664037, 0.667062
10, 5, 31, 0.633333, 0.690026, 0.695652, 0.516129, 0.592593, 0.674241, 0.674241
11, 1, 19, 0.600000, 0.702303, 0.777778, 0.411765, 0.538462, 0.700578, 0.700604
11, 2, 23, 0.650000, 0.696176, 0.809524, 0.500000, 0.618182, 0.686459, 0.686525
11, 3, 81, 0.633333, 0.675332, 0.772727, 0.500000, 0.607143, 0.689839, 0.689839
11, 4, 135, 0.650000, 0.677705, 0.709677, 0.647059, 0.676923, 0.669492, 0.669492
11, 5, 154, 0.700000, 0.671151, 0.766667, 0.676471, 0.718750, 0.667074, 0.687653
12, 1, 130, 0.616667, 0.685538, 0.800000, 0.153846, 0.258065, 0.701668, 0.708644
12, 2, 154, 0.733333, 0.668118, 0.812500, 0.500000, 0.619048, 0.673290, 0.673290
12, 3, 91, 0.750000, 0.662215, 0.761905, 0.615385, 0.680851, 0.673962, 0.675272
12, 4, 71, 0.733333, 0.661990, 0.750000, 0.576923, 0.652174, 0.672756, 0.672759
12, 5, 169, 0.733333, 0.669434, 0.666667, 0.769231, 0.714286, 0.667878, 0.675160
13, 1, 176, 0.666667, 0.673734, 0.733333, 0.647059, 0.687500, 0.676180, 0.700316
13, 2, 78, 0.666667, 0.671422, 0.733333, 0.647059, 0.687500, 0.672830, 0.685301
13, 3, 161, 0.700000, 0.668763, 0.807692, 0.617647, 0.700000, 0.663506, 0.696860
13, 4, 198, 0.700000, 0.656276, 0.735294, 0.735294, 0.735294, 0.667415, 0.667415
13, 5, 193, 0.733333, 0.669952, 0.950000, 0.558824, 0.703704, 0.668730, 0.673655
14, 1, 161, 0.716667, 0.668864, 0.833333, 0.606061, 0.701754, 0.681161, 0.681975
14, 2, 123, 0.716667, 0.674911, 0.900000, 0.545455, 0.679245, 0.674520, 0.676283
14, 3, 71, 0.700000, 0.678705, 0.894737, 0.515152, 0.653846, 0.670009, 0.674706
14, 4, 23, 0.683333, 0.686322, 0.888889, 0.484848, 0.627451, 0.671509, 0.671771
14, 5, 162, 0.733333, 0.667056, 0.814815, 0.666667, 0.733333, 0.672622, 0.674434
15, 1, 160, 0.616667, 0.693912, 0.575758, 0.678571, 0.622951, 0.669106, 0.669106
15, 2, 119, 0.566667, 0.708499, 0.522727, 0.821429, 0.638889, 0.666939, 0.676021
15, 3, 1, 0.566667, 0.712478, 0.527778, 0.678571, 0.593750, 0.664325, 0.672054
