# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=chain, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 25, 0.733333, 0.684424, 0.710526, 0.843750, 0.771429, 0.676225, 0.677921
2, 2, 166, 0.666667, 0.693893, 0.636364, 0.875000, 0.736842, 0.690412, 0.690412
2, 3, 20, 0.550000, 0.691593, 0.666667, 0.312500, 0.425532, 0.676182, 0.676774
2, 4, 53, 0.650000, 0.699001, 0.622222, 0.875000, 0.727273, 0.686073, 0.686363
2, 5, 1, 0.550000, 0.689813, 0.666667, 0.312500, 0.425532, 0.676305, 0.678749
3, 1, 26, 0.766667, 0.620657, 0.944444, 0.566667, 0.708333, 0.620836, 0.620882
3, 2, 157, 0.633333, 0.687391, 0.833333, 0.333333, 0.476190, 0.687279, 0.687279
3, 3, 20, 0.766667, 0.609191, 0.944444, 0.566667, 0.708333, 0.620836, 0.620902
3, 4, 12, 0.633333, 0.684344, 0.833333, 0.333333, 0.476190, 0.684515, 0.684879
3, 5, 15, 0.766667, 0.610408, 0.944444, 0.566667, 0.708333, 0.620836, 0.621863
4, 1, 12, 0.666667, 0.666669, 0.888889, 0.296296, 0.444444, 0.620091, 0.620100
4, 2, 145, 0.650000, 0.689152, 1.000000, 0.222222, 0.363636, 0.689936, 0.689992
4, 3, 4, 0.666667, 0.683821, 0.888889, 0.296296, 0.444444, 0.620092, 0.620768
4, 4, 178, 0.666667, 0.676078, 1.000000, 0.259259, 0.411765, 0.688226, 0.690077
4, 5, 23, 0.666667, 0.651993, 0.888889, 0.296296, 0.444444, 0.620091, 0.624121
5, 1, 10, 0.583333, 0.695198, 0.600000, 0.413793, 0.489796, 0.655746, 0.656708
5, 2, 39, 0.616667, 0.684464, 0.560000, 0.965517, 0.708861, 0.693682, 0.695617
5, 3, 1, 0.566667, 0.693247, 0.571429, 0.413793, 0.480000, 0.655746, 0.656244
5, 4, 13, 0.516667, 0.702595, 0.000000, 0.000000, 0.000000, 0.694247, 0.701652
5, 5, 23, 0.583333, 0.708678, 0.600000, 0.413793, 0.489796, 0.655749, 0.656200
