# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=pairwise, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 9, 0.550000, 0.692299, 0.666667, 0.312500, 0.425532, 0.676144, 0.676465
2, 2, 46, 0.616667, 0.689485, 0.609756, 0.781250, 0.684932, 0.692004, 0.695654
2, 3, 5, 0.550000, 0.696317, 0.666667, 0.312500, 0.425532, 0.676143, 0.677350
2, 4, 29, 0.666667, 0.697792, 0.636364, 0.875000, 0.736842, 0.686078, 0.686078
2, 5, 6, 0.550000, 0.694286, 0.547170, 0.906250, 0.682353, 0.676159, 0.678952
3, 1, 11, 0.766667, 0.648191, 0.944444, 0.566667, 0.708333, 0.620836, 0.621708
3, 2, 194, 0.633333, 0.683555, 0.833333, 0.333333, 0.476190, 0.687531, 0.692516
3, 3, 31, 0.766667, 0.611149, 0.944444, 0.566667, 0.708333, 0.620836, 0.627117
3, 4, 45, 0.633333, 0.678377, 0.833333, 0.333333, 0.476190, 0.684508, 0.685892
3, 5, 9, 0.766667, 0.609250, 0.944444, 0.566667, 0.708333, 0.620837, 0.623916
4, 1, 12, 0.666667, 0.667495, 0.888889, 0.296296, 0.444444, 0.620091, 0.620318
4, 2, 6, 0.566667, 0.708849, 1.000000, 0.037037, 0.071429, 0.691712, 0.691712
4, 3, 1, 0.666667, 0.683992, 0.888889, 0.296296, 0.444444, 0.620091, 0.620418
4, 4, 7, 0.666667, 0.683278, 1.000000, 0.259259, 0.411765, 0.688227, 0.692364
4, 5, 11, 0.666667, 0.649959, 0.888889, 0.296296, 0.444444, 0.620091, 0.620201
5, 1, 12, 0.566667, 0.695087, 0.571429, 0.413793, 0.480000, 0.655752, 0.655852
5, 2, 49, 0.616667, 0.684181, 0.560000, 0.965517, 0.708861, 0.693621, 0.695485
5, 3, 11, 0.583333, 0.694316, 0.600000, 0.413793, 0.489796, 0.655746, 0.655905
5, 4, 12, 0.516667, 0.702492, 0.000000, 0.000000, 0.000000, 0.694219, 0.699570
5, 5, 16, 0.583333, 0.708055, 0.600000, 0.413793, 0.489796, 0.655746, 0.656023
