# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=ring, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 1, 0.583333, 0.721526, 0.705882, 0.375000, 0.489796, 0.679217, 0.679465
2, 2, 56, 0.666667, 0.698878, 0.636364, 0.875000, 0.736842, 0.686073, 0.687346
2, 3, 14, 0.766667, 0.682722, 0.714286, 0.937500, 0.810811, 0.679067, 0.681202
2, 4, 113, 0.666667, 0.699048, 0.636364, 0.875000, 0.736842, 0.686079, 0.686292
2, 5, 168, 0.766667, 0.681324, 0.695652, 1.000000, 0.820513, 0.679095, 0.695305
3, 1, 8, 0.783333, 0.620861, 0.947368, 0.600000, 0.734694, 0.633436, 0.637343
3, 2, 20, 0.633333, 0.681224, 0.833333, 0.333333, 0.476190, 0.684506, 0.690123
3, 3, 8, 0.783333, 0.621977, 0.947368, 0.600000, 0.734694, 0.633436, 0.636088
3, 4, 70, 0.633333, 0.680433, 0.833333, 0.333333, 0.476190, 0.684503, 0.684631
3, 5, 7, 0.783333, 0.631230, 0.947368, 0.600000, 0.734694, 0.633438, 0.634715
4, 1, 2, 0.650000, 0.658645, 0.875000, 0.259259, 0.400000, 0.622581, 0.623793
4, 2, 20, 0.666667, 0.679414, 1.000000, 0.259259, 0.411765, 0.688225, 0.688227
4, 3, 2, 0.650000, 0.658472, 0.875000, 0.259259, 0.400000, 0.622581, 0.623245
4, 4, 23, 0.600000, 0.681937, 0.600000, 0.333333, 0.428571, 0.688236, 0.689325
4, 5, 2, 0.650000, 0.658375, 0.875000, 0.259259, 0.400000, 0.622580, 0.623511
5, 1, 18, 0.666667, 0.682327, 0.655172, 0.655172, 0.655172, 0.622980, 0.623563
5, 2, 15, 0.516667, 0.709302, 0.000000, 0.000000, 0.000000, 0.694900, 0.696455
5, 3, 7, 0.666667, 0.682365, 0.655172, 0.655172, 0.655172, 0.622981, 0.625570
5, 4, 8, 0.516667, 0.701765, 0.000000, 0.000000, 0.000000, 0.694183, 0.698582
5, 5, 7, 0.666667, 0.682441, 0.655172, 0.655172, 0.655172, 0.622980, 0.623518
