# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=chain, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 154, 0.650000, 0.699507, 0.627907, 0.843750, 0.720000, 0.686027, 0.688443
2, 2, 79, 0.683333, 0.678571, 0.627451, 1.000000, 0.771084, 0.672605, 0.673867
2, 3, 146, 0.716667, 0.656132, 0.653061, 1.000000, 0.790123, 0.632049, 0.635236
2, 4, 46, 0.683333, 0.681701, 0.644444, 0.906250, 0.753247, 0.601619, 0.601619
2, 5, 135, 0.750000, 0.637408, 0.947368, 0.562500, 0.705882, 0.600290, 0.606699
3, 1, 47, 0.733333, 0.664521, 0.888889, 0.533333, 0.666667, 0.660853, 0.661448
3, 2, 61, 0.783333, 0.629560, 0.947368, 0.600000, 0.734694, 0.613789, 0.613812
3, 3, 76, 0.800000, 0.610882, 0.950000, 0.633333, 0.760000, 0.607632, 0.609441
3, 4, 43, 0.816667, 0.619351, 0.880000, 0.733333, 0.800000, 0.597459, 0.599348
3, 5, 116, 0.850000, 0.587856, 0.920000, 0.766667, 0.836364, 0.594889, 0.601520
4, 1, 69, 0.750000, 0.646104, 0.875000, 0.518519, 0.651163, 0.649570, 0.651949
4, 2, 137, 0.800000, 0.628185, 0.941176, 0.592593, 0.727273, 0.609108, 0.610600
4, 3, 39, 0.800000, 0.611303, 1.000000, 0.555556, 0.714286, 0.588544, 0.589007
4, 4, 134, 0.833333, 0.610110, 1.000000, 0.629630, 0.772727, 0.585226, 0.588156
4, 5, 83, 0.850000, 0.612303, 1.000000, 0.666667, 0.800000, 0.583003, 0.583387
5, 1, 8, 0.533333, 0.730308, 0.511111, 0.793103, 0.621622, 0.690212, 0.693904
5, 2, 156, 0.600000, 0.677381, 0.619048, 0.448276, 0.520000, 0.636007, 0.636379
5, 3, 192, 0.750000, 0.640489, 0.791667, 0.655172, 0.716981, 0.611426, 0.611528
5, 4, 178, 0.783333, 0.629102, 0.807692, 0.724138, 0.763636, 0.587476, 0.589624
5, 5, 102, 0.766667, 0.638317, 0.894737, 0.586207, 0.708333, 0.586124, 0.588075
